fee_to_reward90rocUSD,median_transaction_fee90rocUSD,mediantransactionvalueUSD,mining_profitability90roc,sentinusd90rocUSD,transactions90roc,transactionvalue90rocUSD,priceUSD
1.196,0.042,132.915,1.285,735260833.0,214047.0,5350.0,457.595
0.895,0.0417,99.467,1.325,677776060.0,196279.0,4769.0,458.102
0.764,0.0419,101.692,1.272,610270067.0,186781.0,4506.0,454.748
1.294,0.042,128.625,1.245,659367895.0,229887.0,4691.0,452.584
1.354,0.0424,129.996,1.26,919964293.0,240058.0,6212.0,451.025
1.104,0.0424,136.326,1.326,952267040.0,223342.0,6097.0,454.247
1.083,0.0423,131.661,1.274,805869657.0,227764.0,5502.0,455.025
1.27,0.0426,146.428,1.103,884143010.0,212039.0,7690.0,455.975
0.98,0.043,107.392,1.195,1040045939.0,181866.0,7203.0,455.809
0.861,0.0428,113.723,1.275,857769514.0,192270.0,5861.0,453.459
1.394,0.0427,128.269,1.141,840392929.0,220261.0,7681.0,453.949
1.147,0.0429,133.018,1.258,915868397.0,226361.0,7012.0,449.494
1.038,0.0437,134.059,1.367,964275768.0,216615.0,8209.0,441.529
1.122,0.0443,133.213,1.17,1130862864.0,212644.0,10483.0,442.068
1.181,0.0445,137.192,1.277,1047685287.0,210833.0,11172.0,441.268
0.913,0.0446,103.667,1.223,857657973.0,185072.0,8245.0,441.669
0.999,0.0453,97.899,1.223,771265952.0,183023.0,5491.0,445.089
1.346,0.0457,127.01,1.291,1041375335.0,217437.0,5714.0,448.097
8.217,0.0463,126.838,1.513,1159092093.0,250593.0,5112.0,450.845
1.41,0.0459,119.287,1.179,1018777076.0,239306.0,4757.0,472.112
1.45,0.0444,111.561,1.297,1042424815.0,247822.0,4840.0,496.908
1.118,0.0447,140.974,1.319,904027881.0,233524.0,4400.0,551.979
1.13,0.0447,129.022,1.252,880230655.0,229418.0,4219.0,571.159
1.088,0.0451,126.861,1.302,919355237.0,233070.0,4488.0,573.875
0.994,0.0458,120.602,1.285,800165284.0,201912.0,4287.0,580.536
0.821,0.0458,114.291,1.345,678869657.0,188857.0,3924.0,579.599
0.938,0.0458,130.831,1.268,800566319.0,226278.0,4223.0,574.524
1.204,0.0455,137.421,1.266,896691674.0,245563.0,4089.0,574.28
1.362,0.0453,139.332,1.094,1036210701.0,234279.0,4843.0,573.047
1.328,0.0451,148.858,1.213,946838203.0,228270.0,4529.0,579.549
1.237,0.0454,153.7,1.218,1038481806.0,231994.0,5040.0,638.456
1.317,0.0455,116.051,1.197,777516371.0,211136.0,4110.0,686.885
1.297,0.0456,133.195,1.134,848145394.0,200032.0,4649.0,685.852
1.689,0.0456,167.541,1.236,1079445374.0,239668.0,5107.0,682.671
1.632,0.0493,155.718,1.133,1048162645.0,238485.0,5134.0,734.99
1.501,0.0493,135.844,1.29,909649446.0,234930.0,4341.0,744.823
1.801,0.0519,140.816,1.079,952749618.0,219025.0,5228.0,748.164
1.367,0.0511,132.37,1.19,710545520.0,209247.0,4496.0,753.295
1.588,0.0477,113.54,1.197,551523877.0,191320.0,3639.0,747.682
0.931,0.0461,107.369,1.237,520670205.0,184164.0,3613.0,681.946
1.203,0.0462,130.167,1.113,717658537.0,222574.0,4230.0,649.939
1.595,0.047,118.229,1.109,833836164.0,246370.0,4536.0,588.926
1.707,0.0518,118.198,1.155,1245321409.0,247703.0,6038.0,652.469
1.623,0.0521,139.342,1.125,1368033643.0,219956.0,7431.0,669.287
2.001,0.064,150.604,1.276,1724155190.0,215157.0,9042.0,640.632
1.551,0.0653,138.155,1.177,1594980088.0,192921.0,9433.0,637.878
1.29,0.0649,139.838,1.32,1090226164.0,178595.0,8006.0,647.563
1.583,0.0619,126.556,1.457,904588186.0,211224.0,5666.0,633.786
1.623,0.0622,151.827,1.215,1116769826.0,215122.0,6367.0,651.127
1.548,0.0618,121.691,1.539,929754823.0,234241.0,5354.0,674.251
1.669,0.064,116.842,1.276,998839950.0,230961.0,5414.0,683.826
1.518,0.0642,130.044,1.429,822002409.0,234527.0,4555.0,673.449
1.538,0.0604,126.434,1.282,659106024.0,196546.0,4332.0,668.624
1.029,0.0617,129.065,1.731,810825694.0,189632.0,5531.0,669.77
1.213,0.0615,148.047,1.49,907538925.0,221001.0,5148.0,670.711
1.479,0.0614,147.721,1.397,988193343.0,230876.0,5375.0,640.923
1.382,0.0618,148.887,1.462,951443438.0,229789.0,5002.0,644.648
1.275,0.0617,160.8,1.562,987039082.0,236188.0,5084.0,649.595
1.447,0.0615,171.654,1.437,1103171341.0,228223.0,5771.0,645.327
1.173,0.0603,157.753,1.542,913061730.0,213003.0,5144.0,646.33
1.417,0.0638,157.646,1.592,1550049716.0,210565.0,8574.0,653.631
1.563,0.0739,184.923,1.885,1569593051.0,251193.0,7529.0,659.574
2.05,0.103,171.5,1.56,1325293748.0,246697.0,6559.0,655.688
2.148,0.122,169.974,1.949,1277023446.0,259050.0,6113.0,658.89
2.163,0.117,209.84,1.857,1614440592.0,267721.0,7667.0,660.703
2.075,0.119,193.031,1.944,1605289556.0,253603.0,8138.0,667.464
1.757,0.12,159.051,2.119,1360150778.0,235159.0,7450.0,675.134
1.408,0.136,150.866,1.94,1189229337.0,218121.0,6932.0,668.951
1.839,0.135,192.185,1.862,1522315501.0,249170.0,7932.0,667.413
2.008,0.0962,208.464,1.658,1548114419.0,248015.0,7825.0,662.495
2.388,0.116,233.783,1.469,1425769047.0,235512.0,7476.0,659.521
2.107,0.094,184.295,1.471,1537726813.0,241160.0,7707.0,653.666
2.248,0.113,216.648,1.591,1533267389.0,237496.0,7672.0,656.306
1.485,0.107,165.975,1.771,1072219711.0,206757.0,7024.0,656.119
1.467,0.1,140.997,1.504,859651597.0,181202.0,6426.0,651.943
1.655,0.0957,162.682,1.534,1035725984.0,216882.0,6372.0,652.979
1.554,0.0878,161.826,1.585,932141489.0,212459.0,5681.0,654.826
1.663,0.0859,183.789,1.587,877645426.0,223966.0,5617.0,655.218
1.64,0.0883,195.127,1.564,995713523.0,231810.0,5846.0,655.252
1.468,0.0906,185.15,1.532,1061218002.0,205646.0,6712.0,636.085
1.402,0.0927,186.925,1.722,1009740048.0,198726.0,7391.0,620.444
1.168,0.0881,152.129,1.657,875462436.0,176973.0,6596.0,595.245
1.441,0.0852,200.473,1.608,1242596531.0,213749.0,8120.0,552.184
1.519,0.0867,181.323,1.697,1052637721.0,214814.0,6395.0,572.822
1.567,0.0882,170.971,1.512,978686263.0,214551.0,6365.0,573.026
1.624,0.0854,178.018,1.487,1391821840.0,215411.0,8465.0,575.443
1.556,0.0844,184.772,1.585,1037900194.0,210556.0,7002.0,589.396
1.495,0.0873,140.04,1.32,870245397.0,185256.0,6621.0,589.032
1.941,0.0845,128.633,0.78,697759476.0,162452.0,6042.0,586.113
3.11,0.0869,201.352,0.764,939261682.0,217946.0,6591.0,589.594
2.785,0.0784,163.146,0.78,1021453097.0,218891.0,6905.0,592.19
3.195,0.0886,196.125,0.739,935077735.0,216374.0,6865.0,586.987
3.161,0.0855,188.938,0.849,829926530.0,217554.0,6316.0,586.74
3.171,0.087,216.696,0.824,1428560625.0,215946.0,10215.0,576.272
2.519,0.0844,165.414,0.817,862870923.0,182035.0,7128.0,569.003
2.508,0.0859,157.608,0.779,1031829938.0,170864.0,8022.0,571.996
3.096,0.0915,227.995,0.805,949529710.0,222687.0,6891.0,574.509
3.724,0.0907,238.024,0.754,982620651.0,222018.0,7646.0,573.871
3.312,0.0905,210.515,0.853,994832093.0,227279.0,7209.0,574.592
3.509,0.0907,234.571,0.789,934640906.0,217473.0,6719.0,577.708
3.888,0.104,247.283,0.777,985765634.0,221275.0,7212.0,580.948
3.539,0.103,207.8,0.831,735476332.0,195665.0,6123.0,582.629
3.182,0.0935,196.826,0.765,901069996.0,183766.0,6616.0,584.169
4.086,0.104,207.107,0.795,782737114.0,239584.0,5283.0,580.74
4.208,0.103,229.058,0.799,1081556485.0,237544.0,6337.0,575.66
4.475,0.113,239.752,0.808,1156462939.0,235475.0,6971.0,578.283
4.045,0.105,231.0,0.83,1065131519.0,234727.0,6935.0,574.184
3.786,0.113,261.94,0.816,959699567.0,231267.0,6057.0,572.17
4.234,0.122,237.837,0.72,539162962.0,199365.0,6169.0,574.891
3.635,0.127,210.89,0.865,774259277.0,192100.0,6148.0,576.744
3.688,0.112,209.399,0.793,738715349.0,224896.0,4759.0,574.462
4.059,0.119,270.347,0.707,1511811162.0,250944.0,8385.0,573.069
3.521,0.099,217.449,0.754,838752182.0,241616.0,5732.0,573.174
3.511,0.104,209.275,0.72,1222587226.0,231682.0,7424.0,579.773
3.411,0.0942,186.638,0.763,946683575.0,228075.0,5752.0,604.208
2.798,0.078,178.387,0.706,559429850.0,195503.0,4472.0,605.63
3.497,0.106,207.689,0.744,607206279.0,192266.0,5744.0,606.793
4.467,0.11,182.989,0.785,656253005.0,235147.0,4933.0,610.021
4.576,0.113,205.026,0.648,920698003.0,231276.0,5678.0,621.285
3.85,0.113,175.258,0.795,910509059.0,244589.0,5238.0,622.603
4.091,0.118,177.694,0.835,784485327.0,254365.0,5245.0,623.902
3.662,0.107,215.464,0.744,828930539.0,232824.0,4847.0,620.306
2.99,0.0987,210.047,0.752,608757705.0,214406.0,5602.0,607.225
2.938,0.104,196.67,0.755,578163806.0,200011.0,4944.0,609.126
3.612,0.103,212.707,0.655,853818491.0,202750.0,5824.0,610.447
4.695,0.112,200.447,0.691,1048494190.0,254296.0,6221.0,609.706
4.578,0.104,177.838,0.672,807356243.0,237880.0,4826.0,608.348
3.823,0.104,189.454,0.757,972277893.0,239387.0,5576.0,607.443
4.031,0.115,214.331,0.715,856252373.0,245941.0,5549.0,607.971
3.065,0.107,159.995,0.673,911496553.0,208069.0,5856.0,609.926
2.428,0.0966,143.726,0.705,556537103.0,184741.0,4204.0,608.701
3.225,0.099,174.672,0.683,947533423.0,228215.0,5062.0,597.916
3.553,0.106,167.68,0.663,1010822720.0,238874.0,5109.0,597.849
3.291,0.105,156.385,0.722,1043118540.0,234978.0,5262.0,599.46
3.826,0.107,186.958,0.613,990564004.0,233879.0,5246.0,603.368
3.649,0.105,183.798,0.702,989798943.0,226635.0,5336.0,602.605
2.992,0.0908,129.249,0.743,676892144.0,190954.0,4398.0,604.645
2.512,0.0894,130.672,0.675,567836438.0,174337.0,4268.0,605.886
3.343,0.101,182.76,0.629,744219660.0,225133.0,4373.0,604.801
3.196,0.104,177.927,0.75,744202679.0,251838.0,4186.0,604.65
3.598,0.0909,173.26,0.631,795092143.0,225226.0,4545.0,604.894
3.503,0.103,196.9,0.68,753339996.0,237326.0,4314.0,611.559
2.913,0.093,193.185,0.678,673237407.0,225703.0,4046.0,610.758
3.171,0.087,137.746,0.629,632951393.0,182078.0,4161.0,610.721
2.043,0.0825,120.766,0.823,468967340.0,183065.0,3823.0,609.337
3.48,0.0958,173.391,0.623,805004180.0,227543.0,4556.0,610.478
3.447,0.0951,152.855,0.71,738757000.0,231982.0,4183.0,611.072
3.249,0.0957,155.766,0.736,727500461.0,250657.0,3898.0,613.763
3.207,0.0932,154.51,0.712,753060027.0,226862.0,4450.0,617.237
3.449,0.108,181.137,0.732,836357374.0,220392.0,4972.0,616.581
2.575,0.0936,143.448,0.758,619072985.0,193165.0,4768.0,616.296
2.263,0.093,137.843,0.75,600767188.0,180227.0,5178.0,631.621
2.674,0.0911,159.985,0.651,746671579.0,208486.0,4865.0,637.312
3.196,0.11,186.404,0.749,793125942.0,239721.0,5059.0,635.764
3.101,0.0916,170.773,0.671,730269493.0,231644.0,4996.0,636.521
3.01,0.0965,171.669,0.699,630192888.0,233334.0,4083.0,639.211
3.555,0.108,180.569,0.629,865309237.0,210989.0,5477.0,639.793
2.753,0.0952,132.176,0.737,514858612.0,215366.0,4156.0,638.715
2.844,0.0962,139.855,0.684,540534247.0,191458.0,5159.0,637.034
3.827,0.109,185.278,0.67,676892913.0,223407.0,5660.0,632.653
3.497,0.11,182.494,0.725,941086652.0,244164.0,5739.0,628.962
3.038,0.105,178.95,0.749,779154732.0,239050.0,4666.0,631.236
3.439,0.106,192.074,0.592,969941995.0,231086.0,6015.0,641.524
3.414,0.0958,192.569,0.689,851974361.0,223051.0,6051.0,653.664
2.765,0.109,182.157,0.813,614479581.0,208484.0,5874.0,650.557
2.101,0.0904,142.14,0.623,770114041.0,195457.0,5731.0,654.64
3.07,0.0907,149.968,0.602,1120833947.0,230616.0,5968.0,665.07
2.931,0.0909,147.407,0.706,728148064.0,240168.0,4473.0,682.275
3.383,0.0957,158.391,0.601,1247648373.0,234847.0,6551.0,685.356
3.695,0.0957,152.311,0.639,816374887.0,242587.0,4579.0,705.335
3.715,0.0957,155.172,0.678,1184226715.0,250801.0,5939.0,704.786
2.908,0.0967,113.635,0.643,721976249.0,213773.0,4389.0,698.831
2.944,0.0966,105.207,0.591,579365333.0,192542.0,4500.0,720.121
3.835,0.0972,128.065,0.742,977805172.0,258654.0,4701.0,724.827
3.474,0.0964,128.919,0.655,899836266.0,264504.0,4388.0,724.099
3.371,0.0991,120.762,0.678,1023325740.0,266644.0,5268.0,698.792
3.721,0.0967,110.871,0.654,1107313940.0,274325.0,5100.0,702.682
3.877,0.0971,123.155,0.623,1100552857.0,266181.0,5474.0,708.671
3.099,0.0976,107.801,0.68,1177819518.0,250503.0,5852.0,703.872
2.833,0.0975,118.028,0.606,1480926401.0,210388.0,7902.0,705.761
4.195,0.116,156.591,0.533,1308669749.0,222872.0,7188.0,724.306
4.444,0.114,150.614,0.668,1435311807.0,263426.0,6863.0,714.235
3.659,0.108,168.93,0.672,1434435766.0,233296.0,7452.0,714.44
4.028,0.101,154.681,0.625,731122401.0,229575.0,5778.0,708.542
3.849,0.101,133.141,0.631,1110253819.0,239588.0,5366.0,696.136
3.409,0.104,120.085,0.671,1897738650.0,210306.0,10353.0,701.676
3.422,0.116,107.5,0.615,1348522139.0,197746.0,7958.0,709.94
4.433,0.12,120.269,0.628,968814765.0,237107.0,5079.0,721.652
3.836,0.112,133.499,0.687,1317774887.0,251366.0,6354.0,742.568
3.841,0.114,140.218,0.543,1052670107.0,198958.0,6157.0,742.522
5.065,0.126,115.661,0.716,1328602240.0,270246.0,5735.0,747.646
3.581,0.118,133.86,0.726,1821651461.0,265191.0,7546.0,740.325
3.456,0.116,128.173,0.566,670073577.0,216559.0,3998.0,734.423
3.617,0.116,109.595,0.678,1048223561.0,191434.0,6406.0,741.868
4.345,0.118,151.843,0.655,2184800552.0,226837.0,10712.0,742.446
5.398,0.131,151.807,0.661,1828519845.0,236891.0,8584.0,738.491
6.693,0.143,142.053,0.725,1264772009.0,223178.0,6574.0,734.983
