Date,sentbyaddress14trx
2016/01/01,1.016
2016/01/02,0.991
2016/01/03,0.967
2016/01/04,0.945
2016/01/05,0.923
2016/01/06,0.908
2016/01/07,0.903
2016/01/08,0.889
2016/01/09,0.874
2016/01/10,0.883
2016/01/11,0.908
2016/01/12,0.96
2016/01/13,0.987
2016/01/14,0.986
2016/01/15,1.004
2016/01/16,0.964
2016/01/17,0.87
2016/01/18,0.78
2016/01/19,0.678
2016/01/20,0.644
2016/01/21,0.582
2016/01/22,0.51
2016/01/23,0.476
2016/01/24,0.501
2016/01/25,0.577
2016/01/26,0.698
2016/01/27,0.8
2016/01/28,0.884
2016/01/29,0.939
2016/01/30,0.966
2016/01/31,0.985
2016/02/01,0.992
2016/02/02,0.98
2016/02/03,0.956
2016/02/04,0.919
2016/02/05,0.88
2016/02/06,0.828
2016/02/07,0.792
2016/02/08,0.789
2016/02/09,0.825
2016/02/10,0.981
2016/02/11,1.216
2016/02/12,1.471
2016/02/13,1.689
2016/02/14,1.813
2016/02/15,1.88
2016/02/16,1.899
2016/02/17,1.876
2016/02/18,1.826
2016/02/19,1.748
2016/02/20,1.64
2016/02/21,1.614
2016/02/22,1.589
2016/02/23,1.557
2016/02/24,1.508
2016/02/25,1.485
2016/02/26,1.448
2016/02/27,1.406
2016/02/28,1.392
2016/02/29,1.449
2016/03/01,1.57
2016/03/02,1.733
2016/03/03,1.934
2016/03/04,2.14
2016/03/05,2.405
2016/03/06,2.644
2016/03/07,2.768
2016/03/08,2.873
2016/03/09,2.916
2016/03/10,2.946
2016/03/11,2.935
2016/03/12,2.884
2016/03/13,2.797
2016/03/14,2.686
2016/03/15,2.546
2016/03/16,2.371
2016/03/17,2.206
2016/03/18,2.073
2016/03/19,1.904
2016/03/20,1.728
2016/03/21,1.581
2016/03/22,1.422
2016/03/23,1.267
2016/03/24,1.112
2016/03/25,0.952
2016/03/26,0.785
2016/03/27,0.653
2016/03/28,0.553
2016/03/29,0.542
2016/03/30,0.593
2016/03/31,0.612
2016/04/01,0.596
2016/04/02,0.544
2016/04/03,0.468
2016/04/04,0.411
2016/04/05,0.37
2016/04/06,0.339
2016/04/07,0.308
2016/04/08,0.271
2016/04/09,0.245
2016/04/10,0.249
2016/04/11,0.242
2016/04/12,0.24
2016/04/13,0.259
2016/04/14,0.272
2016/04/15,0.257
2016/04/16,0.221
2016/04/17,0.201
2016/04/18,0.189
2016/04/19,0.175
2016/04/20,0.167
2016/04/21,0.16
2016/04/22,0.159
2016/04/23,0.153
2016/04/24,0.15
2016/04/25,0.162
2016/04/26,0.187
2016/04/27,0.216
2016/04/28,0.235
2016/04/29,0.364
2016/04/30,0.582
2016/05/01,0.79
2016/05/02,1.027
2016/05/03,1.23
2016/05/04,1.376
2016/05/05,1.475
2016/05/06,1.535
2016/05/07,1.549
2016/05/08,1.549
2016/05/09,1.549
2016/05/10,1.55
2016/05/11,1.594
2016/05/12,1.664
2016/05/13,1.803
2016/05/14,1.92
2016/05/15,1.958
2016/05/16,1.931
2016/05/17,1.883
2016/05/18,1.842
2016/05/19,1.811
2016/05/20,1.763
