Date,activeaddresses3wma
2016/01/01,3503
2016/01/02,3513
2016/01/03,3524
2016/01/04,3606
2016/01/05,3646
2016/01/06,3747
2016/01/07,3918
2016/01/08,3932
2016/01/09,3881
2016/01/10,3938
2016/01/11,4120
2016/01/12,4282
2016/01/13,4206
2016/01/14,4069
2016/01/15,4200
2016/01/16,4069
2016/01/17,3901
2016/01/18,4063
2016/01/19,4113
2016/01/20,4443
2016/01/21,4337
2016/01/22,4346
2016/01/23,4554
2016/01/24,4970
2016/01/25,5393
2016/01/26,5795
2016/01/27,5754
2016/01/28,5918
2016/01/29,5918
2016/01/30,5952
2016/01/31,6002
2016/02/01,5920
2016/02/02,5826
2016/02/03,5841
2016/02/04,5743
2016/02/05,6048
2016/02/06,5783
2016/02/07,5713
2016/02/08,5894
2016/02/09,6288
2016/02/10,7225
2016/02/11,8836
2016/02/12,9013
2016/02/13,8649
2016/02/14,7840
2016/02/15,7641
2016/02/16,7601
2016/02/17,7748
2016/02/18,7687
2016/02/19,7680
2016/02/20,7445
2016/02/21,7816
2016/02/22,8061
2016/02/23,8243
2016/02/24,8217
2016/02/25,8552
2016/02/26,8386
2016/02/27,8292
2016/02/28,8468
2016/02/29,8948
2016/03/01,9650
2016/03/02,10525
2016/03/03,11344
2016/03/04,11657
2016/03/05,12629
2016/03/06,12959
2016/03/07,11952
2016/03/08,11979
2016/03/09,11982
2016/03/10,12697
2016/03/11,12560
2016/03/12,13118
2016/03/13,13310
2016/03/14,13778
2016/03/15,13856
2016/03/16,13774
2016/03/17,13822
2016/03/18,14537
2016/03/19,14268
2016/03/20,14085
2016/03/21,13857
2016/03/22,13834
2016/03/23,14229
2016/03/24,14146
2016/03/25,14193
2016/03/26,13930
2016/03/27,14366
2016/03/28,14743
2016/03/29,15840
2016/03/30,16901
2016/03/31,16470
2016/04/01,15727
2016/04/02,15108
2016/04/03,15175
2016/04/04,15682
2016/04/05,16326
2016/04/06,16147
2016/04/07,16498
2016/04/08,15880
2016/04/09,16142
2016/04/10,16547
2016/04/11,16541
2016/04/12,16669
2016/04/13,17073
2016/04/14,17110
2016/04/15,16734
2016/04/16,16446
2016/04/17,16756
2016/04/18,17048
2016/04/19,17138
2016/04/20,17298
2016/04/21,17327
2016/04/22,17223
2016/04/23,17056
2016/04/24,17299
2016/04/25,17448
2016/04/26,17624
2016/04/27,17692
2016/04/28,17503
2016/04/29,18655
2016/04/30,22480
2016/05/01,22217
2016/05/02,23050
2016/05/03,21660
2016/05/04,20867
2016/05/05,20318
2016/05/06,20268
2016/05/07,19996
2016/05/08,20774
2016/05/09,21663
2016/05/10,21762
2016/05/11,22748
2016/05/12,23488
2016/05/13,25076
2016/05/14,24652
2016/05/15,23675
2016/05/16,22164
2016/05/17,22537
2016/05/18,24465
2016/05/19,25234
2016/05/20,24720
2016/05/21,23651
2016/05/22,22204
2016/05/23,23573
2016/05/24,24010
2016/05/25,24534
2016/05/26,27798
2016/05/27,28620
2016/05/28,33893
2016/05/29,30312
2016/05/30,26846
2016/05/31,24649
2016/06/01,24072
2016/06/02,23638
2016/06/03,23156
2016/06/04,22598
2016/06/05,22359
2016/06/06,22837
2016/06/07,23206
2016/06/08,23629
2016/06/09,23413
2016/06/10,23555
2016/06/11,21722
2016/06/12,22942
2016/06/13,25748
2016/06/14,27890
2016/06/15,27101
2016/06/16,25486
2016/06/17,29867
2016/06/18,32041
2016/06/19,31196
2016/06/20,28772
2016/06/21,27659
2016/06/22,28681
2016/06/23,27350
2016/06/24,26373
2016/06/25,24526
2016/06/26,25598
2016/06/27,25128
2016/06/28,26057
2016/06/29,25800
2016/06/30,25573
2016/07/01,24951
2016/07/02,24902
2016/07/03,24754
2016/07/04,25277
2016/07/05,25526
2016/07/06,25357
2016/07/07,25185
2016/07/08,25439
2016/07/09,25223
2016/07/10,25042
2016/07/11,24798
2016/07/12,25126
2016/07/13,23851
2016/07/14,24689
2016/07/15,25031
2016/07/16,24941
2016/07/17,22856
2016/07/18,22775
2016/07/19,26518
2016/07/20,29558
2016/07/21,29707
2016/07/22,30350
2016/07/23,29520
2016/07/24,32817
2016/07/25,33313
2016/07/26,37629
2016/07/27,38068
2016/07/28,36125
2016/07/29,32412
2016/07/30,29259
2016/07/31,28684
2016/08/01,28924
2016/08/02,28811
2016/08/03,29188
2016/08/04,29340
2016/08/05,28452
2016/08/06,27124
2016/08/07,26648
2016/08/08,26902
2016/08/09,28610
2016/08/10,28556
2016/08/11,29647
2016/08/12,28213
2016/08/13,26915
2016/08/14,26170
2016/08/15,26594
2016/08/16,28350
2016/08/17,27997
2016/08/18,27352
2016/08/19,26983
2016/08/20,27004
2016/08/21,27135
2016/08/22,26859
2016/08/23,27960
2016/08/24,27647
2016/08/25,28485
2016/08/26,27987
2016/08/27,27918
2016/08/28,27563
2016/08/29,28144
2016/08/30,27969
2016/08/31,28879
2016/09/01,29618
2016/09/02,29831
2016/09/03,28721
2016/09/04,27879
2016/09/05,27512
2016/09/06,27815
2016/09/07,27222
2016/09/08,28857
2016/09/09,28473
2016/09/10,27906
2016/09/11,27678
2016/09/12,28135
2016/09/13,28133
2016/09/14,28020
2016/09/15,28240
2016/09/16,28867
2016/09/17,28982
2016/09/18,27710
2016/09/19,27341
2016/09/20,31344
2016/09/21,30905
2016/09/22,27586
2016/09/23,25445
2016/09/24,25187
2016/09/25,25221
2016/09/26,24966
2016/09/27,24744
2016/09/28,25233
2016/09/29,25579
2016/09/30,25488
2016/10/01,25928
2016/10/02,26994
2016/10/03,26607
2016/10/04,23584
2016/10/05,22057
2016/10/06,21527
2016/10/07,24101
2016/10/08,24952
2016/10/09,26670
2016/10/10,27843
2016/10/11,26495
2016/10/12,20677
2016/10/13,15122
2016/10/14,17527
2016/10/15,17768
2016/10/16,19486
2016/10/17,21285
2016/10/18,25589
2016/10/19,23127
2016/10/20,25495
2016/10/21,30025
2016/10/22,28923
2016/10/23,26231
2016/10/24,25176
2016/10/25,25435
2016/10/26,25744
2016/10/27,25668
2016/10/28,25684
2016/10/29,24677
2016/10/30,22820
2016/10/31,25237
2016/11/01,26487
2016/11/02,27377
2016/11/03,26431
2016/11/04,22113
2016/11/05,21761
2016/11/06,20762
2016/11/07,22871
2016/11/08,23240
2016/11/09,23896
2016/11/10,22655
2016/11/11,23260
2016/11/12,22976
2016/11/13,23916
2016/11/14,22792
2016/11/15,23018
2016/11/16,22261
2016/11/17,21976
2016/11/18,22191
2016/11/19,22059
2016/11/20,22319
2016/11/21,22267
2016/11/22,29281
2016/11/23,38634
2016/11/24,31220
2016/11/25,30839
2016/11/26,23855
2016/11/27,22074
2016/11/28,20937
2016/11/29,20854
2016/11/30,21269
2016/12/01,20634
2016/12/02,21521
2016/12/03,22360
2016/12/04,22448
2016/12/05,21982
2016/12/06,23498
2016/12/07,22226
2016/12/08,21384
2016/12/09,21413
2016/12/10,21144
2016/12/11,21178
2016/12/12,21594
2016/12/13,21101
2016/12/14,21776
2016/12/15,22784
2016/12/16,22833
2016/12/17,21858
2016/12/18,20392
2016/12/19,21684
2016/12/20,22973
2016/12/21,23423
2016/12/22,26476
2016/12/23,25447
2016/12/24,23346
2016/12/25,20566
2016/12/26,19463
2016/12/27,19609
2016/12/28,20403
2016/12/29,21353
2016/12/30,21489
2016/12/31,21954
2017/01/01,20633
2017/01/02,20704
2017/01/03,20875
2017/01/04,23879
2017/01/05,25869
2017/01/06,25887
2017/01/07,24501
2017/01/08,22954
2017/01/09,23575
2017/01/10,23403
2017/01/11,23721
2017/01/12,23824
2017/01/13,23172
2017/01/14,22088
2017/01/15,21621
2017/01/16,22851
2017/01/17,23680
2017/01/18,23272
2017/01/19,23035
2017/01/20,23565
2017/01/21,23270
2017/01/22,22877
2017/01/23,22651
2017/01/24,23332
2017/01/25,22846
2017/01/26,22527
2017/01/27,22202
2017/01/28,21957
2017/01/29,21580
2017/01/30,22079
2017/01/31,22252
2017/02/01,22683
2017/02/02,22983
2017/02/03,22849
2017/02/04,23350
2017/02/05,23965
2017/02/06,24015
2017/02/07,23819
2017/02/08,23965
2017/02/09,24132
2017/02/10,24737
2017/02/11,23743
2017/02/12,23555
2017/02/13,25379
2017/02/14,26985
2017/02/15,27881
2017/02/16,27304
2017/02/17,26673
2017/02/18,26854
2017/02/19,26137
2017/02/20,26587
2017/02/21,26654
2017/02/22,26605
2017/02/23,26139
2017/02/24,27552
2017/02/25,27654
2017/02/26,27633
2017/02/27,28419
2017/02/28,31510
2017/03/01,33813
2017/03/02,39185
2017/03/03,39605
2017/03/04,37485
2017/03/05,34642
2017/03/06,34470
2017/03/07,33405
2017/03/08,33056
2017/03/09,34804
2017/03/10,35942
2017/03/11,36986
2017/03/12,38862
2017/03/13,46479
2017/03/14,47605
2017/03/15,48380
2017/03/16,57831
2017/03/17,64186
2017/03/18,61200
2017/03/19,53621
2017/03/20,49948
2017/03/21,49342
2017/03/22,48067
2017/03/23,46934
2017/03/24,50534
2017/03/25,51356
2017/03/26,48779
2017/03/27,48846
2017/03/28,48790
2017/03/29,49873
2017/03/30,55127
2017/03/31,62283
2017/04/01,56115
2017/04/02,54067
2017/04/03,58367
2017/04/04,57346
2017/04/05,55310
2017/04/06,58126
2017/04/07,54437
2017/04/08,48594
2017/04/09,43609
2017/04/10,44338
2017/04/11,44983
2017/04/12,47058
2017/04/13,49257
2017/04/14,49663
2017/04/15,47764
2017/04/16,43342
2017/04/17,42363
2017/04/18,46314
2017/04/19,49537
2017/04/20,52650
2017/04/21,49452
2017/04/22,46384
2017/04/23,45237
2017/04/24,48181
2017/04/25,49569
2017/04/26,53709
2017/04/27,62343
2017/04/28,64068
2017/04/29,61516
2017/04/30,60372
2017/05/01,65840
2017/05/02,68202
2017/05/03,65339
2017/05/04,70383
2017/05/05,73525
2017/05/06,69647
2017/05/07,69732
2017/05/08,76155
2017/05/09,78365
2017/05/10,76462
2017/05/11,77155
2017/05/12,73890
2017/05/13,67662
2017/05/14,65896
2017/05/15,71523
2017/05/16,75718
2017/05/17,74537
2017/05/18,81853
2017/05/19,96531
2017/05/20,91242
2017/05/21,90197
2017/05/22,100094
2017/05/23,113727
2017/05/24,119915
2017/05/25,120934
2017/05/26,116629
2017/05/27,105481
2017/05/28,97298
2017/05/29,97274
2017/05/30,104570
2017/05/31,114906
2017/06/01,128512
2017/06/02,124856
2017/06/03,120024
2017/06/04,116786
2017/06/05,121543
2017/06/06,130628
2017/06/07,133511
2017/06/08,129957
2017/06/09,135607
2017/06/10,143367
2017/06/11,157709
2017/06/12,186761
2017/06/13,199256
2017/06/14,193279
2017/06/15,188557
2017/06/16,177238
2017/06/17,169657
2017/06/18,167941
2017/06/19,179969
2017/06/20,187817
2017/06/21,174244
2017/06/22,187620
2017/06/23,196447
2017/06/24,192304
2017/06/25,171917
2017/06/26,200808
2017/06/27,196397
2017/06/28,194655
2017/06/29,184681
2017/06/30,181178
2017/07/01,175029
2017/07/02,172969
2017/07/03,186725
2017/07/04,192604
2017/07/05,187966
2017/07/06,180612
2017/07/07,190660
2017/07/08,177254
2017/07/09,162393
2017/07/10,176951
2017/07/11,188582
2017/07/12,191358
2017/07/13,176367
2017/07/14,167802
2017/07/15,160301
2017/07/16,160685
2017/07/17,162649
2017/07/18,171113
2017/07/19,177115
2017/07/20,177076
2017/07/21,170427
2017/07/22,154049
2017/07/23,165893
2017/07/24,168979
2017/07/25,168118
2017/07/26,157712
2017/07/27,156341
2017/07/28,160248
2017/07/29,150834
2017/07/30,147787
2017/07/31,165288
2017/08/01,162209
2017/08/02,161528
2017/08/03,156951
2017/08/04,165858
2017/08/05,170860
2017/08/06,172457
2017/08/07,178966
2017/08/08,198044
2017/08/09,198611
2017/08/10,213039
2017/08/11,222565
2017/08/12,221772
2017/08/13,215383
2017/08/14,242483
2017/08/15,259519
2017/08/16,268365
2017/08/17,271593
2017/08/18,280896
2017/08/19,260111
2017/08/20,226938
2017/08/21,232056
2017/08/22,230201
2017/08/23,241885
2017/08/24,233818
2017/08/25,235399
2017/08/26,211875
2017/08/27,202304
2017/08/28,213610
2017/08/29,240583
2017/08/30,259145
2017/08/31,270172
2017/09/01,266000
2017/09/02,243465
2017/09/03,216642
2017/09/04,253258
2017/09/05,278550
2017/09/06,301695
2017/09/07,287630
2017/09/08,282150
2017/09/09,260797
2017/09/10,232925
2017/09/11,231451
2017/09/12,255732
2017/09/13,255032
2017/09/14,261224
2017/09/15,283158
2017/09/16,262710
2017/09/17,223897
2017/09/18,228020
2017/09/19,229800
2017/09/20,227104
2017/09/21,215097
2017/09/22,194438
2017/09/23,179327
2017/09/24,177212
2017/09/25,189173
2017/09/26,192863
2017/09/27,196609
2017/09/28,204852
2017/09/29,212989
2017/09/30,203089
2017/10/01,187737
2017/10/02,190851
2017/10/03,200559
2017/10/04,198757
2017/10/05,197196
2017/10/06,195329
2017/10/07,190003
2017/10/08,188476
2017/10/09,193125
2017/10/10,213538
2017/10/11,221436
2017/10/12,225788
2017/10/13,240625
2017/10/14,229773
2017/10/15,215610
2017/10/16,206907
2017/10/17,234038
2017/10/18,239963
2017/10/19,236154
2017/10/20,240058
2017/10/21,240695
2017/10/22,248638
2017/10/23,249354
2017/10/24,253256
2017/10/25,242191
2017/10/26,239633
2017/10/27,237054
2017/10/28,119030
2017/10/29,39505
2017/10/30,0
2017/10/31,134250
2017/11/01,231425
2017/11/02,298944
2017/11/03,287707
2017/11/04,248665
2017/11/05,219052
2017/11/06,228037
2017/11/07,241791
2017/11/08,260456
2017/11/09,271551
2017/11/10,275552
2017/11/11,255634
2017/11/12,261413
2017/11/13,261627
2017/11/14,277121
2017/11/15,305574
2017/11/16,304961
2017/11/17,309108
2017/11/18,288593
2017/11/19,281101
2017/11/20,295607
2017/11/21,312456
2017/11/22,323862
2017/11/23,326456
2017/11/24,322300
2017/11/25,316955
2017/11/26,315731
2017/11/27,349926
2017/11/28,383977
2017/11/29,421645
2017/11/30,425829
2017/12/01,405546
2017/12/02,393274
2017/12/03,407383
2017/12/04,423270
2017/12/05,425694
2017/12/06,509603
2017/12/07,471809
2017/12/08,468574
2017/12/09,443173
2017/12/10,434545
2017/12/11,472858
2017/12/12,531428
2017/12/13,591412
2017/12/14,640635
2017/12/15,634060
2017/12/16,613066
2017/12/17,596870
2017/12/18,647329
2017/12/19,730561
2017/12/20,760860
2017/12/21,798673
2017/12/22,820171
2017/12/23,743919
2017/12/24,612137
2017/12/25,535424
2017/12/26,541899
