Date,fee_to_reward30emaUSD
2016/10/16,0.173
2016/10/17,0.175
2016/10/18,0.182
2016/10/19,0.187
2016/10/20,0.185
2016/10/21,0.181
2016/10/22,0.175
2016/10/23,0.169
2016/10/24,0.167
2016/10/25,0.165
2016/10/26,0.161
2016/10/27,0.158
2016/10/28,0.155
2016/10/29,0.151
2016/10/30,0.148
2016/10/31,0.145
2016/11/01,0.144
2016/11/02,0.14
2016/11/03,0.137
2016/11/04,0.133
2016/11/05,0.129
2016/11/06,0.126
2016/11/07,0.123
2016/11/08,0.121
2016/11/09,0.12
2016/11/10,0.12
2016/11/11,0.121
2016/11/12,0.119
2016/11/13,0.118
2016/11/14,0.118
2016/11/15,0.118
2016/11/16,0.117
2016/11/17,0.116
2016/11/18,0.115
2016/11/19,0.113
2016/11/20,0.112
2016/11/21,0.112
2016/11/22,0.112
2016/11/23,0.12
2016/11/24,0.124
2016/11/25,0.127
2016/11/26,0.132
2016/11/27,0.144
2016/11/28,0.157
2016/11/29,0.166
2016/11/30,0.162
2016/12/01,0.157
2016/12/02,0.152
2016/12/03,0.148
2016/12/04,0.143
2016/12/05,0.14
2016/12/06,0.138
2016/12/07,0.136
2016/12/08,0.134
2016/12/09,0.132
2016/12/10,0.129
2016/12/11,0.128
2016/12/12,0.126
2016/12/13,0.124
2016/12/14,0.123
2016/12/15,0.122
2016/12/16,0.12
2016/12/17,0.119
2016/12/18,0.117
2016/12/19,0.116
2016/12/20,0.118
2016/12/21,0.121
2016/12/22,0.121
2016/12/23,0.119
2016/12/24,0.117
2016/12/25,0.114
2016/12/26,0.111
2016/12/27,0.111
2016/12/28,0.11
2016/12/29,0.111
2016/12/30,0.113
2016/12/31,0.111
2017/01/01,0.109
2017/01/02,0.108
2017/01/03,0.109
2017/01/04,0.11
2017/01/05,0.109
2017/01/06,0.109
2017/01/07,0.108
2017/01/08,0.107
2017/01/09,0.107
2017/01/10,0.108
2017/01/11,0.108
2017/01/12,0.109
2017/01/13,0.109
2017/01/14,0.107
2017/01/15,0.107
2017/01/16,0.106
2017/01/17,0.107
2017/01/18,0.107
2017/01/19,0.106
2017/01/20,0.106
2017/01/21,0.106
2017/01/22,0.106
2017/01/23,0.106
2017/01/24,0.107
2017/01/25,0.108
2017/01/26,0.108
2017/01/27,0.109
2017/01/28,0.108
2017/01/29,0.107
2017/01/30,0.107
2017/01/31,0.106
2017/02/01,0.107
2017/02/02,0.107
2017/02/03,0.107
2017/02/04,0.107
2017/02/05,0.107
2017/02/06,0.107
2017/02/07,0.11
2017/02/08,0.111
2017/02/09,0.112
2017/02/10,0.114
2017/02/11,0.114
2017/02/12,0.115
2017/02/13,0.12
2017/02/14,0.122
2017/02/15,0.127
2017/02/16,0.127
2017/02/17,0.126
2017/02/18,0.127
2017/02/19,0.126
2017/02/20,0.126
2017/02/21,0.129
2017/02/22,0.131
2017/02/23,0.132
2017/02/24,0.131
2017/02/25,0.132
2017/02/26,0.131
2017/02/27,0.132
2017/02/28,0.133
2017/03/01,0.135
2017/03/02,0.137
2017/03/03,0.138
2017/03/04,0.138
2017/03/05,0.137
2017/03/06,0.137
2017/03/07,0.137
2017/03/08,0.136
2017/03/09,0.138
2017/03/10,0.14
2017/03/11,0.14
2017/03/12,0.141
2017/03/13,0.147
2017/03/14,0.153
2017/03/15,0.156
2017/03/16,0.163
2017/03/17,0.169
2017/03/18,0.17
2017/03/19,0.171
2017/03/20,0.171
2017/03/21,0.173
2017/03/22,0.174
2017/03/23,0.175
2017/03/24,0.177
2017/03/25,0.178
2017/03/26,0.178
2017/03/27,0.182
2017/03/28,0.184
2017/03/29,0.186
2017/03/30,0.188
2017/03/31,0.192
2017/04/01,0.191
2017/04/02,0.192
2017/04/03,0.195
2017/04/04,0.196
2017/04/05,0.197
2017/04/06,0.199
2017/04/07,0.201
2017/04/08,0.198
2017/04/09,0.198
2017/04/10,0.198
2017/04/11,0.197
2017/04/12,0.201
2017/04/13,0.201
2017/04/14,0.201
2017/04/15,0.2
2017/04/16,0.199
2017/04/17,0.198
2017/04/18,0.2
2017/04/19,0.204
2017/04/20,0.206
2017/04/21,0.212
2017/04/22,0.214
2017/04/23,0.213
2017/04/24,0.215
2017/04/25,0.217
2017/04/26,0.219
2017/04/27,0.224
2017/04/28,0.226
2017/04/29,0.226
