Date,sentbyaddress3wma
2016/01/01,1584
2016/01/02,1607
2016/01/03,1605
2016/01/04,1624
2016/01/05,1628
2016/01/06,1654
2016/01/07,1695
2016/01/08,1679
2016/01/09,1679
2016/01/10,1757
2016/01/11,1831
2016/01/12,1930
2016/01/13,1864
2016/01/14,1787
2016/01/15,1855
2016/01/16,1716
2016/01/17,1560
2016/01/18,1568
2016/01/19,1567
2016/01/20,1811
2016/01/21,1709
2016/01/22,1654
2016/01/23,1730
2016/01/24,1949
2016/01/25,2130
2016/01/26,2269
2016/01/27,2194
2016/01/28,2130
2016/01/29,2054
2016/01/30,2018
2016/01/31,2051
2016/02/01,2064
2016/02/02,2043
2016/02/03,2028
2016/02/04,2006
2016/02/05,2025
2016/02/06,1988
2016/02/07,2062
2016/02/08,2198
2016/02/09,2369
2016/02/10,2845
2016/02/11,3197
2016/02/12,3326
2016/02/13,3202
2016/02/14,2901
2016/02/15,2779
2016/02/16,2738
2016/02/17,2726
2016/02/18,2721
2016/02/19,2685
2016/02/20,2602
2016/02/21,3017
2016/02/22,3093
2016/02/23,3083
2016/02/24,2944
2016/02/25,3101
2016/02/26,3072
2016/02/27,3079
2016/02/28,3225
2016/02/29,3655
2016/03/01,4067
2016/03/02,4357
2016/03/03,4627
2016/03/04,4778
2016/03/05,5297
2016/03/06,5408
2016/03/07,4992
2016/03/08,5076
2016/03/09,5008
2016/03/10,5271
2016/03/11,5235
2016/03/12,5195
2016/03/13,5085
2016/03/14,5052
2016/03/15,4952
2016/03/16,4737
2016/03/17,4834
2016/03/18,5109
2016/03/19,4842
2016/03/20,4659
2016/03/21,4809
2016/03/22,4708
2016/03/23,4643
2016/03/24,4503
2016/03/25,4384
2016/03/26,4213
2016/03/27,4416
2016/03/28,4628
2016/03/29,5383
2016/03/30,5863
2016/03/31,5472
2016/04/01,4942
2016/04/02,4522
2016/04/03,4377
2016/04/04,4631
2016/04/05,4852
2016/04/06,4951
2016/04/07,4880
2016/04/08,4751
2016/04/09,4823
2016/04/10,5121
2016/04/11,5012
2016/04/12,5014
2016/04/13,5184
2016/04/14,5158
2016/04/15,4879
2016/04/16,4629
2016/04/17,4818
2016/04/18,4968
2016/04/19,4980
2016/04/20,4987
2016/04/21,4980
2016/04/22,5038
2016/04/23,4977
2016/04/24,5010
2016/04/25,5150
2016/04/26,5308
2016/04/27,5361
2016/04/28,5249
2016/04/29,6388
2016/04/30,7433
2016/05/01,7466
2016/05/02,7706
2016/05/03,7515
2016/05/04,7222
2016/05/05,6991
2016/05/06,6946
2016/05/07,6806
2016/05/08,6932
2016/05/09,7193
2016/05/10,7438
2016/05/11,8113
2016/05/12,8603
2016/05/13,9633
2016/05/14,9559
2016/05/15,8762
2016/05/16,8008
2016/05/17,8030
2016/05/18,8506
2016/05/19,8945
2016/05/20,8847
2016/05/21,8271
2016/05/22,7478
2016/05/23,8124
2016/05/24,8478
2016/05/25,8572
2016/05/26,11994
2016/05/27,11663
2016/05/28,13949
2016/05/29,11374
2016/05/30,9846
2016/05/31,8818
2016/06/01,8568
2016/06/02,8135
2016/06/03,7856
2016/06/04,7458
2016/06/05,7249
2016/06/06,7393
2016/06/07,7712
2016/06/08,7883
2016/06/09,7722
2016/06/10,7688
2016/06/11,7258
2016/06/12,7590
2016/06/13,8744
2016/06/14,9634
2016/06/15,9338
2016/06/16,9315
2016/06/17,11629
2016/06/18,12548
2016/06/19,11425
2016/06/20,9864
2016/06/21,9418
2016/06/22,9903
2016/06/23,9303
2016/06/24,8603
2016/06/25,7822
2016/06/26,7477
2016/06/27,7434
2016/06/28,8031
2016/06/29,8305
2016/06/30,8007
2016/07/01,7753
2016/07/02,7736
2016/07/03,7801
2016/07/04,8074
2016/07/05,8332
2016/07/06,8322
2016/07/07,8230
2016/07/08,8160
2016/07/09,8011
2016/07/10,7712
2016/07/11,7720
2016/07/12,7785
2016/07/13,7747
2016/07/14,7958
2016/07/15,8054
2016/07/16,7538
2016/07/17,6862
2016/07/18,6972
2016/07/19,12309
2016/07/20,12456
2016/07/21,11379
2016/07/22,10383
2016/07/23,10027
2016/07/24,12272
2016/07/25,12353
2016/07/26,15125
2016/07/27,14719
2016/07/28,13776
2016/07/29,11679
2016/07/30,9992
2016/07/31,9673
2016/08/01,10006
2016/08/02,11516
2016/08/03,11315
2016/08/04,10767
2016/08/05,9604
