Date,transactions7wma
2016/01/01,13045
2016/01/02,11886
2016/01/03,10805
2016/01/04,10229
2016/01/05,11495
2016/01/06,12741
2016/01/07,15405
2016/01/08,14860
2016/01/09,14437
2016/01/10,13552
2016/01/11,12772
2016/01/12,11934
2016/01/13,12995
2016/01/14,12282
2016/01/15,11783
2016/01/16,11518
2016/01/17,11065
2016/01/18,11424
2016/01/19,11837
2016/01/20,11455
2016/01/21,11357
2016/01/22,12035
2016/01/23,11865
2016/01/24,12125
2016/01/25,13357
2016/01/26,14286
2016/01/27,15664
2016/01/28,16256
2016/01/29,16540
2016/01/30,16299
2016/01/31,15805
2016/02/01,15271
2016/02/02,14863
2016/02/03,14531
2016/02/04,14382
2016/02/05,14539
2016/02/06,18779
2016/02/07,18132
2016/02/08,17595
2016/02/09,17239
2016/02/10,17245
2016/02/11,18224
2016/02/12,18117
2016/02/13,18213
2016/02/14,18065
2016/02/15,17966
2016/02/16,17878
2016/02/17,18327
2016/02/18,17919
2016/02/19,18032
2016/02/20,17709
2016/02/21,17581
2016/02/22,17704
2016/02/23,17862
2016/02/24,18251
2016/02/25,18647
2016/02/26,19344
2016/02/27,19425
2016/02/28,19445
2016/02/29,19719
2016/03/01,20271
2016/03/02,21151
2016/03/03,22206
2016/03/04,22933
2016/03/05,24253
2016/03/06,25418
2016/03/07,25179
2016/03/08,25044
2016/03/09,24939
2016/03/10,24862
2016/03/11,24365
2016/03/12,25099
2016/03/13,25866
2016/03/14,26716
2016/03/15,27565
2016/03/16,27810
2016/03/17,29430
2016/03/18,30312
2016/03/19,31622
2016/03/20,32103
2016/03/21,32446
2016/03/22,32742
2016/03/23,32632
2016/03/24,33663
2016/03/25,34525
2016/03/26,35183
2016/03/27,34105
2016/03/28,34026
2016/03/29,33982
2016/03/30,34615
2016/03/31,33944
2016/04/01,33704
2016/04/02,32598
2016/04/03,31809
2016/04/04,32363
2016/04/05,33938
2016/04/06,33552
2016/04/07,33286
2016/04/08,33563
2016/04/09,33294
2016/04/10,33011
2016/04/11,32156
2016/04/12,32552
2016/04/13,33452
2016/04/14,33893
2016/04/15,34276
2016/04/16,33506
2016/04/17,35217
2016/04/18,34971
2016/04/19,34388
2016/04/20,33959
2016/04/21,34701
2016/04/22,33981
2016/04/23,33420
2016/04/24,33361
2016/04/25,33867
2016/04/26,33593
2016/04/27,33637
2016/04/28,33772
2016/04/29,34756
2016/04/30,37648
2016/05/01,38494
2016/05/02,39685
2016/05/03,39669
2016/05/04,39381
2016/05/05,39270
2016/05/06,39643
2016/05/07,38524
2016/05/08,38809
2016/05/09,38700
2016/05/10,39237
2016/05/11,39703
2016/05/12,41097
2016/05/13,42952
2016/05/14,44076
2016/05/15,44180
2016/05/16,42764
2016/05/17,42110
2016/05/18,42900
2016/05/19,43127
2016/05/20,43534
2016/05/21,43643
2016/05/22,42647
2016/05/23,43027
2016/05/24,42957
2016/05/25,43676
2016/05/26,45556
2016/05/27,46665
2016/05/28,52922
2016/05/29,52168
2016/05/30,50423
2016/05/31,49074
2016/06/01,47131
2016/06/02,44700
2016/06/03,42721
2016/06/04,40580
2016/06/05,39597
2016/06/06,39165
2016/06/07,40670
2016/06/08,40686
2016/06/09,40621
2016/06/10,40622
2016/06/11,39800
2016/06/12,40434
2016/06/13,41801
2016/06/14,43948
2016/06/15,44174
2016/06/16,44334
2016/06/17,50160
2016/06/18,54173
2016/06/19,54240
2016/06/20,53025
2016/06/21,51828
2016/06/22,51062
2016/06/23,48427
2016/06/24,46701
2016/06/25,43572
2016/06/26,42618
2016/06/27,41512
2016/06/28,41530
2016/06/29,43400
2016/06/30,48739
2016/07/01,47323
2016/07/02,45888
2016/07/03,44486
2016/07/04,43198
2016/07/05,41731
2016/07/06,40057
2016/07/07,39445
2016/07/08,40191
2016/07/09,40326
2016/07/10,40158
2016/07/11,39809
2016/07/12,40067
2016/07/13,39002
2016/07/14,39782
2016/07/15,40051
2016/07/16,39609
2016/07/17,38214
2016/07/18,38334
2016/07/19,39678
2016/07/20,42514
2016/07/21,43380
2016/07/22,45067
2016/07/23,45628
2016/07/24,49244
2016/07/25,51151
2016/07/26,54268
2016/07/27,54528
2016/07/28,53582
2016/07/29,52176
2016/07/30,49506
2016/07/31,48627
2016/08/01,47394
2016/08/02,47244
2016/08/03,47662
2016/08/04,47529
2016/08/05,46573
2016/08/06,45329
2016/08/07,44471
2016/08/08,43828
2016/08/09,44309
2016/08/10,44670
2016/08/11,45615
2016/08/12,45566
2016/08/13,44647
2016/08/14,43615
2016/08/15,43099
2016/08/16,44269
2016/08/17,44351
2016/08/18,45216
2016/08/19,44882
2016/08/20,44193
2016/08/21,43802
2016/08/22,43767
2016/08/23,44707
2016/08/24,45264
2016/08/25,46513
2016/08/26,47044
2016/08/27,47581
2016/08/28,46549
2016/08/29,46241
2016/08/30,46255
2016/08/31,46037
2016/09/01,46266
2016/09/02,48559
2016/09/03,47908
2016/09/04,48203
2016/09/05,46935
2016/09/06,47378
2016/09/07,47645
2016/09/08,49627
2016/09/09,50793
2016/09/10,49252
2016/09/11,47897
2016/09/12,47157
2016/09/13,45696
2016/09/14,47285
2016/09/15,48381
2016/09/16,50823
2016/09/17,50474
2016/09/18,47735
2016/09/19,45843
2016/09/20,47507
2016/09/21,46381
2016/09/22,47615
2016/09/23,44488
2016/09/24,44208
2016/09/25,42875
2016/09/26,42714
2016/09/27,43270
2016/09/28,43080
2016/09/29,42358
2016/09/30,40928
2016/10/01,43786
2016/10/02,45806
2016/10/03,46526
2016/10/04,49344
2016/10/05,48075
2016/10/06,45621
2016/10/07,45016
2016/10/08,42626
2016/10/09,42347
2016/10/10,42574
2016/10/11,41927
2016/10/12,39075
2016/10/13,37202
2016/10/14,37933
2016/10/15,36638
2016/10/16,35820
2016/10/17,36108
2016/10/18,40079
2016/10/19,40312
2016/10/20,41478
2016/10/21,45829
2016/10/22,44615
2016/10/23,42652
2016/10/24,44971
2016/10/25,45542
2016/10/26,45653
2016/10/27,45324
2016/10/28,44255
2016/10/29,43389
2016/10/30,42299
2016/10/31,42463
2016/11/01,43893
2016/11/02,43897
2016/11/03,43666
2016/11/04,41062
2016/11/05,40059
2016/11/06,38313
2016/11/07,38635
2016/11/08,38974
2016/11/09,39317
2016/11/10,39678
2016/11/11,40344
2016/11/12,40659
2016/11/13,41559
2016/11/14,42177
2016/11/15,43090
2016/11/16,42957
2016/11/17,42546
2016/11/18,42876
2016/11/19,41985
2016/11/20,41860
2016/11/21,41943
2016/11/22,44779
2016/11/23,49996
2016/11/24,47549
2016/11/25,50544
2016/11/26,48710
2016/11/27,47734
2016/11/28,47660
2016/11/29,47046
2016/11/30,44701
2016/12/01,42738
2016/12/02,41897
2016/12/03,41571
2016/12/04,40798
2016/12/05,40688
2016/12/06,42467
2016/12/07,42593
2016/12/08,42085
2016/12/09,41953
2016/12/10,41609
2016/12/11,40942
2016/12/12,40187
2016/12/13,41015
2016/12/14,42628
2016/12/15,43744
2016/12/16,44090
2016/12/17,43219
2016/12/18,41688
2016/12/19,42486
2016/12/20,42700
2016/12/21,44567
2016/12/22,47405
2016/12/23,47222
2016/12/24,45366
2016/12/25,43281
2016/12/26,40688
2016/12/27,40440
2016/12/28,40513
2016/12/29,41641
2016/12/30,42581
2016/12/31,42679
2017/01/01,42032
2017/01/02,41538
2017/01/03,42421
2017/01/04,44376
2017/01/05,45801
2017/01/06,45669
2017/01/07,45519
2017/01/08,45059
2017/01/09,45322
2017/01/10,45849
2017/01/11,45555
2017/01/12,46797
2017/01/13,48065
2017/01/14,46885
2017/01/15,45687
2017/01/16,45430
2017/01/17,45527
2017/01/18,45259
2017/01/19,44656
2017/01/20,44840
2017/01/21,44585
2017/01/22,45319
2017/01/23,45510
2017/01/24,46761
2017/01/25,46838
2017/01/26,47021
2017/01/27,47044
2017/01/28,46662
2017/01/29,45543
2017/01/30,45314
2017/01/31,44681
2017/02/01,44512
2017/02/02,44197
2017/02/03,43761
2017/02/04,44123
2017/02/05,44760
2017/02/06,45443
2017/02/07,47198
2017/02/08,48465
2017/02/09,48694
2017/02/10,49861
2017/02/11,49276
2017/02/12,48339
2017/02/13,50114
2017/02/14,52156
2017/02/15,53223
2017/02/16,52728
2017/02/17,52102
2017/02/18,51574
2017/02/19,50652
2017/02/20,50107
2017/02/21,51842
2017/02/22,51556
2017/02/23,50754
2017/02/24,51646
2017/02/25,52162
2017/02/26,52158
2017/02/27,52261
2017/02/28,54185
2017/03/01,55916
2017/03/02,60063
2017/03/03,61761
2017/03/04,61710
2017/03/05,61031
2017/03/06,60159
2017/03/07,60523
2017/03/08,59003
2017/03/09,59861
2017/03/10,61166
2017/03/11,62360
2017/03/12,63800
2017/03/13,68664
2017/03/14,71505
2017/03/15,74838
2017/03/16,84436
2017/03/17,91573
2017/03/18,93049
2017/03/19,92298
2017/03/20,89821
2017/03/21,88406
2017/03/22,85365
2017/03/23,83314
2017/03/24,83580
2017/03/25,83674
2017/03/26,82751
2017/03/27,85763
2017/03/28,85714
2017/03/29,87842
2017/03/30,90248
2017/03/31,93885
2017/04/01,91343
2017/04/02,91030
2017/04/03,93200
2017/04/04,91682
2017/04/05,90378
2017/04/06,91217
2017/04/07,91510
2017/04/08,86994
2017/04/09,83383
2017/04/10,80517
2017/04/11,78637
2017/04/12,78241
2017/04/13,79041
2017/04/14,79495
2017/04/15,78782
2017/04/16,76926
2017/04/17,75689
2017/04/18,77247
2017/04/19,79147
2017/04/20,80784
2017/04/21,81331
2017/04/22,79938
2017/04/23,79475
2017/04/24,79646
2017/04/25,82657
2017/04/26,84474
2017/04/27,89863
2017/04/28,94998
2017/04/29,95528
2017/04/30,96389
2017/05/01,100853
2017/05/02,103723
2017/05/03,102720
2017/05/04,105828
2017/05/05,106975
2017/05/06,104663
2017/05/07,105125
2017/05/08,107897
2017/05/09,109337
2017/05/10,109869
2017/05/11,111839
2017/05/12,111240
2017/05/13,109209
2017/05/14,106957
2017/05/15,110254
2017/05/16,111749
2017/05/17,119072
2017/05/18,124625
2017/05/19,135495
2017/05/20,136762
2017/05/21,141669
2017/05/22,151487
