Date,price30emaUSD
2016/01/01,0.898
2016/01/02,0.902
2016/01/03,0.907
2016/01/04,0.912
2016/01/05,0.916
2016/01/06,0.919
2016/01/07,0.924
2016/01/08,0.929
2016/01/09,0.937
2016/01/10,0.947
2016/01/11,0.954
2016/01/12,0.968
2016/01/13,0.978
2016/01/14,0.989
2016/01/15,1.005
2016/01/16,1.02
2016/01/17,1.034
2016/01/18,1.059
2016/01/19,1.079
2016/01/20,1.104
2016/01/21,1.132
2016/01/22,1.157
2016/01/23,1.194
2016/01/24,1.255
2016/01/25,1.323
2016/01/26,1.404
2016/01/27,1.468
2016/01/28,1.534
2016/01/29,1.597
2016/01/30,1.657
2016/01/31,1.704
2016/02/01,1.737
2016/02/02,1.77
2016/02/03,1.812
2016/02/04,1.859
2016/02/05,1.902
2016/02/06,1.941
2016/02/07,1.99
2016/02/08,2.061
2016/02/09,2.154
2016/02/10,2.296
2016/02/11,2.467
2016/02/12,2.689
2016/02/13,2.837
2016/02/14,2.97
2016/02/15,3.131
2016/02/16,3.243
2016/02/17,3.298
2016/02/18,3.346
2016/02/19,3.42
2016/02/20,3.486
2016/02/21,3.547
2016/02/22,3.65
2016/02/23,3.781
2016/02/24,3.912
2016/02/25,4.064
2016/02/26,4.188
2016/02/27,4.32
2016/02/28,4.457
2016/02/29,4.583
2016/03/01,4.723
2016/03/02,4.933
2016/03/03,5.212
2016/03/04,5.473
2016/03/05,5.838
2016/03/06,6.178
2016/03/07,6.446
2016/03/08,6.65
2016/03/09,6.902
2016/03/10,7.208
2016/03/11,7.459
2016/03/12,7.81
2016/03/13,8.23
2016/03/14,8.568
2016/03/15,8.835
2016/03/16,9.118
2016/03/17,9.279
2016/03/18,9.339
2016/03/19,9.418
2016/03/20,9.47
2016/03/21,9.568
2016/03/22,9.699
2016/03/23,9.838
2016/03/24,9.938
2016/03/25,9.992
2016/03/26,10.047
2016/03/27,10.088
2016/03/28,10.159
2016/03/29,10.249
2016/03/30,10.349
2016/03/31,10.44
2016/04/01,10.515
2016/04/02,10.576
2016/04/03,10.635
2016/04/04,10.676
2016/04/05,10.679
2016/04/06,10.673
2016/04/07,10.654
2016/04/08,10.604
2016/04/09,10.54
2016/04/10,10.416
2016/04/11,10.291
2016/04/12,10.135
2016/04/13,9.984
2016/04/14,9.88
2016/04/15,9.779
2016/04/16,9.683
2016/04/17,9.654
2016/04/18,9.616
2016/04/19,9.579
2016/04/20,9.515
2016/04/21,9.447
2016/04/22,9.353
2016/04/23,9.266
2016/04/24,9.195
2016/04/25,9.105
2016/04/26,8.99
2016/04/27,8.9
2016/04/28,8.804
2016/04/29,8.718
2016/04/30,8.688
2016/05/01,8.689
2016/05/02,8.747
2016/05/03,8.803
2016/05/04,8.851
2016/05/05,8.896
2016/05/06,8.947
2016/05/07,8.971
2016/05/08,8.991
2016/05/09,9.019
2016/05/10,9.039
2016/05/11,9.081
2016/05/12,9.148
2016/05/13,9.24
2016/05/14,9.301
2016/05/15,9.355
2016/05/16,9.428
2016/05/17,9.576
2016/05/18,9.796
2016/05/19,10.062
2016/05/20,10.338
2016/05/21,10.549
2016/05/22,10.775
2016/05/23,10.987
2016/05/24,11.117
2016/05/25,11.2
2016/05/26,11.279
2016/05/27,11.281
2016/05/28,11.285
2016/05/29,11.335
2016/05/30,11.406
2016/05/31,11.526
2016/06/01,11.678
2016/06/02,11.816
2016/06/03,11.934
2016/06/04,12.043
2016/06/05,12.151
2016/06/06,12.26
2016/06/07,12.375
2016/06/08,12.51
2016/06/09,12.63
2016/06/10,12.721
2016/06/11,12.791
2016/06/12,12.913
2016/06/13,13.15
2016/06/14,13.473
2016/06/15,13.786
2016/06/16,14.152
2016/06/17,14.357
2016/06/18,14.261
2016/06/19,14.126
2016/06/20,13.97
2016/06/21,13.841
2016/06/22,13.863
2016/06/23,13.807
2016/06/24,13.81
2016/06/25,13.833
2016/06/26,13.839
2016/06/27,13.84
2016/06/28,13.791
2016/06/29,13.685
2016/06/30,13.604
2016/07/01,13.509
2016/07/02,13.411
2016/07/03,13.311
2016/07/04,13.196
2016/07/05,13.02
2016/07/06,12.862
2016/07/07,12.68
2016/07/08,12.534
2016/07/09,12.432
2016/07/10,12.33
2016/07/11,12.215
2016/07/12,12.106
2016/07/13,11.997
2016/07/14,11.937
2016/07/15,11.933
2016/07/16,11.922
2016/07/17,11.879
2016/07/18,11.844
2016/07/19,11.806
2016/07/20,11.824
2016/07/21,11.861
2016/07/22,11.964
2016/07/23,12.123
2016/07/24,12.203
2016/07/25,12.275
2016/07/26,12.311
2016/07/27,12.332
2016/07/28,12.357
2016/07/29,12.378
2016/07/30,12.395
2016/07/31,12.379
2016/08/01,12.327
2016/08/02,12.19
2016/08/03,12.022
2016/08/04,11.937
2016/08/05,11.872
2016/08/06,11.796
2016/08/07,11.739
2016/08/08,11.688
2016/08/09,11.686
2016/08/10,11.718
2016/08/11,11.726
2016/08/12,11.731
2016/08/13,11.727
2016/08/14,11.709
2016/08/15,11.674
2016/08/16,11.639
2016/08/17,11.597
2016/08/18,11.55
2016/08/19,11.498
2016/08/20,11.471
2016/08/21,11.446
2016/08/22,11.43
2016/08/23,11.407
2016/08/24,11.384
2016/08/25,11.37
2016/08/26,11.366
2016/08/27,11.357
2016/08/28,11.336
2016/08/29,11.312
2016/08/30,11.3
2016/08/31,11.302
2016/09/01,11.358
2016/09/02,11.403
2016/09/03,11.435
2016/09/04,11.451
2016/09/05,11.466
2016/09/06,11.473
2016/09/07,11.481
2016/09/08,11.479
2016/09/09,11.483
2016/09/10,11.495
2016/09/11,11.52
2016/09/12,11.537
2016/09/13,11.566
2016/09/14,11.59
2016/09/15,11.617
2016/09/16,11.655
2016/09/17,11.717
2016/09/18,11.786
2016/09/19,11.857
2016/09/20,11.975
2016/09/21,12.092
2016/09/22,12.159
2016/09/23,12.233
2016/09/24,12.284
2016/09/25,12.329
2016/09/26,12.366
2016/09/27,12.41
2016/09/28,12.464
2016/09/29,12.507
2016/09/30,12.55
2016/10/01,12.587
2016/10/02,12.625
2016/10/03,12.665
2016/10/04,12.71
2016/10/05,12.742
2016/10/06,12.751
2016/10/07,12.746
2016/10/08,12.715
2016/10/09,12.682
2016/10/10,12.626
2016/10/11,12.581
2016/10/12,12.532
2016/10/13,12.493
2016/10/14,12.457
2016/10/15,12.418
2016/10/16,12.387
2016/10/17,12.355
2016/10/18,12.361
2016/10/19,12.354
2016/10/20,12.336
2016/10/21,12.318
2016/10/22,12.301
2016/10/23,12.281
2016/10/24,12.259
2016/10/25,12.211
2016/10/26,12.165
2016/10/27,12.116
2016/10/28,12.06
2016/10/29,11.969
2016/10/30,11.883
2016/10/31,11.835
2016/11/01,11.759
2016/11/02,11.702
2016/11/03,11.65
2016/11/04,11.605
2016/11/05,11.569
2016/11/06,11.531
2016/11/07,11.489
2016/11/08,11.446
2016/11/09,11.391
2016/11/10,11.337
2016/11/11,11.275
2016/11/12,11.2
2016/11/13,11.127
2016/11/14,11.055
2016/11/15,10.99
2016/11/16,10.935
2016/11/17,10.873
2016/11/18,10.795
2016/11/19,10.719
2016/11/20,10.644
2016/11/21,10.574
2016/11/22,10.529
2016/11/23,10.482
2016/11/24,10.418
2016/11/25,10.35
2016/11/26,10.284
2016/11/27,10.206
2016/11/28,10.114
2016/11/29,9.991
2016/11/30,9.889
2016/12/01,9.795
2016/12/02,9.676
2016/12/03,9.559
2016/12/04,9.436
2016/12/05,9.294
2016/12/06,9.134
2016/12/07,9.044
2016/12/08,9.007
2016/12/09,8.965
2016/12/10,8.92
2016/12/11,8.872
2016/12/12,8.837
2016/12/13,8.807
2016/12/14,8.777
2016/12/15,8.724
2016/12/16,8.665
2016/12/17,8.598
2016/12/18,8.547
2016/12/19,8.494
2016/12/20,8.436
2016/12/21,8.39
2016/12/22,8.339
2016/12/23,8.274
2016/12/24,8.207
2016/12/25,8.141
2016/12/26,8.081
2016/12/27,8.022
2016/12/28,7.968
2016/12/29,7.976
2016/12/30,7.992
2016/12/31,7.992
2017/01/01,8.008
2017/01/02,8.019
2017/01/03,8.07
2017/01/04,8.223
2017/01/05,8.368
2017/01/06,8.474
2017/01/07,8.558
2017/01/08,8.65
2017/01/09,8.765
2017/01/10,8.87
2017/01/11,8.945
2017/01/12,8.981
2017/01/13,9.02
2017/01/14,9.058
2017/01/15,9.101
2017/01/16,9.134
