Date,transactionvalue14trxUSD
2016/01/01,-2.843
2016/01/02,-2.623
2016/01/03,-2.299
2016/01/04,-2.091
2016/01/05,-1.607
2016/01/06,-1.321
2016/01/07,-1.175
2016/01/08,-1.114
2016/01/09,-1.101
2016/01/10,-1.154
2016/01/11,-0.958
2016/01/12,-0.095
2016/01/13,0.475
2016/01/14,0.887
2016/01/15,1.879
2016/01/16,2.712
2016/01/17,3.208
2016/01/18,5.044
2016/01/19,6.484
2016/01/20,7.169
2016/01/21,7.246
2016/01/22,7.147
2016/01/23,7.381
2016/01/24,8.447
2016/01/25,9.531
2016/01/26,10.092
2016/01/27,9.941
2016/01/28,9.332
2016/01/29,8.504
2016/01/30,7.733
2016/01/31,7.064
2016/02/01,6.226
2016/02/02,5.358
2016/02/03,4.546
2016/02/04,3.699
2016/02/05,2.963
2016/02/06,2.159
2016/02/07,1.675
2016/02/08,1.698
2016/02/09,2.109
2016/02/10,2.999
2016/02/11,3.931
2016/02/12,5.288
2016/02/13,6.068
2016/02/14,6.303
2016/02/15,6.13
2016/02/16,5.919
2016/02/17,5.385
2016/02/18,4.857
2016/02/19,4.166
2016/02/20,3.665
2016/02/21,3.062
2016/02/22,2.55
2016/02/23,2.394
2016/02/24,2.608
2016/02/25,2.668
2016/02/26,3.495
2016/02/27,4.251
2016/02/28,4.442
2016/02/29,4.242
2016/03/01,3.984
2016/03/02,4.387
2016/03/03,4.742
2016/03/04,4.852
2016/03/05,5.236
2016/03/06,5.329
2016/03/07,5.232
2016/03/08,5.142
2016/03/09,4.813
2016/03/10,4.314
2016/03/11,3.773
2016/03/12,3.371
2016/03/13,3.217
2016/03/14,3.084
2016/03/15,2.86
2016/03/16,2.576
2016/03/17,2.299
2016/03/18,2.103
2016/03/19,1.737
2016/03/20,1.256
2016/03/21,0.781
2016/03/22,0.306
2016/03/23,-0.162
2016/03/24,-0.572
2016/03/25,-0.983
2016/03/26,-1.408
2016/03/27,-1.688
2016/03/28,-1.926
2016/03/29,-2.046
2016/03/30,-2.077
2016/03/31,-2.094
2016/04/01,-2.19
2016/04/02,-2.329
2016/04/03,-2.523
2016/04/04,-2.72
2016/04/05,-2.885
2016/04/06,-3.017
2016/04/07,-3.095
2016/04/08,-3.173
2016/04/09,-3.105
2016/04/10,-2.975
2016/04/11,-2.889
2016/04/12,-2.787
2016/04/13,-2.672
2016/04/14,-2.561
2016/04/15,-2.515
2016/04/16,-2.529
2016/04/17,-2.53
2016/04/18,-2.531
2016/04/19,-2.575
2016/04/20,-2.595
2016/04/21,-2.65
2016/04/22,-2.655
2016/04/23,-2.564
2016/04/24,-2.55
2016/04/25,-2.527
2016/04/26,-2.397
2016/04/27,-2.273
2016/04/28,-2.16
2016/04/29,-2.105
2016/04/30,-1.707
2016/05/01,-1.187
2016/05/02,-0.547
2016/05/03,0.053
2016/05/04,0.505
2016/05/05,0.826
2016/05/06,1.259
2016/05/07,1.642
2016/05/08,1.894
2016/05/09,2.211
2016/05/10,2.513
2016/05/11,3.016
2016/05/12,3.592
2016/05/13,5.104
2016/05/14,6.528
2016/05/15,6.899
2016/05/16,6.688
2016/05/17,6.142
2016/05/18,5.533
2016/05/19,5.119
2016/05/20,4.751
2016/05/21,4.183
2016/05/22,3.496
2016/05/23,2.864
2016/05/24,2.362
2016/05/25,1.922
2016/05/26,1.465
2016/05/27,1.161
2016/05/28,0.846
2016/05/29,0.492
2016/05/30,0.145
2016/05/31,-0.179
2016/06/01,-0.495
2016/06/02,-0.834
2016/06/03,-1.154
2016/06/04,-1.473
2016/06/05,-1.779
2016/06/06,-2.062
2016/06/07,-2.251
2016/06/08,-2.118
2016/06/09,-2.084
2016/06/10,-2.036
2016/06/11,-2.042
2016/06/12,-1.98
2016/06/13,-1.84
2016/06/14,-1.598
2016/06/15,-1.364
2016/06/16,-0.972
2016/06/17,-0.223
2016/06/18,0.697
2016/06/19,1.283
2016/06/20,1.745
2016/06/21,1.97
2016/06/22,2.118
2016/06/23,2.171
2016/06/24,2.04
2016/06/25,1.878
2016/06/26,1.553
2016/06/27,1.152
2016/06/28,0.854
