Date,difficulty7trx
2016/01/01,0.055
2016/01/02,-0.033
2016/01/03,-0.104
2016/01/04,-0.152
2016/01/05,-0.186
2016/01/06,-0.184
2016/01/07,-0.203
2016/01/08,-0.208
2016/01/09,-0.18
2016/01/10,-0.156
2016/01/11,-0.044
2016/01/12,0.099
2016/01/13,0.157
2016/01/14,0.213
2016/01/15,0.304
2016/01/16,0.429
2016/01/17,0.516
2016/01/18,0.635
2016/01/19,0.752
2016/01/20,0.814
2016/01/21,0.862
2016/01/22,0.936
2016/01/23,1.019
2016/01/24,1.088
2016/01/25,1.154
2016/01/26,1.236
2016/01/27,1.323
2016/01/28,1.313
2016/01/29,1.314
2016/01/30,1.294
2016/01/31,1.219
2016/02/01,1.148
2016/02/02,1.033
2016/02/03,0.93
2016/02/04,0.872
2016/02/05,0.838
2016/02/06,0.758
2016/02/07,0.687
2016/02/08,0.693
2016/02/09,0.674
2016/02/10,0.698
2016/02/11,0.772
2016/02/12,0.778
2016/02/13,0.82
2016/02/14,0.912
2016/02/15,1.047
2016/02/16,1.133
2016/02/17,1.169
2016/02/18,1.085
2016/02/19,1.012
2016/02/20,0.959
2016/02/21,0.926
2016/02/22,0.953
2016/02/23,1.029
2016/02/24,1.073
2016/02/25,1.073
2016/02/26,1.096
2016/02/27,1.169
2016/02/28,1.251
2016/02/29,1.324
2016/03/01,1.301
2016/03/02,1.283
2016/03/03,1.319
2016/03/04,1.409
2016/03/05,1.518
2016/03/06,1.685
2016/03/07,1.795
2016/03/08,1.866
2016/03/09,1.913
2016/03/10,1.922
2016/03/11,1.948
2016/03/12,2.037
2016/03/13,2.145
2016/03/14,2.192
2016/03/15,1.931
2016/03/16,1.582
2016/03/17,1.254
2016/03/18,0.991
2016/03/19,0.813
2016/03/20,0.752
2016/03/21,0.724
2016/03/22,0.726
2016/03/23,0.661
2016/03/24,0.655
2016/03/25,0.755
2016/03/26,0.915
2016/03/27,1.103
2016/03/28,1.235
2016/03/29,1.36
2016/03/30,1.462
2016/03/31,1.595
2016/04/01,1.677
2016/04/02,1.677
2016/04/03,1.672
2016/04/04,1.707
2016/04/05,1.753
2016/04/06,1.762
2016/04/07,1.649
2016/04/08,1.583
2016/04/09,1.567
2016/04/10,1.561
2016/04/11,1.528
2016/04/12,1.402
2016/04/13,1.311
2016/04/14,1.245
2016/04/15,1.227
2016/04/16,1.245
2016/04/17,1.213
2016/04/18,1.223
2016/04/19,1.258
2016/04/20,1.282
2016/04/21,1.317
2016/04/22,1.262
2016/04/23,1.222
2016/04/24,1.16
2016/04/25,1.129
2016/04/26,1.096
2016/04/27,1.026
2016/04/28,0.986
