Date,transactionvalue3momUSD
2016/01/01,18.639
2016/01/02,18.439
2016/01/03,3.181
2016/01/04,-24.343
2016/01/05,34.184
2016/01/06,-24.335
2016/01/07,-0.035
2016/01/08,-43.699
2016/01/09,4.046
2016/01/10,-0.987
2016/01/11,31.029
2016/01/12,88.239
2016/01/13,12.27
2016/01/14,-13.261
2016/01/15,11.576
2016/01/16,39.425
2016/01/17,11.441
2016/01/18,130.556
2016/01/19,60.422
2016/01/20,35.869
2016/01/21,-178.979
2016/01/22,-26.104
2016/01/23,97.832
2016/01/24,251.16
2016/01/25,186.551
2016/01/26,45.349
2016/01/27,-165.699
2016/01/28,-150.48
2016/01/29,-93.996
2016/01/30,14.404
2016/01/31,47.661
2016/02/01,-38.172
2016/02/02,-73.303
2016/02/03,-79.017
2016/02/04,-35.702
2016/02/05,-1.48
2016/02/06,-86.834
2016/02/07,111.007
2016/02/08,215.372
2016/02/09,333.956
2016/02/10,323.739
2016/02/11,102.895
2016/02/12,333.313
2016/02/13,-159.33
2016/02/14,-142.874
2016/02/15,-452.492
2016/02/16,26.755
2016/02/17,-116.296
2016/02/18,34.44
2016/02/19,-239.672
2016/02/20,162.117
2016/02/21,-144.453
2016/02/22,106.736
2016/02/23,159.902
2016/02/24,499.634
2016/02/25,69.435
2016/02/26,663.572
2016/02/27,89.136
2016/02/28,-33.381
2016/02/29,-915.769
2016/03/01,-308.267
2016/03/02,955.666
2016/03/03,556.826
2016/03/04,172.11
2016/03/05,-42.601
2016/03/06,-133.312
2016/03/07,80.483
2016/03/08,-321.513
2016/03/09,-163.867
2016/03/10,-254.627
2016/03/11,-403.664
2016/03/12,222.81
2016/03/13,607.971
2016/03/14,318.779
2016/03/15,-144.295
2016/03/16,-475.309
2016/03/17,-166.669
2016/03/18,193.168
2016/03/19,-293.867
2016/03/20,-428.283
2016/03/21,-454.71
2016/03/22,1.14
2016/03/23,38.471
2016/03/24,-6.761
2016/03/25,-79.275
2016/03/26,-115.064
2016/03/27,123.976
2016/03/28,101.535
2016/03/29,341.974
2016/03/30,20.133
2016/03/31,63.145
2016/04/01,-307.272
2016/04/02,-291.576
