Date,fee_to_reward3stdUSD
2016/01/01,0.188
2016/01/02,0.027
2016/01/03,0.009
2016/01/04,0.007
2016/01/05,0.127
2016/01/06,0.137
2016/01/07,0.023
2016/01/08,0.133
2016/01/09,0.117
2016/01/10,0.043
2016/01/11,0.042
2016/01/12,0.004
2016/01/13,0.116
2016/01/14,0.114
2016/01/15,0.12
2016/01/16,0.012
2016/01/17,0.02
2016/01/18,0.042
2016/01/19,0.059
2016/01/20,0.052
2016/01/21,0.056
2016/01/22,0.04
2016/01/23,0.042
2016/01/24,0.04
2016/01/25,0.074
2016/01/26,0.057
2016/01/27,0.063
2016/01/28,0.064
2016/01/29,0.062
2016/01/30,0.018
2016/01/31,0.01
2016/02/01,0.011
2016/02/02,0.014
2016/02/03,0.015
2016/02/04,0.016
2016/02/05,0.031
2016/02/06,0.309
2016/02/07,0.285
2016/02/08,0.289
2016/02/09,0.041
2016/02/10,0.067
2016/02/11,0.04
2016/02/12,0.075
2016/02/13,0.039
2016/02/14,0.023
2016/02/15,0.023
2016/02/16,0.016
2016/02/17,0.033
2016/02/18,0.036
2016/02/19,0.035
2016/02/20,0.03
2016/02/21,0.032
2016/02/22,0.017
2016/02/23,0.221
2016/02/24,0.189
2016/02/25,0.191
2016/02/26,0.068
2016/02/27,0.07
2016/02/28,0.074
2016/02/29,0.019
2016/03/01,0.017
2016/03/02,0.014
2016/03/03,0.013
2016/03/04,0.011
2016/03/05,0.006
2016/03/06,0.017
2016/03/07,0.025
2016/03/08,0.027
2016/03/09,0.017
2016/03/10,0.035
2016/03/11,0.024
2016/03/12,0.016
2016/03/13,0.018
2016/03/14,0.011
2016/03/15,0.023
2016/03/16,0.027
2016/03/17,0.02
2016/03/18,0.017
2016/03/19,0.041
2016/03/20,0.039
2016/03/21,0.028
2016/03/22,0.025
2016/03/23,0.019
2016/03/24,0.037
2016/03/25,0.022
2016/03/26,0.017
2016/03/27,0.054
2016/03/28,0.038
2016/03/29,0.019
2016/03/30,0.029
2016/03/31,0.031
2016/04/01,0.031
2016/04/02,0.018
2016/04/03,0.017
2016/04/04,0.019
2016/04/05,0.027
2016/04/06,0.017
2016/04/07,0.019
2016/04/08,0.009
2016/04/09,0.011
2016/04/10,0.015
2016/04/11,0.004
2016/04/12,0.011
2016/04/13,0.035
2016/04/14,0.026
2016/04/15,0.026
2016/04/16,0.036
2016/04/17,0.031
2016/04/18,0.032
2016/04/19,0.029
2016/04/20,0.012
2016/04/21,0.028
2016/04/22,0.025
2016/04/23,0.03
2016/04/24,0.008
2016/04/25,0.01
2016/04/26,0.004
2016/04/27,0.008
2016/04/28,0.006
2016/04/29,0.008
2016/04/30,0.026
2016/05/01,0.035
2016/05/02,0.026
2016/05/03,0.03
2016/05/04,0.002
2016/05/05,0.011
2016/05/06,0.019
2016/05/07,0.027
2016/05/08,0.027
2016/05/09,0.011
2016/05/10,0.006
2016/05/11,0.015
2016/05/12,0.027
2016/05/13,0.026
2016/05/14,0.017
2016/05/15,0.028
2016/05/16,0.019
2016/05/17,0.01
2016/05/18,0.019
