Date,activeaddresses
2016/11/15,23425
2016/11/16,21711
2016/11/17,21669
2016/11/18,22699
2016/11/19,21762
2016/11/20,22563
2016/11/21,22238
2016/11/22,36215
2016/11/23,45712
2016/11/24,19894
2016/11/25,33177
2016/11/26,18961
2016/11/27,20449
2016/11/28,21920
2016/11/29,20279
2016/11/30,21712
2016/12/01,20033
2016/12/02,22450
2016/12/03,23076
2016/12/04,22029
2016/12/05,21585
2016/12/06,25263
2016/12/07,20415
2016/12/08,20736
2016/12/09,22197
2016/12/10,20577
2016/12/11,21238
2016/12/12,22171
2016/12/13,20342
2016/12/14,22600
2016/12/15,23721
2016/12/16,22318
2016/12/17,20930
2016/12/18,19391
2016/12/19,23464
2016/12/20,23840
2016/12/21,23131
2016/12/22,29585
2016/12/23,23461
2016/12/24,21190
2016/12/25,19184
2016/12/26,19074
2016/12/27,20107
2016/12/28,21043
2016/12/29,21974
2016/12/30,21314
2016/12/31,22373
2017/01/01,19246
2017/01/02,21119
2017/01/03,21256
2017/01/04,26548
2017/01/05,26954
2017/01/06,24955
2017/01/07,23381
2017/01/08,22002
2017/01/09,24688
2017/01/10,23014
2017/01/11,23870
2017/01/12,24063
2017/01/13,22346
2017/01/14,21258
2017/01/15,21621
2017/01/16,24202
2017/01/17,24018
2017/01/18,22465
2017/01/19,23087
2017/01/20,24250
2017/01/21,22677
2017/01/22,22552
2017/01/23,22709
2017/01/24,24008
2017/01/25,22116
2017/01/26,22307
2017/01/27,22160
2017/01/28,21705
2017/01/29,21303
2017/01/30,22720
2017/01/31,22257
2017/02/01,22955
2017/02/02,23244
2017/02/03,22550
2017/02/04,23919
2017/02/05,24468
2017/02/06,23745
2017/02/07,23652
2017/02/08,24246
2017/02/09,24215
2017/02/10,25248
2017/02/11,22583
2017/02/12,23638
2017/02/13,27472
2017/02/14,27776
2017/02/15,28087
2017/02/16,26624
2017/02/17,26234
2017/02/18,27343
2017/02/19,25300
2017/02/20,27193
2017/02/21,26746
2017/02/22,26314
2017/02/23,25819
2017/02/24,29119
2017/02/25,27288
2017/02/26,27367
2017/02/27,29497
2017/02/28,34232
2017/03/01,34972
2017/03/02,43645
2017/03/03,38455
2017/03/04,34785
2017/03/05,33275
2017/03/06,35162
2017/03/07,32277
2017/03/08,32874
2017/03/09,36933
2017/03/10,36304
2017/03/11,37458
2017/03/12,40651
2017/03/13,53372
2017/03/14,46078
2017/03/15,48251
2017/03/16,68136
2017/03/17,66865
2017/03/18,55112
2017/03/19,48212
2017/03/20,49384
2017/03/21,49690
2017/03/22,46546
2017/03/23,46273
2017/03/24,54703
2017/03/25,50818
2017/03/26,45445
2017/03/27,50455
2017/03/28,48795
2017/03/29,50398
2017/03/30,60391
2017/03/31,67506
2017/04/01,47096
2017/04/02,54234
2017/04/03,64879
2017/04/04,53362
2017/04/05,53418
2017/04/06,62853
2017/04/07,49165
2017/04/08,43461
2017/04/09,41855
2017/04/10,46285
2017/04/11,45158
2017/04/12,48582
2017/04/13,51074
2017/04/14,49082
2017/04/15,45781
2017/04/16,39803
2017/04/17,42930
2017/04/18,50741
2017/04/19,50936
2017/04/20,54428
2017/04/21,45639
2017/04/22,44199
2017/04/23,45794
2017/04/24,51100
2017/04/25,49806
2017/04/26,57181
2017/04/27,69963
2017/04/28,62433
2017/04/29,58088
2017/04/30,61208
2017/05/01,71512
2017/05/02,68327
2017/05/03,61290
2017/05/04,77131
2017/05/05,75199
2017/05/06,63450
2017/05/07,72097
