Date,hashrate3var
2016/01/01,4.6181564975092E+19
2016/01/02,5.5134339222081E+19
2016/01/03,7.0850818204215E+19
2016/01/04,5.2180446027457E+19
2016/01/05,9.563853663387E+18
2016/01/06,2.0774816999853E+19
2016/01/07,1.3309274121173E+20
2016/01/08,1.4167801937856E+20
2016/01/09,1.3853238770787E+20
2016/01/10,3.9028106026671E+19
2016/01/11,9.4465730082444E+19
2016/01/12,1.105576512288E+20
2016/01/13,1.6675963454063E+20
2016/01/14,8.9881309155053E+19
2016/01/15,2.2833533474524E+20
2016/01/16,7.1221837382457E+19
2016/01/17,9207793511598915584
2016/01/18,9.7074722307161E+19
2016/01/19,9.5022573440626E+19
2016/01/20,7303643881185214464
2016/01/21,2998934256039755776
2016/01/22,1.3632614251396E+20
2016/01/23,1.4613071469987E+20
2016/01/24,3.7281143567729E+20
2016/01/25,2.9777151379867E+20
2016/01/26,3.9217149472128E+20
2016/01/27,4.3975030841083E+20
2016/01/28,7.2388754464475E+19
2016/01/29,5.3938883594176E+19
2016/01/30,6.5571755906407E+19
2016/01/31,1.1503709553828E+20
2016/02/01,1.8414721383565E+20
2016/02/02,2.2223957644927E+20
2016/02/03,3.9606914075312E+20
2016/02/04,4.8943148569362E+20
2016/02/05,3215234227234668544
2016/02/06,1.0958814268624E+20
2016/02/07,1.0674632640245E+20
2016/02/08,4.0486203485872E+20
2016/02/09,1.6856219618744E+20
2016/02/10,1.0634617407201E+20
2016/02/11,3.937842582749E+20
2016/02/12,1.7658076723694E+20
2016/02/13,3.4252837235915E+20
2016/02/14,5.6470419079503E+20
2016/02/15,1.4350365474745E+20
2016/02/16,6.7587980872512E+19
2016/02/17,1.1279678639219E+20
2016/02/18,2.495535633701E+20
2016/02/19,3.2201838855083E+20
2016/02/20,4.8751328289941E+20
2016/02/21,3.3477417008814E+19
2016/02/22,3.690077662031E+20
2016/02/23,3.2852925976891E+20
2016/02/24,3969008131689676800
2016/02/25,1.5045281318248E+19
2016/02/26,2.2001407027981E+20
2016/02/27,2.8609915900622E+20
2016/02/28,1.9528799214342E+20
2016/02/29,1.5209975284837E+20
2016/03/01,1.4850464390518E+20
2016/03/02,5.030832802035E+20
2016/03/03,5.5919537984626E+20
2016/03/04,3.2114464409672E+20
2016/03/05,9.089921370567E+20
2016/03/06,5.7579881720644E+20
2016/03/07,5.0654022386231E+19
2016/03/08,9.2308147009101E+19
2016/03/09,1.9174129987639E+20
2016/03/10,7.1391686771768E+20
2016/03/11,8.5977766640238E+20
2016/03/12,1.461115491684E+21
2016/03/13,3.2215367645501E+21
2016/03/14,9.5729881693741E+20
2016/03/15,4.8827380297665E+20
2016/03/16,9.8175212569582E+20
2016/03/17,9.2650846851051E+20
2016/03/18,3.8513481702604E+20
2016/03/19,7.7395488135687E+20
2016/03/20,1.6126122879633E+21
2016/03/21,1.7575553287467E+20
2016/03/22,2.3479577909247E+20
2016/03/23,9.9255397021264E+20
2016/03/24,2.3206174921327E+21
2016/03/25,5.8219957601151E+21
2016/03/26,2.2514633262543E+21
2016/03/27,7.9735879344394E+20
2016/03/28,1.9335753417751E+20
2016/03/29,6.5525018590412E+20
2016/03/30,1.8294257126592E+21
2016/03/31,1.6223449288399E+21
2016/04/01,1.0767204818309E+21
2016/04/02,6.839355775994E+20
2016/04/03,1.6701014080934E+21
2016/04/04,5.5491325456754E+21
2016/04/05,1.7330897524007E+21
2016/04/06,9.7378691827527E+19
2016/04/07,2.0491785864247E+21
2016/04/08,4.2879952742489E+21
2016/04/09,5.2950178890392E+21
2016/04/10,1.1291126051419E+21
2016/04/11,1.1463225040446E+21
2016/04/12,1.9251445149359E+21
2016/04/13,1.5785707891452E+21
2016/04/14,2.4050253605318E+21
2016/04/15,1.7594032216577E+21
2016/04/16,2.1977870738386E+21
2016/04/17,4.4911924895055E+20
2016/04/18,2.6526221178747E+21
2016/04/19,3.4725349179668E+21
2016/04/20,4.5982595584759E+20
2016/04/21,7.5383981877586E+20
2016/04/22,8.748904866452E+20
2016/04/23,1.6283944353922E+21
2016/04/24,1.5677790500331E+21
2016/04/25,2.3743912289177E+21
2016/04/26,2.2630334635088E+21
2016/04/27,8.9726336994893E+20
2016/04/28,9.0233927128629E+20
2016/04/29,1.736077060481E+21
2016/04/30,3.5529035988558E+21
2016/05/01,1.6842078623624E+21
2016/05/02,2.0940880692044E+21
2016/05/03,3.1099471403416E+21
2016/05/04,3.3590803721381E+21
2016/05/05,1.6056373370284E+20
2016/05/06,5.5198311177226E+19
2016/05/07,2.6352000812536E+19
2016/05/08,4.5388920737321E+20
2016/05/09,9.2655977834241E+20
2016/05/10,1.1926212172185E+21
2016/05/11,1.7518066735563E+21
2016/05/12,1.7753011287465E+21
2016/05/13,1.0027326990539E+22
2016/05/14,5.3725717682747E+21
2016/05/15,3.3971900156251E+20
2016/05/16,6.8267747494739E+19
2016/05/17,2.1903043288113E+19
2016/05/18,2.8629802408096E+21
2016/05/19,5.6475191154124E+21
2016/05/20,2.6869104573366E+21
2016/05/21,1.2636232860745E+21
2016/05/22,9.4329815147315E+19
2016/05/23,3.5290431450746E+19
2016/05/24,7.5025208805927E+20
2016/05/25,1.0502893968804E+21
2016/05/26,6.7958032852722E+20
2016/05/27,4.2360824781348E+20
2016/05/28,1.626803873347E+21
2016/05/29,1.849207482414E+21
2016/05/30,8.6825768662793E+19
2016/05/31,4.5296929901885E+20
2016/06/01,1.5684248773795E+21
2016/06/02,9.2939303665797E+20
2016/06/03,1.0472100330082E+22
2016/06/04,6.0894277921326E+21
2016/06/05,1.4288739544958E+21
2016/06/06,2.2676789081334E+21
2016/06/07,3.7035882648696E+21
2016/06/08,2.2589625395354E+20
2016/06/09,6.2920562099264E+21
2016/06/10,8.4231010855126E+21
2016/06/11,7.917739283548E+21
2016/06/12,4.7708841651675E+21
2016/06/13,4.8904225822256E+21
2016/06/14,5.2768233840257E+21
2016/06/15,2.3849016746073E+20
2016/06/16,2.2353933474871E+20
2016/06/17,4.2946725616518E+21
2016/06/18,3.3773425545973E+21
2016/06/19,1.8924462095313E+21
2016/06/20,1.383157774832E+21
2016/06/21,1.6467971684819E+21
2016/06/22,4.2969846913185E+21
2016/06/23,9.8217593242929E+21
2016/06/24,1.3141825099594E+21
2016/06/25,9.0368900181281E+19
2016/06/26,2.7782365752063E+21
2016/06/27,6.3767327802099E+21
2016/06/28,2.6612598799394E+21
2016/06/29,1.6930805582277E+21
2016/06/30,1.8596133731613E+21
2016/07/01,2.6621263686856E+21
2016/07/02,2.3420269250174E+21
2016/07/03,2.3931329390337E+21
2016/07/04,1.8929665011759E+21
2016/07/05,2.3276431819502E+19
2016/07/06,3128088270815100928
2016/07/07,4.6195058093339E+19
2016/07/08,1.016911219006E+20
2016/07/09,2.0902359650669E+20
2016/07/10,2.9071375056466E+20
2016/07/11,1.7243999882458E+21
2016/07/12,1.0489136171571E+21
