Date,size7mom
2016/01/01,-157.153
2016/01/02,-120.246
2016/01/03,-620.24
2016/01/04,-257.574
2016/01/05,196.153
2016/01/06,-11.405
2016/01/07,492.337
2016/01/08,195.177
2016/01/09,255.825
2016/01/10,88.665
2016/01/11,76.765
2016/01/12,-301.99
2016/01/13,-129.254
2016/01/14,-487.776
2016/01/15,-73.556
2016/01/16,-242.006
2016/01/17,-157.139
2016/01/18,-1.402
2016/01/19,12.888
2016/01/20,-464.297
2016/01/21,-118.361
2016/01/22,21.152
2016/01/23,-61.62
2016/01/24,106.299
2016/01/25,278.235
2016/01/26,121.6
2016/01/27,607.189
2016/01/28,480.618
2016/01/29,280.135
2016/01/30,273.321
2016/01/31,142.515
2016/02/01,-254.218
2016/02/02,-151.048
2016/02/03,-506.558
2016/02/04,-337.491
2016/02/05,-190.655
2016/02/06,498.464
2016/02/07,-109.406
2016/02/08,-47.127
2016/02/09,-44.935
2016/02/10,46.798
2016/02/11,192.976
2016/02/12,53.682
2016/02/13,-455.453
2016/02/14,113.976
2016/02/15,93.25
2016/02/16,95.587
2016/02/17,158.798
2016/02/18,-170.164
2016/02/19,-13.872
2016/02/20,-175.809
2016/02/21,-89.213
2016/02/22,-36.53
2016/02/23,-10.872
2016/02/24,-156.349
2016/02/25,4.501
2016/02/26,132.21
2016/02/27,55.609
2016/02/28,40.445
2016/02/29,85.097
2016/03/01,39.453
2016/03/02,89.785
2016/03/03,134.47
2016/03/04,-39.736
2016/03/05,212.516
2016/03/06,274.629
2016/03/07,42.342
2016/03/08,85.618
2016/03/09,80.858
2016/03/10,-26.901
2016/03/11,-38.14
2016/03/12,70.194
2016/03/13,26.28
2016/03/14,283.587
2016/03/15,75.593
2016/03/16,36.956
2016/03/17,199.678
2016/03/18,192.069
2016/03/19,109.437
2016/03/20,53.738
2016/03/21,-3.539
2016/03/22,196.74
2016/03/23,213.068
2016/03/24,440.515
2016/03/25,218.184
2016/03/26,43.74
2016/03/27,-185.074
2016/03/28,69.886
2016/03/29,-124.99
2016/03/30,42.978
2016/03/31,-456.35
2016/04/01,-128.612
2016/04/02,-302.797
2016/04/03,-16.048
2016/04/04,-65.645
2016/04/05,138.301
2016/04/06,-235.7
2016/04/07,-0.976
2016/04/08,48.246
2016/04/09,82.808
2016/04/10,36.208
2016/04/11,-240.16
2016/04/12,-76.313
2016/04/13,140.556
2016/04/14,1.196
2016/04/15,-128.662
2016/04/16,-102.503
2016/04/17,636.455
2016/04/18,89.093
2016/04/19,-134.302
2016/04/20,-118.111
2016/04/21,98.567
2016/04/22,-121.449
2016/04/23,54.989
2016/04/24,-484.359
2016/04/25,47.754
2016/04/26,27.309
2016/04/27,-45.43
2016/04/28,-96.245
2016/04/29,132.437
2016/04/30,317.829
2016/05/01,247.516
2016/05/02,81.508
2016/05/03,101.847
2016/05/04,184.171
2016/05/05,78.053
2016/05/06,202.056
2016/05/07,-213.274
2016/05/08,-150.306
2016/05/09,-20.629
2016/05/10,34.868
2016/05/11,60.587
2016/05/12,193.402
2016/05/13,48.959
2016/05/14,308.059
2016/05/15,9.46
2016/05/16,31.827
2016/05/17,33.846
2016/05/18,130.296
2016/05/19,-103.158
2016/05/20,2.932
2016/05/21,-10.222
2016/05/22,-45.768
2016/05/23,76.975
2016/05/24,13.29
2016/05/25,-18.988
2016/05/26,157.017
2016/05/27,49.426
2016/05/28,763.266
2016/05/29,181.461
2016/05/30,-25.054
2016/05/31,65.416
2016/06/01,-107.716
2016/06/02,-280.007
2016/06/03,-297.982
2016/06/04,-1027
2016/06/05,-279.307
2016/06/06,-117.696
2016/06/07,98.843
2016/06/08,-125.189
2016/06/09,23.268
2016/06/10,8.722
2016/06/11,-27.467
2016/06/12,66.483
2016/06/13,173.639
2016/06/14,20.807
2016/06/15,85.985
2016/06/16,127.402
2016/06/17,700.586
2016/06/18,662.338
2016/06/19,161.526
2016/06/20,109.522
2016/06/21,-84.863
2016/06/22,91.375
2016/06/23,-90.553
2016/06/24,-500.181
2016/06/25,-629.321
2016/06/26,-171.466
2016/06/27,-299.176
2016/06/28,-146.071
2016/06/29,177.731
2016/06/30,853.724
2016/07/01,-257.862
2016/07/02,-32.15
2016/07/03,-48.976
2016/07/04,5.175
2016/07/05,-12.096
2016/07/06,-383.362
2016/07/07,-952.955
2016/07/08,200.777
2016/07/09,34.353
2016/07/10,3.39
2016/07/11,5.85
2016/07/12,96.344
2016/07/13,-51.936
2016/07/14,121.934
2016/07/15,-123.152
2016/07/16,-67.269
2016/07/17,-143.244
2016/07/18,-23.189
2016/07/19,-64.798
2016/07/20,361.185
2016/07/21,-13.872
2016/07/22,183.415
2016/07/23,146.74
2016/07/24,533.111
2016/07/25,339.875
2016/07/26,444.215
2016/07/27,-12.237
2016/07/28,87.533
2016/07/29,-42.883
2016/07/30,-35.996
2016/07/31,-211.568
2016/08/01,-176.616
2016/08/02,-258.715
2016/08/03,-40.362
2016/08/04,6.923
2016/08/05,-70.952
2016/08/06,4.996
2016/08/07,-112.142
2016/08/08,-56.908
2016/08/09,-95.573
2016/08/10,-58.539
2016/08/11,3.864
2016/08/12,31.942
2016/08/13,-34.276
2016/08/14,-67.123
2016/08/15,-37.055
2016/08/16,29.618
2016/08/17,-74.505
2016/08/18,42.53
2016/08/19,-68.063
2016/08/20,21.671
2016/08/21,73.695
2016/08/22,58.895
2016/08/23,401.654
2016/08/24,57.672
2016/08/25,0.204
