Date,activeaddresses7ema
2016/01/01,3446
2016/01/02,3460
2016/01/03,3487
2016/01/04,3532
2016/01/05,3563
2016/01/06,3631
2016/01/07,3739
2016/01/08,3773
2016/01/09,3786
2016/01/10,3848
2016/01/11,3955
2016/01/12,4058
2016/01/13,4062
2016/01/14,4038
2016/01/15,4128
2016/01/16,4067
2016/01/17,3987
2016/01/18,4073
2016/01/19,4077
2016/01/20,4237
2016/01/21,4219
2016/01/22,4250
2016/01/23,4393
2016/01/24,4614
2016/01/25,4876
2016/01/26,5171
2016/01/27,5274
2016/01/28,5479
2016/01/29,5587
2016/01/30,5673
2016/01/31,5775
2016/02/01,5783
2016/02/02,5776
2016/02/03,5810
2016/02/04,5764
2016/02/05,5916
2016/02/06,5798
2016/02/07,5767
2016/02/08,5873
2016/02/09,6044
2016/02/10,6537
2016/02/11,7438
2016/02/12,7727
2016/02/13,7843
2016/02/14,7721
2016/02/15,7703
2016/02/16,7690
2016/02/17,7729
2016/02/18,7695
2016/02/19,7692
2016/02/20,7578
2016/02/21,7745
2016/02/22,7862
2016/02/23,7962
2016/02/24,8019
2016/02/25,8237
2016/02/26,8207
2016/02/27,8207
2016/02/28,8345
2016/02/29,8589
2016/03/01,8983
2016/03/02,9529
2016/03/03,10110
2016/03/04,10505
2016/03/05,11257
2016/03/06,11696
2016/03/07,11453
2016/03/08,11708
2016/03/09,11799
2016/03/10,12146
2016/03/11,12186
2016/03/12,12549
2016/03/13,12768
2016/03/14,13091
2016/03/15,13284
2016/03/16,13368
2016/03/17,13512
2016/03/18,13943
2016/03/19,13890
2016/03/20,13902
2016/03/21,13888
2016/03/22,13864
2016/03/23,14060
2016/03/24,14028
2016/03/25,14075
2016/03/26,13991
2016/03/27,14202
2016/03/28,14406
2016/03/29,14985
2016/03/30,15650
2016/03/31,15638
2016/04/01,15521
2016/04/02,15366
2016/04/03,15365
2016/04/04,15563
2016/04/05,15862
2016/04/06,15830
2016/04/07,16103
2016/04/08,15886
2016/04/09,16036
2016/04/10,16283
2016/04/11,16271
2016/04/12,16413
2016/04/13,16687
2016/04/14,16749
2016/04/15,16647
2016/04/16,16573
2016/04/17,16721
2016/04/18,16842
2016/04/19,16902
2016/04/20,17045
2016/04/21,17111
2016/04/22,17104
2016/04/23,17066
2016/04/24,17200
2016/04/25,17278
2016/04/26,17385
2016/04/27,17474
2016/04/28,17425
2016/04/29,18038
2016/04/30,20016
2016/05/01,20139
2016/05/02,21049
2016/05/03,20945
2016/05/04,20722
2016/05/05,20639
2016/05/06,20543
2016/05/07,20330
2016/05/08,20665
2016/05/09,21078
2016/05/10,21164
2016/05/11,21817
2016/05/12,22359
2016/05/13,23329
2016/05/14,23450
2016/05/15,23269
2016/05/16,22762
2016/05/17,22906
2016/05/18,23752
2016/05/19,24105
2016/05/20,24054
2016/05/21,23786
2016/05/22,23119
2016/05/23,23691
2016/05/24,23779
2016/05/25,23977
2016/05/26,25783
2016/05/27,26399
2016/05/28,29438
2016/05/29,28455
2016/05/30,27301
2016/05/31,26701
2016/06/01,25925
2016/06/02,25255
2016/06/03,24679
2016/06/04,24046
2016/06/05,23610
2016/06/06,23563
2016/06/07,23513
2016/06/08,23603
2016/06/09,23483
2016/06/10,23547
2016/06/11,22638
2016/06/12,23152
2016/06/13,24463
2016/06/14,25502
2016/06/15,25541
2016/06/16,25238
2016/06/17,27669
2016/06/18,28918
2016/06/19,28928
2016/06/20,28533
2016/06/21,28258
2016/06/22,28683
2016/06/23,27908
2016/06/24,27357
2016/06/25,26365
2016/06/26,26532
2016/06/27,26008
2016/06/28,26209
2016/06/29,26052
2016/06/30,25828
2016/07/01,25522
2016/07/02,25395
2016/07/03,25204
2016/07/04,25352
2016/07/05,25425
2016/07/06,25324
2016/07/07,25278
2016/07/08,25403
2016/07/09,25272
2016/07/10,25181
2016/07/11,25060
2016/07/12,25166
2016/07/13,24494
2016/07/14,24845
2016/07/15,24960
2016/07/16,24815
2016/07/17,23867
2016/07/18,23752
2016/07/19,25420
2016/07/20,26823
2016/07/21,27263
2016/07/22,28273
2016/07/23,28365
2016/07/24,30300
2016/07/25,30977
2016/07/26,33537
2016/07/27,34567
2016/07/28,34277
2016/07/29,33208
2016/07/30,31751
2016/07/31,31092
2016/08/01,30647
2016/08/02,30079
2016/08/03,29981
2016/08/04,29843
2016/08/05,29230
2016/08/06,28467
2016/08/07,28029
2016/08/08,27839
2016/08/09,28413
2016/08/10,28293
2016/08/11,28876
2016/08/12,28331
2016/08/13,27705
2016/08/14,27335
2016/08/15,27275
2016/08/16,27930
2016/08/17,27705
2016/08/18,27458
2016/08/19,27380
2016/08/20,27286
2016/08/21,27269
2016/08/22,27094
2016/08/23,27604
2016/08/24,27457
2016/08/25,27905
2016/08/26,27796
2016/08/27,27791
2016/08/28,27706
2016/08/29,27962
2016/08/30,27880
2016/08/31,28350
2016/09/01,28809
2016/09/02,29011
2016/09/03,28667
2016/09/04,28366
2016/09/05,28150
2016/09/06,28148
2016/09/07,27740
2016/09/08,28469
2016/09/09,28269
2016/09/10,27988
2016/09/11,28000
2016/09/12,28133
2016/09/13,28075
2016/09/14,28038
2016/09/15,28169
2016/09/16,28473
2016/09/17,28568
2016/09/18,28023
2016/09/19,27885
2016/09/20,29808
2016/09/21,29590
2016/09/22,28198
2016/09/23,27456
2016/09/24,26979
2016/09/25,26484
2016/09/26,26050
2016/09/27,25702
2016/09/28,25721
2016/09/29,25729
2016/09/30,25600
2016/10/01,25816
2016/10/02,26347
2016/10/03,26201
2016/10/04,24820
2016/10/05,24050
2016/10/06,23455
2016/10/07,24218
2016/10/08,24416
2016/10/09,25270
2016/10/10,26151
2016/10/11,25742
2016/10/12,23160
2016/10/13,20319
2016/10/14,20752
2016/10/15,19790
2016/10/16,19931
2016/10/17,20789
2016/10/18,22796
2016/10/19,21911
2016/10/20,23570
2016/10/21,26327
2016/10/22,26062
2016/10/23,25567
2016/10/24,25644
2016/10/25,25631
2016/10/26,25674
2016/10/27,25656
2016/10/28,25667
2016/10/29,25172
2016/10/30,24199
2016/10/31,25247
2016/11/01,25674
2016/11/02,26086
2016/11/03,25980
2016/11/04,23988
2016/11/05,23731
