Date,sentinusd3stdUSD
2016/01/01,152489
2016/01/02,100821
2016/01/03,95077
2016/01/04,174662
2016/01/05,731890
2016/01/06,766748
2016/01/07,672643
2016/01/08,126592
2016/01/09,133396
2016/01/10,58479
2016/01/11,329240
2016/01/12,834907
2016/01/13,623488
2016/01/14,698747
2016/01/15,706683
2016/01/16,651498
2016/01/17,592295
2016/01/18,2494653
2016/01/19,2259164
2016/01/20,1939421
2016/01/21,841135
2016/01/22,554735
2016/01/23,1010217
2016/01/24,2333790
2016/01/25,2469617
2016/01/26,989580
2016/01/27,1641208
2016/01/28,1177254
2016/01/29,660447
2016/01/30,272037
2016/01/31,379872
2016/02/01,1155902
2016/02/02,1183811
2016/02/03,144838
2016/02/04,582957
2016/02/05,609086
2016/02/06,730303
2016/02/07,1491876
2016/02/08,3260034
2016/02/09,2567354
2016/02/10,3312059
2016/02/11,3025249
2016/02/12,3563451
2016/02/13,4906834
2016/02/14,6739246
2016/02/15,2107413
2016/02/16,1993144
2016/02/17,2722407
2016/02/18,2645340
2016/02/19,1917530
2016/02/20,2614999
2016/02/21,2947696
2016/02/22,2628149
2016/02/23,5606893
2016/02/24,6591719
2016/02/25,5216057
2016/02/26,15106290
2016/02/27,14942665
2016/02/28,15540395
2016/02/29,8232703
2016/03/01,3791232
2016/03/02,21067435
2016/03/03,16282768
2016/03/04,12171461
2016/03/05,15001446
2016/03/06,15372931
2016/03/07,14587711
2016/03/08,4353890
2016/03/09,7182043
2016/03/10,9260105
2016/03/11,1629431
2016/03/12,8970484
2016/03/13,14672917
2016/03/14,7366017
2016/03/15,9757069
2016/03/16,6158775
2016/03/17,4580555
2016/03/18,7630280
2016/03/19,13350126
2016/03/20,16195043
2016/03/21,3401691
2016/03/22,3354728
2016/03/23,2464709
2016/03/24,3431846
2016/03/25,4282382
2016/03/26,6044682
2016/03/27,7548395
2016/03/28,7323845
2016/03/29,4986973
2016/03/30,6344449
2016/03/31,4785267
2016/04/01,9535929
2016/04/02,5828994
2016/04/03,1762292
2016/04/04,2067646
2016/04/05,3980257
2016/04/06,1986593
2016/04/07,1151543
2016/04/08,1718107
2016/04/09,5983679
2016/04/10,5925417
2016/04/11,6053105
2016/04/12,4073071
2016/04/13,3247063
2016/04/14,804333
2016/04/15,3354549
2016/04/16,3609190
2016/04/17,3358759
2016/04/18,3300862
2016/04/19,3214374
2016/04/20,1977369
2016/04/21,1850343
2016/04/22,1806722
2016/04/23,3356612
2016/04/24,4141301
2016/04/25,4120985
2016/04/26,4449020
2016/04/27,2623715
2016/04/28,2503993
2016/04/29,1254992
2016/04/30,16256510
2016/05/01,14670733
2016/05/02,5724961
2016/05/03,3953526
2016/05/04,6482921
2016/05/05,2882392
2016/05/06,8765784
