Date,sentinusd90wmaUSD
2016/01/01,339608
2016/01/02,337340
2016/01/03,337546
2016/01/04,332990
2016/01/05,347393
2016/01/06,344993
2016/01/07,344627
2016/01/08,340828
2016/01/09,337650
2016/01/10,332874
2016/01/11,336440
2016/01/12,353842
2016/01/13,356008
2016/01/14,355984
2016/01/15,373371
2016/01/16,380302
2016/01/17,381573
2016/01/18,443507
2016/01/19,471362
2016/01/20,480773
2016/01/21,487313
2016/01/22,507849
2016/01/23,541167
2016/01/24,620689
2016/01/25,717005
2016/01/26,786404
2016/01/27,837276
2016/01/28,873793
2016/01/29,907243
2016/01/30,947494
2016/01/31,989768
2016/02/01,1003344
2016/02/02,1017883
2016/02/03,1034923
2016/02/04,1036952
2016/02/05,1052593
2016/02/06,1048885
2016/02/07,1085384
2016/02/08,1169039
2016/02/09,1271502
2016/02/10,1438133
2016/02/11,1612006
2016/02/12,1861872
2016/02/13,1977465
2016/02/14,2048772
2016/02/15,2108161
2016/02/16,2217789
2016/02/17,2254832
2016/02/18,2323194
2016/02/19,2339420
2016/02/20,2422619
2016/02/21,2434705
2016/02/22,2490913
2016/02/23,2648861
2016/02/24,2878697
2016/02/25,2965432
2016/02/26,3451576
2016/02/27,3701066
2016/02/28,3760577
2016/02/29,3808912
2016/03/01,3949132
2016/03/02,4525253
2016/03/03,4889503
2016/03/04,5130104
2016/03/05,5760976
2016/03/06,6076836
2016/03/07,6330322
2016/03/08,6697306
2016/03/09,6867555
2016/03/10,6992900
2016/03/11,7126085
2016/03/12,7460657
2016/03/13,7981560
2016/03/14,8354192
2016/03/15,8600630
2016/03/16,8805710
2016/03/17,9127804
2016/03/18,9528788
2016/03/19,9579430
2016/03/20,9569022
2016/03/21,9647407
2016/03/22,9683207
2016/03/23,9691544
2016/03/24,9787904
2016/03/25,9774050
2016/03/26,9706837
2016/03/27,9834841
2016/03/28,9879480
2016/03/29,10055307
2016/03/30,10253339
2016/03/31,10325333
2016/04/01,10260437
2016/04/02,10191590
2016/04/03,10082240
2016/04/04,10026005
2016/04/05,10022255
2016/04/06,9991497
2016/04/07,9987485
2016/04/08,9935838
2016/04/09,10039559
2016/04/10,10087960
2016/04/11,10026509
2016/04/12,10036475
2016/04/13,10050624
2016/04/14,10041646
2016/04/15,9965508
2016/04/16,9858974
2016/04/17,9840410
2016/04/18,9780337
2016/04/19,9673237
2016/04/20,9611611
2016/04/21,9509474
2016/04/22,9451173
2016/04/23,9437761
2016/04/24,9312450
2016/04/25,9242237
2016/04/26,9236541
2016/04/27,9173005
2016/04/28,9104955
2016/04/29,9008748
2016/04/30,9303903
2016/05/01,9440654
2016/05/02,9639797
2016/05/03,9729462
2016/05/04,9748352
2016/05/05,9766171
2016/05/06,9985464
2016/05/07,10076041
2016/05/08,10142718
2016/05/09,10337301
2016/05/10,10531887
2016/05/11,10949750
2016/05/12,11439763
2016/05/13,13085723
2016/05/14,14149238
2016/05/15,14207357
2016/05/16,14273634
2016/05/17,14334413
2016/05/18,14570439
2016/05/19,15097100
2016/05/20,15513720
2016/05/21,15509427
2016/05/22,15411265
2016/05/23,15491101
2016/05/24,15685687
2016/05/25,15841790
2016/05/26,15876617
2016/05/27,16212962
2016/05/28,16446905
2016/05/29,16390882
2016/05/30,16343505
2016/05/31,16315968
2016/06/01,16234864
2016/06/02,16067137
2016/06/03,15937190
2016/06/04,15764514
2016/06/05,15592596
2016/06/06,15431690
2016/06/07,15436856
2016/06/08,15817086
2016/06/09,15653836
2016/06/10,15621957
2016/06/11,15475237
2016/06/12,15528600
2016/06/13,15659225
2016/06/14,15923055
2016/06/15,15989281
2016/06/16,16320695
2016/06/17,17618612
2016/06/18,18753767
2016/06/19,18905026
2016/06/20,19241010
2016/06/21,19367930
2016/06/22,19664838
2016/06/23,19821688
2016/06/24,19808566
2016/06/25,19842064
2016/06/26,19673230
2016/06/27,19512772
2016/06/28,19603445
2016/06/29,19583113
2016/06/30,19460470
2016/07/01,19328067
2016/07/02,19086960
2016/07/03,18857108
2016/07/04,18789746
2016/07/05,19251535
2016/07/06,19124926
2016/07/07,18968365
2016/07/08,18751261
2016/07/09,18519761
2016/07/10,18305178
2016/07/11,18118702
2016/07/12,17945268
2016/07/13,17787738
2016/07/14,17639624
2016/07/15,18285080
2016/07/16,18101222
2016/07/17,17904308
2016/07/18,18229425
2016/07/19,20250067
2016/07/20,23561651
2016/07/21,23581011
2016/07/22,24017098
2016/07/23,24378809
2016/07/24,27665415
2016/07/25,30016423
2016/07/26,35330172
2016/07/27,38178995
2016/07/28,39664330
2016/07/29,40478816
2016/07/30,40840246
2016/07/31,41115489
2016/08/01,41801135
2016/08/02,43366352
2016/08/03,44477843
2016/08/04,44592723
2016/08/05,44844141
2016/08/06,44505838
2016/08/07,44242997
2016/08/08,43988359
2016/08/09,44033037
2016/08/10,44553769
2016/08/11,44791338
2016/08/12,44621052
2016/08/13,44374998
2016/08/14,44020429
2016/08/15,43611376
2016/08/16,43079173
2016/08/17,42747539
2016/08/18,42277580
2016/08/19,41771336
2016/08/20,41401209
2016/08/21,41516926
2016/08/22,41311901
2016/08/23,41646618
2016/08/24,41127184
2016/08/25,40593035
2016/08/26,40322916
2016/08/27,39804713
2016/08/28,39250555
2016/08/29,38783140
2016/08/30,38238111
2016/08/31,37756172
2016/09/01,37530432
2016/09/02,37236284
2016/09/03,36800470
2016/09/04,36415854
2016/09/05,35857172
2016/09/06,35336498
2016/09/07,34799222
2016/09/08,34418281
2016/09/09,33830765
2016/09/10,33238480
2016/09/11,32697275
2016/09/12,32178317
2016/09/13,31674658
2016/09/14,31117462
2016/09/15,30530424
2016/09/16,30405570
2016/09/17,29902832
2016/09/18,29621118
2016/09/19,29163317
2016/09/20,29555217
2016/09/21,30060186
2016/09/22,29874691
2016/09/23,29741042
2016/09/24,29390057
2016/09/25,29363613
2016/09/26,29033034
2016/09/27,28616131
2016/09/28,28601282
2016/09/29,28463673
2016/09/30,27976577
2016/10/01,27461268
2016/10/02,27228307
2016/10/03,26649539
2016/10/04,26106572
2016/10/05,25659707
2016/10/06,25173618
2016/10/07,24683740
2016/10/08,24214960
2016/10/09,24154799
2016/10/10,24066954
2016/10/11,23905633
2016/10/12,23819572
2016/10/13,23313123
2016/10/14,23238406
2016/10/15,22769727
2016/10/16,22417095
2016/10/17,22127892
2016/10/18,22163917
2016/10/19,21734895
2016/10/20,21215237
2016/10/21,20674879
2016/10/22,20110579
2016/10/23,19567737
2016/10/24,19112571
2016/10/25,18829442
2016/10/26,18537393
2016/10/27,18263068
2016/10/28,18151342
2016/10/29,18103413
2016/10/30,18191776
2016/10/31,18025818
2016/11/01,18255556
2016/11/02,18850610
2016/11/03,20797797
2016/11/04,20633967
2016/11/05,20393047
2016/11/06,20069709
2016/11/07,19779749
2016/11/08,19504595
2016/11/09,19555340
2016/11/10,19374928
2016/11/11,19821125
2016/11/12,19679959
2016/11/13,19544313
2016/11/14,19246822
2016/11/15,19061548
2016/11/16,18891130
2016/11/17,19183889
2016/11/18,18997573
2016/11/19,18764711
2016/11/20,18492105
2016/11/21,18228682
2016/11/22,18398649
2016/11/23,18528843
2016/11/24,18305105
2016/11/25,18223033
2016/11/26,17971201
2016/11/27,17717767
2016/11/28,17477840
2016/11/29,17322365
2016/11/30,17148592
2016/12/01,16952294
2016/12/02,17145136
2016/12/03,17590493
2016/12/04,17481098
2016/12/05,17664569
2016/12/06,18204978
2016/12/07,18214021
2016/12/08,18273551
2016/12/09,18326884
2016/12/10,18170341
2016/12/11,18106086
2016/12/12,17885680
2016/12/13,17675068
2016/12/14,17454054
2016/12/15,17410066
2016/12/16,17241534
2016/12/17,17349591
2016/12/18,17307671
2016/12/19,17127370
2016/12/20,16955073
2016/12/21,16914148
2016/12/22,17079445
2016/12/23,17694891
2016/12/24,17670955
2016/12/25,17443964
2016/12/26,17183880
2016/12/27,17017142
2016/12/28,17091023
2016/12/29,17525532
2016/12/30,17730406
2016/12/31,18455492
2017/01/01,18385493
2017/01/02,18498518
2017/01/03,19075606
2017/01/04,20468307
2017/01/05,21901142
2017/01/06,23086103
2017/01/07,23570346
2017/01/08,23655067
2017/01/09,24203213
2017/01/10,24784516
2017/01/11,25330818
2017/01/12,25801444
2017/01/13,25844106
2017/01/14,25556728
2017/01/15,25198918
2017/01/16,24889776
2017/01/17,24759068
2017/01/18,24481520
2017/01/19,24234144
2017/01/20,24384076
2017/01/21,24127804
2017/01/22,23879631
2017/01/23,23606170
2017/01/24,23309968
2017/01/25,23048696
2017/01/26,22816096
2017/01/27,22573782
2017/01/28,22236487
2017/01/29,21965626
2017/01/30,21656163
2017/01/31,21488978
2017/02/01,21329708
2017/02/02,21184350
2017/02/03,21138267
2017/02/04,21139832
2017/02/05,20884967
2017/02/06,20785204
2017/02/07,20663528
2017/02/08,20522049
2017/02/09,20408726
2017/02/10,20372945
2017/02/11,20169836
2017/02/12,20036532
2017/02/13,19898974
2017/02/14,20402320
2017/02/15,21137166
2017/02/16,21354592
2017/02/17,21622690
2017/02/18,21827527
2017/02/19,22017145
2017/02/20,22229732
2017/02/21,22803180
2017/02/22,23072178
2017/02/23,23314586
2017/02/24,24289898
2017/02/25,24718043
2017/02/26,25364779
2017/02/27,27782011
2017/02/28,31125157
2017/03/01,34648022
2017/03/02,40890423
2017/03/03,47322200
2017/03/04,51097777
2017/03/05,54061592
2017/03/06,59757516
2017/03/07,63188772
2017/03/08,66649929
2017/03/09,71279793
2017/03/10,75602773
2017/03/11,81391613
2017/03/12,92008896
2017/03/13,101921633
2017/03/14,105385668
2017/03/15,109098523
2017/03/16,135535729
2017/03/17,149912940
2017/03/18,168089996
2017/03/19,170351390
2017/03/20,174335035
2017/03/21,184353983
2017/03/22,192214873
2017/03/23,200224175
2017/03/24,213673506
2017/03/25,224224454
2017/03/26,231833161
2017/03/27,240891706
2017/03/28,249656151
2017/03/29,261469766
2017/03/30,277910154
2017/03/31,290304087
2017/04/01,296987184
2017/04/02,309517977
2017/04/03,322313248
2017/04/04,325939380
2017/04/05,333720467
2017/04/06,345902946
2017/04/07,345961174
2017/04/08,347730842
2017/04/09,349347956
2017/04/10,352577291
2017/04/11,355745787
2017/04/12,358338656
2017/04/13,359403736
2017/04/14,361677912
2017/04/15,360078918
2017/04/16,356605762
2017/04/17,353737040
2017/04/18,357573159
2017/04/19,362771446
2017/04/20,368972359
2017/04/21,371600954
2017/04/22,373192664
2017/04/23,374750772
2017/04/24,378158110
2017/04/25,380683365
2017/04/26,387214385
2017/04/27,400182982
2017/04/28,414777253
2017/04/29,429555842
2017/04/30,448123940
2017/05/01,483147762
2017/05/02,509560134
2017/05/03,539751532
2017/05/04,573973604
2017/05/05,612090593
2017/05/06,633424887
2017/05/07,663950383
2017/05/08,691435322
2017/05/09,716497779
2017/05/10,740915033
2017/05/11,772981631
2017/05/12,795964106
2017/05/13,808760462
2017/05/14,820261411
2017/05/15,840702384
2017/05/16,869502789
2017/05/17,882576842
2017/05/18,887631067
2017/05/19,910187523
2017/05/20,921932537
2017/05/21,944555448
2017/05/22,1023232289
2017/05/23,1064877534
2017/05/24,1111894715
2017/05/25,1156403904
2017/05/26,1202162149
2017/05/27,1222448197
2017/05/28,1239352048
2017/05/29,1259929529
2017/05/30,1294174591
2017/05/31,1387806575
2017/06/01,1447396197
2017/06/02,1504216454
2017/06/03,1555456879
2017/06/04,1603260044
2017/06/05,1670288844
2017/06/06,1758534459
2017/06/07,1833386771
2017/06/08,1892048260
2017/06/09,1956406456
2017/06/10,1999604390
2017/06/11,2059228953
2017/06/12,2238673788
2017/06/13,2385448952
2017/06/14,2458318498
2017/06/15,2569744821
2017/06/16,2670967604
2017/06/17,2711716227
2017/06/18,2746519953
2017/06/19,2792195980
2017/06/20,2864661853
2017/06/21,2863303304
2017/06/22,2879401096
2017/06/23,2908171490
2017/06/24,2942801624
2017/06/25,2923468448
2017/06/26,2938098555
2017/06/27,2954286288
2017/06/28,2974267308
2017/06/29,3001756294
2017/06/30,3017398444
2017/07/01,3021788126
2017/07/02,3014033813
2017/07/03,3115560073
2017/07/04,3186711011
2017/07/05,3175133522
2017/07/06,3171153189
2017/07/07,3168986788
2017/07/08,3155098109
2017/07/09,3119513865
2017/07/10,3118577886
2017/07/11,3119345971
2017/07/12,3121739744
2017/07/13,3165763742
2017/07/14,3217415542
2017/07/15,3258915837
2017/07/16,3287864096
2017/07/17,3314349881
2017/07/18,3370640950
2017/07/19,3422198126
2017/07/20,3457289379
2017/07/21,3496224053
2017/07/22,3453594548
2017/07/23,3423020091
2017/07/24,3461120638
2017/07/25,3501796287
2017/07/26,3517595875
2017/07/27,3542823042
2017/07/28,3579578632
2017/07/29,3600860255
2017/07/30,3592058533
2017/07/31,3558739358
2017/08/01,3533132485
2017/08/02,3505556649
2017/08/03,3471374939
2017/08/04,3438541309
2017/08/05,3415050296
2017/08/06,3393466565
2017/08/07,3379301509
2017/08/08,3375266007
2017/08/09,3376303366
2017/08/10,3457500869
2017/08/11,3691809637
2017/08/12,3805810412
2017/08/13,3924744736
2017/08/14,4004138348
2017/08/15,4044954185
2017/08/16,4061671796
2017/08/17,4079274433
2017/08/18,4098015728
2017/08/19,4088206329
2017/08/20,4067523661
2017/08/21,4069475775
2017/08/22,4061713534
2017/08/23,4067306454
2017/08/24,4064957457
2017/08/25,4053980897
2017/08/26,4006058622
2017/08/27,4064137224
2017/08/28,4188479102
2017/08/29,4265587519
2017/08/30,4473325420
2017/08/31,4520879848
2017/09/01,4561362801
2017/09/02,4575900065
2017/09/03,4562994371
2017/09/04,4581888362
2017/09/05,4592664411
2017/09/06,4616770878
2017/09/07,4605762933
2017/09/08,4604343044
2017/09/09,4640862274
2017/09/10,4655695714
2017/09/11,4659233803
2017/09/12,4666819090
2017/09/13,4632515785
2017/09/14,4623753726
2017/09/15,4624741541
2017/09/16,4589563351
2017/09/17,4564214189
2017/09/18,4589691782
2017/09/19,4591654638
2017/09/20,4560219051
2017/09/21,4524718266
2017/09/22,4481572474
2017/09/23,4435444312
2017/09/24,4385055695
2017/09/25,4346899683
2017/09/26,4310631803
2017/09/27,4278601477
2017/09/28,4252122257
2017/09/29,4213971811
2017/09/30,4165528732
2017/10/01,4104360497
2017/10/02,4061225916
2017/10/03,4117675556
2017/10/04,4124111838
2017/10/05,4094366799
2017/10/06,4066010604
2017/10/07,4026204747
2017/10/08,3993371917
2017/10/09,3970696273
2017/10/10,3952236370
2017/10/11,3925934863
2017/10/12,3908008469
2017/10/13,3917032315
2017/10/14,3901644154
2017/10/15,3878395164
2017/10/16,3843515429
2017/10/17,3833147011
2017/10/18,3841676680
2017/10/19,3836631770
2017/10/20,3824260212
2017/10/21,3803033466
2017/10/22,3773348921
2017/10/23,3764227825
2017/10/24,3758794420
2017/10/25,3735794884
2017/10/26,3710442690
2017/10/27,3622122258
2017/10/28,3534817440
