Date,size3trx
2016/01/01,-4.963
2016/01/02,-5.983
2016/01/03,-5.522
2016/01/04,-4.152
2016/01/05,2.115
2016/01/06,7.362
2016/01/07,8.315
2016/01/08,2.294
2016/01/09,-0.224
2016/01/10,-2.705
2016/01/11,-3.563
2016/01/12,-3.037
2016/01/13,1.332
2016/01/14,-0.017
2016/01/15,-1.989
2016/01/16,-3.284
2016/01/17,-4.428
2016/01/18,-2.565
2016/01/19,-0.236
2016/01/20,-0.754
2016/01/21,-1.48
2016/01/22,-0.672
2016/01/23,-1.487
2016/01/24,-0.843
2016/01/25,4.127
2016/01/26,5.074
2016/01/27,8.242
2016/01/28,6.987
2016/01/29,3.81
2016/01/30,0.402
2016/01/31,-1.778
2016/02/01,-3.092
2016/02/02,-3.367
2016/02/03,-3.177
2016/02/04,-2.356
2016/02/05,-1.226
2016/02/06,5.829
2016/02/07,1.953
2016/02/08,-1.243
2016/02/09,-2.672
2016/02/10,-2.099
2016/02/11,0.634
2016/02/12,0.998
2016/02/13,1.311
2016/02/14,0.406
2016/02/15,-0.379
2016/02/16,-0.702
2016/02/17,0.76
2016/02/18,-0.058
2016/02/19,-0.235
2016/02/20,-1.401
2016/02/21,-1.911
2016/02/22,-1.427
2016/02/23,-0.571
2016/02/24,-0.112
2016/02/25,0.14
2016/02/26,2.203
2016/02/27,1.044
2016/02/28,-0.15
2016/02/29,0.19
2016/03/01,0.32
2016/03/02,0.777
2016/03/03,1.484
2016/03/04,1.67
2016/03/05,2.164
2016/03/06,2.677
2016/03/07,1.075
2016/03/08,0.158
2016/03/09,0.132
2016/03/10,-0.361
2016/03/11,-0.727
2016/03/12,0.926
2016/03/13,1.95
2016/03/14,3.166
2016/03/15,1.593
2016/03/16,0.303
2016/03/17,0.625
2016/03/18,0.734
2016/03/19,1.497
2016/03/20,1.317
2016/03/21,1.407
2016/03/22,1.445
2016/03/23,1.399
2016/03/24,4.007
2016/03/25,2.989
2016/03/26,1.046
2016/03/27,-2.314
2016/03/28,-1.513
2016/03/29,-1.821
2016/03/30,-0.393
2016/03/31,-0.786
2016/04/01,-0.391
2016/04/02,-2.218
2016/04/03,-3.119
2016/04/04,-0.831
2016/04/05,1.114
2016/04/06,0.175
2016/04/07,-0.066
2016/04/08,1.119
2016/04/09,-0.228
2016/04/10,-1.508
2016/04/11,-2.152
2016/04/12,-0.423
2016/04/13,1.06
2016/04/14,0.964
2016/04/15,0.661
2016/04/16,-1.356
2016/04/17,3.914
2016/04/18,1.788
2016/04/19,-0.592
2016/04/20,-1.391
2016/04/21,-0.174
2016/04/22,-1.143
2016/04/23,-1.962
