Date,activeaddresses90mom
2016/11/11,-1656
2016/11/12,-3556
2016/11/13,-2432
2016/11/14,-8309
2016/11/15,-3607
2016/11/16,-5006
2016/11/17,-5475
2016/11/18,-4307
2016/11/19,-5456
2016/11/20,-4007
2016/11/21,-6895
2016/11/22,9199
2016/11/23,16464
2016/11/24,-7576
2016/11/25,5403
2016/11/26,-8493
2016/11/27,-8278
2016/11/28,-5716
2016/11/29,-9480
2016/11/30,-8473
2016/12/01,-9586
2016/12/02,-5185
2016/12/03,-4385
2016/12/04,-5475
2016/12/05,-6555
2016/12/06,-1252
2016/12/07,-10243
2016/12/08,-6933
2016/12/09,-4949
2016/12/10,-7459
2016/12/11,-7292
2016/12/12,-5730
2016/12/13,-7587
2016/12/14,-5960
2016/12/15,-5664
2016/12/16,-6535
2016/12/17,-5460
2016/12/18,-8079
2016/12/19,-12113
2016/12/20,-5096
2016/12/21,-891
2016/12/22,4355
2016/12/23,-2086
2016/12/24,-3811
2016/12/25,-5564
2016/12/26,-5582
2016/12/27,-5673
2016/12/28,-4709
2016/12/29,-3240
2016/12/30,-5148
2016/12/31,-5568
2017/01/01,-6519
2017/01/02,442
2017/01/03,-484
2017/01/04,4880
2017/01/05,445
2017/01/06,-53
2017/01/07,-4450
2017/01/08,-6794
2017/01/09,173
2017/01/10,7602
2017/01/11,12072
2017/01/12,2011
2017/01/13,5445
2017/01/14,904
2017/01/15,-1745
2017/01/16,-4614
2017/01/17,4763
2017/01/18,-6082
2017/01/19,-11513
2017/01/20,-1014
2017/01/21,-1408
2017/01/22,-3321
2017/01/23,-2884
2017/01/24,-1793
2017/01/25,-3489
2017/01/26,-3391
2017/01/27,-1526
2017/01/28,422
2017/01/29,-7086
2017/01/30,-4234
2017/01/31,-5065
2017/02/01,-2708
2017/02/02,5234
2017/02/03,-411
2017/02/04,3705
2017/02/05,-145
2017/02/06,412
2017/02/07,-380
2017/02/08,2735
2017/02/09,47
2017/02/10,2579
2017/02/11,-2081
2017/02/12,2053
2017/02/13,4047
2017/02/14,6065
2017/02/15,6418
2017/02/16,3925
2017/02/17,4472
2017/02/18,4780
2017/02/19,3062
2017/02/20,-9022
2017/02/21,-18966
2017/02/22,6420
2017/02/23,-7358
2017/02/24,10158
2017/02/25,6839
2017/02/26,5447
2017/02/27,9218
2017/02/28,12520
2017/03/01,14939
2017/03/02,21195
2017/03/03,15379
2017/03/04,12756
2017/03/05,11690
2017/03/06,9899
2017/03/07,11862
2017/03/08,12138
2017/03/09,14736
2017/03/10,15727
2017/03/11,16220
2017/03/12,18480
2017/03/13,33030
2017/03/14,23478
2017/03/15,24530
2017/03/16,45818
2017/03/17,45935
2017/03/18,35721
2017/03/19,24748
2017/03/20,25544
2017/03/21,26559
2017/03/22,16961
2017/03/23,22812
2017/03/24,33513
2017/03/25,31634
2017/03/26,26371
2017/03/27,30348
2017/03/28,27752
2017/03/29,28424
2017/03/30,39077
2017/03/31,45133
2017/04/01,27850
2017/04/02,33115
2017/04/03,43623
2017/04/04,26814
2017/04/05,26464
2017/04/06,37898
2017/04/07,25784
2017/04/08,21459
2017/04/09,17167
2017/04/10,23271
2017/04/11,21288
2017/04/12,24519
2017/04/13,28728
2017/04/14,27824
2017/04/15,24160
2017/04/16,15601
2017/04/17,18912
2017/04/18,28276
2017/04/19,27849
2017/04/20,30178
2017/04/21,22962
2017/04/22,21647
2017/04/23,23085
2017/04/24,27092
2017/04/25,27690
2017/04/26,34874
2017/04/27,47803
2017/04/28,40728
2017/04/29,36785
2017/04/30,38488
2017/05/01,49255
2017/05/02,45372
2017/05/03,38046
2017/05/04,54581
2017/05/05,51280
2017/05/06,38982
2017/05/07,48352
2017/05/08,59444
2017/05/09,53054
2017/05/10,49477
2017/05/11,54168
2017/05/12,47689
2017/05/13,38366
2017/05/14,39559
2017/05/15,49915
2017/05/16,49211
2017/05/17,45020
2017/05/18,63944
2017/05/19,81718
2017/05/20,54418
2017/05/21,63702
2017/05/22,86272
2017/05/23,95496
2017/05/24,95131
2017/05/25,91513
2017/05/26,85232
2017/05/27,68370
2017/05/28,63768
2017/05/29,66226
2017/05/30,76108
2017/05/31,78628
2017/06/01,100026
2017/06/02,81848
2017/06/03,82858
2017/06/04,82110
2017/06/05,93916
2017/06/06,105163
2017/06/07,95999
2017/06/08,88976
2017/06/09,105925
2017/06/10,108734
2017/06/11,114661
2017/06/12,165626
2017/06/13,153113
2017/06/14,113612
2017/06/15,121962
2017/06/16,112896
2017/06/17,116154
2017/06/18,120917
2017/06/19,141926
2017/06/20,144576
2017/06/21,110928
2017/06/22,152029
2017/06/23,151854
2017/06/24,135138
2017/06/25,105432
2017/06/26,188702
2017/06/27,132103
2017/06/28,128085
2017/06/29,115371
2017/06/30,130517
2017/07/01,116456
2017/07/02,108062
2017/07/03,147897
2017/07/04,139970
2017/07/05,117067
2017/07/06,127649
2017/07/07,160009
2017/07/08,118069
2017/07/09,104062
2017/07/10,155205
2017/07/11,144890
2017/07/12,135872
2017/07/13,114531
2017/07/14,118433
2017/07/15,116786
2017/07/16,119309
2017/07/17,114201
2017/07/18,127249
2017/07/19,126032
2017/07/20,128812
2017/07/21,120201
2017/07/22,94553
2017/07/23,132321
2017/07/24,119088
2017/07/25,105319
2017/07/26,80829
2017/07/27,95555
2017/07/28,106818
2017/07/29,77859
2017/07/30,76381
2017/07/31,117297
2017/08/01,90081
2017/08/02,83136
2017/08/03,81401
2017/08/04,110444
2017/08/05,101494
2017/08/06,88125
2017/08/07,108621
2017/08/08,141375
2017/08/09,112455
2017/08/10,156202
2017/08/11,168186
2017/08/12,147562
2017/08/13,133282
2017/08/14,195489
2017/08/15,195212
2017/08/16,177718
2017/08/17,166575
2017/08/18,209018
2017/08/19,144957
2017/08/20,87378
2017/08/21,130088
2017/08/22,104722
2017/08/23,128724
2017/08/24,113654
2017/08/25,141160
2017/08/26,97163
2017/08/27,98232
2017/08/28,120204
2017/08/29,138474
2017/08/30,128882
2017/08/31,158554
2017/09/01,143287
2017/09/02,104982
2017/09/03,72448
2017/09/04,161967
2017/09/05,157951
2017/09/06,184187
2017/09/07,128604
2017/09/08,130435
2017/09/09,76352
2017/09/10,-2051
2017/09/11,40308
2017/09/12,98716
2017/09/13,53704
2017/09/14,99265
2017/09/15,142925
2017/09/16,61168
2017/09/17,-565
2017/09/18,60395
2017/09/19,71037
2017/09/20,11478
2017/09/21,5969
2017/09/22,-3537
2017/09/23,15190
2017/09/24,-56139
2017/09/25,17913
2017/09/26,3187
2017/09/27,15760
2017/09/28,35778
2017/09/29,46814
2017/09/30,17103
2017/10/01,-24983
2017/10/02,7448
2017/10/03,28548
2017/10/04,14775
2017/10/05,-6294
2017/10/06,35421
2017/10/07,33703
2017/10/08,-11227
2017/10/09,5337
2017/10/10,44546
2017/10/11,58662
2017/10/12,62015
2017/10/13,99750
2017/10/14,51005
2017/10/15,38668
2017/10/16,28807
2017/10/17,81752
2017/10/18,61670
2017/10/19,63090
2017/10/20,109401
2017/10/21,55640
2017/10/22,85759
2017/10/23,86752
2017/10/24,104667
2017/10/25,73004
2017/10/26,75212
2017/10/27,97964
2017/10/28,-147893
2017/10/29,-185624
2017/10/30,-151371
2017/10/31,108232
2017/11/01,127250
2017/11/02,145261
2017/11/03,94437
2017/11/04,41038
2017/11/05,21335
2017/11/06,32084
2017/11/07,57858
2017/11/08,45568
2017/11/09,48307
2017/11/10,60166
2017/11/11,24290
2017/11/12,1610
2017/11/13,-4955
2017/11/14,20280
2017/11/15,56094
2017/11/16,3974
2017/11/17,76648
2017/11/18,70886
2017/11/19,25282
2017/11/20,90328
2017/11/21,72496
2017/11/22,101648
2017/11/23,90183
2017/11/24,126844
2017/11/25,114679
2017/11/26,85507
2017/11/27,123455
2017/11/28,138860
2017/11/29,169221
2017/11/30,160559
2017/12/01,160716
2017/12/02,192600
2017/12/03,126277
2017/12/04,141056
2017/12/05,111868
2017/12/06,322349
2017/12/07,127128
2017/12/08,223352
2017/12/09,229218
2017/12/10,178924
2017/12/11,238564
2017/12/12,334108
2017/12/13,358115
2017/12/14,364840
2017/12/15,380101
2017/12/16,403323
2017/12/17,342117
2017/12/18,472539
2017/12/19,577849
2017/12/20,548780
2017/12/21,649999
2017/12/22,665427
2017/12/23,473129
2017/12/24,308701
2017/12/25,321612
2017/12/26,373272
2017/12/27,426329
2017/12/28,455961
2017/12/29,626686
2017/12/30,718718
2017/12/31,460459
2018/01/01,438640
2018/01/02,674133
2018/01/03,779849
2018/01/04,923121
2018/01/05,851149
2018/01/06,774849
2018/01/07,672938
2018/01/08,707860
2018/01/09,777314
2018/01/10,710051
2018/01/11,686725
2018/01/12,643019
2018/01/13,682842
2018/01/14,594977
2018/01/15,683299
2018/01/16,772062
2018/01/17,775267
2018/01/18,690833
2018/01/19,506404
2018/01/20,392137
2018/01/21,516794
2018/01/22,458868
2018/01/23,437530
2018/01/24,404265
2018/01/25,264129
2018/01/26,679986
2018/01/27,579343
2018/01/28,610004
2018/01/29,398894
2018/01/30,350197
2018/01/31,308291
2018/02/01,460207
2018/02/02,499484
2018/02/03,348157
2018/02/04,294657
2018/02/05,360319
2018/02/06,356404
2018/02/07,281049
2018/02/08,162450
2018/02/09,293329
2018/02/10,298950
2018/02/11,236445
2018/02/12,284967
2018/02/13,155812
2018/02/14,210163
2018/02/15,203236
2018/02/16,176250
2018/02/17,179107
2018/02/18,147284
2018/02/19,203435
2018/02/20,253232
2018/02/21,200414
2018/02/22,169066
2018/02/23,135534
2018/02/24,72364
2018/02/25,12713
2018/02/26,76543
2018/02/27,2957
2018/02/28,48490
2018/03/01,52616
2018/03/02,50770
2018/03/03,-41367
2018/03/04,-78676
2018/03/05,20493
2018/03/06,-150257
2018/03/07,134157
2018/03/08,-44953
2018/03/09,-31447
2018/03/10,-49470
2018/03/11,-182283
2018/03/12,-182255
2018/03/13,-223485
2018/03/14,-232282
2018/03/15,-200083
2018/03/16,-209962
2018/03/17,-245476
2018/03/18,-309076
2018/03/19,-365098
2018/03/20,-371495
2018/03/21,-414017
2018/03/22,-452849
2018/03/23,-198007
2018/03/24,-106525
2018/03/25,-202325
2018/03/26,-186598
2018/03/27,-281842
2018/03/28,-337363
2018/03/29,-451533
2018/03/30,-510917
2018/03/31,-326776
2018/04/01,-335894
2018/04/02,-515229
2018/04/03,-592924
2018/04/04,-755246
2018/04/05,-612034
2018/04/06,-570870
2018/04/07,-531839
2018/04/08,-566788
2018/04/09,-602522
2018/04/10,-576838
2018/04/11,-573160
2018/04/12,-433400
2018/04/13,-454203
2018/04/14,-436764
2018/04/15,-569768
2018/04/16,-616485
2018/04/17,-585500
2018/04/18,-540103
2018/04/19,-308422
2018/04/20,-185836
2018/04/21,-296927
2018/04/22,-231639
2018/04/23,-152303
2018/04/24,-122165
2018/04/25,-34501
2018/04/26,-222149
2018/04/27,-146202
2018/04/28,-177315
2018/04/29,-256043
2018/04/30,-175563
2018/05/01,-212630
2018/05/02,-260455
2018/05/03,-201867
2018/05/04,193121
2018/05/05,-46810
2018/05/06,-142145
2018/05/07,-126154
2018/05/08,-37714
2018/05/09,100338
2018/05/10,6747
2018/05/11,-54412
2018/05/12,40215
2018/05/13,-61522
2018/05/14,45340
2018/05/15,17393
2018/05/16,28782
2018/05/17,124390
2018/05/18,108383
2018/05/19,142614
2018/05/20,6537
2018/05/21,-60580
2018/05/22,25320
2018/05/23,77224
2018/05/24,100187
2018/05/25,133009
2018/05/26,121605
2018/05/27,60374
2018/05/28,147870
2018/05/29,81767
2018/05/30,110430
2018/05/31,96619
2018/06/01,99451
2018/06/02,160864
2018/06/03,105057
2018/06/04,72569
2018/06/05,-41971
2018/06/06,69235
2018/06/07,97826
2018/06/08,85968
2018/06/09,-222303
2018/06/10,-394384
2018/06/11,94931
2018/06/12,4514
2018/06/13,60622
2018/06/14,79642
2018/06/15,138687
2018/06/16,-2481
2018/06/17,-4774
2018/06/18,48749
2018/06/19,56503
2018/06/20,105048
2018/06/21,20348
2018/06/22,88958
2018/06/23,133185
2018/06/24,57159
2018/06/25,214534
2018/06/26,112954
2018/06/27,102574
2018/06/28,102465
2018/06/29,136693
2018/06/30,791
2018/07/01,-109719
2018/07/02,-100647
2018/07/03,-78104
2018/07/04,-143215
2018/07/05,-77647
2018/07/06,-66627
2018/07/07,-104477
2018/07/08,-62380
2018/07/09,6368
2018/07/10,736
2018/07/11,-77160
2018/07/12,-114679
2018/07/13,-75135
2018/07/14,-104600
2018/07/15,-116761
2018/07/16,16375
2018/07/17,41746
2018/07/18,84028
2018/07/19,14601
2018/07/20,-46920
2018/07/21,-110488
2018/07/22,-78495
2018/07/23,-33627
2018/07/24,50915
2018/07/25,67800
2018/07/26,43724
2018/07/27,88254
2018/07/28,57527
2018/07/29,19949
2018/07/30,86990
2018/07/31,19550
2018/08/01,-21645
2018/08/02,-283807
2018/08/03,10142
2018/08/04,-25621
2018/08/05,-72520
2018/08/06,-74202
2018/08/07,-133183
2018/08/08,-179570
2018/08/09,-159039
2018/08/10,-538561
2018/08/11,-511621
2018/08/12,-532882
2018/08/13,-74959
2018/08/14,-122859
2018/08/15,-166965
2018/08/16,-115002
2018/08/17,-229550
2018/08/18,-155046
2018/08/19,-152485
2018/08/20,-133633
2018/08/21,-200915
2018/08/22,-174275
2018/08/23,-157086
2018/08/24,-145229
2018/08/25,-173955
2018/08/26,-212950
2018/08/27,-145890
2018/08/28,-149794
2018/08/29,-211907
2018/08/30,-126575
2018/08/31,-159943
2018/09/01,-145247
2018/09/02,-97957
2018/09/03,-81658
2018/09/04,-111341
2018/09/05,-112247
2018/09/06,-83695
2018/09/07,258684
2018/09/08,352951
2018/09/09,-143048
2018/09/10,-92973
2018/09/11,-143525
2018/09/12,-133086
2018/09/13,-143089
2018/09/14,-73201
2018/09/15,-153676
2018/09/16,-165085
2018/09/17,-138626
2018/09/18,-196426
2018/09/19,-195046
2018/09/20,-189160
2018/09/21,-124136
2018/09/22,-163425
2018/09/23,-291922
2018/09/24,-168336
2018/09/25,-167902
2018/09/26,-207793
2018/09/27,-177805
2018/09/28,-13226
2018/09/29,12972
2018/09/30,12850
2018/10/01,-4886
2018/10/02,-6404
2018/10/03,18612
2018/10/04,70045
2018/10/05,97112
2018/10/06,53217
2018/10/07,-59643
2018/10/08,-43563
2018/10/09,-14743
2018/10/10,-9369
2018/10/11,43448
2018/10/12,49680
2018/10/13,50376
2018/10/14,-117289
2018/10/15,-88365
2018/10/16,-158892
2018/10/17,-110006
2018/10/18,-73347
2018/10/19,-27785
2018/10/20,-102687
2018/10/21,-174850
2018/10/22,-153693
2018/10/23,-177331
2018/10/24,-131928
2018/10/25,-183455
2018/10/26,-122755
2018/10/27,-164074
2018/10/28,-185427
2018/10/29,-108062
2018/10/30,-110132
2018/10/31,-95049
2018/11/01,-156779
2018/11/02,-136700
2018/11/03,-134912
2018/11/04,-148191
2018/11/05,-58560
2018/11/06,-23817
2018/11/07,-45578
2018/11/08,307714
2018/11/09,331369
2018/11/10,304886
2018/11/11,-99837
2018/11/12,-84629
2018/11/13,-80986
2018/11/14,-111318
2018/11/15,-47825
2018/11/16,-62073
2018/11/17,-74271
2018/11/18,-139788
2018/11/19,12303
2018/11/20,-15831
2018/11/21,-50268
2018/11/22,-69080
2018/11/23,-59476
2018/11/24,-111443
2018/11/25,-101571
2018/11/26,-87392
2018/11/27,-32213
2018/11/28,-29888
2018/11/29,-61945
2018/11/30,-82263
2018/12/01,-139873
2018/12/02,-148873
2018/12/03,-86537
2018/12/04,-106541
2018/12/05,-61498
2018/12/06,-66125
2018/12/07,-27398
2018/12/08,-14631
2018/12/09,-46272
2018/12/10,-910
2018/12/11,-35993
2018/12/12,-49565
2018/12/13,-19467
2018/12/14,25173
2018/12/15,38815
2018/12/16,-4013
2018/12/17,21908
2018/12/18,13324
2018/12/19,20740
2018/12/20,5117
2018/12/21,37373
2018/12/22,-15213
2018/12/23,14030
2018/12/24,31319
2018/12/25,14612
2018/12/26,12344
2018/12/27,7828
