Date,price7rsiUSD
2016/10/17,31.317
2016/10/18,61.359
2016/10/19,51.763
2016/10/20,44.767
2016/10/21,43.908
2016/10/22,43.778
2016/10/23,40.422
2016/10/24,38.324
2016/10/25,23.639
2016/10/26,23.299
2016/10/27,20.81
2016/10/28,17.317
2016/10/29,10.023
2016/10/30,9.932
2016/10/31,39.041
2016/11/01,28.896
2016/11/02,37.27
2016/11/03,38.212
2016/11/04,40.7
2016/11/05,45.088
2016/11/06,42.451
2016/11/07,38.337
2016/11/08,36.348
2016/11/09,28.512
2016/11/10,27.347
2016/11/11,22.702
2016/11/12,17.069
2016/11/13,16.409
2016/11/14,15.406
2016/11/15,19.461
2016/11/16,29.052
2016/11/17,23.07
2016/11/18,16.544
2016/11/19,15.398
2016/11/20,14.611
2016/11/21,14.555
2016/11/22,42.752
2016/11/23,39.657
2016/11/24,27.552
2016/11/25,24.713
2016/11/26,23.576
2016/11/27,17.759
2016/11/28,13.549
2016/11/29,8.639
2016/11/30,19.941
2016/12/01,21.842
2016/12/02,15.472
2016/12/03,14.634
2016/12/04,12.587
2016/12/05,9.395
2016/12/06,7.408
2016/12/07,41.015
2016/12/08,55.985
2016/12/09,53.287
2016/12/10,51.625
2016/12/11,49.04
2016/12/12,53.027
2016/12/13,54.478
2016/12/14,53.034
2016/12/15,40.911
2016/12/16,37.233
2016/12/17,32.741
2016/12/18,41.23
2016/12/19,38.152
2016/12/20,34.952
2016/12/21,41.37
2016/12/22,37.008
2016/12/23,29.14
2016/12/24,27.015
2016/12/25,25.875
2016/12/26,27.327
2016/12/27,25.716
2016/12/28,27.894
2016/12/29,70.13
2016/12/30,72.76
2016/12/31,61.494
2017/01/01,67.569
2017/01/02,64.989
2017/01/03,77.327
2017/01/04,89.017
2017/01/05,89.173
2017/01/06,74.287
2017/01/07,67.834
2017/01/08,70.536
2017/01/09,75.573
2017/01/10,74.664
2017/01/11,62.766
2017/01/12,49.293
2017/01/13,51.111
2017/01/14,51.758
2017/01/15,55.069
2017/01/16,50.907
2017/01/17,61.174
2017/01/18,65.742
2017/01/19,66.973
2017/01/20,72.767
2017/01/21,76.248
2017/01/22,77.284
2017/01/23,72.494
2017/01/24,66.694
2017/01/25,59.746
2017/01/26,60.456
2017/01/27,57.432
2017/01/28,58.711
2017/01/29,55.842
2017/01/30,57.239
2017/01/31,63.916
2017/02/01,67.629
2017/02/02,67.315
2017/02/03,73.566
2017/02/04,86.857
2017/02/05,83.185
2017/02/06,83.861
2017/02/07,86.836
2017/02/08,81.511
2017/02/09,59.939
2017/02/10,53.753
2017/02/11,67.175
2017/02/12,67.54
2017/02/13,61.988
2017/02/14,84.691
2017/02/15,88.756
2017/02/16,85.034
2017/02/17,85.071
2017/02/18,84.71
2017/02/19,85.017
