Date,activeaddresses90ema
2016/01/01,2836
2016/01/02,2851
2016/01/03,2867
2016/01/04,2884
2016/01/05,2901
2016/01/06,2922
2016/01/07,2947
2016/01/08,2967
2016/01/09,2986
2016/01/10,3009
2016/01/11,3037
2016/01/12,3066
2016/01/13,3088
2016/01/14,3108
2016/01/15,3136
2016/01/16,3152
2016/01/17,3166
2016/01/18,3191
2016/01/19,3211
2016/01/20,3244
2016/01/21,3264
2016/01/22,3288
2016/01/23,3322
2016/01/24,3365
2016/01/25,3415
2016/01/26,3473
2016/01/27,3520
2016/01/28,3576
2016/01/29,3627
2016/01/30,3678
2016/01/31,3731
2016/02/01,3777
2016/02/02,3820
2016/02/03,3866
2016/02/04,3905
2016/02/05,3959
2016/02/06,3992
2016/02/07,4028
2016/02/08,4076
2016/02/09,4131
2016/02/10,4216
2016/02/11,4346
2016/02/12,4440
2016/02/13,4522
2016/02/14,4584
2016/02/15,4652
2016/02/16,4718
2016/02/17,4786
2016/02/18,4848
2016/02/19,4910
2016/02/20,4961
2016/02/21,5034
2016/02/22,5103
2016/02/23,5173
2016/02/24,5239
2016/02/25,5319
2016/02/26,5381
2016/02/27,5443
2016/02/28,5516
2016/02/29,5599
2016/03/01,5700
2016/03/02,5820
2016/03/03,5953
2016/03/04,6079
2016/03/05,6242
2016/03/06,6391
2016/03/07,6486
2016/03/08,6618
2016/03/09,6738
2016/03/10,6879
2016/03/11,6999
2016/03/12,7145
2016/03/13,7283
2016/03/14,7432
2016/03/15,7573
2016/03/16,7706
2016/03/17,7843
2016/03/18,8005
2016/03/19,8131
2016/03/20,8259
2016/03/21,8382
2016/03/22,8501
2016/03/23,8636
2016/03/24,8752
2016/03/25,8872
2016/03/26,8979
2016/03/27,9108
2016/03/28,9238
2016/03/29,9402
2016/03/30,9583
2016/03/31,9716
2016/04/01,9836
2016/04/02,9947
2016/04/03,10066
2016/04/04,10200
2016/04/05,10344
2016/04/06,10462
2016/04/07,10604
2016/04/08,10706
2016/04/09,10833
2016/04/10,10969
2016/04/11,11085
2016/04/12,11211
2016/04/13,11350
2016/04/14,11473
2016/04/15,11580
2016/04/16,11684
2016/04/17,11805
2016/04/18,11924
2016/04/19,12037
2016/04/20,12156
2016/04/21,12270
2016/04/22,12375
2016/04/23,12476
2016/04/24,12589
