Date,hashrate14wma
2016/01/01,539429753568
2016/01/02,537689113128
2016/01/03,538384674198
2016/01/04,538495104668
2016/01/05,539521153404
2016/01/06,541143275584
2016/01/07,539311411465
2016/01/08,540868443013
2016/01/09,542445154800
2016/01/10,541981487266
2016/01/11,544750645357
2016/01/12,544620683645
2016/01/13,543096962535
2016/01/14,544703231935
2016/01/15,547989616360
2016/01/16,551811119913
2016/01/17,554425704499
2016/01/18,559907025933
2016/01/19,564027582950
2016/01/20,568237903547
2016/01/21,571574184353
2016/01/22,577894886966
2016/01/23,583397211952
2016/01/24,593935913665
2016/01/25,599929597310
2016/01/26,611785381103
2016/01/27,621118974991
2016/01/28,627675521098
2016/01/29,635662778706
2016/01/30,642503671201
2016/01/31,645495568839
2016/02/01,652081339040
2016/02/02,653750609461
2016/02/03,661234390571
2016/02/04,667340456180
2016/02/05,672980670721
2016/02/06,674574471069
2016/02/07,678050575587
2016/02/08,685126335899
2016/02/09,688055053172
2016/02/10,693229594319
2016/02/11,701817383957
2016/02/12,705940772328
2016/02/13,715590950449
2016/02/14,725562222032
2016/02/15,736897144548
2016/02/16,746455946064
2016/02/17,752063740763
2016/02/18,754422443986
2016/02/19,762086025523
2016/02/20,769568530328
2016/02/21,776993412515
2016/02/22,788090968119
2016/02/23,798680177532
2016/02/24,807452270511
2016/02/25,816238436246
2016/02/26,827429850840
2016/02/27,839117007634
2016/02/28,852085368363
2016/02/29,859735805433
2016/03/01,868463555602
2016/03/02,881277694045
2016/03/03,894900309334
2016/03/04,909964331830
2016/03/05,929535335094
2016/03/06,947808682179
2016/03/07,965325864198
2016/03/08,982631342250
2016/03/09,1000693068630
2016/03/10,1022309513410
2016/03/11,1045083689118
2016/03/12,1073745517041
2016/03/13,1109420897971
2016/03/14,1135586634980
2016/03/15,1164840920423
2016/03/16,1193901341725
2016/03/17,1225565534299
2016/03/18,1251402593294
2016/03/19,1282342820516
2016/03/20,1313789711915
2016/03/21,1338330771483
2016/03/22,1364210642930
2016/03/23,1375934168657
2016/03/24,1400173841244
2016/03/25,1429991524931
2016/03/26,1461984252628
2016/03/27,1492940072409
2016/03/28,1516062461132
2016/03/29,1544093471464
2016/03/30,1574071234578
2016/03/31,1607915176841
2016/04/01,1640721345535
2016/04/02,1661002547983
2016/04/03,1691543635325
2016/04/04,1729631301141
2016/04/05,1764373623389
2016/04/06,1791617317224
2016/04/07,1803146028360
2016/04/08,1833131643608
2016/04/09,1857604470509
2016/04/10,1889088599490
2016/04/11,1908082432412
2016/04/12,1918134601180
2016/04/13,1938639921960
2016/04/14,1957870164856
2016/04/15,1985421876345
2016/04/16,2013662670265
2016/04/17,2030958293031
2016/04/18,2062385842475
2016/04/19,2090669489004
2016/04/20,2122177922029
2016/04/21,2152710697428
2016/04/22,2169347396883
2016/04/23,2196357258559
2016/04/24,2215670852451
2016/04/25,2248076448774
2016/04/26,2267102822347
2016/04/27,2284431503771
2016/04/28,2306008909686
2016/04/29,2330520392039
2016/04/30,2364723775020
2016/05/01,2392349844874
2016/05/02,2404698297499
2016/05/03,2433068188181
2016/05/04,2454127929622
2016/05/05,2473724885554
2016/05/06,2492160592556
2016/05/07,2505802138753
2016/05/08,2523883554512
2016/05/09,2542039182615
2016/05/10,2565943432327
2016/05/11,2572890554952
2016/05/12,2586155140269
2016/05/13,2620179799541
2016/05/14,2644691039301
2016/05/15,2669694765442
2016/05/16,2691211892185
2016/05/17,2708840613081
2016/05/18,2739920090663
2016/05/19,2776469203865
2016/05/20,2817207653122
2016/05/21,2856709710031
2016/05/22,2890175486747
2016/05/23,2921375388839
2016/05/24,2955121574946
2016/05/25,2988716858615
2016/05/26,3021739447332
2016/05/27,3051665122274
2016/05/28,3088509803343
2016/05/29,3123769846404
2016/05/30,3153137684842
2016/05/31,3172594745282
2016/06/01,3180199238784
2016/06/02,3194550918720
2016/06/03,3229312450054
2016/06/04,3258130206172
2016/06/05,3274158739090
2016/06/06,3302828006280
2016/06/07,3330884638272
2016/06/08,3357135046224
2016/06/09,3401573317754
2016/06/10,3412632909299
2016/06/11,3438959901760
2016/06/12,3465773261381
2016/06/13,3507556319652
2016/06/14,3549632235949
2016/06/15,3582592605386
2016/06/16,3610148930448
2016/06/17,3651788497951
2016/06/18,3676726550984
2016/06/19,3710298436999
