Date,sentinusd7momUSD
2016/01/01,270660
2016/01/02,124958
2016/01/03,296211
2016/01/04,-228564
2016/01/05,766202
2016/01/06,61664
2016/01/07,-23452
2016/01/08,-136146
2016/01/09,-26483
2016/01/10,-210961
2016/01/11,382179
2016/01/12,154086
2016/01/13,222940
2016/01/14,30651
2016/01/15,978699
2016/01/16,485093
2016/01/17,305640
2016/01/18,2688707
2016/01/19,538427
2016/01/20,401383
2016/01/21,376431
2016/01/22,222784
2016/01/23,1283427
2016/01/24,3656754
2016/01/25,1699123
2016/01/26,2029519
2016/01/27,2042089
2016/01/28,1539287
2016/01/29,769407
2016/01/30,503499
2016/01/31,-1500897
2016/02/01,-3586524
2016/02/02,-2347259
2016/02/03,-1415335
2016/02/04,-1458345
2016/02/05,-709682
2016/02/06,-1908815
2016/02/07,-200590
2016/02/08,3241834
2016/02/09,4086577
2016/02/10,6943388
2016/02/11,8033942
2016/02/12,10966293
2016/02/13,5860683
2016/02/14,2089113
2016/02/15,-569148
2016/02/16,852209
2016/02/17,-5359965
2016/02/18,-4324282
2016/02/19,-10199643
2016/02/20,-1154900
2016/02/21,-2389341
2016/02/22,131065
2016/02/23,2483932
2016/02/24,9085426
2016/02/25,1243838
2016/02/26,21798338
2016/02/27,8225727
2016/02/28,2909587
2016/02/29,430875
2016/03/01,-10808
2016/03/02,16550720
2016/03/03,13612931
2016/03/04,-10029818
2016/03/05,18383678
2016/03/06,12898485
2016/03/07,10710534
2016/03/08,11813521
2016/03/09,-16839521
2016/03/10,-9429620
2016/03/11,-3553156
2016/03/12,-12190743
2016/03/13,10483735
2016/03/14,6692588
2016/03/15,-4143508
2016/03/16,2866018
2016/03/17,10262402
2016/03/18,13609766
2016/03/19,-11339809
2016/03/20,-22720216
2016/03/21,-12185247
2016/03/22,-8512768
2016/03/23,-7960303
2016/03/24,-9364339
2016/03/25,-18070775
2016/03/26,-4757964
2016/03/27,6850669
2016/03/28,-908197
2016/03/29,6987993
2016/03/30,9324789
2016/03/31,-314248
2016/04/01,-1534605
2016/04/02,695141
2016/04/03,-10025724
2016/04/04,-3924812
2016/04/05,-7557858
2016/04/06,-9881700
2016/04/07,-3039623
2016/04/08,989300
2016/04/09,8249549
2016/04/10,7669351
2016/04/11,335394
2016/04/12,1198773
2016/04/13,2628816
2016/04/14,388439
2016/04/15,-506473
2016/04/16,-8969797
2016/04/17,-2553106
2016/04/18,498212
2016/04/19,-4891366
2016/04/20,-3071508
2016/04/21,-3900726
2016/04/22,1103679
2016/04/23,4527240
2016/04/24,-4557161
2016/04/25,-231070
2016/04/26,4819053
2016/04/27,149154
2016/04/28,1771548
2016/04/29,-1492937
2016/04/30,14249320
2016/05/01,12308404
2016/05/02,12816854
2016/05/03,5068592
2016/05/04,4552111
2016/05/05,4775526
2016/05/06,15284639
2016/05/07,-8187811
2016/05/08,-2156658
2016/05/09,764273
2016/05/10,5708743
2016/05/11,19074350
2016/05/12,22528618
2016/05/13,66085635
2016/05/14,46110086
2016/05/15,1941119
2016/05/16,-3479497
2016/05/17,-3777894
2016/05/18,-5945718
2016/05/19,3977345
2016/05/20,-53467592
2016/05/21,-46699161
2016/05/22,-5716933
2016/05/23,1945757
2016/05/24,7411030
