Date,activeaddresses30sma
2016/01/01,3163
2016/01/02,3193
2016/01/03,3228
2016/01/04,3265
2016/01/05,3288
2016/01/06,3319
2016/01/07,3365
2016/01/08,3404
2016/01/09,3442
2016/01/10,3484
2016/01/11,3512
2016/01/12,3556
2016/01/13,3576
2016/01/14,3604
2016/01/15,3646
2016/01/16,3654
2016/01/17,3665
2016/01/18,3700
2016/01/19,3728
2016/01/20,3772
2016/01/21,3797
2016/01/22,3832
2016/01/23,3883
2016/01/24,3953
2016/01/25,4029
2016/01/26,4122
2016/01/27,4190
2016/01/28,4277
2016/01/29,4364
2016/01/30,4439
2016/01/31,4527
2016/02/01,4604
2016/02/02,4676
2016/02/03,4751
2016/02/04,4817
2016/02/05,4902
2016/02/06,4948
2016/02/07,5007
2016/02/08,5086
2016/02/09,5170
2016/02/10,5295
2016/02/11,5488
2016/02/12,5638
2016/02/13,5779
2016/02/14,5878
2016/02/15,6003
2016/02/16,6133
2016/02/17,6250
2016/02/18,6367
2016/02/19,6466
2016/02/20,6568
2016/02/21,6699
2016/02/22,6812
2016/02/23,6911
2016/02/24,6995
2016/02/25,7090
2016/02/26,7174
2016/02/27,7245
2016/02/28,7340
2016/02/29,7453
2016/03/01,7589
2016/03/02,7767
2016/03/03,7971
2016/03/04,8163
2016/03/05,8426
2016/03/06,8648
2016/03/07,8824
2016/03/08,9050
2016/03/09,9246
2016/03/10,9467
2016/03/11,9610
2016/03/12,9727
2016/03/13,9888
2016/03/14,10084
2016/03/15,10300
2016/03/16,10499
2016/03/17,10709
2016/03/18,10956
2016/03/19,11160
2016/03/20,11369
2016/03/21,11589
2016/03/22,11774
2016/03/23,11988
2016/03/24,12177
2016/03/25,12378
2016/03/26,12540
2016/03/27,12764
2016/03/28,12991
2016/03/29,13256
2016/03/30,13534
2016/03/31,13715
2016/04/01,13848
2016/04/02,13950
2016/04/03,14072
2016/04/04,14160
2016/04/05,14285
2016/04/06,14452
2016/04/07,14601
2016/04/08,14706
2016/04/09,14816
2016/04/10,14973
2016/04/11,15060
2016/04/12,15174
2016/04/13,15289
2016/04/14,15391
2016/04/15,15482
2016/04/16,15562
2016/04/17,15626
2016/04/18,15742
2016/04/19,15847
2016/04/20,15968
2016/04/21,16085
2016/04/22,16166
2016/04/23,16267
2016/04/24,16380
2016/04/25,16506
2016/04/26,16601
2016/04/27,16692
2016/04/28,16711
2016/04/29,16785
2016/04/30,17130
2016/05/01,17308
2016/05/02,17604
2016/05/03,17779
2016/05/04,17909
2016/05/05,18030
2016/05/06,18181
2016/05/07,18273
2016/05/08,18488
2016/05/09,18682
2016/05/10,18829
2016/05/11,19080
2016/05/12,19318
2016/05/13,19609
2016/05/14,19839
2016/05/15,20051
2016/05/16,20214
2016/05/17,20420
2016/05/18,20723
2016/05/19,20992
2016/05/20,21207
2016/05/21,21396
2016/05/22,21530
2016/05/23,21812
2016/05/24,22027
2016/05/25,22262
2016/05/26,22712
2016/05/27,23062
2016/05/28,23771
2016/05/29,23959
2016/05/30,23889
2016/05/31,24035
2016/06/01,24029
2016/06/02,24116
2016/06/03,24213
2016/06/04,24271
2016/06/05,24339
2016/06/06,24464
2016/06/07,24520
2016/06/08,24572
2016/06/09,24629
2016/06/10,24628
2016/06/11,24492
2016/06/12,24440
2016/06/13,24593
2016/06/14,24789
2016/06/15,24937
2016/06/16,24970
2016/06/17,25259
2016/06/18,25509
2016/06/19,25677
2016/06/20,25823
2016/06/21,26033
2016/06/22,26185
2016/06/23,26237
2016/06/24,26274
2016/06/25,26014
2016/06/26,25973
2016/06/27,25503
2016/06/28,25546
2016/06/29,25604
2016/06/30,25613
2016/07/01,25647
