Date,mediantransactionvalue90wmaUSD
2016/01/01,1.269
2016/01/02,1.27
2016/01/03,1.27
2016/01/04,1.268
2016/01/05,1.239
2016/01/06,1.21
2016/01/07,1.181
2016/01/08,1.177
2016/01/09,1.172
2016/01/10,1.172
2016/01/11,1.17
2016/01/12,1.175
2016/01/13,1.146
2016/01/14,1.145
2016/01/15,1.155
2016/01/16,1.161
2016/01/17,1.167
2016/01/18,1.171
2016/01/19,1.158
2016/01/20,1.179
2016/01/21,1.196
2016/01/22,1.2
2016/01/23,1.224
2016/01/24,1.255
2016/01/25,1.275
2016/01/26,1.304
2016/01/27,1.291
2016/01/28,1.315
2016/01/29,1.342
2016/01/30,1.374
2016/01/31,1.405
2016/02/01,1.429
2016/02/02,1.451
2016/02/03,1.483
2016/02/04,1.514
2016/02/05,1.542
2016/02/06,1.51
2016/02/07,1.547
2016/02/08,1.596
2016/02/09,1.655
2016/02/10,1.751
2016/02/11,1.836
2016/02/12,1.965
2016/02/13,2.052
2016/02/14,2.139
2016/02/15,2.235
2016/02/16,2.316
2016/02/17,2.37
2016/02/18,2.429
2016/02/19,2.495
2016/02/20,2.563
2016/02/21,2.633
2016/02/22,2.714
2016/02/23,2.81
2016/02/24,2.904
2016/02/25,3.008
2016/02/26,3.098
2016/02/27,3.199
2016/02/28,3.311
2016/02/29,3.418
2016/03/01,3.536
2016/03/02,3.677
2016/03/03,3.847
2016/03/04,4.011
2016/03/05,4.253
2016/03/06,4.45
2016/03/07,4.634
2016/03/08,4.793
2016/03/09,4.971
2016/03/10,5.205
2016/03/11,5.382
2016/03/12,5.623
2016/03/13,5.877
2016/03/14,6.122
2016/03/15,6.335
2016/03/16,6.56
2016/03/17,6.739
2016/03/18,6.884
2016/03/19,7.018
2016/03/20,7.144
2016/03/21,7.288
2016/03/22,7.441
2016/03/23,7.598
2016/03/24,7.735
2016/03/25,7.851
2016/03/26,7.969
2016/03/27,8.092
2016/03/28,8.219
2016/03/29,8.353
2016/03/30,8.489
2016/03/31,8.622
2016/04/01,8.747
2016/04/02,8.868
2016/04/03,8.988
2016/04/04,9.097
2016/04/05,9.186
2016/04/06,9.276
2016/04/07,9.357
2016/04/08,9.422
2016/04/09,9.482
2016/04/10,9.519
2016/04/11,9.55
2016/04/12,9.563
2016/04/13,9.57
2016/04/14,9.59
2016/04/15,9.607
2016/04/16,9.624
2016/04/17,9.624
2016/04/18,9.654
2016/04/19,9.682
2016/04/20,9.698
2016/04/21,9.706
2016/04/22,9.707
2016/04/23,9.705
2016/04/24,9.705
2016/04/25,9.695
2016/04/26,9.674
2016/04/27,9.658
2016/04/28,9.637
2016/04/29,9.613
2016/04/30,9.605
2016/05/01,9.607
2016/05/02,9.628
2016/05/03,9.649
2016/05/04,9.664
2016/05/05,9.678
2016/05/06,9.691
2016/05/07,9.697
2016/05/08,9.699
2016/05/09,9.703
2016/05/10,9.703
2016/05/11,9.71
2016/05/12,9.726
2016/05/13,9.756
2016/05/14,9.775
2016/05/15,9.787
2016/05/16,9.808
2016/05/17,9.856
2016/05/18,9.929
2016/05/19,10.019
2016/05/20,10.118
2016/05/21,10.196
2016/05/22,10.282
2016/05/23,10.371
2016/05/24,10.433
2016/05/25,10.477
2016/05/26,10.389
2016/05/27,10.41
2016/05/28,10.202
2016/05/29,10.127
2016/05/30,10.17
2016/05/31,10.229
2016/06/01,10.301
2016/06/02,10.371
2016/06/03,10.437
2016/06/04,10.415
2016/06/05,10.483
2016/06/06,10.553
2016/06/07,10.476
2016/06/08,10.559
2016/06/09,10.641
2016/06/10,10.698
2016/06/11,10.768
2016/06/12,10.782
2016/06/13,10.913
2016/06/14,11.051
2016/06/15,11.219
2016/06/16,11.412
2016/06/17,11.288
2016/06/18,11.225
2016/06/19,11.203
2016/06/20,11.149
2016/06/21,11.177
2016/06/22,11.254
2016/06/23,11.305
2016/06/24,11.225
2016/06/25,11.301
2016/06/26,11.24
2016/06/27,11.31
2016/06/28,11.362
2016/06/29,11.213
2016/06/30,11.006
2016/07/01,11.042
2016/07/02,11.074
2016/07/03,11.104
2016/07/04,11.126
2016/07/05,11.124
2016/07/06,11.126
2016/07/07,11.115
2016/07/08,11.064
2016/07/09,11.07
2016/07/10,11.077
2016/07/11,11.078
2016/07/12,11.064
2016/07/13,11.061
2016/07/14,10.974
2016/07/15,11.002
2016/07/16,10.924
2016/07/17,10.938
2016/07/18,10.952
2016/07/19,10.973
2016/07/20,10.797
2016/07/21,10.777
2016/07/22,10.839
2016/07/23,10.901
2016/07/24,10.961
2016/07/25,11.017
2016/07/26,11.063
2016/07/27,11.098
2016/07/28,11.135
2016/07/29,11.132
2016/07/30,11.14
2016/07/31,11.162
2016/08/01,11.17
2016/08/02,11.152
2016/08/03,10.992
2016/08/04,10.983
2016/08/05,10.978
2016/08/06,10.968
2016/08/07,10.961
2016/08/08,10.956
2016/08/09,10.966
2016/08/10,10.959
2016/08/11,10.92
2016/08/12,10.828
2016/08/13,10.747
2016/08/14,10.753
2016/08/15,10.718
2016/08/16,10.574
2016/08/17,10.452
2016/08/18,10.327
2016/08/19,10.239
2016/08/20,10.18
2016/08/21,10.118
2016/08/22,10.036
2016/08/23,9.925
2016/08/24,9.799
2016/08/25,9.655
2016/08/26,9.523
2016/08/27,9.396
2016/08/28,9.386
2016/08/29,9.24
2016/08/30,9.117
2016/08/31,9.067
2016/09/01,9.111
2016/09/02,8.945
2016/09/03,8.912
2016/09/04,8.814
2016/09/05,8.831
2016/09/06,8.706
2016/09/07,8.541
2016/09/08,8.387
2016/09/09,8.234
2016/09/10,8.211
2016/09/11,8.266
2016/09/12,8.223
2016/09/13,8.284
2016/09/14,8.144
2016/09/15,8.004
2016/09/16,7.87
2016/09/17,7.818
2016/09/18,7.845
2016/09/19,7.934
2016/09/20,8.04
2016/09/21,8.149
2016/09/22,8
2016/09/23,8.1
2016/09/24,8.193
2016/09/25,8.287
2016/09/26,8.375
2016/09/27,8.468
2016/09/28,8.563
2016/09/29,8.655
2016/09/30,8.748
2016/10/01,8.664
2016/10/02,8.755
2016/10/03,8.847
2016/10/04,8.647
2016/10/05,8.67
2016/10/06,8.616
2016/10/07,8.698
2016/10/08,8.771
2016/10/09,8.844
2016/10/10,8.906
2016/10/11,8.97
2016/10/12,8.985
2016/10/13,8.811
2016/10/14,8.876
2016/10/15,8.947
2016/10/16,9.014
2016/10/17,9.078
2016/10/18,9.043
2016/10/19,9.109
