Date,transactions3mom
2016/01/01,-3125
2016/01/02,-12603
2016/01/03,-1043
2016/01/04,1241
2016/01/05,7266
2016/01/06,7816
2016/01/07,12601
2016/01/08,-5511
2016/01/09,-5281
2016/01/10,-11755
2016/01/11,-26
2016/01/12,-931
2016/01/13,7345
2016/01/14,-240
2016/01/15,-987
2016/01/16,-7001
2016/01/17,-906
2016/01/18,3041
2016/01/19,2756
2016/01/20,863
2016/01/21,-2182
2016/01/22,428
2016/01/23,415
2016/01/24,2064
2016/01/25,3273
2016/01/26,5486
2016/01/27,5949
2016/01/28,-356
2016/01/29,-116
2016/01/30,-4086
2016/01/31,-2599
2016/02/01,-2196
2016/02/02,-370
2016/02/03,108
2016/02/04,172
2016/02/05,958
2016/02/06,17144
2016/02/07,-107
2016/02/08,-530
2016/02/09,-15901
2016/02/10,2877
2016/02/11,6721
2016/02/12,2592
2016/02/13,2186
2016/02/14,-4816
2016/02/15,-950
2016/02/16,-1778
2016/02/17,3366
2016/02/18,-190
2016/02/19,863
2016/02/20,-3276
2016/02/21,150
2016/02/22,-222
2016/02/23,1768
2016/02/24,2421
2016/02/25,1313
2016/02/26,2586
2016/02/27,-559
2016/02/28,-440
2016/02/29,-710
2016/03/01,2797
2016/03/02,4499
2016/03/03,4479
2016/03/04,2509
2016/03/05,3553
2016/03/06,2824
2016/03/07,-1016
2016/03/08,-3010
2016/03/09,-3104
2016/03/10,1543
2016/03/11,-981
2016/03/12,3330
2016/03/13,3313
2016/03/14,5404
2016/03/15,1386
2016/03/16,-531
2016/03/17,5003
2016/03/18,2548
2016/03/19,7183
2016/03/20,-1084
2016/03/21,690
2016/03/22,-1889
2016/03/23,-661
2016/03/24,4436
2016/03/25,3872
2016/03/26,4860
2016/03/27,-6973
2016/03/28,-3149
2016/03/29,-2731
2016/03/30,6793
2016/03/31,-1354
2016/04/01,-595
2016/04/02,-7409
2016/04/03,-2671
2016/04/04,1587
2016/04/05,9815
2016/04/06,2490
2016/04/07,-3014
2016/04/08,-5163
2016/04/09,-155
2016/04/10,344
2016/04/11,-3683
2016/04/12,2750
2016/04/13,3814
2016/04/14,4454
2016/04/15,286
2016/04/16,-5568
2016/04/17,5422
2016/04/18,-1446
