Date,activeaddresses90sma
2016/01/01,2775
2016/01/02,2791
2016/01/03,2807
2016/01/04,2824
2016/01/05,2841
2016/01/06,2861
2016/01/07,2883
2016/01/08,2905
2016/01/09,2925
2016/01/10,2947
2016/01/11,2971
2016/01/12,2994
2016/01/13,3015
2016/01/14,3035
2016/01/15,3061
2016/01/16,3082
2016/01/17,3100
2016/01/18,3127
2016/01/19,3148
2016/01/20,3177
2016/01/21,3198
2016/01/22,3221
2016/01/23,3249
2016/01/24,3281
2016/01/25,3315
2016/01/26,3353
2016/01/27,3383
2016/01/28,3414
2016/01/29,3446
2016/01/30,3477
2016/01/31,3510
2016/02/01,3540
2016/02/02,3570
2016/02/03,3603
2016/02/04,3634
2016/02/05,3671
2016/02/06,3695
2016/02/07,3723
2016/02/08,3759
2016/02/09,3797
2016/02/10,3855
2016/02/11,3936
2016/02/12,4000
2016/02/13,4059
2016/02/14,4108
2016/02/15,4160
2016/02/16,4212
2016/02/17,4267
2016/02/18,4321
2016/02/19,4378
2016/02/20,4426
2016/02/21,4488
2016/02/22,4548
2016/02/23,4610
2016/02/24,4670
2016/02/25,4740
2016/02/26,4802
2016/02/27,4864
2016/02/28,4932
2016/02/29,5007
2016/03/01,5093
2016/03/02,5188
2016/03/03,5292
2016/03/04,5393
2016/03/05,5510
2016/03/06,5623
2016/03/07,5712
2016/03/08,5821
2016/03/09,5925
2016/03/10,6041
2016/03/11,6139
2016/03/12,6257
2016/03/13,6367
2016/03/14,6489
2016/03/15,6608
2016/03/16,6719
2016/03/17,6836
2016/03/18,6969
2016/03/19,7085
2016/03/20,7202
2016/03/21,7318
2016/03/22,7435
2016/03/23,7561
2016/03/24,7680
2016/03/25,7801
2016/03/26,7917
2016/03/27,8043
2016/03/28,8171
2016/03/29,8320
2016/03/30,8475
2016/03/31,8610
2016/04/01,8740
2016/04/02,8866
2016/04/03,8996
2016/04/04,9135
2016/04/05,9278
2016/04/06,9408
2016/04/07,9553
2016/04/08,9680
2016/04/09,9818
2016/04/10,9960
2016/04/11,10091
2016/04/12,10233
2016/04/13,10384
2016/04/14,10523
2016/04/15,10661
2016/04/16,10802
2016/04/17,10944
2016/04/18,11090
2016/04/19,11227
2016/04/20,11375
2016/04/21,11519
2016/04/22,11655
2016/04/23,11785
2016/04/24,11918
2016/04/25,12045
2016/04/26,12180
2016/04/27,12309
2016/04/28,12435
2016/04/29,12590
2016/04/30,12811
2016/05/01,12975
2016/05/02,13175
2016/05/03,13338
2016/05/04,13499
2016/05/05,13654
2016/05/06,13819
2016/05/07,13975
2016/05/08,14147
2016/05/09,14322
2016/05/10,14471
2016/05/11,14622
2016/05/12,14793
2016/05/13,14994
2016/05/14,15177
2016/05/15,15344
2016/05/16,15495
2016/05/17,15667
2016/05/18,15875
2016/05/19,16069
2016/05/20,16254
2016/05/21,16418
2016/05/22,16562
2016/05/23,16752
2016/05/24,16928
2016/05/25,17102
2016/05/26,17359
2016/05/27,17582
2016/05/28,17913
2016/05/29,18093
2016/05/30,18244
2016/05/31,18397
2016/06/01,18528
2016/06/02,18656
2016/06/03,18761
2016/06/04,18862
2016/06/05,18991
2016/06/06,19113
2016/06/07,19238
2016/06/08,19357
2016/06/09,19477
2016/06/10,19589
2016/06/11,19661
2016/06/12,19779
2016/06/13,19941
2016/06/14,20108
2016/06/15,20238
2016/06/16,20339
2016/06/17,20575
2016/06/18,20783
2016/06/19,20951
2016/06/20,21101
2016/06/21,21243
2016/06/22,21421
2016/06/23,21548
2016/06/24,21681
2016/06/25,21776
2016/06/26,21909
2016/06/27,21995
2016/06/28,22097
2016/06/29,22208
2016/06/30,22319
2016/07/01,22426
2016/07/02,22534
2016/07/03,22628
2016/07/04,22728
2016/07/05,22838
2016/07/06,22928
2016/07/07,23038
2016/07/08,23142
2016/07/09,23229
2016/07/10,23325
2016/07/11,23413
2016/07/12,23501
2016/07/13,23563
2016/07/14,23669
2016/07/15,23768
2016/07/16,23849
2016/07/17,23891
2016/07/18,23961
2016/07/19,24105
2016/07/20,24258
2016/07/21,24385
2016/07/22,24545
2016/07/23,24668
2016/07/24,24874
2016/07/25,25044
2016/07/26,25305
2016/07/27,25531
2016/07/28,25682
2016/07/29,25727
2016/07/30,25803
2016/07/31,25862
2016/08/01,25959
2016/08/02,26051
2016/08/03,26155
2016/08/04,26257
2016/08/05,26342
2016/08/06,26392
2016/08/07,26441
2016/08/08,26506
2016/08/09,26577
2016/08/10,26621
2016/08/11,26669
2016/08/12,26701
2016/08/13,26736
2016/08/14,26791
2016/08/15,26833
2016/08/16,26873
2016/08/17,26894
2016/08/18,26925
2016/08/19,26971
2016/08/20,27037
2016/08/21,27057
2016/08/22,27085
2016/08/23,27136
2016/08/24,27089
2016/08/25,27100
2016/08/26,26977
2016/08/27,27002
2016/08/28,27042
2016/08/29,27085
2016/08/30,27130
2016/08/31,27202
2016/09/01,27283
2016/09/02,27366
2016/09/03,27425
2016/09/04,27470
2016/09/05,27516
2016/09/06,27563
2016/09/07,27601
2016/09/08,27678
2016/09/09,27764
2016/09/10,27791
2016/09/11,27787
2016/09/12,27786
2016/09/13,27811
2016/09/14,27851
2016/09/15,27780
2016/09/16,27744
2016/09/17,27742
2016/09/18,27732
2016/09/19,27732
2016/09/20,27795
2016/09/21,27832
2016/09/22,27813
2016/09/23,27834
2016/09/24,27817
2016/09/25,27823
2016/09/26,27800
2016/09/27,27790
2016/09/28,27797
2016/09/29,27810
2016/09/30,27812
2016/10/01,27832
2016/10/02,27856
2016/10/03,27858
2016/10/04,27809
2016/10/05,27771
2016/10/06,27726
2016/10/07,27744
2016/10/08,27745
2016/10/09,27780
2016/10/10,27817
2016/10/11,27839
2016/10/12,27723
2016/10/13,27573
2016/10/14,27547
2016/10/15,27501
2016/10/16,27467
2016/10/17,27389
2016/10/18,27364
2016/10/19,27260
2016/10/20,27230
2016/10/21,27296
2016/10/22,27176
2016/10/23,27076
2016/10/24,26906
2016/10/25,26772
2016/10/26,26687
2016/10/27,26639
2016/10/28,26620
2016/10/29,26560
2016/10/30,26470
2016/10/31,26470
2016/11/01,26440
2016/11/02,26417
2016/11/03,26397
2016/11/04,26307
2016/11/05,26265
2016/11/06,26187
2016/11/07,26125
2016/11/08,26074
2016/11/09,26001
2016/11/10,25943
2016/11/11,25925
2016/11/12,25885
2016/11/13,25858
2016/11/14,25766
2016/11/15,25726
2016/11/16,25670
2016/11/17,25609
2016/11/18,25562
2016/11/19,25501
2016/11/20,25456
2016/11/21,25380
2016/11/22,25482
2016/11/23,25665
2016/11/24,25581
2016/11/25,25641
2016/11/26,25547
2016/11/27,25455
2016/11/28,25391
2016/11/29,25286
2016/11/30,25192
2016/12/01,25085
2016/12/02,25027
2016/12/03,24979
2016/12/04,24918
2016/12/05,24845
2016/12/06,24831
2016/12/07,24717
2016/12/08,24640
2016/12/09,24585
2016/12/10,24502
2016/12/11,24421
2016/12/12,24358
2016/12/13,24273
2016/12/14,24207
2016/12/15,24144
2016/12/16,24072
2016/12/17,24011
2016/12/18,23921
2016/12/19,23787
2016/12/20,23730
2016/12/21,23720
2016/12/22,23769
2016/12/23,23745
2016/12/24,23703
2016/12/25,23641
2016/12/26,23579
2016/12/27,23516
2016/12/28,23464
2016/12/29,23428
2016/12/30,23371
2016/12/31,23309
2017/01/01,23236
2017/01/02,23241
2017/01/03,23236
2017/01/04,23290
2017/01/05,23295
2017/01/06,23294
2017/01/07,23245
2017/01/08,23169
2017/01/09,23171
2017/01/10,23256
2017/01/11,23390
2017/01/12,23412
2017/01/13,23473
2017/01/14,23483
2017/01/15,23463
2017/01/16,23412
2017/01/17,23465
2017/01/18,23398
2017/01/19,23270
2017/01/20,23258
2017/01/21,23243
2017/01/22,23206
2017/01/23,23174
2017/01/24,23154
2017/01/25,23115
2017/01/26,23077
2017/01/27,23060
2017/01/28,23065
2017/01/29,22986
2017/01/30,22939
2017/01/31,22883
2017/02/01,22853
2017/02/02,22911
2017/02/03,22907
2017/02/04,22948
2017/02/05,22946
2017/02/06,22951
2017/02/07,22947
2017/02/08,22977
2017/02/09,22977
2017/02/10,23006
2017/02/11,22983
2017/02/12,23006
2017/02/13,23051
2017/02/14,23118
2017/02/15,23189
2017/02/16,23233
2017/02/17,23283
2017/02/18,23336
2017/02/19,23370
2017/02/20,23270
2017/02/21,23059
2017/02/22,23130
2017/02/23,23048
2017/02/24,23161
2017/02/25,23237
2017/02/26,23298
2017/02/27,23400
2017/02/28,23539
2017/03/01,23705
2017/03/02,23941
2017/03/03,24112
2017/03/04,24253
2017/03/05,24383
2017/03/06,24493
2017/03/07,24625
2017/03/08,24760
2017/03/09,24924
2017/03/10,25098
2017/03/11,25279
2017/03/12,25484
2017/03/13,25851
2017/03/14,26112
2017/03/15,26384
2017/03/16,26894
2017/03/17,27404
2017/03/18,27801
2017/03/19,28076
2017/03/20,28360
2017/03/21,28655
2017/03/22,28843
2017/03/23,29097
2017/03/24,29469
2017/03/25,29821
2017/03/26,30114
2017/03/27,30451
2017/03/28,30759
2017/03/29,31075
2017/03/30,31509
2017/03/31,32011
2017/04/01,32320
2017/04/02,32688
2017/04/03,33173
2017/04/04,33471
2017/04/05,33765
2017/04/06,34186
2017/04/07,34472
2017/04/08,34711
2017/04/09,34901
2017/04/10,35160
2017/04/11,35397
2017/04/12,35669
2017/04/13,35988
2017/04/14,36297
2017/04/15,36566
2017/04/16,36739
2017/04/17,36949
2017/04/18,37263
2017/04/19,37573
2017/04/20,37908
2017/04/21,38163
2017/04/22,38404
2017/04/23,38660
2017/04/24,38961
2017/04/25,39269
2017/04/26,39656
2017/04/27,40188
2017/04/28,40640
2017/04/29,41049
2017/04/30,41477
2017/05/01,42024
2017/05/02,42528
2017/05/03,42951
2017/05/04,43557
2017/05/05,44127
2017/05/06,44560
2017/05/07,45097
2017/05/08,45758
2017/05/09,46347
2017/05/10,46897
2017/05/11,47499
2017/05/12,48029
2017/05/13,48455
2017/05/14,48895
2017/05/15,49449
2017/05/16,49996
2017/05/17,50496
2017/05/18,51207
2017/05/19,52115
2017/05/20,52719
2017/05/21,53427
2017/05/22,54386
2017/05/23,55447
2017/05/24,56504
2017/05/25,57521
2017/05/26,58468
2017/05/27,59227
2017/05/28,59936
2017/05/29,60672
2017/05/30,61517
2017/05/31,62391
2017/06/01,63502
2017/06/02,64412
2017/06/03,65332
2017/06/04,66245
2017/06/05,67288
2017/06/06,68457
2017/06/07,69523
2017/06/08,70512
2017/06/09,71689
2017/06/10,72897
2017/06/11,74171
2017/06/12,76011
2017/06/13,77713
2017/06/14,78975
2017/06/15,80330
2017/06/16,81585
2017/06/17,82875
2017/06/18,84219
2017/06/19,85796
2017/06/20,87402
2017/06/21,88635
2017/06/22,90324
2017/06/23,92011
2017/06/24,93513
2017/06/25,94684
2017/06/26,96781
2017/06/27,98249
2017/06/28,99672
2017/06/29,100954
2017/06/30,102404
2017/07/01,103698
2017/07/02,104898
2017/07/03,106542
2017/07/04,108097
2017/07/05,109398
2017/07/06,110816
2017/07/07,112594
2017/07/08,113906
2017/07/09,115062
2017/07/10,116787
2017/07/11,118396
2017/07/12,119906
2017/07/13,121179
2017/07/14,122495
2017/07/15,123792
2017/07/16,125118
2017/07/17,126387
2017/07/18,127801
2017/07/19,129201
2017/07/20,130632
2017/07/21,131968
2017/07/22,133018
2017/07/23,134489
2017/07/24,135812
2017/07/25,136982
2017/07/26,137880
2017/07/27,138942
2017/07/28,140129
2017/07/29,140994
2017/07/30,141843
2017/07/31,143146
2017/08/01,144147
2017/08/02,145070
2017/08/03,145975
2017/08/04,147202
2017/08/05,148330
2017/08/06,149309
2017/08/07,150516
2017/08/08,152087
2017/08/09,153336
2017/08/10,155072
2017/08/11,156940
2017/08/12,158580
2017/08/13,160061
2017/08/14,162233
2017/08/15,164402
2017/08/16,166377
2017/08/17,168228
2017/08/18,170550
2017/08/19,172161
2017/08/20,173131
2017/08/21,174577
2017/08/22,175740
2017/08/23,177171
2017/08/24,178434
2017/08/25,180002
2017/08/26,181082
2017/08/27,182173
2017/08/28,183509
2017/08/29,185047
2017/08/30,186479
2017/08/31,188241
2017/09/01,189833
2017/09/02,191000
2017/09/03,191805
2017/09/04,193604
2017/09/05,195359
2017/09/06,197406
2017/09/07,198835
2017/09/08,200284
2017/09/09,201132
2017/09/10,201109
2017/09/11,201557
2017/09/12,202654
2017/09/13,203251
2017/09/14,204354
2017/09/15,205942
2017/09/16,206622
2017/09/17,206615
2017/09/18,207286
2017/09/19,208076
2017/09/20,208203
2017/09/21,208269
2017/09/22,208230
2017/09/23,208399
2017/09/24,207775
2017/09/25,207974
2017/09/26,208010
2017/09/27,208185
2017/09/28,208582
2017/09/29,209102
2017/09/30,209292
2017/10/01,209015
2017/10/02,209098
2017/10/03,209415
2017/10/04,209579
2017/10/05,209509
2017/10/06,209903
2017/10/07,210277
2017/10/08,210152
2017/10/09,210212
2017/10/10,210707
2017/10/11,211358
2017/10/12,212047
2017/10/13,213156
2017/10/14,213723
2017/10/15,214152
2017/10/16,214472
2017/10/17,215381
2017/10/18,216066
2017/10/19,216767
2017/10/20,217982
2017/10/21,218601
2017/10/22,219553
2017/10/23,220517
2017/10/24,221680
2017/10/25,222492
2017/10/26,223327
2017/10/27,224416
2017/10/28,222772
2017/10/29,220710
2017/10/30,219028
2017/10/31,220231
2017/11/01,221645
2017/11/02,223259
2017/11/03,224308
2017/11/04,224764
2017/11/05,225001
2017/11/06,225357
2017/11/07,226000
2017/11/08,226507
2017/11/09,227043
2017/11/10,227712
