Date,sentbyaddress14roc
2016/01/01,3.854
2016/01/02,5.679
2016/01/03,8.3
2016/01/04,3.758
2016/01/05,3.228
2016/01/06,12.249
2016/01/07,15.818
2016/01/08,14.784
2016/01/09,12.342
2016/01/10,27.474
2016/01/11,15.76
2016/01/12,28.324
2016/01/13,20.626
2016/01/14,0.876
2016/01/15,28.125
2016/01/16,-4.571
2016/01/17,-11.434
2016/01/18,2.21
2016/01/19,-5.15
2016/01/20,21.407
2016/01/21,-10.59
2016/01/22,-2.855
2016/01/23,11.52
2016/01/24,14.658
2016/01/25,18.847
2016/01/26,17.618
2016/01/27,17.381
2016/01/28,21.019
2016/01/29,2.693
2016/01/30,28.932
2016/01/31,46.546
2016/02/01,23.904
2016/02/02,29.994
2016/02/03,-0.442
2016/02/04,28.867
2016/02/05,27.955
2016/02/06,3.781
2016/02/07,1.42
2016/02/08,4.133
2016/02/09,5.489
2016/02/10,56.971
2016/02/11,62.201
2016/02/12,63.483
2016/02/13,54.167
2016/02/14,26.333
2016/02/15,34.028
2016/02/16,36.698
2016/02/17,33.103
2016/02/18,36.916
2016/02/19,29.668
2016/02/20,29.605
2016/02/21,61.811
2016/02/22,30.889
2016/02/23,20.492
2016/02/24,-11.608
2016/02/25,-3.156
2016/02/26,-9.413
2016/02/27,-0.098
2016/02/28,28.421
2016/02/29,45.208
2016/03/01,57.221
2016/03/02,66.568
2016/03/03,76.742
2016/03/04,82.661
2016/03/05,127.949
2016/03/06,54.674
2016/03/07,47.989
2016/03/08,79.846
2016/03/09,71.067
2016/03/10,66.281
2016/03/11,73.204
2016/03/12,66.688
2016/03/13,47.725
2016/03/14,25.629
2016/03/15,12.54
2016/03/16,1.246
2016/03/17,4.068
2016/03/18,10.586
2016/03/19,-22.89
2016/03/20,-14.736
2016/03/21,13.363
2016/03/22,-16.27
2016/03/23,-7.008
2016/03/24,-18.575
2016/03/25,-17.535
2016/03/26,-19.945
2016/03/27,-7.053
2016/03/28,-5.393
2016/03/29,23.869
2016/03/30,34.484
2016/03/31,-3.151
2016/04/01,-14.032
2016/04/02,-1.937
2016/04/03,-5.601
2016/04/04,-3.065
2016/04/05,10.649
2016/04/06,7.58
2016/04/07,8.166
2016/04/08,8.772
2016/04/09,20.762
2016/04/10,15.348
2016/04/11,0.147
2016/04/12,-16.299
2016/04/13,-11.554
2016/04/14,3.501
2016/04/15,-0.087
2016/04/16,3.675
2016/04/17,18.007
2016/04/18,2.088
2016/04/19,-1.447
2016/04/20,1.721
2016/04/21,3.473
2016/04/22,9.333
2016/04/23,-0.769
2016/04/24,-6.338
2016/04/25,10.818
2016/04/26,7.099
2016/04/27,-1.035
2016/04/28,2.01
2016/04/29,64.501
2016/04/30,79.619
2016/05/01,37.529
2016/05/02,59.619
2016/05/03,49.562
2016/05/04,36.803
2016/05/05,39.779
2016/05/06,36.979
2016/05/07,35.569
2016/05/08,40.641
2016/05/09,40.313
2016/05/10,39.844
2016/05/11,62.696
2016/05/12,73.162
2016/05/13,37.916
2016/05/14,13.431
2016/05/15,12.98
2016/05/16,-4.527
2016/05/17,13.209
2016/05/18,29.725
2016/05/19,31.982
2016/05/20,23.55
2016/05/21,16.464
2016/05/22,-2.603
2016/05/23,21.787
2016/05/24,14.047
2016/05/25,-3.776
2016/05/26,74.882
2016/05/27,-2.509
2016/05/28,73.274
2016/05/29,10.339
2016/05/30,11.516
2016/05/31,8.597
2016/06/01,-7.257
2016/06/02,-15.559
2016/06/03,-9.484
2016/06/04,-7.823
2016/06/05,3.163
2016/06/06,-15.525
2016/06/07,-7.755
2016/06/08,-5.546
2016/06/09,-51.591
2016/06/10,-24.114
2016/06/11,-56.953
2016/06/12,-7.995
2016/06/13,15.023
2016/06/14,11.165
2016/06/15,5.321
2016/06/16,22.335
2016/06/17,80.213
2016/06/18,76.162
2016/06/19,37.02
2016/06/20,17.868
2016/06/21,20.4
2016/06/22,31.616
2016/06/23,12.666
2016/06/24,4.66
2016/06/25,8.324
2016/06/26,-9.064
2016/06/27,-23.614
2016/06/28,-14.083
2016/06/29,-3.996
2016/06/30,-20.167
2016/07/01,-45.337
2016/07/02,-37.709
2016/07/03,-20.069
2016/07/04,-7.646
2016/07/05,-11.069
2016/07/06,-21.355
2016/07/07,-3.649
2016/07/08,0.754
2016/07/09,5.908
2016/07/10,2.163
2016/07/11,4.268
2016/07/12,-8.811
2016/07/13,-8.576
2016/07/14,8.35
2016/07/15,5.487
2016/07/16,-11.334
2016/07/17,-18.243
2016/07/18,-11.512
2016/07/19,106.582
2016/07/20,30.995
2016/07/21,19.365
2016/07/22,31.251
2016/07/23,22.986
2016/07/24,94.666
2016/07/25,50.421
2016/07/26,123.348
2016/07/27,80.665
2016/07/28,52.396
2016/07/29,28.778
2016/07/30,27.667
2016/07/31,55.731
2016/08/01,41.458
2016/08/02,-27.361
2016/08/03,-0.866
2016/08/04,4.528
2016/08/05,-17.03
2016/08/06,-11.117
2016/08/07,-40.204
2016/08/08,-19.015
2016/08/09,-40.481
2016/08/10,-32.056
