Date,sentinusd7smaUSD
2016/01/01,244527
2016/01/02,262378
2016/01/03,304694
2016/01/04,272042
2016/01/05,381500
2016/01/06,390309
2016/01/07,386958
2016/01/08,367509
2016/01/09,363726
2016/01/10,333589
2016/01/11,388185
2016/01/12,410198
2016/01/13,442046
2016/01/14,446425
2016/01/15,586239
2016/01/16,655538
2016/01/17,699201
2016/01/18,1083302
2016/01/19,1160220
2016/01/20,1217561
2016/01/21,1271336
2016/01/22,1303163
2016/01/23,1486509
2016/01/24,2008903
2016/01/25,2251635
2016/01/26,2541566
2016/01/27,2833293
2016/01/28,3053191
2016/01/29,3163106
2016/01/30,3235035
2016/01/31,3020621
2016/02/01,2508261
2016/02/02,2172938
2016/02/03,1970747
2016/02/04,1762412
2016/02/05,1661029
2016/02/06,1388341
2016/02/07,1359685
2016/02/08,1822805
2016/02/09,2406601
2016/02/10,3398514
2016/02/11,4546220
2016/02/12,6112833
2016/02/13,6950074
2016/02/14,7248518
2016/02/15,7167211
2016/02/16,7288956
2016/02/17,6523246
2016/02/18,5905492
2016/02/19,4448400
2016/02/20,4283414
2016/02/21,3942080
2016/02/22,3960803
2016/02/23,4315651
2016/02/24,5613569
2016/02/25,5791260
2016/02/26,8905308
2016/02/27,10080412
2016/02/28,10496067
2016/02/29,10557621
2016/03/01,10556077
2016/03/02,12920465
2016/03/03,14865170
2016/03/04,13432339
2016/03/05,16058578
2016/03/06,17901219
2016/03/07,19431295
2016/03/08,21118941
2016/03/09,18713295
2016/03/10,17366207
2016/03/11,16858613
2016/03/12,15117078
2016/03/13,16614755
2016/03/14,17570839
2016/03/15,16978909
2016/03/16,17388340
2016/03/17,18854398
2016/03/18,20798650
2016/03/19,19178677
2016/03/20,15932932
2016/03/21,14192183
2016/03/22,12976073
2016/03/23,11838887
2016/03/24,10501124
2016/03/25,7919585
2016/03/26,7239876
2016/03/27,8218543
2016/03/28,8088800
2016/03/29,9087085
2016/03/30,10419198
2016/03/31,10374305
2016/04/01,10155076
2016/04/02,10254382
2016/04/03,8822135
2016/04/04,8261448
2016/04/05,7181754
2016/04/06,5770082
2016/04/07,5335850
2016/04/08,5477179
2016/04/09,6655686
2016/04/10,7751308
2016/04/11,7799221
2016/04/12,7970474
2016/04/13,8346019
2016/04/14,8401511
2016/04/15,8329157
2016/04/16,7047758
2016/04/17,6683028
2016/04/18,6754201
2016/04/19,6055435
2016/04/20,5616648
2016/04/21,5059401
2016/04/22,5217070
2016/04/23,5863818
2016/04/24,5212795
2016/04/25,5179785
2016/04/26,5868222
2016/04/27,5889529
2016/04/28,6142608
2016/04/29,5929331
2016/04/30,7964948
2016/05/01,9723291
2016/05/02,11554271
2016/05/03,12278355
2016/05/04,12928657
2016/05/05,13610875
2016/05/06,15794394
2016/05/07,14624707
2016/05/08,14316613
2016/05/09,14425795
2016/05/10,15241330
2016/05/11,17966237
2016/05/12,21184611
2016/05/13,30625416
2016/05/14,37212571
2016/05/15,37489874
2016/05/16,36992803
2016/05/17,36453104
2016/05/18,35603715
2016/05/19,36171907
2016/05/20,28533680
2016/05/21,21862371
2016/05/22,21045667
2016/05/23,21323632
2016/05/24,22382350
2016/05/25,22049173
2016/05/26,19032894
2016/05/27,18623633
2016/05/28,20267100
2016/05/29,20649564
2016/05/30,19934815
2016/05/31,18595221
2016/06/01,17116431
2016/06/02,15824843
2016/06/03,12820530
2016/06/04,10141523
2016/06/05,9301988
2016/06/06,8451502
2016/06/07,8523326
2016/06/08,11408769
2016/06/09,11371678
2016/06/10,11948151
2016/06/11,12081663
2016/06/12,13495620
2016/06/13,15345288
2016/06/14,17008449
2016/06/15,14963207
2016/06/16,18135284
2016/06/17,26749369
2016/06/18,35165675
2016/06/19,36015696
2016/06/20,37593014
2016/06/21,36976625
2016/06/22,38755361
2016/06/23,37934633
2016/06/24,29746378
2016/06/25,22835678
2016/06/26,20917489
2016/06/27,17833156
2016/06/28,17694729
2016/06/29,15713508
2016/06/30,13956130
2016/07/01,13223040
2016/07/02,11471085
2016/07/03,11103901
2016/07/04,11740609
2016/07/05,14203513
2016/07/06,13606424
2016/07/07,13477848
2016/07/08,13016188
2016/07/09,13149308
2016/07/10,13308533
2016/07/11,12595507
2016/07/12,8517948
2016/07/13,8318872
2016/07/14,8372863
2016/07/15,13979985
2016/07/16,14366685
2016/07/17,14566906
2016/07/18,17979070
2016/07/19,32373051
2016/07/20,55219583
2016/07/21,56865496
2016/07/22,56078468
2016/07/23,60182609
2016/07/24,83436266
2016/07/25,97474077
2016/07/26,119897109
2016/07/27,118155916
2016/07/28,128929343
2016/07/29,132755608
2016/07/30,134140345
2016/07/31,115948898
2016/08/01,106283979
2016/08/02,82963030
2016/08/03,72448527
2016/08/04,64194324
2016/08/05,61072164
2016/08/06,57039977
2016/08/07,54017132
2016/08/08,48345197
2016/08/09,38829513
2016/08/10,35221393
2016/08/11,36174842
2016/08/12,33495419
2016/08/13,34053742
2016/08/14,33419326
2016/08/15,32375918
2016/08/16,28580895
2016/08/17,22962484
2016/08/18,18216781
2016/08/19,15918418
2016/08/20,15045902
2016/08/21,18036099
2016/08/22,19325755
2016/08/23,24926772
2016/08/24,23738047
2016/08/25,23373087
2016/08/26,24960671
2016/08/27,24050327
2016/08/28,19733930
2016/08/29,18026160
2016/08/30,12301489
2016/08/31,12491705
2016/09/01,14459325
2016/09/02,14321354
2016/09/03,14903321
2016/09/04,16067579
2016/09/05,15558968
2016/09/06,15795445
2016/09/07,15484503
2016/09/08,14521398
2016/09/09,12643091
2016/09/10,11632269
2016/09/11,10593736
2016/09/12,10799152
2016/09/13,10840757
2016/09/14,10665465
2016/09/15,9242837
2016/09/16,12055627
2016/09/17,12380902
2016/09/18,13804987
2016/09/19,13938194
2016/09/20,19503342
2016/09/21,26193508
2016/09/22,28673078
2016/09/23,28603985
2016/09/24,29654475
2016/09/25,31410807
2016/09/26,32388607
2016/09/27,27294657
2016/09/28,24044518
2016/09/29,24467874
2016/09/30,22295405
2016/10/01,21347569
2016/10/02,20119031
2016/10/03,18598895
2016/10/04,17828319
2016/10/05,15067120
2016/10/06,12819661
2016/10/07,12799399
2016/10/08,13097945
2016/10/09,14218802
2016/10/10,17427844
2016/10/11,20007539
2016/10/12,22482640
2016/10/13,22507076
2016/10/14,25300370
2016/10/15,25422509
2016/10/16,23642065
2016/10/17,22396163
2016/10/18,23568055
2016/10/19,20987126
2016/10/20,20502615
2016/10/21,17080662
2016/10/22,15980218
2016/10/23,13994344
2016/10/24,11988029
2016/10/25,8714539
2016/10/26,8388852
2016/10/27,8644172
2016/10/28,10051260
2016/10/29,12028910
2016/10/30,14977072
2016/10/31,15842401
2016/11/01,18430258
2016/11/02,23596218
2016/11/03,37584961
2016/11/04,36985318
2016/11/05,35508043
2016/11/06,32626333
2016/11/07,31645666
2016/11/08,28284047
2016/11/09,24668958
2016/11/10,10711725
2016/11/11,14423743
2016/11/12,14854033
2016/11/13,15867747
2016/11/14,15635376
2016/11/15,16075752
2016/11/16,14561675
2016/11/17,17596674
2016/11/18,13503989
2016/11/19,12890831
2016/11/20,11943424
2016/11/21,12082833
2016/11/22,14249192
2016/11/23,16097738
2016/11/24,12659668
2016/11/25,13200584
2016/11/26,12956727
2016/11/27,13006037
2016/11/28,13102986
2016/11/29,10996521
2016/11/30,9004119
2016/12/01,9121869
2016/12/02,10851028
2016/12/03,15337736
2016/12/04,16265880
2016/12/05,19025824
2016/12/06,23584958
2016/12/07,24863275
2016/12/08,26641059
2016/12/09,25889791
2016/12/10,22135850
2016/12/11,22557511
2016/12/12,20062954
2016/12/13,15283792
2016/12/14,13839732
2016/12/15,13217940
2016/12/16,11788732
2016/12/17,13502059
2016/12/18,13643868
2016/12/19,13901282
2016/12/20,14088081
2016/12/21,15124157
2016/12/22,16333966
2016/12/23,21293489
2016/12/24,20342631
2016/12/25,19016691
2016/12/26,18349521
2016/12/27,18286271
2016/12/28,18968523
2016/12/29,20657305
2016/12/30,17970379
2016/12/31,22801504
2017/01/01,23851758
2017/01/02,26335332
2017/01/03,31264714
2017/01/04,40017024
2017/01/05,46808332
2017/01/06,53556778
2017/01/07,52440837
2017/01/08,53871206
2017/01/09,57104422
2017/01/10,57544007
2017/01/11,52431982
2017/01/12,46510126
2017/01/13,39320850
2017/01/14,34459737
2017/01/15,31703478
2017/01/16,26234522
2017/01/17,21636080
