Date,mediantransactionvalue14momUSD
2016/01/01,0.308
2016/01/02,0.067
2016/01/03,0.35
2016/01/04,0.679
2016/01/05,0
2016/01/06,0
2016/01/07,-0.195
2016/01/08,0.061
2016/01/09,0.191
2016/01/10,1.28
2016/01/11,0.361
2016/01/12,0.622
2016/01/13,0
2016/01/14,0.004
2016/01/15,0.178
2016/01/16,0.255
2016/01/17,0.287
2016/01/18,0.279
2016/01/19,0.724
2016/01/20,2.3
2016/01/21,2.096
2016/01/22,0.477
2016/01/23,1.333
2016/01/24,1.508
2016/01/25,1.084
2016/01/26,1.239
2016/01/27,0.789
2016/01/28,1.221
2016/01/29,0.891
2016/01/30,1.26
2016/01/31,1.218
2016/02/01,0.964
2016/02/02,1.694
2016/02/03,0.557
2016/02/04,0.729
2016/02/05,1.161
2016/02/06,-2.43
2016/02/07,0.35
2016/02/08,1.396
2016/02/09,1.428
2016/02/10,5.144
2016/02/11,2.939
2016/02/12,4.894
2016/02/13,2.769
2016/02/14,2.875
2016/02/15,3.681
2016/02/16,3.061
2016/02/17,1.464
2016/02/18,1.769
2016/02/19,2.21
2016/02/20,5.004
2016/02/21,2.048
2016/02/22,2.034
2016/02/23,2.253
2016/02/24,0.469
2016/02/25,1.511
2016/02/26,-1.182
2016/02/27,1.207
2016/02/28,1.73
2016/02/29,1.128
2016/03/01,2.342
2016/03/02,4.636
2016/03/03,5.781
2016/03/04,5.206
2016/03/05,8.823
2016/03/06,6.729
2016/03/07,5.687
2016/03/08,4.015
2016/03/09,4.932
2016/03/10,7.094
2016/03/11,5.234
2016/03/12,7.761
2016/03/13,7.906
2016/03/14,7.804
2016/03/15,5.965
2016/03/16,5.547
2016/03/17,2.187
2016/03/18,0.982
2016/03/19,-3.138
2016/03/20,-1.409
2016/03/21,-0.022
2016/03/22,1.503
2016/03/23,0.916
2016/03/24,-2.579
2016/03/25,-0.888
2016/03/26,-3.777
2016/03/27,-4.15
2016/03/28,-3.624
2016/03/29,-1.865
2016/03/30,-2.363
2016/03/31,-0.425
2016/04/01,0.735
2016/04/02,1.129
2016/04/03,1.38
2016/04/04,0.126
2016/04/05,-1.227
2016/04/06,-1.369
2016/04/07,-0.849
2016/04/08,-0.681
2016/04/09,-0.971
2016/04/10,-2.312
2016/04/11,-2.778
2016/04/12,-3.954
2016/04/13,-4.344
2016/04/14,-3.671
2016/04/15,-3.497
2016/04/16,-3.354
2016/04/17,-4.115
2016/04/18,-2.3
2016/04/19,-1.538
2016/04/20,-2.15
2016/04/21,-2.131
2016/04/22,-1.828
2016/04/23,-1.695
2016/04/24,-0.603
2016/04/25,-0.808
2016/04/26,-0.511
2016/04/27,-0.043
2016/04/28,-0.925
2016/04/29,-0.83
2016/04/30,-0.185
2016/05/01,1.027
2016/05/02,0.488
2016/05/03,0.619
2016/05/04,0.895
2016/05/05,1.15
2016/05/06,1.526
2016/05/07,1.306
2016/05/08,1.073
2016/05/09,1.604
2016/05/10,1.958
2016/05/11,1.974
2016/05/12,2.664
2016/05/13,3.336
2016/05/14,2.131
2016/05/15,1.364
2016/05/16,0.876
2016/05/17,2.09
2016/05/18,3.512
2016/05/19,4.382
2016/05/20,4.797
2016/05/21,4.157
2016/05/22,4.758
2016/05/23,4.834
2016/05/24,3.811
2016/05/25,2.687
2016/05/26,-3.667
2016/05/27,0.597
2016/05/28,-9.322
2016/05/29,-3.076
2016/05/30,1.852
2016/05/31,1.3
2016/06/01,0.745
2016/06/02,-0.17
2016/06/03,-0.828
2016/06/04,-3.977
2016/06/05,-0.371
2016/06/06,-0.478
2016/06/07,-6.024
2016/06/08,2.047
2016/06/09,7.838
2016/06/10,1.819
2016/06/11,12.755
2016/06/12,4.216
2016/06/13,4.152
2016/06/14,3.733
2016/06/15,4.434
2016/06/16,5.692
2016/06/17,-8.445
2016/06/18,-1.726
2016/06/19,-4.023
2016/06/20,-5.541
2016/06/21,4.757
2016/06/22,-0.276
2016/06/23,-1.368
2016/06/24,-6.174
2016/06/25,0.328
2016/06/26,-3.356
2016/06/27,-2.738
2016/06/28,-3.824
2016/06/29,-14.386
2016/06/30,-18.28
2016/07/01,6.911
2016/07/02,4.078
2016/07/03,2.15
2016/07/04,3.228
2016/07/05,-1.495
2016/07/06,-3.605
2016/07/07,-2.962
