Date,sentinusd7trxUSD
2016/01/01,-0.754
2016/01/02,0.227
2016/01/03,1.415
2016/01/04,1.073
2016/01/05,5.627
2016/01/06,6.292
2016/01/07,5.789
2016/01/08,4.044
2016/01/09,2.291
2016/01/10,0.437
2016/01/11,0.713
2016/01/12,4.945
2016/01/13,6.383
2016/01/14,5.852
2016/01/15,7.981
2016/01/16,8.396
2016/01/17,7.013
2016/01/18,14.502
2016/01/19,17.051
2016/01/20,14.515
2016/01/21,10.767
2016/01/22,8.672
2016/01/23,8.388
2016/01/24,12.032
2016/01/25,16.487
2016/01/26,17.261
2016/01/27,15.18
2016/01/28,11.911
2016/01/29,8.782
2016/01/30,6.48
2016/01/31,4.861
2016/02/01,2.79
2016/02/02,0.915
2016/02/03,-0.533
2016/02/04,-2.057
2016/02/05,-2.981
2016/02/06,-4.118
2016/02/07,-3.848
2016/02/08,-1.197
2016/02/09,2.905
2016/02/10,8.948
2016/02/11,13.945
2016/02/12,18.514
2016/02/13,17.193
2016/02/14,13.372
2016/02/15,9.468
2016/02/16,7.092
2016/02/17,4.439
2016/02/18,2.59
2016/02/19,0.575
2016/02/20,-0.265
2016/02/21,-1.486
2016/02/22,-2.058
2016/02/23,-0.747
2016/02/24,2.313
2016/02/25,3.438
2016/02/26,9.058
2016/02/27,11.449
2016/02/28,9.557
2016/02/29,6.57
2016/03/01,4.68
2016/03/02,7.516
2016/03/03,9.241
2016/03/04,8.893
2016/03/05,10.624
2016/03/06,10.082
2016/03/07,8.365
2016/03/08,7.152
2016/03/09,5.197
2016/03/10,3.091
2016/03/11,1.305
2016/03/12,0.858
2016/03/13,1.89
2016/03/14,2.645
2016/03/15,2.552
2016/03/16,1.938
2016/03/17,1.712
2016/03/18,1.998
2016/03/19,0.978
2016/03/20,-0.646
2016/03/21,-1.915
2016/03/22,-3.022
2016/03/23,-4.014
2016/03/24,-4.412
2016/03/25,-4.941
2016/03/26,-5.7
2016/03/27,-5.443
2016/03/28,-5.069
2016/03/29,-3.844
2016/03/30,-2.128
2016/03/31,-1.151
2016/04/01,-1.495
2016/04/02,-2.381
2016/04/03,-3.634
2016/04/04,-4.529
2016/04/05,-4.749
2016/04/06,-4.75
2016/04/07,-4.373
2016/04/08,-4.174
2016/04/09,-2.706
2016/04/10,-1.231
2016/04/11,-0.919
2016/04/12,-0.515
2016/04/13,-0.068
2016/04/14,0.137
2016/04/15,-0.386
2016/04/16,-1.398
2016/04/17,-1.654
2016/04/18,-1.897
2016/04/19,-2.516
2016/04/20,-2.751
2016/04/21,-3.14
2016/04/22,-3.063
2016/04/23,-2.246
2016/04/24,-2.37
2016/04/25,-2.276
2016/04/26,-1.321
2016/04/27,-0.746
2016/04/28,-0.461
2016/04/29,-0.659
2016/04/30,3.604
2016/05/01,6.966
2016/05/02,9.615
2016/05/03,9.936
2016/05/04,8.552
2016/05/05,6.787
2016/05/06,6.695
2016/05/07,6.096
2016/05/08,5.174
2016/05/09,5.056
2016/05/10,5.141
2016/05/11,6.468
2016/05/12,8.154
2016/05/13,15.129
2016/05/14,18.11
2016/05/15,14.385
