Date,size7sma
2016/01/01,1228
2016/01/02,1210
2016/01/03,1122
2016/01/04,1085
2016/01/05,1113
2016/01/06,1111
2016/01/07,1182
2016/01/08,1210
2016/01/09,1246
2016/01/10,1259
2016/01/11,1270
2016/01/12,1227
2016/01/13,1208
2016/01/14,1139
2016/01/15,1128
2016/01/16,1093
2016/01/17,1071
2016/01/18,1071
2016/01/19,1073
2016/01/20,1006
2016/01/21,989.437
2016/01/22,992.459
2016/01/23,983.656
2016/01/24,998.842
2016/01/25,1039
2016/01/26,1056
2016/01/27,1143
2016/01/28,1211
2016/01/29,1251
2016/01/30,1290
2016/01/31,1311
2016/02/01,1274
2016/02/02,1253
2016/02/03,1181
2016/02/04,1132
2016/02/05,1105
2016/02/06,1176
2016/02/07,1161
2016/02/08,1154
2016/02/09,1148
2016/02/10,1154
2016/02/11,1182
2016/02/12,1189
2016/02/13,1124
2016/02/14,1141
2016/02/15,1154
2016/02/16,1168
2016/02/17,1190
2016/02/18,1166
2016/02/19,1164
2016/02/20,1139
2016/02/21,1126
2016/02/22,1121
2016/02/23,1119
2016/02/24,1097
2016/02/25,1098
2016/02/26,1117
2016/02/27,1125
2016/02/28,1130
2016/02/29,1142
2016/03/01,1148
2016/03/02,1161
2016/03/03,1180
2016/03/04,1174
2016/03/05,1205
2016/03/06,1244
2016/03/07,1250
2016/03/08,1262
2016/03/09,1274
2016/03/10,1270
2016/03/11,1265
2016/03/12,1275
2016/03/13,1278
2016/03/14,1319
2016/03/15,1330
2016/03/16,1335
2016/03/17,1363
2016/03/18,1391
2016/03/19,1407
2016/03/20,1414
2016/03/21,1414
2016/03/22,1442
2016/03/23,1472
2016/03/24,1535
2016/03/25,1566
2016/03/26,1573
2016/03/27,1546
2016/03/28,1556
2016/03/29,1538
2016/03/30,1544
2016/03/31,1479
2016/04/01,1461
2016/04/02,1418
2016/04/03,1415
2016/04/04,1406
2016/04/05,1426
2016/04/06,1392
2016/04/07,1392
2016/04/08,1399
2016/04/09,1411
2016/04/10,1416
2016/04/11,1381
2016/04/12,1371
2016/04/13,1391
2016/04/14,1391
2016/04/15,1372
2016/04/16,1358
2016/04/17,1449
2016/04/18,1461
2016/04/19,1442
2016/04/20,1425
2016/04/21,1439
2016/04/22,1422
2016/04/23,1430
2016/04/24,1361
2016/04/25,1368
2016/04/26,1372
2016/04/27,1365
2016/04/28,1351
2016/04/29,1370
2016/04/30,1416
2016/05/01,1451
2016/05/02,1463
2016/05/03,1477
2016/05/04,1503
2016/05/05,1515
2016/05/06,1543
2016/05/07,1513
2016/05/08,1492
2016/05/09,1489
2016/05/10,1494
2016/05/11,1502
2016/05/12,1530
2016/05/13,1537
2016/05/14,1581
2016/05/15,1582
2016/05/16,1587
2016/05/17,1592
2016/05/18,1610
2016/05/19,1595
2016/05/20,1596
2016/05/21,1594
2016/05/22,1588
2016/05/23,1599
2016/05/24,1601
2016/05/25,1598
2016/05/26,1621
2016/05/27,1628
2016/05/28,1737
2016/05/29,1763
2016/05/30,1759
2016/05/31,1768
2016/06/01,1753
2016/06/02,1713
2016/06/03,1670
2016/06/04,1524
2016/06/05,1484
2016/06/06,1467
2016/06/07,1481
2016/06/08,1463
2016/06/09,1466
2016/06/10,1468
2016/06/11,1464
2016/06/12,1473
2016/06/13,1498
2016/06/14,1501
2016/06/15,1513
2016/06/16,1532
2016/06/17,1632
2016/06/18,1726
2016/06/19,1749
2016/06/20,1765
2016/06/21,1753
2016/06/22,1766
2016/06/23,1753
2016/06/24,1682
2016/06/25,1592
2016/06/26,1567
2016/06/27,1524
2016/06/28,1504
2016/06/29,1529
2016/06/30,1651
2016/07/01,1614
2016/07/02,1609
2016/07/03,1602
2016/07/04,1603
2016/07/05,1601
2016/07/06,1547
2016/07/07,1411
2016/07/08,1439
2016/07/09,1444
2016/07/10,1445
2016/07/11,1445
2016/07/12,1459
2016/07/13,1452
2016/07/14,1469
2016/07/15,1452
2016/07/16,1442
2016/07/17,1422
2016/07/18,1418
2016/07/19,1409
2016/07/20,1461
2016/07/21,1459
2016/07/22,1485
2016/07/23,1506
2016/07/24,1582
2016/07/25,1630
2016/07/26,1694
2016/07/27,1692
2016/07/28,1705
2016/07/29,1699
2016/07/30,1693
2016/07/31,1663
2016/08/01,1638
2016/08/02,1601
2016/08/03,1595
2016/08/04,1596
2016/08/05,1586
2016/08/06,1587
2016/08/07,1571
2016/08/08,1563
2016/08/09,1549
2016/08/10,1541
2016/08/11,1541
2016/08/12,1546
2016/08/13,1541
2016/08/14,1531
2016/08/15,1526
2016/08/16,1530
2016/08/17,1520
2016/08/18,1526
2016/08/19,1516
2016/08/20,1519
2016/08/21,1530
2016/08/22,1538
2016/08/23,1595
2016/08/24,1604
2016/08/25,1604
2016/08/26,1621
2016/08/27,1640
2016/08/28,1636
2016/08/29,1642
2016/08/30,1584
2016/08/31,1577
2016/09/01,1565
2016/09/02,1599
2016/09/03,1589
2016/09/04,1627
2016/09/05,1619
2016/09/06,1634
2016/09/07,1656
2016/09/08,1701
2016/09/09,1702
2016/09/10,1701
2016/09/11,1664
2016/09/12,1674
2016/09/13,1642
2016/09/14,1652
2016/09/15,1629
2016/09/16,1653
2016/09/17,1664
2016/09/18,1661
2016/09/19,1626
2016/09/20,1653
2016/09/21,1630
2016/09/22,1649
2016/09/23,1544
2016/09/24,1535
2016/09/25,1528
2016/09/26,1557
2016/09/27,1553
2016/09/28,1548
2016/09/29,1486
2016/09/30,1508
2016/10/01,1549
2016/10/02,1592
2016/10/03,1617
2016/10/04,1692
2016/10/05,1727
2016/10/06,1798
2016/10/07,2181
2016/10/08,2698
2016/10/09,3269
2016/10/10,4841
2016/10/11,4923
2016/10/12,4844
2016/10/13,4753
2016/10/14,4365
2016/10/15,3766
2016/10/16,3139
2016/10/17,1518
2016/10/18,1373
2016/10/19,1429
2016/10/20,1452
2016/10/21,1498
2016/10/22,1515
2016/10/23,1514
2016/10/24,1574
2016/10/25,1563
2016/10/26,1551
2016/10/27,1558
2016/10/28,1522
2016/10/29,1537
2016/10/30,1556
2016/10/31,1519
2016/11/01,1521
2016/11/02,1514
2016/11/03,1507
2016/11/04,1477
2016/11/05,1462
2016/11/06,1443
2016/11/07,1424
2016/11/08,1393
2016/11/09,1391
2016/11/10,1394
2016/11/11,1423
2016/11/12,1433
2016/11/13,1458
2016/11/14,1483
2016/11/15,1498
2016/11/16,1498
2016/11/17,1495
2016/11/18,1503
2016/11/19,1495
2016/11/20,1496
2016/11/21,1491
2016/11/22,1509
2016/11/23,1576
2016/11/24,1569
2016/11/25,1605
2016/11/26,1623
2016/11/27,1656
2016/11/28,1683
2016/11/29,1681
2016/11/30,1718
2016/12/01,1716
2016/12/02,1672
2016/12/03,1658
2016/12/04,1616
2016/12/05,1581
2016/12/06,1570
2016/12/07,1472
2016/12/08,1473
2016/12/09,1479
2016/12/10,1483
2016/12/11,1522
2016/12/12,1520
2016/12/13,1509
2016/12/14,1554
2016/12/15,1578
2016/12/16,1578
2016/12/17,1577
