Date,price14momUSD
2016/01/01,0.027
2016/01/02,0.054
2016/01/03,0.059
2016/01/04,0.066
2016/01/05,0.072
2016/01/06,0.095
2016/01/07,0.124
2016/01/08,0.117
2016/01/09,0.199
2016/01/10,0.234
2016/01/11,0.198
2016/01/12,0.322
2016/01/13,0.23
2016/01/14,0.185
2016/01/15,0.281
2016/01/16,0.275
2016/01/17,0.255
2016/01/18,0.449
2016/01/19,0.397
2016/01/20,0.491
2016/01/21,0.531
2016/01/22,0.528
2016/01/23,0.68
2016/01/24,1.059
2016/01/25,1.245
2016/01/26,1.407
2016/01/27,1.272
2016/01/28,1.349
2016/01/29,1.267
2016/01/30,1.28
2016/01/31,1.152
2016/02/01,0.801
2016/02/02,0.864
2016/02/03,0.963
2016/02/04,1.009
2016/02/05,1.006
2016/02/06,0.767
2016/02/07,0.552
2016/02/08,0.806
2016/02/09,0.91
2016/02/10,1.961
2016/02/11,2.447
2016/02/12,3.4
2016/02/13,2.469
2016/02/14,2.51
2016/02/15,3.246
2016/02/16,2.628
2016/02/17,1.67
2016/02/18,1.499
2016/02/19,1.973
2016/02/20,1.931
2016/02/21,1.735
2016/02/22,2.037
2016/02/23,2.189
2016/02/24,1.449
2016/02/25,1.338
2016/02/26,0.08
2016/02/27,1.232
2016/02/28,1.548
2016/02/29,0.952
2016/03/01,1.883
2016/03/02,3.884
2016/03/03,5.212
2016/03/04,4.76
2016/03/05,6.7
2016/03/06,6.68
2016/03/07,5.188
2016/03/08,3.918
2016/03/09,4.755
2016/03/10,5.358
2016/03/11,5.11
2016/03/12,6.685
2016/03/13,7.881
2016/03/14,7.037
2016/03/15,5.959
2016/03/16,5.251
2016/03/17,2.357
2016/03/18,0.95
2016/03/19,-0.572
2016/03/20,-0.88
2016/03/21,0.646
2016/03/22,2.004
2016/03/23,1.28
2016/03/24,-0.24
2016/03/25,-0.315
2016/03/26,-2.07
2016/03/27,-3.643
2016/03/28,-2.267
2016/03/29,-1.15
2016/03/30,-1.434
2016/03/31,0.152
2016/04/01,1.401
2016/04/02,0.888
2016/04/03,1.262
2016/04/04,0.298
2016/04/05,-0.888
2016/04/06,-1.26
2016/04/07,-1.011
2016/04/08,-0.906
2016/04/09,-1.228
2016/04/10,-2.062
2016/04/11,-2.71
2016/04/12,-3.685
2016/04/13,-4.01
2016/04/14,-3.379
2016/04/15,-3.288
2016/04/16,-3.178
2016/04/17,-2.246
2016/04/18,-2.213
2016/04/19,-1.68
2016/04/20,-2.003
2016/04/21,-1.921
2016/04/22,-1.884
2016/04/23,-1.605
2016/04/24,-0.444
2016/04/25,-0.687
2016/04/26,-0.557
2016/04/27,-0.189
2016/04/28,-0.955
2016/04/29,-0.863
