Date,transactionvalue3rocUSD
2016/10/03,-49.43
2016/10/04,-18.647
2016/10/05,-29.011
2016/10/06,92.065
2016/10/07,64.044
2016/10/08,3.912
2016/10/09,120.437
2016/10/10,150.158
2016/10/11,95.362
2016/10/12,44.19
2016/10/13,-44.489
2016/10/14,11.927
2016/10/15,-60.544
2016/10/16,44.578
2016/10/17,-23.505
2016/10/18,68.132
2016/10/19,-38.115
2016/10/20,-64.703
2016/10/21,-81.162
2016/10/22,-52.568
2016/10/23,-27.384
2016/10/24,14.47
2016/10/25,67.002
2016/10/26,61.778
2016/10/27,60.786
2016/10/28,56.028
2016/10/29,109.482
2016/10/30,174.982
2016/10/31,-26.342
2016/11/01,26.56
2016/11/02,64.49
2016/11/03,733.517
2016/11/04,-35.943
2016/11/05,-76.475
2016/11/06,-93.584
2016/11/07,-58.735
2016/11/08,-30.549
2016/11/09,223.919
2016/11/10,61.422
2016/11/11,441.095
2016/11/12,-42.285
2016/11/13,8.731
2016/11/14,-87.198
2016/11/15,-25.351
2016/11/16,-9.808
2016/11/17,544.873
2016/11/18,4.175
2016/11/19,-20.041
2016/11/20,-81.529
2016/11/21,-38.068
2016/11/22,126.606
2016/11/23,156.159
2016/11/24,45.938
2016/11/25,-48.565
2016/11/26,-56.753
2016/11/27,-32.688
2016/11/28,-41.013
2016/11/29,42.967
2016/11/30,74.996
2016/12/01,63.527
2016/12/02,175.169
2016/12/03,260.859
2016/12/04,38.116
2016/12/05,-0.048
2016/12/06,-3.439
2016/12/07,38.575
2016/12/08,-15.219
2016/12/09,-42.586
2016/12/10,-36.364
2016/12/11,-24.246
2016/12/12,-55.063
2016/12/13,-27.942
2016/12/14,-54.159
2016/12/15,60.056
2016/12/16,21.476
2016/12/17,222.468
2016/12/18,26.016
2016/12/19,-7.327
2016/12/20,-60.158
2016/12/21,-31.463
2016/12/22,96.453
2016/12/23,331.276
2016/12/24,42.656
2016/12/25,-54.669
2016/12/26,-83.198
2016/12/27,-46.929
2016/12/28,130.61
2016/12/29,360.547
2016/12/30,153.103
2016/12/31,156.865
2017/01/01,-51.583
2017/01/02,-2.692
2017/01/03,-21.117
2017/01/04,319.072
2017/01/05,189.688
2017/01/06,74.165
2017/01/07,-39.108
2017/01/08,-65.76
2017/01/09,-41.222
2017/01/10,0.405
2017/01/11,75.149
2017/01/12,-14.169
2017/01/13,-52.51
2017/01/14,-79.079
2017/01/15,-84.052
2017/01/16,-63.796
2017/01/17,55.35
2017/01/18,44.79
2017/01/19,38.047
2017/01/20,86.15
2017/01/21,18.506
2017/01/22,-5.352
2017/01/23,-66.955
2017/01/24,-29.094
2017/01/25,-3.558
2017/01/26,16.983
2017/01/27,38.356
2017/01/28,-35.13
2017/01/29,-10.668
2017/01/30,-30.019
2017/01/31,122.153
2017/02/01,41.516
2017/02/02,86.101
2017/02/03,32.897
2017/02/04,44.269
2017/02/05,-40.129
2017/02/06,-20.786
2017/02/07,-36.034
2017/02/08,47.808
2017/02/09,-4.876
2017/02/10,23.917
2017/02/11,-14.485
2017/02/12,-2.502
2017/02/13,-29.946
2017/02/14,224.378
2017/02/15,221.273
2017/02/16,151.962
2017/02/17,-9.278
2017/02/18,-36.8
2017/02/19,1.297
2017/02/20,-6.645
2017/02/21,33.004
2017/02/22,9.205
2017/02/23,12.028
2017/02/24,51.242
2017/02/25,17.96
2017/02/26,46.686
2017/02/27,106.215
2017/02/28,268.926
2017/03/01,207.007
2017/03/02,73.956
2017/03/03,71.745
2017/03/04,12.512
2017/03/05,-31.634
2017/03/06,3.558
2017/03/07,-10.219
2017/03/08,20.333
2017/03/09,-23.663
2017/03/10,18.982
2017/03/11,33.433
2017/03/12,101.945
2017/03/13,66.116
2017/03/14,-40.296
2017/03/15,-63.763
2017/03/16,85.075
2017/03/17,139.052
2017/03/18,249.928
2017/03/19,-78.998
2017/03/20,-48.525
2017/03/21,-34.6
2017/03/22,146.077
2017/03/23,64.443
2017/03/24,25.324
2017/03/25,21.144
2017/03/26,3.934
2017/03/27,-29.836
2017/03/28,-10.272
2017/03/29,22.215
2017/03/30,61.007
2017/03/31,9.846
2017/04/01,-19.25
2017/04/02,-10.257
2017/04/03,8.353
2017/04/04,-29.263
2017/04/05,-24.707
2017/04/06,3.766
2017/04/07,-44.067
2017/04/08,-34.835
2017/04/09,-50.434
2017/04/10,107.628
2017/04/11,18.161
2017/04/12,9.801
2017/04/13,-31.376
2017/04/14,-14.167
2017/04/15,-47.815
2017/04/16,-63.541
2017/04/17,-62.283
2017/04/18,121.87
2017/04/19,360.657
2017/04/20,295.645
2017/04/21,-7.069
2017/04/22,-18.969
2017/04/23,-29.779
2017/04/24,13.305
2017/04/25,-8.265
2017/04/26,46.098
2017/04/27,57.87
2017/04/28,114.201
2017/04/29,66.085
2017/04/30,45.426
2017/05/01,89.332
2017/05/02,31.146
2017/05/03,46.488
2017/05/04,-1.255
2017/05/05,40.265
2017/05/06,-17.43
2017/05/07,1.786
2017/05/08,-25.903
2017/05/09,-2.448
2017/05/10,-14.429
2017/05/11,15.595
2017/05/12,2.923
2017/05/13,-23.261
2017/05/14,-35.815
2017/05/15,-16.68
2017/05/16,45.427
2017/05/17,-19.753
2017/05/18,-48.8
2017/05/19,-37.033
2017/05/20,5.33
2017/05/21,80.252
2017/05/22,133.951
2017/05/23,53.611
2017/05/24,36.179
2017/05/25,-36.236
2017/05/26,21.818
2017/05/27,-22.872
2017/05/28,-30.955
2017/05/29,-32.387
2017/05/30,6.861
2017/05/31,127.655
2017/06/01,60.473
2017/06/02,45.105
2017/06/03,-20.158
2017/06/04,-2.064
2017/06/05,18.555
2017/06/06,33.715
2017/06/07,22.961
2017/06/08,-4.203
2017/06/09,-23.868
2017/06/10,-30.124
2017/06/11,-18.797
2017/06/12,66.014
2017/06/13,87.309
2017/06/14,15.516
2017/06/15,-21.314
2017/06/16,-12.782
2017/06/17,-23.495
2017/06/18,-45.865
2017/06/19,-45.934
2017/06/20,11.682
2017/06/21,-37.933
2017/06/22,-30.723
2017/06/23,-28.809
2017/06/24,66.708
2017/06/25,-45.664
2017/06/26,-27.809
2017/06/27,-22.047
2017/06/28,113.069
