Date,activeaddresses14sma
2016/01/01,3373
2016/01/02,3389
2016/01/03,3410
2016/01/04,3430
2016/01/05,3448
2016/01/06,3486
2016/01/07,3542
2016/01/08,3591
2016/01/09,3622
2016/01/10,3677
2016/01/11,3729
2016/01/12,3794
2016/01/13,3848
2016/01/14,3867
2016/01/15,3936
2016/01/16,3964
2016/01/17,3976
2016/01/18,4024
2016/01/19,4055
2016/01/20,4118
2016/01/21,4125
2016/01/22,4158
2016/01/23,4230
2016/01/24,4319
2016/01/25,4417
2016/01/26,4538
2016/01/27,4646
2016/01/28,4798
2016/01/29,4906
2016/01/30,5052
2016/01/31,5219
2016/02/01,5324
2016/02/02,5443
2016/02/03,5529
2016/02/04,5633
2016/02/05,5778
2016/02/06,5822
2016/02/07,5850
2016/02/08,5888
2016/02/09,5924
2016/02/10,6098
2016/02/11,6387
2016/02/12,6579
2016/02/13,6740
2016/02/14,6831
2016/02/15,6962
2016/02/16,7098
2016/02/17,7236
2016/02/18,7377
2016/02/19,7470
2016/02/20,7598
2016/02/21,7782
2016/02/22,7927
2016/02/23,8048
2016/02/24,8061
2016/02/25,7971
2016/02/26,7937
2016/02/27,7939
2016/02/28,8039
2016/02/29,8158
2016/03/01,8338
2016/03/02,8575
2016/03/03,8879
2016/03/04,9165
2016/03/05,9614
2016/03/06,9954
2016/03/07,10134
2016/03/08,10434
2016/03/09,10712
2016/03/10,11019
2016/03/11,11318
2016/03/12,11706
2016/03/13,12039
2016/03/14,12378
2016/03/15,12642
2016/03/16,12817
2016/03/17,12966
2016/03/18,13220
2016/03/19,13235
2016/03/20,13301
2016/03/21,13524
2016/03/22,13619
2016/03/23,13802
2016/03/24,13856
2016/03/25,13992
2016/03/26,13999
2016/03/27,14100
2016/03/28,14168
2016/03/29,14373
2016/03/30,14660
2016/03/31,14779
2016/04/01,14774
2016/04/02,14857
2016/04/03,14959
2016/04/04,15124
2016/04/05,15336
2016/04/06,15414
2016/04/07,15627
2016/04/08,15700
2016/04/09,15896
2016/04/10,16053
2016/04/11,16140
2016/04/12,16148
2016/04/13,16138
2016/04/14,16233
2016/04/15,16317
2016/04/16,16421
2016/04/17,16550
2016/04/18,16624
2016/04/19,16648
2016/04/20,16772
2016/04/21,16799
2016/04/22,16931
2016/04/23,16965
2016/04/24,17006
2016/04/25,17097
2016/04/26,17159
2016/04/27,17176
2016/04/28,17200
2016/04/29,17453
2016/04/30,18138
2016/05/01,18377
2016/05/02,18847
2016/05/03,19100
2016/05/04,19285
2016/05/05,19504
2016/05/06,19731
2016/05/07,19927
2016/05/08,20217
2016/05/09,20561
2016/05/10,20826
2016/05/11,21257
2016/05/12,21736
2016/05/13,22190
2016/05/14,22038
2016/05/15,22196
2016/05/16,22015
2016/05/17,22208
2016/05/18,22654
2016/05/19,22995
2016/05/20,23255
2016/05/21,23490
2016/05/22,23451
2016/05/23,23672
2016/05/24,23859
2016/05/25,23916
2016/05/26,24431
2016/05/27,24575
2016/05/28,25627
2016/05/29,25826
2016/05/30,26012
2016/05/31,26123
2016/06/01,25931
2016/06/02,25794
2016/06/03,25726
2016/06/04,25666
2016/06/05,25751
2016/06/06,25609
2016/06/07,25560
2016/06/08,25511
2016/06/09,24934
2016/06/10,24611
2016/06/11,23280
2016/06/12,23222
2016/06/13,23548
2016/06/14,23813
2016/06/15,23960
2016/06/16,24038
2016/06/17,24896
2016/06/18,25647
2016/06/19,26122
2016/06/20,26403
2016/06/21,26694
2016/06/22,27128
2016/06/23,27304
2016/06/24,27444
2016/06/25,27693
2016/06/26,27860
2016/06/27,27577
2016/06/28,27448
2016/06/29,27442
2016/06/30,27501
2016/07/01,26762
2016/07/02,26215
2016/07/03,25906
2016/07/04,25795
2016/07/05,25667
2016/07/06,25315
2016/07/07,25283
2016/07/08,25288
2016/07/09,25395
2016/07/10,25243
2016/07/11,25261
2016/07/12,25167
2016/07/13,24945
2016/07/14,24998
2016/07/15,25048
2016/07/16,25003
2016/07/17,24745
2016/07/18,24574
2016/07/19,24916
2016/07/20,25345
2016/07/21,25591
2016/07/22,25986
2016/07/23,26255
2016/07/24,27054
2016/07/25,27648
2016/07/26,28772
2016/07/27,29856
2016/07/28,30392
