Date,fee_to_reward14rsiUSD
2016/01/01,46.004
2016/01/02,46.577
2016/01/03,46.551
2016/01/04,47.007
2016/01/05,54.626
2016/01/06,55.889
2016/01/07,55.916
2016/01/08,47.074
2016/01/09,49.939
2016/01/10,47.377
2016/01/11,47.292
2016/01/12,47.62
2016/01/13,55.393
2016/01/14,47.769
2016/01/15,47.048
2016/01/16,46.983
2016/01/17,45.644
2016/01/18,49.413
2016/01/19,50.814
2016/01/20,46.344
2016/01/21,46.831
2016/01/22,49.966
2016/01/23,46.269
2016/01/24,47.868
2016/01/25,53.208
2016/01/26,51.934
2016/01/27,57.359
2016/01/28,52.269
2016/01/29,51.21
2016/01/30,50.405
2016/01/31,50.174
2016/02/01,49.248
2016/02/02,48.532
2016/02/03,47.352
2016/02/04,49.644
2016/02/05,51.768
2016/02/06,72.828
2016/02/07,51.268
2016/02/08,49.079
2016/02/09,51.704
2016/02/10,53.629
2016/02/11,50.744
2016/02/12,48.02
2016/02/13,48.626
2016/02/14,46.863
2016/02/15,47.71
2016/02/16,48.34
2016/02/17,50.665
2016/02/18,47.338
2016/02/19,49.372
2016/02/20,46.592
2016/02/21,46.915
2016/02/22,48.399
2016/02/23,64.059
2016/02/24,52.371
2016/02/25,47.837
2016/02/26,52.019
2016/02/27,47.395
2016/02/28,47.497
2016/02/29,48.807
2016/03/01,48.604
2016/03/02,49.792
2016/03/03,49.15
2016/03/04,48.795
2016/03/05,48.591
2016/03/06,50.39
2016/03/07,47.521
2016/03/08,48.102
2016/03/09,46.165
2016/03/10,43.926
2016/03/11,43.61
2016/03/12,45.995
2016/03/13,46.217
2016/03/14,47.754
2016/03/15,44.347
2016/03/16,44.203
2016/03/17,47.541
2016/03/18,46.139
2016/03/19,53.248
2016/03/20,49.779
2016/03/21,48.454
2016/03/22,45.567
2016/03/23,48.946
2016/03/24,52.544
2016/03/25,52.198
2016/03/26,49.371
2016/03/27,42.454
2016/03/28,46.397
2016/03/29,45.234
2016/03/30,50.898
2016/03/31,46.291
2016/04/01,45.724
2016/04/02,43.187
2016/04/03,42.941
2016/04/04,46.987
2016/04/05,49.272
2016/04/06,45.741
2016/04/07,45.639
2016/04/08,47.725
2016/04/09,45.113
2016/04/10,44.435
2016/04/11,44.295
2016/04/12,47.515
2016/04/13,54.292
2016/04/14,53.329
2016/04/15,47.318
2016/04/16,43.556
2016/04/17,52.057
2016/04/18,46.187
2016/04/19,45.799
2016/04/20,48.84
2016/04/21,53.149
2016/04/22,46.959
2016/04/23,46.27
2016/04/24,48.409
2016/04/25,49.016
2016/04/26,47.981
2016/04/27,46.786
2016/04/28,48.72
2016/04/29,49.457
2016/04/30,56.172
2016/05/01,60.018
2016/05/02,51.21
2016/05/03,50.805
2016/05/04,51.439
2016/05/05,54.143
2016/05/06,57.265
2016/05/07,48.043
2016/05/08,51.53
2016/05/09,49.569
2016/05/10,50.734
2016/05/11,54.245
2016/05/12,58.934
2016/05/13,61.392
2016/05/14,54.775
2016/05/15,51.297
2016/05/16,48.535
2016/05/17,48.706
2016/05/18,54.115
2016/05/19,52.947
2016/05/20,56.589
2016/05/21,54.667
2016/05/22,47.999
2016/05/23,48.823
2016/05/24,47.924
2016/05/25,51.532
2016/05/26,54.515
2016/05/27,56.379
2016/05/28,74.886
2016/05/29,51.998
2016/05/30,48.666
2016/05/31,48.577
2016/06/01,48.301
2016/06/02,45.526
2016/06/03,45.145
2016/06/04,44.732
2016/06/05,44.707
2016/06/06,45.754
2016/06/07,66.546
2016/06/08,47.968
2016/06/09,48.206
2016/06/10,48.635
2016/06/11,47.473
2016/06/12,48.426
2016/06/13,52.069
2016/06/14,52.794
2016/06/15,48.885
2016/06/16,53.87
2016/06/17,83.047
2016/06/18,85.067
2016/06/19,49.095
2016/06/20,49.094
2016/06/21,51.589
2016/06/22,48.777
2016/06/23,46.556
2016/06/24,47.561
2016/06/25,46.163
2016/06/26,45.965
2016/06/27,46.05
2016/06/28,46.847
2016/06/29,51.306
2016/06/30,56.185
2016/07/01,48.778
2016/07/02,45.775
2016/07/03,46.88
2016/07/04,46.228
2016/07/05,46.992
2016/07/06,46.767
2016/07/07,46.257
2016/07/08,49.136
2016/07/09,51.009
2016/07/10,46.595
2016/07/11,46.795
2016/07/12,47.938
2016/07/13,45.938
2016/07/14,48.171
2016/07/15,47.268
2016/07/16,45.782
2016/07/17,44.686
2016/07/18,46.57
2016/07/19,48.013
2016/07/20,60.86
2016/07/21,48.972
2016/07/22,50.086
2016/07/23,48.755
2016/07/24,50.235
2016/07/25,50.658
2016/07/26,52.935
2016/07/27,49.714
2016/07/28,56.682
2016/07/29,51.598
2016/07/30,47.364
2016/07/31,47.314
2016/08/01,47.552
2016/08/02,48.855
2016/08/03,48.398
2016/08/04,47.771
2016/08/05,46.88
2016/08/06,45.82
2016/08/07,46.3
2016/08/08,56.916
2016/08/09,47.994
2016/08/10,48.919
2016/08/11,48.431
2016/08/12,47.61
2016/08/13,45.681
2016/08/14,45.331
2016/08/15,46.718
2016/08/16,48.94
2016/08/17,47.678
2016/08/18,51.096
2016/08/19,48.384
2016/08/20,46.472
2016/08/21,47.632
2016/08/22,48.504
2016/08/23,66.727
2016/08/24,48.347
2016/08/25,49.329
2016/08/26,49.054
2016/08/27,47.742
2016/08/28,46.719
2016/08/29,48.442
2016/08/30,49.824
2016/08/31,48.631
2016/09/01,49.731
2016/09/02,55.743
2016/09/03,47.506
2016/09/04,56.394
2016/09/05,47.961
2016/09/06,50.012
2016/09/07,50.091
2016/09/08,52.986
2016/09/09,53.15
2016/09/10,47.021
2016/09/11,47.325
2016/09/12,50.369
2016/09/13,48.417
2016/09/14,50.952
2016/09/15,51.073
2016/09/16,56.188
2016/09/17,50.087
2016/09/18,48.555
2016/09/19,45.343
2016/09/20,49.09
2016/09/21,47.964
2016/09/22,61.074
2016/09/23,53.714
2016/09/24,60.817
2016/09/25,58.421
2016/09/26,70.444
2016/09/27,60.545
2016/09/28,54.955
2016/09/29,47.945
2016/09/30,47.917
2016/10/01,57.648
2016/10/02,56.041
2016/10/03,52.517
2016/10/04,57.323
2016/10/05,50.874
2016/10/06,48.21
2016/10/07,47.258
2016/10/08,48.501
2016/10/09,50.721
2016/10/10,49.458
2016/10/11,45.736
2016/10/12,46.773
2016/10/13,60.604
2016/10/14,53.68
2016/10/15,52.761
2016/10/16,51.7
2016/10/17,53.096
2016/10/18,58.127
2016/10/19,56.549
2016/10/20,47.053
2016/10/21,45.131
2016/10/22,42.175
2016/10/23,41.954
2016/10/24,48.126
2016/10/25,46.959
2016/10/26,44.846
2016/10/27,44.51
2016/10/28,45.524
2016/10/29,44.534
2016/10/30,43.606
2016/10/31,44.766
2016/11/01,48.657
2016/11/02,44.179
2016/11/03,44.336
2016/11/04,41.669
2016/11/05,42.856
2016/11/06,42.282
2016/11/07,44.531
2016/11/08,46.194
2016/11/09,48.717
2016/11/10,48.777
2016/11/11,52.432
2016/11/12,46.138
2016/11/13,47.631
2016/11/14,50.285
2016/11/15,49.902
2016/11/16,48.595
2016/11/17,46.349
2016/11/18,47.611
2016/11/19,44.133
2016/11/20,47.336
2016/11/21,49.627
2016/11/22,52.08
2016/11/23,69.516
2016/11/24,57.074
2016/11/25,56.56
2016/11/26,61.651
2016/11/27,70.758
2016/11/28,72.03
2016/11/29,64.625
2016/11/30,44.894
2016/12/01,43.048
2016/12/02,43.318
2016/12/03,42.708
2016/12/04,43.118
2016/12/05,44.994
2016/12/06,46.01
2016/12/07,46.254
2016/12/08,46.429
2016/12/09,44.901
2016/12/10,43.957
2016/12/11,47.774
2016/12/12,45.509
2016/12/13,45.212
2016/12/14,47.318
2016/12/15,47.355
2016/12/16,45.166
2016/12/17,46.435
2016/12/18,43.686
2016/12/19,49.543
2016/12/20,53.521
