Date,sentbyaddress90rsi
2016/01/01,53.083
2016/01/02,53.557
2016/01/03,53.55
2016/01/04,53.614
2016/01/05,53.626
2016/01/06,53.895
2016/01/07,54.193
2016/01/08,53.629
2016/01/09,53.854
2016/01/10,54.777
2016/01/11,54.956
2016/01/12,55.671
2016/01/13,54.102
2016/01/14,53.796
2016/01/15,55.167
2016/01/16,52.408
2016/01/17,51.715
2016/01/18,53.016
2016/01/19,52.291
2016/01/20,54.875
2016/01/21,52.015
2016/01/22,52.291
2016/01/23,53.686
2016/01/24,54.806
2016/01/25,55.339
2016/01/26,55.91
2016/01/27,54.379
2016/01/28,54.425
2016/01/29,54.039
2016/01/30,53.876
2016/01/31,54.393
2016/02/01,54.183
2016/02/02,53.887
2016/02/03,53.965
2016/02/04,53.757
2016/02/05,54.031
2016/02/06,53.467
2016/02/07,54.423
2016/02/08,55.271
2016/02/09,56.028
2016/02/10,59.416
2016/02/11,59.913
2016/02/12,59.407
2016/02/13,58.064
2016/02/14,55.775
2016/02/15,56.243
2016/02/16,56.157
2016/02/17,55.882
2016/02/18,56.002
2016/02/19,55.605
2016/02/20,54.921
2016/02/21,58.724
2016/02/22,56.508
2016/02/23,56.275
2016/02/24,55.774
2016/02/25,57.285
2016/02/26,55.875
2016/02/27,56.157
2016/02/28,57.403
2016/02/29,59.491
2016/03/01,60.48
2016/03/02,61.019
2016/03/03,62.006
2016/03/04,62.09
2016/03/05,64.661
2016/03/06,62.787
2016/03/07,58.993
2016/03/08,61.382
2016/03/09,59.649
2016/03/10,60.986
2016/03/11,59.928
2016/03/12,59.662
2016/03/13,59.353
2016/03/14,59.382
2016/03/15,58.692
2016/03/16,57.514
2016/03/17,58.751
2016/03/18,59.635
2016/03/19,56.38
2016/03/20,56.721
2016/03/21,58.033
2016/03/22,56.072
2016/03/23,56.307
2016/03/24,55.833
2016/03/25,55.286
2016/03/26,54.709
2016/03/27,56.201
2016/03/28,56.435
2016/03/29,59.357
2016/03/30,59.563
2016/03/31,55.729
2016/04/01,55.023
2016/04/02,54.316
2016/04/03,54.207
2016/04/04,55.631
2016/04/05,55.728
2016/04/06,55.619
2016/04/07,55.245
2016/04/08,54.795
2016/04/09,55.477
2016/04/10,56.498
2016/04/11,54.765
2016/04/12,55.357
2016/04/13,56.169
2016/04/14,55.109
2016/04/15,53.981
2016/04/16,53.747
2016/04/17,55.028
2016/04/18,54.882
2016/04/19,54.53
2016/04/20,54.794
2016/04/21,54.662
2016/04/22,54.906
2016/04/23,54.421
2016/04/24,54.757
2016/04/25,55.303
2016/04/26,55.538
2016/04/27,55.411
2016/04/28,54.77
2016/04/29,59.791
2016/04/30,60.757
2016/05/01,57.86
2016/05/02,59.684
2016/05/03,57.962
2016/05/04,56.87
2016/05/05,57.013
2016/05/06,57.031
2016/05/07,56.293
2016/05/08,57.113
2016/05/09,57.68
2016/05/10,57.893
2016/05/11,59.836
2016/05/12,60.099
2016/05/13,62.471
2016/05/14,59.618
2016/05/15,56.907
2016/05/16,56.431
2016/05/17,57.392
2016/05/18,58.296
2016/05/19,58.676
2016/05/20,57.515
2016/05/21,55.844
2016/05/22,54.313
2016/05/23,57.367
2016/05/24,56.583
2016/05/25,56.175
2016/05/26,64.291
2016/05/27,56.387
2016/05/28,61.536
2016/05/29,53.534
2016/05/30,53.368
2016/05/31,53.759
2016/06/01,53.025
2016/06/02,52.523
2016/06/03,52.557
2016/06/04,51.93
2016/06/05,51.932
2016/06/06,52.382
2016/06/07,52.651
2016/06/08,52.625
2016/06/09,52.221
2016/06/10,52.413
2016/06/11,51.549
2016/06/12,52.618
2016/06/13,54.2
2016/06/14,54.353
2016/06/15,53.043
2016/06/16,53.704
2016/06/17,57.294
2016/06/18,55.892
2016/06/19,53.361
2016/06/20,52.692
2016/06/21,53.119
2016/06/22,53.769
2016/06/23,52.101
2016/06/24,51.784
2016/06/25,51.243
2016/06/26,51.138
2016/06/27,51.31
2016/06/28,52.168
2016/06/29,51.953
2016/06/30,51.287
2016/07/01,51.369
2016/07/02,51.5
2016/07/03,51.489
2016/07/04,51.894
2016/07/05,52.045
2016/07/06,51.771
2016/07/07,51.737
2016/07/08,51.726
2016/07/09,51.476
2016/07/10,51.109
2016/07/11,51.435
2016/07/12,51.446
2016/07/13,51.252
2016/07/14,51.739
2016/07/15,51.638
2016/07/16,50.577
2016/07/17,50.076
2016/07/18,50.939
2016/07/19,58.567
2016/07/20,52.989
2016/07/21,52.253
2016/07/22,52.885
