Date,activeaddresses7trx
2016/01/01,0.579
2016/01/02,0.573
2016/01/03,0.584
2016/01/04,0.635
2016/01/05,0.681
2016/01/06,0.785
2016/01/07,0.987
2016/01/08,1.095
2016/01/09,1.102
2016/01/10,1.143
2016/01/11,1.274
2016/01/12,1.438
2016/01/13,1.436
2016/01/14,1.296
2016/01/15,1.282
2016/01/16,1.089
2016/01/17,0.782
2016/01/18,0.701
2016/01/19,0.617
2016/01/20,0.783
2016/01/21,0.795
2016/01/22,0.797
2016/01/23,0.968
2016/01/24,1.334
2016/01/25,1.837
2016/01/26,2.415
2016/01/27,2.695
2016/01/28,2.934
2016/01/29,2.989
2016/01/30,2.91
2016/01/31,2.787
2016/02/01,2.53
2016/02/02,2.205
2016/02/03,1.918
2016/02/04,1.579
2016/02/05,1.466
2016/02/06,1.169
2016/02/07,0.896
2016/02/08,0.806
2016/02/09,0.894
2016/02/10,1.424
2016/02/11,2.59
2016/02/12,3.322
2016/02/13,3.566
2016/02/14,3.299
2016/02/15,2.898
2016/02/16,2.467
2016/02/17,2.1
2016/02/18,1.729
2016/02/19,1.41
2016/02/20,1.044
2016/02/21,0.919
2016/02/22,0.888
2016/02/23,0.896
2016/02/24,0.889
2016/02/25,1.005
2016/02/26,0.977
2016/02/27,0.898
2016/02/28,0.905
2016/02/29,1.042
2016/03/01,1.357
2016/03/02,1.856
2016/03/03,2.435
2016/03/04,2.856
2016/03/05,3.407
2016/03/06,3.736
2016/03/07,3.453
2016/03/08,3.214
2016/03/09,2.909
2016/03/10,2.75
2016/03/11,2.49
2016/03/12,2.386
2016/03/13,2.285
2016/03/14,2.248
2016/03/15,2.173
2016/03/16,2.025
2016/03/17,1.879
2016/03/18,1.89
2016/03/19,1.738
2016/03/20,1.543
2016/03/21,1.326
2016/03/22,1.108
2016/03/23,1.008
2016/03/24,0.872
2016/03/25,0.762
2016/03/26,0.613
2016/03/27,0.587
2016/03/28,0.628
2016/03/29,0.872
2016/03/30,1.246
2016/03/31,1.361
2016/04/01,1.28
2016/04/02,1.083
2016/04/03,0.903
2016/04/04,0.829
2016/04/05,0.859
2016/04/06,0.806
2016/04/07,0.837
2016/04/08,0.71
2016/04/09,0.655
2016/04/10,0.681
2016/04/11,0.647
2016/04/12,0.643
2016/04/13,0.707
2016/04/14,0.72
2016/04/15,0.641
2016/04/16,0.527
2016/04/17,0.487
2016/04/18,0.48
2016/04/19,0.468
2016/04/20,0.486
2016/04/21,0.489
2016/04/22,0.457
2016/04/23,0.396
2016/04/24,0.386
2016/04/25,0.385
2016/04/26,0.399
2016/04/27,0.415
2016/04/28,0.379
2016/04/29,0.559
2016/04/30,1.341
2016/05/01,1.721
2016/05/02,2.127
2016/05/03,2.157
2016/05/04,1.944
2016/05/05,1.668
2016/05/06,1.375
2016/05/07,1.056
2016/05/08,0.918
2016/05/09,0.913
2016/05/10,0.877
2016/05/11,1.002
2016/05/12,1.17
2016/05/13,1.477
2016/05/14,1.579
2016/05/15,1.473
2016/05/16,1.168
2016/05/17,0.966
2016/05/18,1.032
2016/05/19,1.099
2016/05/20,1.048
2016/05/21,0.877
2016/05/22,0.544
2016/05/23,0.48
2016/05/24,0.437
2016/05/25,0.439
2016/05/26,0.895
2016/05/27,1.25
2016/05/28,2.156
2016/05/29,2.233
2016/05/30,1.826
2016/05/31,1.335
2016/06/01,0.793
2016/06/02,0.283
2016/06/03,-0.157
2016/06/04,-0.547
2016/06/05,-0.841
2016/06/06,-0.972
2016/06/07,-1.003
2016/06/08,-0.94
2016/06/09,-0.878
2016/06/10,-0.774
2016/06/11,-0.9
2016/06/12,-0.787
2016/06/13,-0.334
2016/06/14,0.216
2016/06/15,0.521
2016/06/16,0.579
2016/06/17,1.2
2016/06/18,1.776
2016/06/19,1.965
2016/06/20,1.831
2016/06/21,1.566
2016/06/22,1.418
2016/06/23,1.061
2016/06/24,0.669
2016/06/25,0.182
2016/06/26,-0.062
2016/06/27,-0.315
2016/06/28,-0.394
2016/06/29,-0.45
2016/06/30,-0.507
2016/07/01,-0.58
2016/07/02,-0.617
2016/07/03,-0.646
2016/07/04,-0.589
2016/07/05,-0.503
2016/07/06,-0.448
2016/07/07,-0.4
2016/07/08,-0.318
2016/07/09,-0.284
2016/07/10,-0.269
2016/07/11,-0.274
2016/07/12,-0.234
2016/07/13,-0.362
2016/07/14,-0.326
2016/07/15,-0.257
2016/07/16,-0.238
2016/07/17,-0.448
2016/07/18,-0.57
2016/07/19,-0.185
2016/07/20,0.397
2016/07/21,0.808
2016/07/22,1.233
2016/07/23,1.404
2016/07/24,1.87
2016/07/25,2.15
2016/07/26,2.743
2016/07/27,3.085
2016/07/28,2.969
2016/07/29,2.461
2016/07/30,1.717
2016/07/31,1.069
2016/08/01,0.556
2016/08/02,0.124
2016/08/03,-0.145
2016/08/04,-0.315
2016/08/05,-0.516
2016/08/06,-0.755
2016/08/07,-0.937
2016/08/08,-1.026
2016/08/09,-0.897
2016/08/10,-0.795
2016/08/11,-0.565
2016/08/12,-0.515
2016/08/13,-0.59
2016/08/14,-0.677
2016/08/15,-0.7
2016/08/16,-0.527
2016/08/17,-0.446
2016/08/18,-0.427
2016/08/19,-0.408
2016/08/20,-0.393
2016/08/21,-0.364
2016/08/22,-0.365
2016/08/23,-0.228
2016/08/24,-0.17
2016/08/25,-0.025
2016/08/26,0.034
2016/08/27,0.064
2016/08/28,0.057
2016/08/29,0.108
2016/08/30,0.111
2016/08/31,0.212
2016/09/01,0.358
2016/09/02,0.462
2016/09/03,0.414
2016/09/04,0.293
2016/09/05,0.159
2016/09/06,0.074
2016/09/07,-0.069
2016/09/08,0.017
2016/09/09,0.019
2016/09/10,-0.042
2016/09/11,-0.072
2016/09/12,-0.055
2016/09/13,-0.054
2016/09/14,-0.059
2016/09/15,-0.029
2016/09/16,0.057
2016/09/17,0.123
2016/09/18,0.032
2016/09/19,-0.052
2016/09/20,0.33
2016/09/21,0.475
2016/09/22,0.218
2016/09/23,-0.101
2016/09/24,-0.38
2016/09/25,-0.623
2016/09/26,-0.822
2016/09/27,-0.965
2016/09/28,-0.986
2016/09/29,-0.939
2016/09/30,-0.886
2016/10/01,-0.753
2016/10/02,-0.507
2016/10/03,-0.369
2016/10/04,-0.595
2016/10/05,-0.871
2016/10/06,-1.121
2016/10/07,-1.016
2016/10/08,-0.846
2016/10/09,-0.487
2016/10/10,-0.033
2016/10/11,0.124
2016/10/12,-0.436
2016/10/13,-1.435
2016/10/14,-1.824
2016/10/15,-2.2
2016/10/16,-2.269
2016/10/17,-1.957
2016/10/18,-1.11
2016/10/19,-0.795
2016/10/20,-0.1
2016/10/21,1.073
2016/10/22,1.575
2016/10/23,1.603
2016/10/24,1.528
2016/10/25,1.381
2016/10/26,1.219
2016/10/27,1.045
2016/10/28,0.883
2016/10/29,0.612
2016/10/30,0.178
2016/10/31,0.188
2016/11/01,0.289
2016/11/02,0.429
2016/11/03,0.454
2016/11/04,-0.055
2016/11/05,-0.401
2016/11/06,-0.791
2016/11/07,-0.857
2016/11/08,-0.842
2016/11/09,-0.737
2016/11/10,-0.759
2016/11/11,-0.651
2016/11/12,-0.589
2016/11/13,-0.418
2016/11/14,-0.422
2016/11/15,-0.372
2016/11/16,-0.416
2016/11/17,-0.489
2016/11/18,-0.487
2016/11/19,-0.51
2016/11/20,-0.478
2016/11/21,-0.442
2016/11/22,0.551
2016/11/23,2.42
2016/11/24,2.521
2016/11/25,2.722
2016/11/26,1.974
2016/11/27,1.054
2016/11/28,0.288
2016/11/29,-0.403
2016/11/30,-0.869
2016/12/01,-1.264
2016/12/02,-1.406
2016/12/03,-1.357
2016/12/04,-1.279
2016/12/05,-1.21
2016/12/06,-0.896
2016/12/07,-0.828
2016/12/08,-0.846
2016/12/09,-0.786
2016/12/10,-0.801
2016/12/11,-0.79
2016/12/12,-0.692
2016/12/13,-0.688
2016/12/14,-0.558
2016/12/15,-0.304
2016/12/16,-0.132
2016/12/17,-0.117
2016/12/18,-0.279
2016/12/19,-0.197
2016/12/20,0.005
2016/12/21,0.177
2016/12/22,0.764
2016/12/23,0.981
2016/12/24,0.832
2016/12/25,0.406
2016/12/26,-0.079
2016/12/27,-0.444
2016/12/28,-0.631
2016/12/29,-0.642
2016/12/30,-0.611
2016/12/31,-0.483
2017/01/01,-0.547
2017/01/02,-0.543
2017/01/03,-0.491
2017/01/04,-0.038
2017/01/05,0.546
2017/01/06,0.935
2017/01/07,1.048
2017/01/08,0.914
2017/01/09,0.875
2017/01/10,0.75
2017/01/11,0.657
2017/01/12,0.594
2017/01/13,0.428
2017/01/14,0.166
2017/01/15,-0.074
2017/01/16,-0.092
2017/01/17,-0.024
2017/01/18,-0.036
2017/01/19,-0.036
2017/01/20,0.047
2017/01/21,0.046
2017/01/22,0
2017/01/23,-0.047
2017/01/24,0.001
2017/01/25,-0.046
2017/01/26,-0.112
2017/01/27,-0.184
2017/01/28,-0.276
2017/01/29,-0.385
2017/01/30,-0.383
2017/01/31,-0.359
2017/02/01,-0.277
2017/02/02,-0.157
2017/02/03,-0.086
2017/02/04,0.049
2017/02/05,0.228
2017/02/06,0.342
2017/02/07,0.4
2017/02/08,0.458
2017/02/09,0.498
2017/02/10,0.585
2017/02/11,0.489
2017/02/12,0.395
2017/02/13,0.567
2017/02/14,0.832
2017/02/15,1.097
2017/02/16,1.202
2017/02/17,1.179
2017/02/18,1.157
2017/02/19,0.992
2017/02/20,0.897
2017/02/21,0.805
2017/02/22,0.688
2017/02/23,0.539
2017/02/24,0.592
2017/02/25,0.599
2017/02/26,0.582
2017/02/27,0.674
2017/02/28,1.064
2017/03/01,1.535
2017/03/02,2.426
2017/03/03,2.973
2017/03/04,3.02
2017/03/05,2.728
2017/03/06,2.408
2017/03/07,1.945
2017/03/08,1.503
2017/03/09,1.316
2017/03/10,1.209
2017/03/11,1.185
2017/03/12,1.329
2017/03/13,2.08
2017/03/14,2.564
2017/03/15,2.897
2017/03/16,3.903
2017/03/17,4.814
2017/03/18,4.913
2017/03/19,4.33
2017/03/20,3.577
2017/03/21,2.847
2017/03/22,2.1
2017/03/23,1.43
2017/03/24,1.154
2017/03/25,0.935
2017/03/26,0.587
2017/03/27,0.393
2017/03/28,0.234
2017/03/29,0.162
2017/03/30,0.45
2017/03/31,1.058
2017/04/01,1.04
2017/04/02,0.972
2017/04/03,1.204
2017/04/04,1.148
2017/04/05,0.969
2017/04/06,1.031
2017/04/07,0.764
2017/04/08,0.228
2017/04/09,-0.384
2017/04/10,-0.803
2017/04/11,-1.103
2017/04/12,-1.192
2017/04/13,-1.084
2017/04/14,-0.95
2017/04/15,-0.911
2017/04/16,-1.091
2017/04/17,-1.228
2017/04/18,-1.064
2017/04/19,-0.768
2017/04/20,-0.336
2017/04/21,-0.189
2017/04/22,-0.232
2017/04/23,-0.293
2017/04/24,-0.177
2017/04/25,-0.041
2017/04/26,0.321
2017/04/27,1.131
2017/04/28,1.722
2017/04/29,1.949
2017/04/30,2.05
2017/05/01,2.358
2017/05/02,2.549
2017/05/03,2.406
2017/05/04,2.563
2017/05/05,2.701
2017/05/06,2.439
2017/05/07,2.253
2017/05/08,2.367
2017/05/09,2.387
2017/05/10,2.233
2017/05/11,2.134
2017/05/12,1.822
2017/05/13,1.258
2017/05/14,0.784
2017/05/15,0.648
2017/05/16,0.653
2017/05/17,0.578
2017/05/18,0.883
2017/05/19,1.69
2017/05/20,1.892
2017/05/21,2.018
2017/05/22,2.512
2017/05/23,3.183
2017/05/24,3.706
2017/05/25,3.98
2017/05/26,3.873
2017/05/27,3.274
2017/05/28,2.504
2017/05/29,1.881
2017/05/30,1.562
2017/05/31,1.566
2017/06/01,1.924
2017/06/02,1.984
2017/06/03,1.873
2017/06/04,1.697
2017/06/05,1.626
2017/06/06,1.75
2017/06/07,1.824
2017/06/08,1.727
2017/06/09,1.794
2017/06/10,1.962
2017/06/11,2.346
2017/06/12,3.258
2017/06/13,3.993
2017/06/14,4.185
2017/06/15,4.129
2017/06/16,3.676
2017/06/17,3.055
2017/06/18,2.491
2017/06/19,2.217
2017/06/20,2.058
2017/06/21,1.606
2017/06/22,1.559
2017/06/23,1.615
2017/06/24,1.469
2017/06/25,1.02
2017/06/26,1.238
2017/06/27,1.179
2017/06/28,1.05
2017/06/29,0.849
2017/06/30,0.592
2017/07/01,0.285
2017/07/02,0.021
2017/07/03,0.055
2017/07/04,0.142
2017/07/05,0.121
2017/07/06,0.029
2017/07/07,0.148
2017/07/08,-0.035
2017/07/09,-0.396
2017/07/10,-0.348
2017/07/11,-0.187
2017/07/12,-0.054
2017/07/13,-0.154
2017/07/14,-0.328
2017/07/15,-0.569
2017/07/16,-0.746
2017/07/17,-0.834
2017/07/18,-0.744
2017/07/19,-0.558
2017/07/20,-0.403
2017/07/21,-0.369
2017/07/22,-0.602
2017/07/23,-0.519
2017/07/24,-0.435
2017/07/25,-0.415
2017/07/26,-0.527
2017/07/27,-0.604
2017/07/28,-0.583
2017/07/29,-0.753
2017/07/30,-0.888
