Date,mediantransactionvalue30rsiUSD
2016/01/01,48.419
2016/01/02,47.723
2016/01/03,47.623
2016/01/04,47.326
2016/01/05,43.116
2016/01/06,43.116
2016/01/07,43.116
2016/01/08,47.652
2016/01/09,47.685
2016/01/10,48.421
2016/01/11,48.2
2016/01/12,49.373
2016/01/13,43.885
2016/01/14,48.831
2016/01/15,50.48
2016/01/16,50.035
2016/01/17,50.05
2016/01/18,49.709
2016/01/19,46.788
2016/01/20,52.522
2016/01/21,51.773
2016/01/22,49.87
2016/01/23,52.799
2016/01/24,53.95
2016/01/25,52.177
2016/01/26,53.61
2016/01/27,47.086
2016/01/28,52.298
2016/01/29,52.672
2016/01/30,53.379
2016/01/31,53.253
2016/02/01,52.092
2016/02/02,51.875
2016/02/03,53.263
2016/02/04,53.145
2016/02/05,52.787
2016/02/06,44.119
2016/02/07,53.254
2016/02/08,54.633
2016/02/09,55.758
2016/02/10,59.639
2016/02/11,58.116
2016/02/12,62.211
2016/02/13,57.018
2016/02/14,57.153
2016/02/15,58.071
2016/02/16,56.225
2016/02/17,53.263
2016/02/18,53.856
2016/02/19,54.606
2016/02/20,54.755
2016/02/21,55.165
2016/02/22,56.405
2016/02/23,57.913
2016/02/24,57.848
2016/02/25,59.02
2016/02/26,57.149
2016/02/27,58.3
2016/02/28,59.602
2016/02/29,59.15
2016/03/01,60.326
2016/03/02,62.713
2016/03/03,65.399
2016/03/04,64.611
2016/03/05,70.457
2016/03/06,64.715
2016/03/07,63.343
2016/03/08,60.679
2016/03/09,62.177
2016/03/10,66.186
2016/03/11,60.149
2016/03/12,64.297
2016/03/13,65.206
2016/03/14,64.647
2016/03/15,61.684
2016/03/16,62.657
2016/03/17,58.512
2016/03/18,55.691
2016/03/19,54.861
2016/03/20,54.506
2016/03/21,55.94
2016/03/22,56.792
2016/03/23,57.279
2016/03/24,55.597
2016/03/25,54.008
2016/03/26,54.266
2016/03/27,54.91
2016/03/28,55.416
2016/03/29,56.22
2016/03/30,56.62
2016/03/31,56.612
2016/04/01,55.929
2016/04/02,55.822
2016/04/03,55.96
2016/04/04,55.012
2016/04/05,52.92
2016/04/06,53.297
2016/04/07,52.562
2016/04/08,50.988
2016/04/09,50.621
2016/04/10,48.158
2016/04/11,47.711
2016/04/12,45.947
2016/04/13,45.542
2016/04/14,47.442
2016/04/15,47.178
2016/04/16,47.471
2016/04/17,45.667
2016/04/18,49.81
2016/04/19,49.681
2016/04/20,48.47
2016/04/21,47.765
2016/04/22,46.942
2016/04/23,46.917
2016/04/24,47.286
2016/04/25,46.175
2016/04/26,44.963
2016/04/27,45.982
2016/04/28,45.366
2016/04/29,45.339
2016/04/30,47.967
2016/05/01,49.71
2016/05/02,52.606
2016/05/03,52.86
2016/05/04,52.265
2016/05/05,52.24
2016/05/06,52.482
2016/05/07,51.62
2016/05/08,51.173
2016/05/09,51.703
2016/05/10,51.399
2016/05/11,52.594
2016/05/12,54.355
2016/05/13,56.665
2016/05/14,54.68
2016/05/15,53.636
2016/05/16,55.169
2016/05/17,59.384
2016/05/18,62.869
2016/05/19,65.011
2016/05/20,66.148
2016/05/21,62.396
2016/05/22,63.584
2016/05/23,64.12
2016/05/24,59.603
2016/05/25,56.571
2016/05/26,40.922
2016/05/27,52.355
2016/05/28,36.825
2016/05/29,46.341
2016/05/30,52.895
2016/05/31,53.709
2016/06/01,54.47
2016/06/02,54.401
2016/06/03,54.166
2016/06/04,49.049
2016/06/05,53.658
2016/06/06,53.778
2016/06/07,46.484
2016/06/08,53.599
2016/06/09,53.513
2016/06/10,52.394
2016/06/11,52.914
2016/06/12,50.322
2016/06/13,55.065
2016/06/14,55.337
2016/06/15,56.503
2016/06/16,57.494
2016/06/17,44.93
2016/06/18,47.184
2016/06/19,48.628
2016/06/20,47.574
2016/06/21,50.462
2016/06/22,52.127
2016/06/23,51.187
2016/06/24,46.813
2016/06/25,51.903
2016/06/26,47.735
2016/06/27,51.556
