Date,size7roc
2016/01/01,-15.085
2016/01/02,-11.198
2016/01/03,-39.373
2016/01/04,-20.791
2016/01/05,16.35
2016/01/06,-0.729
2016/01/07,46.564
2016/01/08,22.064
2016/01/09,26.828
2016/01/10,9.284
2016/01/11,7.823
2016/01/12,-21.635
2016/01/13,-8.326
2016/01/14,-31.476
2016/01/15,-6.812
2016/01/16,-20.011
2016/01/17,-15.056
2016/01/18,-0.133
2016/01/19,1.178
2016/01/20,-32.622
2016/01/21,-11.146
2016/01/22,2.102
2016/01/23,-6.37
2016/01/24,11.99
2016/01/25,26.331
2016/01/26,10.987
2016/01/27,63.318
2016/01/28,50.938
2016/01/29,27.267
2016/01/30,30.176
2016/01/31,14.354
2016/02/01,-19.044
2016/02/02,-12.297
2016/02/03,-32.344
2016/02/04,-23.698
2016/02/05,-14.582
2016/02/06,42.276
2016/02/07,-9.636
2016/02/08,-4.361
2016/02/09,-4.171
2016/02/10,4.417
2016/02/11,17.759
2016/02/12,4.807
2016/02/13,-27.15
2016/02/14,11.109
2016/02/15,9.022
2016/02/16,9.259
2016/02/17,14.353
2016/02/18,-13.298
2016/02/19,-1.185
2016/02/20,-14.386
2016/02/21,-7.826
2016/02/22,-3.242
2016/02/23,-0.964
2016/02/24,-12.358
2016/02/25,0.406
2016/02/26,11.43
2016/02/27,5.315
2016/02/28,3.849
2016/02/29,7.805
2016/03/01,3.532
2016/03/02,8.097
2016/03/03,12.071
2016/03/04,-3.083
2016/03/05,19.286
2016/03/06,25.168
2016/03/07,3.602
2016/03/08,7.403
2016/03/09,6.746
2016/03/10,-2.155
2016/03/11,-3.053
2016/03/12,5.34
2016/03/13,1.924
2016/03/14,23.288
2016/03/15,6.086
2016/03/16,2.888
2016/03/17,16.346
2016/03/18,15.86
2016/03/19,7.904
2016/03/20,3.86
2016/03/21,-0.236
2016/03/22,14.93
2016/03/23,16.185
2016/03/24,30.996
2016/03/25,15.551
2016/03/26,2.928
2016/03/27,-12.8
2016/03/28,4.666
2016/03/29,-8.253
2016/03/30,2.81
2016/03/31,-24.512
2016/04/01,-7.933
2016/04/02,-19.691
2016/04/03,-1.273
2016/04/04,-4.187
2016/04/05,9.953
2016/04/06,-14.989
2016/04/07,-0.069
2016/04/08,3.232
2016/04/09,6.705
2016/04/10,2.909
2016/04/11,-15.989
2016/04/12,-4.995
2016/04/13,10.515
2016/04/14,0.085
2016/04/15,-8.35
2016/04/16,-7.778
2016/04/17,49.687
2016/04/18,7.06
2016/04/19,-9.253
2016/04/20,-7.995
2016/04/21,7.012
2016/04/22,-8.6
2016/04/23,4.525
2016/04/24,-25.262
2016/04/25,3.535
2016/04/26,2.073
2016/04/27,-3.342
2016/04/28,-6.399
2016/04/29,10.26
2016/04/30,25.02
2016/05/01,17.272
2016/05/02,5.827
2016/05/03,7.575
2016/05/04,14.018
2016/05/05,5.544
2016/05/06,14.197
2016/05/07,-13.429
2016/05/08,-8.944
2016/05/09,-1.394
2016/05/10,2.411
2016/05/11,4.045
2016/05/12,13.015
2016/05/13,3.012
2016/05/14,22.407
2016/05/15,0.618
2016/05/16,2.181
2016/05/17,2.285
2016/05/18,8.36
2016/05/19,-6.143
2016/05/20,0.175
2016/05/21,-0.607
2016/05/22,-2.973
2016/05/23,5.161
2016/05/24,0.877
2016/05/25,-1.124
2016/05/26,9.962
2016/05/27,2.947
2016/05/28,45.632
2016/05/29,12.147
2016/05/30,-1.597
2016/05/31,4.28
2016/06/01,-6.451
2016/06/02,-16.155
2016/06/03,-17.258
2016/06/04,-42.158
2016/06/05,-16.671
2016/06/06,-7.626
2016/06/07,6.202
2016/06/08,-8.014
2016/06/09,1.601
2016/06/10,0.611
2016/06/11,-1.949
2016/06/12,4.762
2016/06/13,12.18
2016/06/14,1.229
2016/06/15,5.984
2016/06/16,8.629
2016/06/17,48.742
2016/06/18,47.943
2016/06/19,11.044
2016/06/20,6.848
2016/06/21,-4.953
2016/06/22,6
2016/06/23,-5.646
2016/06/24,-23.396
2016/06/25,-30.791
2016/06/26,-10.558
2016/06/27,-17.508
2016/06/28,-8.97
2016/06/29,11.01
2016/06/30,56.413
2016/07/01,-15.745
2016/07/02,-2.273
2016/07/03,-3.372
2016/07/04,0.367
2016/07/05,-0.816
2016/07/06,-21.393
2016/07/07,-40.259
2016/07/08,14.55
2016/07/09,2.485
2016/07/10,0.242
2016/07/11,0.413
2016/07/12,6.552
2016/07/13,-3.687
2016/07/14,8.623
2016/07/15,-7.791
2016/07/16,-4.748
2016/07/17,-10.181
2016/07/18,-1.632
2016/07/19,-4.136
2016/07/20,26.622
2016/07/21,-0.903
2016/07/22,12.584
2016/07/23,10.874
2016/07/24,42.184
2016/07/25,24.321
2016/07/26,29.577
2016/07/27,-0.712
2016/07/28,5.75
2016/07/29,-2.613
2016/07/30,-2.406
2016/07/31,-11.774
2016/08/01,-10.166
2016/08/02,-13.294
2016/08/03,-2.366
2016/08/04,0.43
2016/08/05,-4.44
2016/08/06,0.342
2016/08/07,-7.074
2016/08/08,-3.646
2016/08/09,-5.664
2016/08/10,-3.515
2016/08/11,0.239
2016/08/12,2.092
2016/08/13,-2.339
2016/08/14,-4.556
2016/08/15,-2.464
2016/08/16,1.861
2016/08/17,-4.637
2016/08/18,2.625
2016/08/19,-4.366
2016/08/20,1.514
2016/08/21,5.241
2016/08/22,4.015
2016/08/23,24.771
2016/08/24,3.764
2016/08/25,0.012
2016/08/26,7.976
2016/08/27,9.211
2016/08/28,-1.966
2016/08/29,3.046
2016/08/30,-20.13
2016/08/31,-3.27
2016/09/01,-4.832
2016/09/02,14.907
2016/09/03,-4.62
2016/09/04,18.508
2016/09/05,-3.832
2016/09/06,6.59
2016/09/07,10.031
2016/09/08,20.017
2016/09/09,0.191
2016/09/10,-0.317
2016/09/11,-15.06
2016/09/12,4.837
2016/09/13,-13.069
2016/09/14,3.862
