Date,sentinusd7rsiUSD
2016/01/01,54.879
2016/01/02,49.5
2016/01/03,56.519
2016/01/04,43.27
2016/01/05,73
2016/01/06,47.507
2016/01/07,50.02
2016/01/08,45.798
2016/01/09,46.801
2016/01/10,44.478
2016/01/11,57.558
2016/01/12,70.899
2016/01/13,50.715
2016/01/14,48.397
2016/01/15,63.855
2016/01/16,53.024
2016/01/17,47.904
2016/01/18,76.756
2016/01/19,56.648
2016/01/20,48.588
2016/01/21,47.403
2016/01/22,54.141
2016/01/23,59.744
2016/01/24,73.292
2016/01/25,76.752
2016/01/26,62.757
2016/01/27,54.794
2016/01/28,49.169
2016/01/29,47.982
2016/01/30,51.472
2016/01/31,52.794
2016/02/01,39.275
2016/02/02,40.004
2016/02/03,41.892
2016/02/04,34.809
2016/02/05,44.864
2016/02/06,35.823
2016/02/07,57.055
2016/02/08,70.521
2016/02/09,74.406
2016/02/10,83.055
2016/02/11,83.949
2016/02/12,89.438
2016/02/13,53.52
2016/02/14,46.437
2016/02/15,44.675
2016/02/16,54.147
2016/02/17,42.346
2016/02/18,48.268
2016/02/19,40.52
2016/02/20,52.32
2016/02/21,42.205
2016/02/22,49.46
2016/02/23,62.228
2016/02/24,68.847
2016/02/25,49.613
2016/02/26,73.901
2016/02/27,55.818
2016/02/28,45.346
2016/02/29,44.821
2016/03/01,50.98
2016/03/02,69.621
2016/03/03,57.655
2016/03/04,51.643
2016/03/05,65.524
2016/03/06,51.945
2016/03/07,49.675
2016/03/08,54.369
2016/03/09,46.152
2016/03/10,44.434
2016/03/11,45.014
2016/03/12,55.765
2016/03/13,63.558
2016/03/14,55.167
2016/03/15,48.744
2016/03/16,46.765
2016/03/17,53.767
2016/03/18,58.224
2016/03/19,39.811
2016/03/20,37.443
2016/03/21,43.434
2016/03/22,41.37
2016/03/23,39.964
2016/03/24,47.299
2016/03/25,40.391
2016/03/26,37.321
2016/03/27,53.043
2016/03/28,47.36
2016/03/29,56.396
2016/03/30,58.024
2016/03/31,48.105
2016/04/01,39.452
2016/04/02,39.272
2016/04/03,36.644
2016/04/04,42.716
2016/04/05,48.454
2016/04/06,45.917
2016/04/07,49.367
2016/04/08,44.037
2016/04/09,60.875
2016/04/10,54.49
2016/04/11,43.537
2016/04/12,51.241
2016/04/13,51.892
2016/04/14,49.268
2016/04/15,41.626
2016/04/16,38.503
2016/04/17,51.366
2016/04/18,46.226
2016/04/19,40.803
2016/04/20,47.947
2016/04/21,42.817
2016/04/22,49.898
2016/04/23,56.396
2016/04/24,41.29
2016/04/25,49.123
2016/04/26,57.067
2016/04/27,49.265
2016/04/28,48.766
2016/04/29,44.782
2016/04/30,76.695
2016/05/01,60.664
2016/05/02,64.386
2016/05/03,54.719
2016/05/04,49.173
2016/05/05,49.287
2016/05/06,64.119
2016/05/07,53.09
2016/05/08,51.343
2016/05/09,60.677
2016/05/10,60.902
2016/05/11,73.057
2016/05/12,76.028
2016/05/13,91.832
2016/05/14,66.884
2016/05/15,42.921
2016/05/16,43.182
2016/05/17,43.114
2016/05/18,48.363
2016/05/19,56.176
2016/05/20,52.961
2016/05/21,41.623
2016/05/22,39.457
2016/05/23,45.922
2016/05/24,49.984
2016/05/25,48.675
2016/05/26,44.247
2016/05/27,56.121
2016/05/28,51.883
2016/05/29,41.34
2016/05/30,41.847
2016/05/31,42.986
2016/06/01,40.438
2016/06/02,36.526
2016/06/03,39.31
2016/06/04,36.782
2016/06/05,36.664
2016/06/06,37.653
2016/06/07,53.355
2016/06/08,72.209
2016/06/09,43.087
2016/06/10,48.912
2016/06/11,44.196
2016/06/12,53.03
2016/06/13,56.179
2016/06/14,61.499
2016/06/15,50.991
2016/06/16,61.42
2016/06/17,79.789
2016/06/18,73.58
2016/06/19,46.03
2016/06/20,50.241
2016/06/21,45.728
2016/06/22,50.18
2016/06/23,46.69
2016/06/24,42.475
2016/06/25,44.23
2016/06/26,38.647
2016/06/27,39.019
2016/06/28,49.689
2016/06/29,45.591
2016/06/30,41.884
2016/07/01,41.564
2016/07/02,37.229
2016/07/03,38.073
2016/07/04,48.93
2016/07/05,69.362
2016/07/06,45.911
2016/07/07,45.022
2016/07/08,43.034
2016/07/09,42.456
2016/07/10,43.361
2016/07/11,45.156
2016/07/12,46.065
2016/07/13,47.314
2016/07/14,48.18
2016/07/15,79.624
2016/07/16,46.045
2016/07/17,45.697
2016/07/18,60.178
2016/07/19,80.221
2016/07/20,86.397
2016/07/21,45.475
2016/07/22,49.112
2016/07/23,48.516
2016/07/24,68.329
2016/07/25,60.096
2016/07/26,72.854
2016/07/27,56.072
2016/07/28,48.824
