Date,fee_to_reward14wmaUSD
2016/01/01,0.155
2016/01/02,0.143
2016/01/03,0.131
2016/01/04,0.121
2016/01/05,0.129
2016/01/06,0.14
2016/01/07,0.152
2016/01/08,0.144
2016/01/09,0.143
2016/01/10,0.135
2016/01/11,0.13
2016/01/12,0.125
2016/01/13,0.137
2016/01/14,0.133
2016/01/15,0.127
2016/01/16,0.122
2016/01/17,0.113
2016/01/18,0.111
2016/01/19,0.111
2016/01/20,0.103
2016/01/21,0.098
2016/01/22,0.1
2016/01/23,0.095
2016/01/24,0.093
2016/01/25,0.1
2016/01/26,0.104
2016/01/27,0.118
2016/01/28,0.124
2016/01/29,0.128
2016/01/30,0.13
2016/01/31,0.131
2016/02/01,0.131
2016/02/02,0.129
2016/02/03,0.126
2016/02/04,0.126
2016/02/05,0.127
2016/02/06,0.171
2016/02/07,0.173
2016/02/08,0.169
2016/02/09,0.172
2016/02/10,0.178
2016/02/11,0.179
2016/02/12,0.173
2016/02/13,0.169
2016/02/14,0.161
2016/02/15,0.155
2016/02/16,0.149
2016/02/17,0.148
2016/02/18,0.141
2016/02/19,0.137
2016/02/20,0.128
2016/02/21,0.123
2016/02/22,0.121
2016/02/23,0.149
2016/02/24,0.155
2016/02/25,0.151
2016/02/26,0.157
2016/02/27,0.152
2016/02/28,0.147
2016/02/29,0.145
2016/03/01,0.142
2016/03/02,0.142
2016/03/03,0.14
2016/03/04,0.138
2016/03/05,0.136
2016/03/06,0.135
2016/03/07,0.131
2016/03/08,0.127
2016/03/09,0.122
2016/03/10,0.116
2016/03/11,0.109
2016/03/12,0.106
2016/03/13,0.103
2016/03/14,0.102
2016/03/15,0.097
2016/03/16,0.092
2016/03/17,0.091
2016/03/18,0.09
2016/03/19,0.094
2016/03/20,0.096
2016/03/21,0.097
2016/03/22,0.095
2016/03/23,0.096
2016/03/24,0.101
2016/03/25,0.104
2016/03/26,0.105
2016/03/27,0.1
2016/03/28,0.098
2016/03/29,0.095
2016/03/30,0.096
2016/03/31,0.093
2016/04/01,0.09
2016/04/02,0.085
2016/04/03,0.08
2016/04/04,0.079
2016/04/05,0.079
2016/04/06,0.076
2016/04/07,0.074
2016/04/08,0.074
2016/04/09,0.072
2016/04/10,0.07
2016/04/11,0.068
2016/04/12,0.068
2016/04/13,0.072
2016/04/14,0.076
2016/04/15,0.076
2016/04/16,0.073
2016/04/17,0.076
2016/04/18,0.074
2016/04/19,0.072
2016/04/20,0.072
2016/04/21,0.075
2016/04/22,0.074
2016/04/23,0.072
2016/04/24,0.072
2016/04/25,0.072
2016/04/26,0.071
2016/04/27,0.069
2016/04/28,0.069
2016/04/29,0.069
2016/04/30,0.073
2016/05/01,0.079
2016/05/02,0.08
2016/05/03,0.081
2016/05/04,0.082
2016/05/05,0.084
2016/05/06,0.088
2016/05/07,0.087
2016/05/08,0.088
2016/05/09,0.088
2016/05/10,0.088
2016/05/11,0.089
2016/05/12,0.093
2016/05/13,0.098
2016/05/14,0.1
2016/05/15,0.1
2016/05/16,0.099
2016/05/17,0.097
2016/05/18,0.099
2016/05/19,0.099
2016/05/20,0.102
2016/05/21,0.103
2016/05/22,0.102
2016/05/23,0.1
2016/05/24,0.098
2016/05/25,0.098
2016/05/26,0.099
2016/05/27,0.101
2016/05/28,0.117
2016/05/29,0.118
2016/05/30,0.117
2016/05/31,0.115
2016/06/01,0.113
2016/06/02,0.109
2016/06/03,0.105
2016/06/04,0.1
2016/06/05,0.096
2016/06/06,0.093
2016/06/07,0.107
2016/06/08,0.104
2016/06/09,0.101
2016/06/10,0.099
2016/06/11,0.096
2016/06/12,0.095
2016/06/13,0.097
2016/06/14,0.1
2016/06/15,0.1
2016/06/16,0.104
2016/06/17,0.176
2016/06/18,0.257
2016/06/19,0.253
2016/06/20,0.249
2016/06/21,0.251
2016/06/22,0.245
2016/06/23,0.231
2016/06/24,0.219
2016/06/25,0.203
2016/06/26,0.186
2016/06/27,0.17
2016/06/28,0.155
2016/06/29,0.151
2016/06/30,0.159
2016/07/01,0.147
2016/07/02,0.133
2016/07/03,0.127
2016/07/04,0.12
2016/07/05,0.116
2016/07/06,0.112
2016/07/07,0.108
2016/07/08,0.109
2016/07/09,0.113
2016/07/10,0.109
2016/07/11,0.106
2016/07/12,0.103
2016/07/13,0.098
2016/07/14,0.097
2016/07/15,0.096
2016/07/16,0.093
2016/07/17,0.088
2016/07/18,0.086
2016/07/19,0.086
2016/07/20,0.105
2016/07/21,0.105
2016/07/22,0.106
2016/07/23,0.106
2016/07/24,0.108
2016/07/25,0.111
2016/07/26,0.116
2016/07/27,0.117
2016/07/28,0.128
2016/07/29,0.131
2016/07/30,0.128
2016/07/31,0.124
2016/08/01,0.12
2016/08/02,0.118
2016/08/03,0.114
2016/08/04,0.112
2016/08/05,0.108
2016/08/06,0.104
2016/08/07,0.1
2016/08/08,0.107
2016/08/09,0.105
2016/08/10,0.103
2016/08/11,0.102
2016/08/12,0.1
2016/08/13,0.097
2016/08/14,0.094
2016/08/15,0.092
2016/08/16,0.092
2016/08/17,0.091
2016/08/18,0.093
2016/08/19,0.093
2016/08/20,0.091
2016/08/21,0.09
2016/08/22,0.089
2016/08/23,0.106
2016/08/24,0.105
2016/08/25,0.105
2016/08/26,0.105
2016/08/27,0.103
2016/08/28,0.101
2016/08/29,0.099
2016/08/30,0.099
2016/08/31,0.098
2016/09/01,0.098
2016/09/02,0.103
2016/09/03,0.1
2016/09/04,0.107
2016/09/05,0.104
2016/09/06,0.103
2016/09/07,0.104
2016/09/08,0.107
2016/09/09,0.11
2016/09/10,0.108
2016/09/11,0.105
2016/09/12,0.106
2016/09/13,0.104
2016/09/14,0.104
2016/09/15,0.105
2016/09/16,0.109
2016/09/17,0.109
2016/09/18,0.108
2016/09/19,0.104
2016/09/20,0.103
2016/09/21,0.101
2016/09/22,0.112
2016/09/23,0.115
2016/09/24,0.128
2016/09/25,0.137
2016/09/26,0.165
2016/09/27,0.181
2016/09/28,0.188
2016/09/29,0.183
2016/09/30,0.178
2016/10/01,0.19
2016/10/02,0.198
2016/10/03,0.2
2016/10/04,0.209
2016/10/05,0.207
2016/10/06,0.199
2016/10/07,0.19
2016/10/08,0.182
2016/10/09,0.179
2016/10/10,0.174
2016/10/11,0.165
2016/10/12,0.159
2016/10/13,0.176
2016/10/14,0.181
2016/10/15,0.184
2016/10/16,0.185
2016/10/17,0.189
2016/10/18,0.202
2016/10/19,0.212
2016/10/20,0.207
2016/10/21,0.198
2016/10/22,0.184
2016/10/23,0.171
2016/10/24,0.166
2016/10/25,0.16
2016/10/26,0.15
2016/10/27,0.14
2016/10/28,0.133
2016/10/29,0.126
2016/10/30,0.118
2016/10/31,0.113
2016/11/01,0.113
2016/11/02,0.108
2016/11/03,0.106
2016/11/04,0.1
2016/11/05,0.097
2016/11/06,0.093
2016/11/07,0.09
2016/11/08,0.09
2016/11/09,0.092
2016/11/10,0.094
2016/11/11,0.099
2016/11/12,0.098
2016/11/13,0.099
2016/11/14,0.102
2016/11/15,0.104
2016/11/16,0.105
2016/11/17,0.105
2016/11/18,0.105
2016/11/19,0.103
2016/11/20,0.103
2016/11/21,0.103
2016/11/22,0.105
2016/11/23,0.123
2016/11/24,0.131
2016/11/25,0.137
2016/11/26,0.149
2016/11/27,0.174
2016/11/28,0.2
2016/11/29,0.217
2016/11/30,0.208
2016/12/01,0.196
2016/12/02,0.184
2016/12/03,0.171
2016/12/04,0.159
2016/12/05,0.149
2016/12/06,0.14
2016/12/07,0.132
2016/12/08,0.125
2016/12/09,0.117
2016/12/10,0.108
2016/12/11,0.105
2016/12/12,0.1
2016/12/13,0.098
2016/12/14,0.1
2016/12/15,0.101
2016/12/16,0.101
2016/12/17,0.101
2016/12/18,0.099
2016/12/19,0.1
2016/12/20,0.105
2016/12/21,0.113
2016/12/22,0.115
2016/12/23,0.113
2016/12/24,0.109
2016/12/25,0.105
2016/12/26,0.1
2016/12/27,0.102
2016/12/28,0.101
2016/12/29,0.104
2016/12/30,0.108
2016/12/31,0.106
2017/01/01,0.102
2017/01/02,0.099
2017/01/03,0.102
2017/01/04,0.104
2017/01/05,0.105
2017/01/06,0.104
2017/01/07,0.103
2017/01/08,0.103
2017/01/09,0.104
2017/01/10,0.106
2017/01/11,0.106
2017/01/12,0.107
2017/01/13,0.108
2017/01/14,0.106
2017/01/15,0.104
2017/01/16,0.104
2017/01/17,0.106
2017/01/18,0.106
2017/01/19,0.104
2017/01/20,0.105
2017/01/21,0.103
2017/01/22,0.104
2017/01/23,0.104
2017/01/24,0.107
2017/01/25,0.109
2017/01/26,0.11
2017/01/27,0.11
2017/01/28,0.11
2017/01/29,0.108
2017/01/30,0.107
2017/01/31,0.106
2017/02/01,0.108
2017/02/02,0.108
2017/02/03,0.108
2017/02/04,0.107
2017/02/05,0.107
2017/02/06,0.107
2017/02/07,0.112
2017/02/08,0.115
2017/02/09,0.117
2017/02/10,0.121
2017/02/11,0.122
2017/02/12,0.123
2017/02/13,0.132
2017/02/14,0.136
2017/02/15,0.146
2017/02/16,0.144
2017/02/17,0.143
2017/02/18,0.143
2017/02/19,0.14
2017/02/20,0.139
2017/02/21,0.143
2017/02/22,0.145
2017/02/23,0.144
2017/02/24,0.142
2017/02/25,0.141
2017/02/26,0.138
2017/02/27,0.138
2017/02/28,0.14
2017/03/01,0.143
2017/03/02,0.147
2017/03/03,0.147
2017/03/04,0.146
2017/03/05,0.145
2017/03/06,0.143
2017/03/07,0.142
2017/03/08,0.139
2017/03/09,0.142
2017/03/10,0.145
2017/03/11,0.146
2017/03/12,0.147
2017/03/13,0.159
2017/03/14,0.169
2017/03/15,0.175
2017/03/16,0.188
2017/03/17,0.2
2017/03/18,0.201
2017/03/19,0.201
2017/03/20,0.2
2017/03/21,0.202
2017/03/22,0.201
2017/03/23,0.2
2017/03/24,0.203
2017/03/25,0.2
2017/03/26,0.197
2017/03/27,0.202
2017/03/28,0.202
2017/03/29,0.203
2017/03/30,0.206
2017/03/31,0.211
2017/04/01,0.208
2017/04/02,0.209
2017/04/03,0.213
2017/04/04,0.213
2017/04/05,0.213
2017/04/06,0.216
2017/04/07,0.218
2017/04/08,0.212
2017/04/09,0.208
2017/04/10,0.207
2017/04/11,0.204
2017/04/12,0.21
2017/04/13,0.209
2017/04/14,0.207
2017/04/15,0.204
2017/04/16,0.2
2017/04/17,0.198
2017/04/18,0.203
2017/04/19,0.21
2017/04/20,0.213
