Date,sentinusd90stdUSD
2016/01/01,606017
2016/01/02,605392
2016/01/03,603143
2016/01/04,604647
2016/01/05,619059
2016/01/06,618376
2016/01/07,616659
2016/01/08,614797
2016/01/09,612858
2016/01/10,613141
2016/01/11,613556
2016/01/12,634436
2016/01/13,634682
2016/01/14,633499
2016/01/15,652536
2016/01/16,652785
2016/01/17,652189
2016/01/18,879105
2016/01/19,917902
2016/01/20,921544
2016/01/21,923617
2016/01/22,940011
2016/01/23,989816
2016/01/24,1246962
2016/01/25,1535558
2016/01/26,1671340
2016/01/27,1740289
2016/01/28,1768186
2016/01/29,1794804
2016/01/30,1831763
2016/01/31,1874246
2016/02/01,1878512
2016/02/02,1883620
2016/02/03,1888539
2016/02/04,1888526
2016/02/05,1892838
2016/02/06,1893045
2016/02/07,1924298
2016/02/08,2083161
2016/02/09,2297487
2016/02/10,2789689
2016/02/11,3242734
2016/02/12,4019731
2016/02/13,4161850
2016/02/14,4212796
2016/02/15,4250428
2016/02/16,4369840
2016/02/17,4377267
2016/02/18,4417126
2016/02/19,4410353
2016/02/20,4472707
2016/02/21,4469990
2016/02/22,4494360
2016/02/23,4729018
2016/02/24,5208307
2016/02/25,5266525
2016/02/26,7004041
2016/02/27,7383660
2016/02/28,7391547
2016/02/29,7391234
2016/03/01,7496294
2016/03/02,9278477
2016/03/03,9889017
2016/03/04,10131370
2016/03/05,11763116
2016/03/06,12122209
2016/03/07,12335713
2016/03/08,12796140
2016/03/09,12870214
2016/03/10,12896953
2016/03/11,12931957
2016/03/12,13288143
2016/03/13,14152428
2016/03/14,14558535
2016/03/15,14723743
2016/03/16,14813760
2016/03/17,15083731
2016/03/18,15512618
2016/03/19,15469599
2016/03/20,15418565
2016/03/21,15383427
2016/03/22,15330664
2016/03/23,15272450
2016/03/24,15238391
2016/03/25,15177028
2016/03/26,15126564
2016/03/27,15115059
2016/03/28,15055707
2016/03/29,15079357
2016/03/30,15128029
2016/03/31,15071011
2016/04/01,15008184
2016/04/02,14948162
2016/04/03,14904815
2016/04/04,14851212
2016/04/05,14770448
2016/04/06,14692739
2016/04/07,14606435
2016/04/08,14527270
2016/04/09,14468226
2016/04/10,14388734
2016/04/11,14326435
2016/04/12,14234504
2016/04/13,14137590
2016/04/14,14056670
2016/04/15,13981882
2016/04/16,13917754
2016/04/17,13874471
2016/04/18,13811575
2016/04/19,13754483
2016/04/20,13667123
2016/04/21,13616407
2016/04/22,13554437
2016/04/23,13519853
2016/04/24,13548820
2016/04/25,13524187
2016/04/26,13467398
2016/04/27,13410298
2016/04/28,13351259
2016/04/29,13314484
2016/04/30,13539661
2016/05/01,13499131
2016/05/02,13525570
2016/05/03,13445029
2016/05/04,13315990
2016/05/05,13200481
2016/05/06,13216943
2016/05/07,13144509
2016/05/08,13105367
2016/05/09,13195208
2016/05/10,13317816
2016/05/11,13895773
2016/05/12,14657959
2016/05/13,21449617
2016/05/14,23668319
2016/05/15,23605484
2016/05/16,23575547
2016/05/17,23493119
2016/05/18,23532606
2016/05/19,23946848
2016/05/20,24209040
2016/05/21,24082381
2016/05/22,24012242
2016/05/23,23998994
2016/05/24,24066976
2016/05/25,24045971
2016/05/26,23961214
2016/05/27,24174293
2016/05/28,24192664
2016/05/29,24104126
2016/05/30,24075520
2016/05/31,23894862
2016/06/01,23885587
2016/06/02,23938918
2016/06/03,23681812
2016/06/04,23725277
2016/06/05,23780302
2016/06/06,23787120
2016/06/07,23783658
2016/06/08,24043304
2016/06/09,24081916
2016/06/10,24053523
2016/06/11,23896553
2016/06/12,23838228
2016/06/13,23863645
2016/06/14,23995175
2016/06/15,23965167
2016/06/16,24077545
2016/06/17,27043558
2016/06/18,29062448
2016/06/19,29074871
2016/06/20,29207045
2016/06/21,29171575
2016/06/22,29289278
2016/06/23,29249709
2016/06/24,29129004
2016/06/25,29119790
2016/06/26,29122237
2016/06/27,29161088
2016/06/28,29173880
2016/06/29,29148957
2016/06/30,29063554
2016/07/01,28978113
2016/07/02,28919742
2016/07/03,28900353
2016/07/04,28842372
2016/07/05,29089685
2016/07/06,29046434
2016/07/07,28982187
2016/07/08,29041065
2016/07/09,29090052
2016/07/10,29058511
2016/07/11,29059454
2016/07/12,29056523
2016/07/13,29032564
2016/07/14,28955036
2016/07/15,29457311
2016/07/16,29435721
2016/07/17,29391374
2016/07/18,29403594
2016/07/19,35048044
2016/07/20,47050495
2016/07/21,46944706
2016/07/22,47045558
2016/07/23,47007354
2016/07/24,56375515
2016/07/25,60573584
2016/07/26,78850150
2016/07/27,83251844
2016/07/28,84271185
2016/07/29,84608491
2016/07/30,84611020
2016/07/31,84604862
2016/08/01,84765928
2016/08/02,85936926
2016/08/03,86446399
2016/08/04,86399097
2016/08/05,86324398
2016/08/06,86265632
2016/08/07,86238853
2016/08/08,86210684
2016/08/09,86204173
2016/08/10,86345925
2016/08/11,85710026
2016/08/12,85554612
2016/08/13,85489928
2016/08/14,85464484
2016/08/15,85459699
2016/08/16,85580159
2016/08/17,85636621
2016/08/18,85753217
2016/08/19,85782134
2016/08/20,85698855
2016/08/21,85633971
2016/08/22,85622620
2016/08/23,85636046
2016/08/24,85689695
2016/08/25,85835034
2016/08/26,85851569
2016/08/27,85867092
2016/08/28,85908840
2016/08/29,85913984
2016/08/30,85931473
2016/08/31,85861343
2016/09/01,85715070
2016/09/02,85554371
2016/09/03,85445666
2016/09/04,85318556
2016/09/05,85373184
2016/09/06,85514357
2016/09/07,85465638
2016/09/08,85416445
