Date,price7varUSD
2016/10/17,0.002
2016/10/18,0.039
2016/10/19,0.043
2016/10/20,0.041
2016/10/21,0.039
2016/10/22,0.031
2016/10/23,0.029
2016/10/24,0.026
2016/10/25,0.044
2016/10/26,0.055
2016/10/27,0.072
2016/10/28,0.089
2016/10/29,0.175
2016/10/30,0.197
2016/10/31,0.122
2016/11/01,0.122
2016/11/02,0.086
2016/11/03,0.051
2016/11/04,0.03
2016/11/05,0.029
2016/11/06,0.019
2016/11/07,0.012
2016/11/08,0.005
2016/11/09,0.018
2016/11/10,0.031
2016/11/11,0.051
2016/11/12,0.08
2016/11/13,0.087
2016/11/14,0.083
2016/11/15,0.054
2016/11/16,0.035
2016/11/17,0.016
2016/11/18,0.021
2016/11/19,0.037
2016/11/20,0.048
2016/11/21,0.054
2016/11/22,0.045
2016/11/23,0.023
2016/11/24,0.018
2016/11/25,0.027
2016/11/26,0.036
2016/11/27,0.067
2016/11/28,0.127
2016/11/29,0.236
2016/11/30,0.214
2016/12/01,0.189
2016/12/02,0.205
2016/12/03,0.16
2016/12/04,0.129
2016/12/05,0.161
2016/12/06,0.298
2016/12/07,0.232
2016/12/08,0.241
2016/12/09,0.291
2016/12/10,0.327
2016/12/11,0.34
2016/12/12,0.286
2016/12/13,0.05
2016/12/14,0.007
2016/12/15,0.019
2016/12/16,0.04
2016/12/17,0.074
2016/12/18,0.08
2016/12/19,0.076
2016/12/20,0.054
2016/12/21,0.013
2016/12/22,0.007
2016/12/23,0.021
2016/12/24,0.04
2016/12/25,0.044
2016/12/26,0.043
2016/12/27,0.043
2016/12/28,0.02
2016/12/29,0.097
2016/12/30,0.191
2016/12/31,0.211
2017/01/01,0.228
2017/01/02,0.2
2017/01/03,0.2
2017/01/04,0.642
2017/01/05,1.015
2017/01/06,1.056
2017/01/07,0.849
2017/01/08,0.632
2017/01/09,0.295
2017/01/10,0.069
2017/01/11,0.063
2017/01/12,0.09
2017/01/13,0.114
2017/01/14,0.126
2017/01/15,0.13
2017/01/16,0.089
2017/01/17,0.037
2017/01/18,0.052
2017/01/19,0.068
2017/01/20,0.104
2017/01/21,0.137
2017/01/22,0.149
2017/01/23,0.083
2017/01/24,0.048
2017/01/25,0.029
2017/01/26,0.012
2017/01/27,0.014
2017/01/28,0.013
2017/01/29,0.007
2017/01/30,0.002
2017/01/31,0.001
2017/02/01,0.004
2017/02/02,0.006
2017/02/03,0.01
2017/02/04,0.059
2017/02/05,0.078
2017/02/06,0.081
2017/02/07,0.087
2017/02/08,0.073
2017/02/09,0.037
2017/02/10,0.013
2017/02/11,0.014
2017/02/12,0.015
2017/02/13,0.015
2017/02/14,0.148
2017/02/15,0.398
2017/02/16,0.5
2017/02/17,0.47
2017/02/18,0.412
2017/02/19,0.276
2017/02/20,0.028
2017/02/21,0.004
2017/02/22,0.003
2017/02/23,0.004
2017/02/24,0.018
2017/02/25,0.058
2017/02/26,0.155
2017/02/27,0.479
2017/02/28,1.068
2017/03/01,1.391
2017/03/02,2.732
2017/03/03,4.618
2017/03/04,4.716
2017/03/05,3.518
2017/03/06,2.499
2017/03/07,1.514
2017/03/08,0.424
2017/03/09,0.703
2017/03/10,0.599
2017/03/11,0.702
2017/03/12,2.341
2017/03/13,10.29
2017/03/14,17.862
2017/03/15,23.557
2017/03/16,48.746
2017/03/17,76.114
2017/03/18,62.113
2017/03/19,44.003
2017/03/20,36.241
2017/03/21,21.757
2017/03/22,5.193
2017/03/23,4.851
2017/03/24,5.097
2017/03/25,11.631
2017/03/26,13.318
2017/03/27,15.831
2017/03/28,15.187
2017/03/29,11.326
2017/03/30,3.944
2017/03/31,1.056
2017/04/01,1.102
2017/04/02,1.235
2017/04/03,4.595
2017/04/04,9.96
2017/04/05,9.378
2017/04/06,7.385
2017/04/07,7.296
2017/04/08,4.444
2017/04/09,0.991
2017/04/10,0.807
2017/04/11,0.778
2017/04/12,0.234
2017/04/13,3.052
2017/04/14,4.055
2017/04/15,4.873
2017/04/16,5.072
2017/04/17,3.811
2017/04/18,2.463
2017/04/19,0.666
2017/04/20,0.665
2017/04/21,0.579
2017/04/22,0.421
2017/04/23,0.389
2017/04/24,0.341
2017/04/25,0.403
2017/04/26,1.1
2017/04/27,8.385
2017/04/28,35.757
2017/04/29,63.073
2017/04/30,79.245
2017/05/01,101.249
2017/05/02,83.373
2017/05/03,48.318
2017/05/04,32.985
2017/05/05,49.189
2017/05/06,49.043
2017/05/07,43.675
2017/05/08,38.746
2017/05/09,26.082
2017/05/10,10.68
2017/05/11,9.199
2017/05/12,7.229
2017/05/13,6.642
2017/05/14,2.423
2017/05/15,3.167
2017/05/16,1.36
2017/05/17,1.7
2017/05/18,4.19
2017/05/19,69.424
2017/05/20,188.677
2017/05/21,320.44
2017/05/22,688.756
2017/05/23,827.712
2017/05/24,952.253
2017/05/25,853.82
2017/05/26,587.104
2017/05/27,390.017
2017/05/28,204.907
2017/05/29,194.382
2017/05/30,303.78
2017/05/31,573.516
2017/06/01,759.423
2017/06/02,848.82
2017/06/03,509.333
2017/06/04,337.506
2017/06/05,133.952
2017/06/06,159.538
2017/06/07,227.377
2017/06/08,222.371
2017/06/09,202.494
2017/06/10,317.257
2017/06/11,933.886
2017/06/12,1748
2017/06/13,2467
2017/06/14,2404
2017/06/15,1593
2017/06/16,769.816
2017/06/17,360.558
2017/06/18,310.491
2017/06/19,301.526
2017/06/20,192.024
2017/06/21,185.645
2017/06/22,198.956
2017/06/23,256.318
2017/06/24,304.788
2017/06/25,420.235
2017/06/26,844.575
2017/06/27,1064
2017/06/28,899.914
2017/06/29,791.02
2017/06/30,584.518
2017/07/01,424.33
2017/07/02,385.541
2017/07/03,349.458
2017/07/04,171.024
2017/07/05,202.966
2017/07/06,87.345
2017/07/07,56.446
2017/07/08,141.487
2017/07/09,186.204
2017/07/10,247.911
2017/07/11,502.762
2017/07/12,567.23
2017/07/13,431.175
2017/07/14,354.943
2017/07/15,352.846
2017/07/16,408.531
2017/07/17,300.978
2017/07/18,314.674
2017/07/19,427.506
2017/07/20,474.52
2017/07/21,591.23
2017/07/22,646.404
2017/07/23,339.683
2017/07/24,70.058
2017/07/25,27.758
2017/07/26,80.79
2017/07/27,113.247
2017/07/28,144.244
2017/07/29,186.801
2017/07/30,123.99
2017/07/31,40.921
2017/08/01,66.294
2017/08/02,123.776
2017/08/03,169.529
2017/08/04,188.34
2017/08/05,184.404
2017/08/06,336.387
2017/08/07,348.48
2017/08/08,507.913
2017/08/09,730.441
2017/08/10,739.874
2017/08/11,510.221
2017/08/12,340.009
2017/08/13,209.015
2017/08/14,79.883
2017/08/15,47.809
2017/08/16,52.671
2017/08/17,55.43
2017/08/18,54.978
2017/08/19,25.823
2017/08/20,27.097
2017/08/21,98.143
2017/08/22,97.379
2017/08/23,115.651
2017/08/24,144.643
2017/08/25,192.422
2017/08/26,143.614
2017/08/27,63.497
2017/08/28,102.195
2017/08/29,179.348
2017/08/30,362.802
2017/08/31,463.233
2017/09/01,549.789
2017/09/02,387.92
2017/09/03,292.478
2017/09/04,554.289
2017/09/05,1018
2017/09/06,960.672
2017/09/07,749.926
2017/09/08,335.801
2017/09/09,257.476
2017/09/10,198.099
2017/09/11,231.654
2017/09/12,230.048
2017/09/13,284.005
2017/09/14,393.236
2017/09/15,577.794
2017/09/16,544.902
2017/09/17,519.469
2017/09/18,452.113
2017/09/19,319.001
2017/09/20,363.363
2017/09/21,348.579
2017/09/22,198.858
2017/09/23,158.704
2017/09/24,77.1
2017/09/25,83.972
2017/09/26,95.502
2017/09/27,122.768
2017/09/28,167.565
2017/09/29,71.132
2017/09/30,34.868
2017/10/01,21.677
2017/10/02,16.719
2017/10/03,15.224
2017/10/04,18.266
2017/10/05,12.431
2017/10/06,12.014
2017/10/07,28.158
2017/10/08,50.115
2017/10/09,50.429
2017/10/10,42.934
2017/10/11,32.855
2017/10/12,19.209
2017/10/13,60.139
2017/10/14,203.121
2017/10/15,252.02
2017/10/16,285.736
2017/10/17,213.066
