Date,mediantransactionvalue3smaUSD
2016/01/01,0.936
2016/01/02,1.385
2016/01/03,1.405
2016/01/04,1.302
2016/01/05,0.852
2016/01/06,0.413
2016/01/07,0
2016/01/08,0.363
2016/01/09,0.729
2016/01/10,1.155
2016/01/11,1.2
2016/01/12,1.335
2016/01/13,0.909
2016/01/14,0.923
2016/01/15,0.997
2016/01/16,1.531
2016/01/17,1.645
2016/01/18,1.575
2016/01/19,1.282
2016/01/20,1.514
2016/01/21,1.706
2016/01/22,1.987
2016/01/23,2.031
2016/01/24,2.261
2016/01/25,2.508
2016/01/26,2.612
2016/01/27,1.946
2016/01/28,2.006
2016/01/29,1.964
2016/01/30,2.655
2016/01/31,2.768
2016/02/01,2.723
2016/02/02,2.574
2016/02/03,2.585
2016/02/04,2.699
2016/02/05,2.803
2016/02/06,1.85
2016/02/07,1.955
2016/02/08,2.28
2016/02/09,3.67
2016/02/10,4.602
2016/02/11,5.176
2016/02/12,6.289
2016/02/13,6.189
2016/02/14,6.281
2016/02/15,5.831
2016/02/16,5.78
2016/02/17,5.32
2016/02/18,4.797
2016/02/19,4.617
2016/02/20,4.845
2016/02/21,5.042
2016/02/22,5.308
2016/02/23,5.782
2016/02/24,6.187
2016/02/25,6.587
2016/02/26,6.555
2016/02/27,6.701
2016/02/28,6.866
2016/02/29,7.187
2016/03/01,7.514
2016/03/02,8.022
2016/03/03,9.05
2016/03/04,9.825
2016/03/05,11.448
2016/03/06,11.961
2016/03/07,12.388
2016/03/08,11.259
2016/03/09,11.065
2016/03/10,11.934
2016/03/11,12.309
2016/03/12,13.397
2016/03/13,13.833
2016/03/14,15.01
2016/03/15,14.738
2016/03/16,14.461
2016/03/17,13.617
2016/03/18,12.731
2016/03/19,11.459
2016/03/20,10.773
2016/03/21,10.865
2016/03/22,11.283
2016/03/23,11.864
2016/03/24,11.881
2016/03/25,11.458
2016/03/26,10.982
2016/03/27,10.895
2016/03/28,11.16
2016/03/29,11.526
2016/03/30,11.844
2016/03/31,12.066
2016/04/01,12.046
2016/04/02,11.939
2016/04/03,11.855
2016/04/04,11.743
2016/04/05,11.376
2016/04/06,11.041
2016/04/07,10.733
2016/04/08,10.492
2016/04/09,10.148
2016/04/10,9.573
2016/04/11,9.139
2016/04/12,8.511
2016/04/13,8.152
2016/04/14,8.076
2016/04/15,8.209
2016/04/16,8.431
2016/04/17,8.199
2016/04/18,8.487
2016/04/19,8.725
2016/04/20,9.045
2016/04/21,8.793
2016/04/22,8.455
2016/04/23,8.264
2016/04/24,8.198
2016/04/25,8.104
2016/04/26,7.87
2016/04/27,7.698
2016/04/28,7.584
2016/04/29,7.61
2016/04/30,7.785
2016/05/01,8.203
2016/05/02,8.93
2016/05/03,9.436
2016/05/04,9.712
2016/05/05,9.681
2016/05/06,9.646
2016/05/07,9.591
2016/05/08,9.499
2016/05/09,9.432
2016/05/10,9.415
2016/05/11,9.543
2016/05/12,9.782
2016/05/13,10.268
2016/05/14,10.495
2016/05/15,10.48
2016/05/16,10.387
2016/05/17,10.88
2016/05/18,11.872
2016/05/19,13.009
2016/05/20,13.876
2016/05/21,14.036
2016/05/22,14.07
2016/05/23,14.015
2016/05/24,13.883
2016/05/25,13.321
2016/05/26,10.726
2016/05/27,10.14
2016/05/28,6.364
2016/05/29,6.547
2016/05/30,6.872
2016/05/31,10.905
2016/06/01,13.171
2016/06/02,13.634
2016/06/03,13.792
2016/06/04,12.378
2016/06/05,12.344
2016/06/06,12.406
2016/06/07,11.592
2016/06/08,11.835
2016/06/09,12.013
2016/06/10,14.041
2016/06/11,13.835
2016/06/12,12.81
2016/06/13,13.913
2016/06/14,14.938
2016/06/15,17.277
2016/06/16,18.254
2016/06/17,14.352
2016/06/18,10.885
2016/06/19,7.613
2016/06/20,8.643
2016/06/21,9.99
2016/06/22,11.482
2016/06/23,13.051
2016/06/24,11.435
2016/06/25,11.43
2016/06/26,9.742
2016/06/27,11.991
2016/06/28,11.632
2016/06/29,10.294
2016/06/30,6.09
2016/07/01,5.767
2016/07/02,8.455
2016/07/03,11.993
2016/07/04,11.795
2016/07/05,11.284
2016/07/06,10.858
2016/07/07,10.363
2016/07/08,9.605
2016/07/09,9.684
2016/07/10,9.953
2016/07/11,10.745
2016/07/12,10.467
2016/07/13,10.333
2016/07/14,9.038
2016/07/15,9.673
2016/07/16,8.544
2016/07/17,10.083
2016/07/18,9.896
2016/07/19,11.419
2016/07/20,8.557
2016/07/21,8.033
2016/07/22,8.641
2016/07/23,12.258
2016/07/24,13.523
2016/07/25,13.495
2016/07/26,13.323
2016/07/27,12.991
2016/07/28,12.776
2016/07/29,12.076
2016/07/30,11.719
2016/07/31,11.525
2016/08/01,11.735
2016/08/02,11.36
2016/08/03,8.625
2016/08/04,8.341
2016/08/05,8.533
2016/08/06,10.785
2016/08/07,10.843
2016/08/08,10.849
2016/08/09,11.17
2016/08/10,11.181
2016/08/11,10.696
2016/08/12,9.149
2016/08/13,8.011
2016/08/14,8.662
2016/08/15,9.512
2016/08/16,8.54
2016/08/17,6.567
2016/08/18,5.135
2016/08/19,5.876
2016/08/20,6.734
2016/08/21,7.615
2016/08/22,7.64
2016/08/23,6.787
2016/08/24,5.74
2016/08/25,4.748
2016/08/26,4.365
2016/08/27,4.324
2016/08/28,6.32
2016/08/29,6.112
2016/08/30,6.118
2016/08/31,5.438
2016/09/01,8.224
2016/09/02,7.512
2016/09/03,7.721
2016/09/04,5.504
2016/09/05,8.2
2016/09/06,6.782
2016/09/07,5.71
2016/09/08,3.045
2016/09/09,2.481
2016/09/10,4.511
2016/09/11,7.594
2016/09/12,9.208
2016/09/13,10.411
2016/09/14,7.386
2016/09/15,5.771
2016/09/16,2.73
2016/09/17,3.975
2016/09/18,6.473
2016/09/19,9.833
2016/09/20,12.215
2016/09/21,13.472
2016/09/22,9.855
2016/09/23,9.749
2016/09/24,9.487
2016/09/25,13.175
2016/09/26,13.018
2016/09/27,13.024
2016/09/28,13.07
2016/09/29,13.206
2016/09/30,13.292
2016/10/01,10.63
2016/10/02,10.588
2016/10/03,10.569
2016/10/04,8.806
2016/10/05,7.75
2016/10/06,5.512
2016/10/07,9.743
2016/10/08,10.496
2016/10/09,12.423
2016/10/10,12.14
2016/10/11,12.033
2016/10/12,11.174
2016/10/13,7.614
2016/10/14,7.604
2016/10/15,8.444
2016/10/16,12.08
2016/10/17,12.087
2016/10/18,10.476
2016/10/19,10.489
2016/10/20,10.542
2016/10/21,9.15
2016/10/22,9.139
2016/10/23,9.107
2016/10/24,9.408
2016/10/25,8.084
2016/10/26,7.919
2016/10/27,10.338
2016/10/28,11.387
2016/10/29,11.107
2016/10/30,10.852
2016/10/31,10.814
2016/11/01,9.154
2016/11/02,7.928
2016/11/03,7.846
2016/11/04,9.623
2016/11/05,10.985
2016/11/06,11.02
2016/11/07,10.975
2016/11/08,10.907
2016/11/09,10.784
2016/11/10,10.676
2016/11/11,10.524
2016/11/12,10.351
2016/11/13,10.188
2016/11/14,10.06
2016/11/15,10.027
2016/11/16,10.055
2016/11/17,10.043
2016/11/18,9.93
2016/11/19,9.752
2016/11/20,9.618
2016/11/21,9.58
2016/11/22,7.047
2016/11/23,4.054
2016/11/24,4.027
2016/11/25,3.366
2016/11/26,5.64
2016/11/27,3.56
2016/11/28,4.757
2016/11/29,3.644
2016/11/30,4.354
2016/12/01,5.96
2016/12/02,7.255
2016/12/03,8.089
2016/12/04,7.475
2016/12/05,7.232
2016/12/06,6.882
2016/12/07,7.26
2016/12/08,7.679
2016/12/09,8.19
2016/12/10,8.371
2016/12/11,8.271
2016/12/12,8.261
2016/12/13,6.987
2016/12/14,5.381
2016/12/15,4.065
2016/12/16,4.095
2016/12/17,5.518
2016/12/18,6.665
2016/12/19,6.459
2016/12/20,5.657
2016/12/21,4.197
2016/12/22,3.435
2016/12/23,4.08
2016/12/24,5.344
2016/12/25,7.195
2016/12/26,7.216
2016/12/27,6.451
2016/12/28,5.637
2016/12/29,5.927
2016/12/30,5.78
2016/12/31,6.861
2017/01/01,6.912
2017/01/02,8.139
2017/01/03,7.398
2017/01/04,8.134
2017/01/05,8.9
2017/01/06,10.315
2017/01/07,10.094
2017/01/08,9.929
2017/01/09,10.065
2017/01/10,8.884
2017/01/11,8.902
2017/01/12,7.01
2017/01/13,5.993
2017/01/14,5.666
2017/01/15,5.689
2017/01/16,7.827
2017/01/17,6.916
2017/01/18,8.699
2017/01/19,8.91
2017/01/20,10.297
2017/01/21,10.475
2017/01/22,8.823
2017/01/23,7.694
2017/01/24,5.311
2017/01/25,5.282
2017/01/26,4.665
2017/01/27,5.36
2017/01/28,5.358
2017/01/29,6.656
2017/01/30,6.624
2017/01/31,8.413
2017/02/01,7.469
2017/02/02,9.158
2017/02/03,9.212
2017/02/04,10.849
2017/02/05,10.434
2017/02/06,10.121
2017/02/07,7.997
2017/02/08,6.628
2017/02/09,6.249
2017/02/10,6.894
2017/02/11,7.422
2017/02/12,8.077
2017/02/13,7.689
2017/02/14,7.893
2017/02/15,7.835
2017/02/16,10.201
2017/02/17,11.448
2017/02/18,12.207
2017/02/19,11.788
2017/02/20,10.971
2017/02/21,8.071
2017/02/22,6.449
2017/02/23,7.781
2017/02/24,10.274
2017/02/25,10.633
2017/02/26,10.912
2017/02/27,11.969
2017/02/28,14.642
2017/03/01,15.412
2017/03/02,16.549
2017/03/03,17.907
2017/03/04,19.076
2017/03/05,19.323
2017/03/06,19.234
2017/03/07,15.96
2017/03/08,15.663
2017/03/09,12.249
2017/03/10,15.111
2017/03/11,15.725
2017/03/12,20.072
