Date,size14trx
2016/01/01,1.363
2016/01/02,1.135
2016/01/03,0.899
2016/01/04,0.674
2016/01/05,0.552
2016/01/06,0.534
2016/01/07,0.579
2016/01/08,0.566
2016/01/09,0.539
2016/01/10,0.471
2016/01/11,0.382
2016/01/12,0.29
2016/01/13,0.267
2016/01/14,0.215
2016/01/15,0.136
2016/01/16,0.035
2016/01/17,-0.091
2016/01/18,-0.195
2016/01/19,-0.267
2016/01/20,-0.346
2016/01/21,-0.427
2016/01/22,-0.489
2016/01/23,-0.559
2016/01/24,-0.612
2016/01/25,-0.58
2016/01/26,-0.513
2016/01/27,-0.355
2016/01/28,-0.172
2016/01/29,-0.007
2016/01/30,0.112
2016/01/31,0.185
2016/02/01,0.212
2016/02/02,0.207
2016/02/03,0.178
2016/02/04,0.139
2016/02/05,0.102
2016/02/06,0.184
2016/02/07,0.204
2016/02/08,0.184
2016/02/09,0.138
2016/02/10,0.092
2016/02/11,0.084
2016/02/12,0.079
2016/02/13,0.086
2016/02/14,0.083
2016/02/15,0.072
2016/02/16,0.055
2016/02/17,0.064
2016/02/18,0.057
2016/02/19,0.049
2016/02/20,0.019
2016/02/21,-0.024
2016/02/22,-0.064
2016/02/23,-0.096
2016/02/24,-0.122
2016/02/25,-0.141
2016/02/26,-0.119
2016/02/27,-0.109
2016/02/28,-0.11
2016/02/29,-0.099
2016/03/01,-0.086
2016/03/02,-0.063
2016/03/03,-0.024
2016/03/04,0.025
2016/03/05,0.089
2016/03/06,0.172
2016/03/07,0.231
2016/03/08,0.277
2016/03/09,0.318
2016/03/10,0.341
2016/03/11,0.349
2016/03/12,0.381
2016/03/13,0.428
2016/03/14,0.501
2016/03/15,0.551
2016/03/16,0.58
2016/03/17,0.614
2016/03/18,0.645
2016/03/19,0.687
2016/03/20,0.723
2016/03/21,0.761
2016/03/22,0.8
2016/03/23,0.837
2016/03/24,0.932
2016/03/25,1.01
2016/03/26,1.054
2016/03/27,1.021
2016/03/28,0.994
2016/03/29,0.938
2016/03/30,0.896
2016/03/31,0.834
2016/04/01,0.776
2016/04/02,0.676
2016/04/03,0.556
2016/04/04,0.47
2016/04/05,0.416
2016/04/06,0.349
2016/04/07,0.29
2016/04/08,0.259
2016/04/09,0.212
2016/04/10,0.148
2016/04/11,0.074
2016/04/12,0.028
2016/04/13,0.007
2016/04/14,-0.009
2016/04/15,-0.019
2016/04/16,-0.059
2016/04/17,0.002
2016/04/18,0.031
2016/04/19,0.032
2016/04/20,0.021
2016/04/21,0.028
2016/04/22,0.01
2016/04/23,-0.027
2016/04/24,-0.047
2016/04/25,-0.061
2016/04/26,-0.079
2016/04/27,-0.103
2016/04/28,-0.115
2016/04/29,-0.115
2016/04/30,-0.08
2016/05/01,-0.007
2016/05/02,0.053
2016/05/03,0.096
2016/05/04,0.133
2016/05/05,0.164
2016/05/06,0.211
2016/05/07,0.223
2016/05/08,0.239
2016/05/09,0.243
2016/05/10,0.243
2016/05/11,0.252
2016/05/12,0.286
2016/05/13,0.332
2016/05/14,0.385
2016/05/15,0.415
2016/05/16,0.419
2016/05/17,0.41
2016/05/18,0.419
2016/05/19,0.421
2016/05/20,0.432
2016/05/21,0.448
2016/05/22,0.436
2016/05/23,0.418
2016/05/24,0.389
2016/05/25,0.375
