Date,transactions7std
2016/01/01,10399
2016/01/02,10716
2016/01/03,8560
2016/01/04,8685
2016/01/05,9380
2016/01/06,6846
2016/01/07,9986
2016/01/08,9398
2016/01/09,8872
2016/01/10,8584
2016/01/11,8204
2016/01/12,8270
2016/01/13,8429
2016/01/14,4802
2016/01/15,4973
2016/01/16,5026
2016/01/17,5122
2016/01/18,5185
2016/01/19,5238
2016/01/20,2687
2016/01/21,2680
2016/01/22,3029
2016/01/23,2968
2016/01/24,2522
2016/01/25,4301
2016/01/26,5039
2016/01/27,5780
2016/01/28,5096
2016/01/29,5004
2016/01/30,3522
2016/01/31,2845
2016/02/01,3108
2016/02/02,3252
2016/02/03,2075
2016/02/04,1479
2016/02/05,712.559
2016/02/06,11913
2016/02/07,11900
2016/02/08,11839
2016/02/09,11713
2016/02/10,11485
2016/02/11,11441
2016/02/12,11143
2016/02/13,4837
2016/02/14,4261
2016/02/15,3629
2016/02/16,3107
2016/02/17,3194
2016/02/18,2341
2016/02/19,2361
2016/02/20,2229
2016/02/21,2126
2016/02/22,2098
2016/02/23,2123
2016/02/24,1891
2016/02/25,1993
2016/02/26,2798
2016/02/27,2303
2016/02/28,1736
2016/02/29,1631
2016/03/01,1970
2016/03/02,3082
2016/03/03,4080
2016/03/04,4537
2016/03/05,5141
2016/03/06,4894
2016/03/07,3902
2016/03/08,3202
2016/03/09,3022
2016/03/10,3023
2016/03/11,3302
2016/03/12,3620
2016/03/13,3820
2016/03/14,4121
2016/03/15,4427
2016/03/16,4120
2016/03/17,5649
2016/03/18,4191
2016/03/19,5275
2016/03/20,5014
2016/03/21,4585
2016/03/22,4167
2016/03/23,1949
2016/03/24,3504
2016/03/25,3977
2016/03/26,4376
2016/03/27,5229
2016/03/28,5113
2016/03/29,5025
2016/03/30,4844
2016/03/31,4849
2016/04/01,4420
2016/04/02,4661
2016/04/03,4798
2016/04/04,5020
2016/04/05,6709
2016/04/06,6240
2016/04/07,6268
2016/04/08,6313
2016/04/09,5692
2016/04/10,4939
2016/04/11,5347
2016/04/12,2689
2016/04/13,3644
2016/04/14,3695
2016/04/15,3838
2016/04/16,4295
2016/04/17,6270
2016/04/18,5395
2016/04/19,5641
2016/04/20,5622
2016/04/21,5998
2016/04/22,6304
2016/04/23,5919
2016/04/24,3458
2016/04/25,3741
2016/04/26,3747
2016/04/27,3700
2016/04/28,2583
2016/04/29,3351
2016/04/30,8286
2016/05/01,8371
2016/05/02,8855
2016/05/03,7753
2016/05/04,6833
2016/05/05,5659
2016/05/06,5349
2016/05/07,3900
2016/05/08,3960
2016/05/09,3260
2016/05/10,3506
2016/05/11,3486
2016/05/12,5139
2016/05/13,7343
2016/05/14,6400
2016/05/15,6039
2016/05/16,6556
2016/05/17,6634
2016/05/18,6713
2016/05/19,6665
2016/05/20,5947
2016/05/21,5600
2016/05/22,6244
2016/05/23,4847
2016/05/24,4270
2016/05/25,4412
2016/05/26,6911
2016/05/27,7589
2016/05/28,18891
2016/05/29,17343
2016/05/30,17529
2016/05/31,17227
2016/06/01,17962
2016/06/02,19082
2016/06/03,19803
2016/06/04,5274
2016/06/05,4692
2016/06/06,4423
2016/06/07,5444
2016/06/08,5236
2016/06/09,5228
2016/06/10,5222
2016/06/11,5506
2016/06/12,5436
2016/06/13,6372
2016/06/14,8383
2016/06/15,8246
2016/06/16,7900
2016/06/17,17613
2016/06/18,18518
2016/06/19,17286
2016/06/20,17119
2016/06/21,17425
2016/06/22,16311
2016/06/23,16807
2016/06/24,12477
2016/06/25,8845
2016/06/26,7833
2016/06/27,7921
2016/06/28,7120
2016/06/29,7784
2016/06/30,16769
2016/07/01,17239
2016/07/02,16613
2016/07/03,16901
2016/07/04,16849
2016/07/05,17320
2016/07/06,17257
2016/07/07,1540
2016/07/08,2608
2016/07/09,2578
2016/07/10,2617
2016/07/11,2794
2016/07/12,2841
2016/07/13,3942
2016/07/14,4508
2016/07/15,4162
2016/07/16,4298
2016/07/17,5818
2016/07/18,5826
2016/07/19,6873
2016/07/20,9771
2016/07/21,10043
2016/07/22,11057
2016/07/23,10421
2016/07/24,11161
2016/07/25,10051
2016/07/26,12175
2016/07/27,12137
2016/07/28,11073
2016/07/29,11377
2016/07/30,12655
2016/07/31,11817
2016/08/01,11757
2016/08/02,6213
2016/08/03,4850
2016/08/04,4744
2016/08/05,5433
2016/08/06,5685
2016/08/07,5755
2016/08/08,6006
2016/08/09,5397
2016/08/10,4154
2016/08/11,4695
2016/08/12,4567
2016/08/13,4736
2016/08/14,5474
2016/08/15,5592
2016/08/16,6249
2016/08/17,6099
2016/08/18,5969
2016/08/19,6039
2016/08/20,5976
2016/08/21,5447
2016/08/22,5185
2016/08/23,4947
2016/08/24,5192
2016/08/25,5997
2016/08/26,5847
2016/08/27,4672
2016/08/28,4639
2016/08/29,4326
2016/08/30,4153
2016/08/31,4195
2016/09/01,3380
2016/09/02,7315
2016/09/03,7511
2016/09/04,6630
2016/09/05,7426
2016/09/06,7517
2016/09/07,7393
2016/09/08,9194
2016/09/09,8666
2016/09/10,9285
2016/09/11,10045
2016/09/12,9416
2016/09/13,10220
2016/09/14,11160
2016/09/15,10022
2016/09/16,11501
2016/09/17,10742
2016/09/18,12816
2016/09/19,13794
2016/09/20,13840
2016/09/21,13522
2016/09/22,13529
2016/09/23,13298
2016/09/24,13170
2016/09/25,12962
2016/09/26,12644
2016/09/27,10349
2016/09/28,10326
2016/09/29,7013
2016/09/30,6700
2016/10/01,10496
2016/10/02,11150
2016/10/03,11256
2016/10/04,13793
2016/10/05,13991
2016/10/06,15086
2016/10/07,12859
2016/10/08,13375
2016/10/09,12430
2016/10/10,12116
2016/10/11,5817
2016/10/12,9847
2016/10/13,11067
2016/10/14,10719
2016/10/15,11320
2016/10/16,10455
2016/10/17,8375
2016/10/18,13791
2016/10/19,12335
2016/10/20,11400
2016/10/21,16770
2016/10/22,15728
2016/10/23,15618
2016/10/24,16159
2016/10/25,15425
2016/10/26,14571
2016/10/27,14505
2016/10/28,10827
2016/10/29,10251
2016/10/30,8601
2016/10/31,5609
2016/11/01,6277
2016/11/02,6134
2016/11/03,6092
2016/11/04,9555
2016/11/05,9922
2016/11/06,11049
2016/11/07,10550
2016/11/08,7964
2016/11/09,7269
2016/11/10,6791
2016/11/11,4983
2016/11/12,4773
2016/11/13,2161
2016/11/14,2774
2016/11/15,3762
2016/11/16,3543
2016/11/17,3355
2016/11/18,3247
2016/11/19,3921
2016/11/20,3833
2016/11/21,3662
2016/11/22,8714
2016/11/23,16774
2016/11/24,17746
2016/11/25,19422
2016/11/26,19053
2016/11/27,18684
2016/11/28,18064
2016/11/29,17796
2016/11/30,13194
2016/12/01,13103
2016/12/02,7651
2016/12/03,7584
2016/12/04,7710
2016/12/05,5732
2016/12/06,6438
2016/12/07,6212
2016/12/08,5375
2016/12/09,5384
2016/12/10,5461
2016/12/11,5580
2016/12/12,5972
2016/12/13,3756
2016/12/14,5907
2016/12/15,6357
2016/12/16,6347
2016/12/17,6628
2016/12/18,7579
2016/12/19,7194
2016/12/20,7157
2016/12/21,8549
2016/12/22,11705
2016/12/23,11684
2016/12/24,12205
2016/12/25,12220
2016/12/26,14164
2016/12/27,14158
2016/12/28,12733
2016/12/29,8309
2016/12/30,8352
2016/12/31,7968
2017/01/01,7363
2017/01/02,5084
2017/01/03,5653
2017/01/04,7899
2017/01/05,8729
2017/01/06,8734
2017/01/07,8418
2017/01/08,7213
2017/01/09,5655
2017/01/10,5837
2017/01/11,4690
2017/01/12,5196
2017/01/13,5956
2017/01/14,6508
2017/01/15,6863
2017/01/16,6900
2017/01/17,6743
2017/01/18,6761
2017/01/19,5764
2017/01/20,3504
2017/01/21,3128
2017/01/22,2781
2017/01/23,2833
2017/01/24,4503
2017/01/25,4437
2017/01/26,3946
2017/01/27,3890
2017/01/28,3085
2017/01/29,4345
2017/01/30,4392
2017/01/31,2997
2017/02/01,2896
2017/02/02,2541
2017/02/03,2070
2017/02/04,2149
2017/02/05,2395
2017/02/06,3056
2017/02/07,5581
2017/02/08,6409
2017/02/09,5840
2017/02/10,5125
2017/02/11,4725
2017/02/12,5156
2017/02/13,6913
2017/02/14,8989
2017/02/15,9474
2017/02/16,9141
2017/02/17,9298
2017/02/18,8622
2017/02/19,7521
2017/02/20,6989
2017/02/21,7065
2017/02/22,6355
2017/02/23,6722
2017/02/24,7069
2017/02/25,7027
2017/02/26,6432
2017/02/27,6205
2017/02/28,7245
2017/03/01,8318
2017/03/02,12560
2017/03/03,12997
2017/03/04,12157
2017/03/05,10622
2017/03/06,9103
2017/03/07,9122
2017/03/08,10056
