Date,activeaddresses14var
2016/01/01,16651
2016/01/02,16961
2016/01/03,17765
2016/01/04,22029
2016/01/05,25353
2016/01/06,32938
2016/01/07,50520
2016/01/08,47102
2016/01/09,47157
2016/01/10,47454
2016/01/11,69097
2016/01/12,89055
2016/01/13,74682
2016/01/14,73697
2016/01/15,75859
2016/01/16,61773
2016/01/17,53875
2016/01/18,53831
2016/01/19,43630
2016/01/20,67435
2016/01/21,67324
2016/01/22,65195
2016/01/23,83661
2016/01/24,151413
2016/01/25,270035
2016/01/26,447344
2016/01/27,498350
2016/01/28,592113
2016/01/29,657504
2016/01/30,636731
2016/01/31,562543
2016/02/01,520251
2016/02/02,410258
2016/02/03,380840
2016/02/04,238252
2016/02/05,137214
2016/02/06,78375
2016/02/07,57915
2016/02/08,62172
2016/02/09,90890
2016/02/10,364663
2016/02/11,1449858
2016/02/12,1744577
2016/02/13,1873859
2016/02/14,1861642
2016/02/15,1817441
2016/02/16,1728448
2016/02/17,1648582
2016/02/18,1453036
2016/02/19,1379191
2016/02/20,1072566
2016/02/21,804331
2016/02/22,615852
2016/02/23,475337
2016/02/24,476500
2016/02/25,208023
2016/02/26,180744
2016/02/27,181490
2016/02/28,195278
2016/02/29,287392
2016/03/01,525261
2016/03/02,1022213
2016/03/03,1629766
2016/03/04,2009158
2016/03/05,2892325
2016/03/06,3468768
2016/03/07,3262066
2016/03/08,3311961
2016/03/09,3066743
2016/03/10,3173000
2016/03/11,2599671
2016/03/12,2143442
2016/03/13,1623055
2016/03/14,1272053
2016/03/15,1011410
2016/03/16,892931
2016/03/17,895445
2016/03/18,1083124
2016/03/19,1095339
2016/03/20,1122767
2016/03/21,619806
2016/03/22,536792
2016/03/23,408523
2016/03/24,379727
2016/03/25,198419
2016/03/26,193949
2016/03/27,210113
2016/03/28,265399
2016/03/29,683601
2016/03/30,1325681
2016/03/31,1338370
2016/04/01,1334215
2016/04/02,1250554
2016/04/03,1197896
2016/04/04,1184679
2016/04/05,1204152
2016/04/06,1175674
2016/04/07,1134882
2016/04/08,998377
2016/04/09,729802
2016/04/10,715428
2016/04/11,633651
2016/04/12,644126
2016/04/13,615661
2016/04/14,631533
2016/04/15,544602
2016/04/16,390714
2016/04/17,333119
2016/04/18,347120
2016/04/19,360427
2016/04/20,334015
2016/04/21,352450
2016/04/22,165689
2016/04/23,150574
2016/04/24,177636
2016/04/25,145272
2016/04/26,163261
2016/04/27,178609
2016/04/28,174633
2016/04/29,570521
2016/04/30,5170471
2016/05/01,5446960
2016/05/02,7211743
2016/05/03,7153562
2016/05/04,6994984
2016/05/05,6755717
2016/05/06,6325586
2016/05/07,5736167
2016/05/08,5482581
2016/05/09,5155872
2016/05/10,4557036
2016/05/11,4312802
2016/05/12,3482837
2016/05/13,4477528
2016/05/14,3633981
2016/05/15,3475726
2016/05/16,3329616
2016/05/17,3280983
2016/05/18,3940981
2016/05/19,3908064
2016/05/20,3363713
2016/05/21,2406054
2016/05/22,2568536
2016/05/23,2700839
2016/05/24,2314843
2016/05/25,2347236
2016/05/26,5873440
2016/05/27,6660252
2016/05/28,19469680
2016/05/29,18830070
2016/05/30,17575058
2016/05/31,17140410
2016/06/01,17557929
2016/06/02,18012553
2016/06/03,18329542
2016/06/04,18701811
2016/06/05,18026961
2016/06/06,18385762
2016/06/07,18568878
2016/06/08,18699251
2016/06/09,16460443
2016/06/10,15674092
2016/06/11,1593104
2016/06/12,1379351
2016/06/13,3157674
2016/06/14,4792251
2016/06/15,5010329
2016/06/16,4977355
2016/06/17,12681370
2016/06/18,15888535
2016/06/19,15648372
2016/06/20,15156219
2016/06/21,14487059
2016/06/22,14491652
2016/06/23,13484147
2016/06/24,12739012
2016/06/25,9800705
2016/06/26,9162195
2016/06/27,9898994
2016/06/28,9846803
2016/06/29,9866883
2016/06/30,9544316
2016/07/01,5620439
2016/07/02,3051351
2016/07/03,2596800
2016/07/04,2436802
2016/07/05,2230434
2016/07/06,821592
2016/07/07,817513
2016/07/08,822187
2016/07/09,564545
2016/07/10,366064
2016/07/11,340426
2016/07/12,163454
2016/07/13,618024
2016/07/14,676929
2016/07/15,670085
2016/07/16,699912
2016/07/17,1754283
2016/07/18,1774163
2016/07/19,4019091
2016/07/20,6505927
2016/07/21,7192290
2016/07/22,9362151
2016/07/23,9707325
2016/07/24,15867139
2016/07/25,17650824
2016/07/26,29206484
2016/07/27,30839298
2016/07/28,30333905
2016/07/29,28382949
2016/07/30,26257962
2016/07/31,19136629
2016/08/01,14605100
2016/08/02,15327179
2016/08/03,15593894
2016/08/04,15265279
2016/08/05,16536773
2016/08/06,17938667
2016/08/07,17348630
2016/08/08,17586676
2016/08/09,8326861
2016/08/10,3175820
2016/08/11,1833619
2016/08/12,1867866
2016/08/13,2233738
2016/08/14,2406870
2016/08/15,2312433
2016/08/16,2584294
2016/08/17,2387540
2016/08/18,2223030
2016/08/19,2232721
2016/08/20,2117924
2016/08/21,2071432
2016/08/22,2139815
2016/08/23,1839906
2016/08/24,1840163
2016/08/25,1338533
2016/08/26,1306593
2016/08/27,1119911
2016/08/28,989430
2016/08/29,1042246
2016/08/30,686588
2016/08/31,965646
2016/09/01,1238415
2016/09/02,1333463
2016/09/03,1252318
2016/09/04,1220549
2016/09/05,1052467
2016/09/06,1003967
2016/09/07,1109588
2016/09/08,1447844
2016/09/09,1426191
2016/09/10,1502974
2016/09/11,1455648
2016/09/12,1447190
2016/09/13,1425918
2016/09/14,1277034
2016/09/15,993497
2016/09/16,946119
2016/09/17,967720
2016/09/18,1151260
2016/09/19,1154167
2016/09/20,4881660
2016/09/21,4543894
2016/09/22,5692463
2016/09/23,6311957
2016/09/24,6708680
2016/09/25,7315355
2016/09/26,7874705
2016/09/27,8405412
2016/09/28,8520898
2016/09/29,8479839
2016/09/30,8184825
2016/10/01,7813379
2016/10/02,7951964
2016/10/03,7931756
2016/10/04,3279763
2016/10/05,3088922
2016/10/06,3750156
2016/10/07,3950522
2016/10/08,3913702
2016/10/09,4534223
2016/10/10,5485627
2016/10/11,5499340
2016/10/12,11860849
2016/10/13,22321081
2016/10/14,22220832
2016/10/15,23962544
2016/10/16,22008079
2016/10/17,21124598
2016/10/18,24094046
2016/10/19,24767493
2016/10/20,27279346
2016/10/21,35911741
2016/10/22,35975807
2016/10/23,34531762
2016/10/24,32730732
2016/10/25,33053901
2016/10/26,28959840
2016/10/27,18056888
2016/10/28,17547751
2016/10/29,12767684
2016/10/30,12146310
2016/10/31,12264274
2016/11/01,11716580
2016/11/02,8536906
2016/11/03,8177524
2016/11/04,6357872
2016/11/05,6604611
2016/11/06,7982943
2016/11/07,7841772
2016/11/08,7799800
2016/11/09,7615978
2016/11/10,7862621
2016/11/11,7610358
2016/11/12,7684511
2016/11/13,7298680
2016/11/14,5999185
2016/11/15,5037047
2016/11/16,3785078
2016/11/17,3183451
2016/11/18,1654909
2016/11/19,1723344
2016/11/20,1248978
2016/11/21,1037154
2016/11/22,13178571
2016/11/23,45578446
2016/11/24,46600580
2016/11/25,50823456
2016/11/26,53347885
2016/11/27,54998467
2016/11/28,54835436
2016/11/29,56276625
2016/11/30,56276163
2016/12/01,57219668
2016/12/02,57299567
2016/12/03,56841598
2016/12/04,57039222
2016/12/05,57312799
2016/12/06,47441471
2016/12/07,11561677
2016/12/08,11327515
2016/12/09,2249632
2016/12/10,1834963
2016/12/11,1743934
2016/12/12,1756744
2016/12/13,1744244
2016/12/14,1797850
2016/12/15,1787388
2016/12/16,1780597
2016/12/17,1762049
2016/12/18,2162137
2016/12/19,2371502
2016/12/20,1804196
2016/12/21,1791004
2016/12/22,5508171
2016/12/23,5552914
2016/12/24,5398373
2016/12/25,6098430
2016/12/26,6890520
2016/12/27,6959990
2016/12/28,7050812
2016/12/29,6867208
2016/12/30,6895545
2016/12/31,6817675
2017/01/01,6874786
2017/01/02,6772671
2017/01/03,6500481
2017/01/04,7964474
2017/01/05,5558599
2017/01/06,6066589
2017/01/07,6168638
2017/01/08,5546522
2017/01/09,5098605
2017/01/10,4607188
2017/01/11,4408447
2017/01/12,4376910
2017/01/13,4169678
2017/01/14,4395414
2017/01/15,3430425
2017/01/16,3072750
2017/01/17,2660676
2017/01/18,2151864
2017/01/19,1229170
2017/01/20,1086605
2017/01/21,1097431
2017/01/22,1030320
2017/01/23,855491
2017/01/24,921673
2017/01/25,927884
2017/01/26,854490
2017/01/27,869638
2017/01/28,783374
2017/01/29,845838
2017/01/30,700118
2017/01/31,579211
2017/02/01,586106
2017/02/02,598013
2017/02/03,398749
2017/02/04,529134
2017/02/05,757431
2017/02/06,823386
2017/02/07,771290
2017/02/08,866227
2017/02/09,933767
2017/02/10,1159789
2017/02/11,1010619
2017/02/12,684541
2017/02/13,1631450
2017/02/14,2379302
2017/02/15,3165703
2017/02/16,3253410
2017/02/17,2930985
2017/02/18,3113191
2017/02/19,3050613
2017/02/20,3004135
2017/02/21,2739819
2017/02/22,2532618
2017/02/23,2281592
2017/02/24,2765724
2017/02/25,1637316
2017/02/26,884572
2017/02/27,1279002
2017/02/28,4580851
2017/03/01,8150337
2017/03/02,23664544
2017/03/03,28109434
2017/03/04,28708212
2017/03/05,26698634
2017/03/06,26193944
2017/03/07,24146317
2017/03/08,21390381
2017/03/09,18548372
2017/03/10,17411053
2017/03/11,14408931
2017/03/12,12002629
2017/03/13,28477719
2017/03/14,32327911
2017/03/15,37704619
2017/03/16,92859725
2017/03/17,136061478
2017/03/18,139524224
2017/03/19,130408463
2017/03/20,122720746
2017/03/21,107289897
2017/03/22,90518538
2017/03/23,80490428
2017/03/24,68384167
2017/03/25,54822540
2017/03/26,48765664
2017/03/27,48784639
2017/03/28,47032022
2017/03/29,46172882
2017/03/30,32521964
2017/03/31,33942561
2017/04/01,34291338
2017/04/02,34192959
2017/04/03,45317657
2017/04/04,44654411
2017/04/05,41527722
