Date,transactions3var
2016/10/23,100955065
2016/10/24,57706064
2016/10/25,52177108
2016/10/26,9442622
2016/10/27,1918709
2016/10/28,2431454
2016/10/29,3238961
2016/10/30,774496
2016/10/31,6316377
2016/11/01,15470595
2016/11/02,5394913
2016/11/03,8477890
2016/11/04,24082646
2016/11/05,15933704
2016/11/06,4487343
2016/11/07,9550767
2016/11/08,12073841
2016/11/09,363652
2016/11/10,356149
2016/11/11,139028
2016/11/12,152412
2016/11/13,1622293
2016/11/14,1866103
2016/11/15,544553
2016/11/16,2245811
2016/11/17,3919411
2016/11/18,1621481
2016/11/19,3510870
2016/11/20,3445835
2016/11/21,2254435
2016/11/22,27714022
2016/11/23,77430337
2016/11/24,127395886
2016/11/25,137882531
2016/11/26,84874276
2016/11/27,55249038
2016/11/28,9590978
2016/11/29,2670688
2016/11/30,16488908
2016/12/01,18254071
2016/12/02,3415776
2016/12/03,4273818
2016/12/04,779447
2016/12/05,764915
2016/12/06,13387969
2016/12/07,9435728
2016/12/08,13378324
2016/12/09,917258
2016/12/10,575264
2016/12/11,881422
2016/12/12,606918
2016/12/13,7278984
2016/12/14,12794738
2016/12/15,1156179
2016/12/16,1911261
2016/12/17,7702547
2016/12/18,9075588
2016/12/19,14002615
2016/12/20,15542561
2016/12/21,7972278
2016/12/22,20180192
2016/12/23,19602392
2016/12/24,51508726
2016/12/25,11781155
2016/12/26,1741166
2016/12/27,10927187
2016/12/28,15528925
2016/12/29,3161870
2016/12/30,1700717
2016/12/31,4829865
2017/01/01,5706994
2017/01/02,1056534
2017/01/03,10093428
2017/01/04,20359100
2017/01/05,4210044
2017/01/06,9098928
2017/01/07,7696563
2017/01/08,221564
2017/01/09,2151545
2017/01/10,5074101
2017/01/11,1516548
2017/01/12,4819254
2017/01/13,6707723
2017/01/14,16702565
2017/01/15,17763485
2017/01/16,2704256
2017/01/17,4341186
2017/01/18,515234
2017/01/19,1548682
2017/01/20,787281
2017/01/21,1203513
2017/01/22,2879809
2017/01/23,2954524
2017/01/24,3283256
2017/01/25,4015512
2017/01/26,3367592
2017/01/27,63417
2017/01/28,559216
2017/01/29,2978080
2017/01/30,1710489
2017/01/31,1381956
2017/02/01,493294
2017/02/02,165721
2017/02/03,518573
2017/02/04,1187510
2017/02/05,2486283
2017/02/06,606660
2017/02/07,5524697
2017/02/08,3967602
2017/02/09,2987826
2017/02/10,3393350
2017/02/11,5855113
2017/02/12,9027748
2017/02/13,22703914
2017/02/14,31961283
2017/02/15,1627139
2017/02/16,12791020
2017/02/17,7436060
2017/02/18,16452
