Date,difficulty14std
2016/01/01,153830232872
2016/01/02,244977087302
2016/01/03,267729227473
2016/01/04,282189692951
2016/01/05,262341667839
2016/01/06,260284246754
2016/01/07,280750375387
2016/01/08,280169704159
2016/01/09,279426612334
2016/01/10,263456520027
2016/01/11,340771238019
2016/01/12,410619340794
2016/01/13,410813153808
2016/01/14,436364728860
2016/01/15,518668634989
2016/01/16,602517944885
2016/01/17,639575051283
2016/01/18,751559835817
2016/01/19,834878071433
2016/01/20,869526582691
2016/01/21,871929397618
2016/01/22,919807031964
2016/01/23,980937727591
2016/01/24,976851686515
2016/01/25,1068554341040
2016/01/26,1188220800985
2016/01/27,1205670698642
2016/01/28,1133157468193
2016/01/29,1154756450174
2016/01/30,1162279640097
2016/01/31,1054464203804
2016/02/01,1028937063781
2016/02/02,951706363002
2016/02/03,812040480164
2016/02/04,707315402629
2016/02/05,651854724469
2016/02/06,555613700681
2016/02/07,460709718020
2016/02/08,519363118673
2016/02/09,522953351431
2016/02/10,634558070294
2016/02/11,740953829575
2016/02/12,762215639953
2016/02/13,882949390465
2016/02/14,1036469069671
2016/02/15,1256829001547
2016/02/16,1301443071513
2016/02/17,1327514496198
2016/02/18,1284977352436
2016/02/19,1282662649001
2016/02/20,1191554397827
2016/02/21,1108026591354
2016/02/22,1187688467507
2016/02/23,1211708925106
2016/02/24,1214434447784
2016/02/25,1222475133404
2016/02/26,1158698819934
2016/02/27,1299904428446
2016/02/28,1468230545074
2016/02/29,1656355747830
2016/03/01,1665939173395
2016/03/02,1730434633744
2016/03/03,1730722161786
2016/03/04,1874332315920
2016/03/05,2009853845235
2016/03/06,2284858001778
2016/03/07,2433555543223
2016/03/08,2603123634550
2016/03/09,2706526215690
2016/03/10,2688450396153
2016/03/11,2791544566161
2016/03/12,3093231573599
2016/03/13,3365592728260
2016/03/14,3472716120473
2016/03/15,3054184722086
2016/03/16,2672290666822
2016/03/17,2360752850857
2016/03/18,2116307829367
2016/03/19,1899256171270
2016/03/20,1889277858735
2016/03/21,1775174642590
2016/03/22,1712732100928
2016/03/23,1635496613246
2016/03/24,1631670586137
2016/03/25,1887190981414
2016/03/26,2214480098135
2016/03/27,2591660562073
2016/03/28,2853135037261
2016/03/29,3022473407151
2016/03/30,3140729560723
2016/03/31,3410018871372
2016/04/01,3493375256405
2016/04/02,3444154456191
2016/04/03,3564631520994
2016/04/04,3711747857593
2016/04/05,3832752046392
2016/04/06,3496134588912
2016/04/07,3056957724497
2016/04/08,2998943990142
2016/04/09,3062577515860
2016/04/10,3133052052623
2016/04/11,2955704975399
2016/04/12,2679266584080
2016/04/13,2524583104884
2016/04/14,2556401256867
2016/04/15,2604140107173
2016/04/16,2552322659206
2016/04/17,2388605631888
2016/04/18,2619340805698
2016/04/19,2909064262342
