Date,transactionvalue7trxUSD
2016/01/01,-1.181
2016/01/02,0.837
2016/01/03,2.904
2016/01/04,2.811
2016/01/05,5.057
2016/01/06,4.43
2016/01/07,2.872
2016/01/08,1.338
2016/01/09,0.112
2016/01/10,-1.07
2016/01/11,0.047
2016/01/12,5.594
2016/01/13,6.711
2016/01/14,6.258
2016/01/15,9.54
2016/01/16,10.332
2016/01/17,8.971
2016/01/18,15.026
2016/01/19,16.284
2016/01/20,13.856
2016/01/21,10.466
2016/01/22,8.134
2016/01/23,8.164
2016/01/24,11.474
2016/01/25,13.754
2016/01/26,13.481
2016/01/27,11.14
2016/01/28,8.322
2016/01/29,5.779
2016/01/30,4.142
2016/01/31,3.189
2016/02/01,1.674
2016/02/02,0.206
2016/02/03,-0.946
2016/02/04,-2.274
2016/02/05,-3.114
2016/02/06,-4.419
2016/02/07,-4.117
2016/02/08,-1.365
2016/02/09,2.661
2016/02/10,7.922
2016/02/11,11.096
2016/02/12,14.831
2016/02/13,13.884
2016/02/14,11.058
2016/02/15,7.94
2016/02/16,6.048
2016/02/17,3.615
2016/02/18,2.014
2016/02/19,0.148
2016/02/20,-0.491
2016/02/21,-1.578
2016/02/22,-2.122
2016/02/23,-0.922
2016/02/24,1.737
2016/02/25,2.649
2016/02/26,7.229
2016/02/27,9.582
2016/02/28,8.134
2016/02/29,5.511
2016/03/01,3.686
2016/03/02,5.602
2016/03/03,6.638
2016/03/04,6.227
2016/03/05,7.249
2016/03/06,6.67
2016/03/07,5.564
2016/03/08,4.934
2016/03/09,3.525
2016/03/10,1.836
2016/03/11,0.419
2016/03/12,-0.061
2016/03/13,0.658
2016/03/14,1.165
2016/03/15,0.975
2016/03/16,0.453
2016/03/17,0.033
2016/03/18,0.082
2016/03/19,-0.903
2016/03/20,-2.332
2016/03/21,-3.454
2016/03/22,-4.434
2016/03/23,-5.288
2016/03/24,-5.738
2016/03/25,-6.285
2016/03/26,-6.997
2016/03/27,-6.617
2016/03/28,-6.167
2016/03/29,-4.981
2016/03/30,-3.483
2016/03/31,-2.451
2016/04/01,-2.601
2016/04/02,-3.199
2016/04/03,-4.19
2016/04/04,-4.959
2016/04/05,-5.27
2016/04/06,-5.24
2016/04/07,-4.754
2016/04/08,-4.485
2016/04/09,-2.859
2016/04/10,-1.233
2016/04/11,-0.757
2016/04/12,-0.385
2016/04/13,-0.12
2016/04/14,-0.063
2016/04/15,-0.669
2016/04/16,-1.611
2016/04/17,-2.075
2016/04/18,-2.356
2016/04/19,-2.908
2016/04/20,-3.034
2016/04/21,-3.418
2016/04/22,-3.207
2016/04/23,-2.183
2016/04/24,-2.224
2016/04/25,-2.172
2016/04/26,-1.168
2016/04/27,-0.598
2016/04/28,-0.364
2016/04/29,-0.714
2016/04/30,1.964
2016/05/01,4.511
2016/05/02,6.741
2016/05/03,7.49
2016/05/04,6.784
2016/05/05,5.554
2016/05/06,5.611
2016/05/07,5.439
2016/05/08,4.725
2016/05/09,4.775
2016/05/10,4.855
2016/05/11,6.059
2016/05/12,7.266
2016/05/13,12.612
2016/05/14,15.179
2016/05/15,12.198
2016/05/16,8.496
2016/05/17,5.184
2016/05/18,2.882
2016/05/19,2.086
2016/05/20,1.662
2016/05/21,0.425
2016/05/22,-1.119
2016/05/23,-2.18
2016/05/24,-2.542
2016/05/25,-2.708
2016/05/26,-3.122
2016/05/27,-2.765
2016/05/28,-2.75
2016/05/29,-3.137
2016/05/30,-3.547
2016/05/31,-3.848
2016/06/01,-4.173
2016/06/02,-4.723
2016/06/03,-5.146
2016/06/04,-5.596
2016/06/05,-5.987
2016/06/06,-6.242
2016/06/07,-5.752
2016/06/08,-2.627
2016/06/09,-1.515
2016/06/10,-0.793
2016/06/11,-0.93
2016/06/12,-0.488
2016/06/13,0.376
2016/06/14,1.708
2016/06/15,2.348
2016/06/16,3.89
2016/06/17,7.383
2016/06/18,10.254
2016/06/19,9.293
2016/06/20,7.967
2016/06/21,5.971
2016/06/22,4.54
2016/06/23,3.332
2016/06/24,1.752
2016/06/25,0.681
2016/06/26,-0.832
2016/06/27,-2.253
2016/06/28,-2.719
2016/06/29,-3.162
2016/06/30,-3.948
2016/07/01,-4.481
2016/07/02,-5.201
2016/07/03,-5.865
2016/07/04,-5.695
2016/07/05,-2.524
2016/07/06,-0.991
2016/07/07,-0.696
2016/07/08,-1.306
2016/07/09,-2.249
2016/07/10,-3.099
2016/07/11,-3.608
2016/07/12,-3.85
2016/07/13,-3.643
2016/07/14,-3.375
2016/07/15,1.604
2016/07/16,3.134
2016/07/17,2.912
2016/07/18,4.799
2016/07/19,14.656
2016/07/20,26.526
2016/07/21,22.266
2016/07/22,16.467
2016/07/23,11.631
2016/07/24,12.217
2016/07/25,12.579
2016/07/26,15.375
2016/07/27,15.328
2016/07/28,12.785
2016/07/29,9.337
2016/07/30,5.974
2016/07/31,3.002
2016/08/01,1.038
2016/08/02,0.384
2016/08/03,-0.019
2016/08/04,-1.007
2016/08/05,-1.9
2016/08/06,-3.153
2016/08/07,-4.342
2016/08/08,-5.342
2016/08/09,-5.871
2016/08/10,-5.537
2016/08/11,-5.085
2016/08/12,-4.991
2016/08/13,-5.102
2016/08/14,-5.416
2016/08/15,-5.869
2016/08/16,-6.564
2016/08/17,-6.934
2016/08/18,-7.336
2016/08/19,-7.704
2016/08/20,-7.657
2016/08/21,-6.191
2016/08/22,-4.849
2016/08/23,-2.541
2016/08/24,-2.054
2016/08/25,-2.554
2016/08/26,-2.722
2016/08/27,-3.348
