Date,transactions90var
2016/01/01,13290933
2016/01/02,13248715
2016/01/03,13188862
2016/01/04,13139270
2016/01/05,13760096
2016/01/06,14463127
2016/01/07,16298884
2016/01/08,16258945
2016/01/09,16222806
2016/01/10,16157699
2016/01/11,16118720
2016/01/12,16075265
2016/01/13,16736932
2016/01/14,16670498
2016/01/15,16573632
2016/01/16,16479950
2016/01/17,16378989
2016/01/18,16336723
2016/01/19,16343852
2016/01/20,16186592
2016/01/21,16096107
2016/01/22,16124696
2016/01/23,15942798
2016/01/24,15835767
2016/01/25,16246229
2016/01/26,16583199
2016/01/27,17287803
2016/01/28,17652106
2016/01/29,17923672
2016/01/30,17941331
2016/01/31,17872232
2016/02/01,17864411
2016/02/02,17821720
2016/02/03,17803533
2016/02/04,17810170
2016/02/05,17997525
2016/02/06,22493744
2016/02/07,22430190
2016/02/08,22422966
2016/02/09,22578030
2016/02/10,22868004
2016/02/11,23748942
2016/02/12,23938936
2016/02/13,24275263
2016/02/14,24257080
2016/02/15,24240000
2016/02/16,24267153
2016/02/17,24754638
2016/02/18,24537155
2016/02/19,24514917
2016/02/20,24317430
2016/02/21,24271272
2016/02/22,24182110
2016/02/23,24088744
2016/02/24,24121052
2016/02/25,24018420
2016/02/26,24133010
2016/02/27,23914649
2016/02/28,23953598
2016/02/29,23831247
2016/03/01,23830523
2016/03/02,24179792
2016/03/03,24720551
2016/03/04,25042448
2016/03/05,26324818
2016/03/06,27365284
2016/03/07,27239559
2016/03/08,27254969
2016/03/09,27368276
2016/03/10,27579571
2016/03/11,27446407
2016/03/12,28080145
2016/03/13,29587215
2016/03/14,30950305
2016/03/15,32250494
2016/03/16,32927745
2016/03/17,35179539
2016/03/18,36760516
2016/03/19,39338552
2016/03/20,41301541
2016/03/21,43514247
2016/03/22,45678743
2016/03/23,47411718
2016/03/24,50217269
2016/03/25,53003861
2016/03/26,56321591
2016/03/27,57040155
2016/03/28,58489035
2016/03/29,60674064
2016/03/30,62775177
2016/03/31,62777313
2016/04/01,63170423
2016/04/02,62523854
2016/04/03,61876650
2016/04/04,63714146
2016/04/05,67006764
2016/04/06,68224770
2016/04/07,68055481
2016/04/08,68496039
2016/04/09,67953033
2016/04/10,67513726
2016/04/11,66595230
2016/04/12,67823002
2016/04/13,67933549
2016/04/14,67320529
2016/04/15,66836012
2016/04/16,65064645
2016/04/17,66479685
2016/04/18,66023071
2016/04/19,64503243
2016/04/20,62958551
2016/04/21,63110351
2016/04/22,61221930
2016/04/23,59797569
2016/04/24,59683605
2016/04/25,59635198
2016/04/26,59449777
2016/04/27,59019551
2016/04/28,58515022
2016/04/29,58080172
2016/04/30,60051033
2016/05/01,59718721
2016/05/02,59870186
2016/05/03,58819929
2016/05/04,57594252
2016/05/05,56763022
2016/05/06,58424210
2016/05/07,56567394
2016/05/08,55552414
2016/05/09,54311428
2016/05/10,53888547
2016/05/11,54390598
2016/05/12,55190977
2016/05/13,57091122
2016/05/14,57312050
2016/05/15,56717263
2016/05/16,54987370
2016/05/17,54320437
2016/05/18,54062162
2016/05/19,53632830
2016/05/20,52642883
2016/05/21,51202372
2016/05/22,49115433
2016/05/23,47883030
2016/05/24,46647497
2016/05/25,46102125
2016/05/26,47376639
2016/05/27,47015565
2016/05/28,57936661
2016/05/29,56639112
2016/05/30,55079838
2016/05/31,54186977
2016/06/01,53187702
2016/06/02,51710898
2016/06/03,50868808
2016/06/04,50003289
2016/06/05,48009177
2016/06/06,46242783
2016/06/07,45409923
2016/06/08,43789506
2016/06/09,41565229
2016/06/10,40579998
2016/06/11,39559153
2016/06/12,38834013
2016/06/13,38713921
2016/06/14,39065957
2016/06/15,39053395
2016/06/16,38806306
2016/06/17,47181999
2016/06/18,53043672
2016/06/19,54008923
2016/06/20,54133469
2016/06/21,54057182
2016/06/22,54797299
2016/06/23,54718966
2016/06/24,54891057
2016/06/25,53869143
2016/06/26,53397839
2016/06/27,52944198
2016/06/28,52876830
2016/06/29,53087454
2016/06/30,58415516
2016/07/01,56909667
2016/07/02,55463747
2016/07/03,55043355
2016/07/04,55013961
2016/07/05,54113511
2016/07/06,53247848
2016/07/07,52644234
2016/07/08,51625811
2016/07/09,50658557
2016/07/10,49273358
2016/07/11,48822598
2016/07/12,48459382
2016/07/13,48317961
2016/07/14,47783903
2016/07/15,46307546
2016/07/16,46448508
2016/07/17,46373903
2016/07/18,45465777
2016/07/19,44551754
2016/07/20,45013684
2016/07/21,43772922
2016/07/22,42841583
2016/07/23,42037503
2016/07/24,43965421
2016/07/25,44190031
2016/07/26,46900675
2016/07/27,46852555
2016/07/28,46596287
2016/07/29,46677011
2016/07/30,46500278
2016/07/31,46676518
2016/08/01,46259531
2016/08/02,45990657
2016/08/03,45908711
2016/08/04,45846762
2016/08/05,45020994
2016/08/06,44898567
2016/08/07,44515844
2016/08/08,44368677
2016/08/09,44253913
2016/08/10,44278050
2016/08/11,44308220
2016/08/12,44300290
2016/08/13,44419751
2016/08/14,44013738
2016/08/15,43857919
2016/08/16,44028989
2016/08/17,44027658
2016/08/18,44121024
2016/08/19,44145131
2016/08/20,43886696
2016/08/21,43935479
2016/08/22,43895829
2016/08/23,44006438
2016/08/24,43615609
2016/08/25,43702532
2016/08/26,36620767
2016/08/27,36723282
2016/08/28,36736822
2016/08/29,36743627
