Date,mediantransactionvalue14smaUSD
2016/01/01,0.678
2016/01/02,0.682
2016/01/03,0.707
2016/01/04,0.756
2016/01/05,0.756
2016/01/06,0.756
2016/01/07,0.742
2016/01/08,0.746
2016/01/09,0.76
2016/01/10,0.851
2016/01/11,0.877
2016/01/12,0.922
2016/01/13,0.922
2016/01/14,0.922
2016/01/15,0.935
2016/01/16,0.953
2016/01/17,0.973
2016/01/18,0.993
2016/01/19,1.045
2016/01/20,1.209
2016/01/21,1.359
2016/01/22,1.393
2016/01/23,1.488
2016/01/24,1.596
2016/01/25,1.673
2016/01/26,1.762
2016/01/27,1.818
2016/01/28,1.906
2016/01/29,1.969
2016/01/30,2.059
2016/01/31,2.146
2016/02/01,2.215
2016/02/02,2.336
2016/02/03,2.376
2016/02/04,2.428
2016/02/05,2.511
2016/02/06,2.337
2016/02/07,2.362
2016/02/08,2.462
2016/02/09,2.564
2016/02/10,2.931
2016/02/11,3.141
2016/02/12,3.491
2016/02/13,3.689
2016/02/14,3.894
2016/02/15,4.157
2016/02/16,4.376
2016/02/17,4.48
2016/02/18,4.607
2016/02/19,4.764
2016/02/20,5.122
2016/02/21,5.268
2016/02/22,5.413
2016/02/23,5.574
2016/02/24,5.608
2016/02/25,5.716
2016/02/26,5.631
2016/02/27,5.718
2016/02/28,5.841
2016/02/29,5.922
2016/03/01,6.089
2016/03/02,6.42
2016/03/03,6.833
2016/03/04,7.205
2016/03/05,7.835
2016/03/06,8.316
2016/03/07,8.722
2016/03/08,9.009
2016/03/09,9.361
2016/03/10,9.868
2016/03/11,10.242
2016/03/12,10.796
2016/03/13,11.361
2016/03/14,11.918
2016/03/15,12.344
2016/03/16,12.74
2016/03/17,12.897
2016/03/18,12.967
2016/03/19,12.743
2016/03/20,12.642
2016/03/21,12.64
2016/03/22,12.748
2016/03/23,12.813
2016/03/24,12.629
2016/03/25,12.566
2016/03/26,12.296
2016/03/27,11.999
2016/03/28,11.741
2016/03/29,11.607
2016/03/30,11.439
2016/03/31,11.408
2016/04/01,11.461
2016/04/02,11.541
2016/04/03,11.64
2016/04/04,11.649
2016/04/05,11.561
2016/04/06,11.464
2016/04/07,11.403
2016/04/08,11.354
2016/04/09,11.285
2016/04/10,11.12
2016/04/11,10.921
2016/04/12,10.639
2016/04/13,10.329
2016/04/14,10.066
2016/04/15,9.817
2016/04/16,9.577
2016/04/17,9.283
2016/04/18,9.119
2016/04/19,9.009
2016/04/20,8.855
2016/04/21,8.703
2016/04/22,8.572
2016/04/23,8.451
2016/04/24,8.408
2016/04/25,8.351
2016/04/26,8.314
2016/04/27,8.311
2016/04/28,8.245
2016/04/29,8.186
2016/04/30,8.173
2016/05/01,8.246
2016/05/02,8.281
2016/05/03,8.325
2016/05/04,8.389
2016/05/05,8.471
2016/05/06,8.58
2016/05/07,8.673
2016/05/08,8.75
2016/05/09,8.865
2016/05/10,9.004
2016/05/11,9.145
2016/05/12,9.336
2016/05/13,9.574
2016/05/14,9.726
2016/05/15,9.824
2016/05/16,9.886
2016/05/17,10.035
2016/05/18,10.286
2016/05/19,10.599
2016/05/20,10.942
2016/05/21,11.239
2016/05/22,11.579
2016/05/23,11.924
2016/05/24,12.196
2016/05/25,12.388
2016/05/26,12.126
2016/05/27,12.169
2016/05/28,11.503
2016/05/29,11.283
2016/05/30,11.416
2016/05/31,11.509
2016/06/01,11.562
2016/06/02,11.55
2016/06/03,11.49
2016/06/04,11.206
2016/06/05,11.18
2016/06/06,11.146
2016/06/07,10.715
2016/06/08,10.862
2016/06/09,11.421
2016/06/10,11.551
2016/06/11,12.462
2016/06/12,12.763
2016/06/13,13.06
2016/06/14,13.327
2016/06/15,13.643
2016/06/16,14.05
2016/06/17,13.447
2016/06/18,13.324
2016/06/19,13.036
2016/06/20,12.64
2016/06/21,12.98
2016/06/22,12.96
2016/06/23,12.863
2016/06/24,12.422
2016/06/25,12.445
2016/06/26,12.206
2016/06/27,12.01
2016/06/28,11.737
2016/06/29,10.709
2016/06/30,9.404
2016/07/01,9.897
2016/07/02,10.188
2016/07/03,10.342
2016/07/04,10.573
2016/07/05,10.466
2016/07/06,10.208
2016/07/07,9.997
2016/07/08,10.074
2016/07/09,9.834
2016/07/10,10.042
2016/07/11,9.807
2016/07/12,9.584
2016/07/13,10.05
2016/07/14,10.438
2016/07/15,10.421
2016/07/16,10.069
2016/07/17,10.029
2016/07/18,10.014
2016/07/19,10.098
2016/07/20,9.536
2016/07/21,9.515
2016/07/22,9.892
2016/07/23,10.088
2016/07/24,10.28
2016/07/25,10.481
2016/07/26,10.7
2016/07/27,10.85
2016/07/28,11.282
2016/07/29,11.215
2016/07/30,11.53
2016/07/31,11.591
2016/08/01,11.609
2016/08/02,11.517
2016/08/03,11.606
2016/08/04,11.675
2016/08/05,11.494
2016/08/06,11.29
2016/08/07,11.101
2016/08/08,10.927
2016/08/09,10.828
2016/08/10,10.713
2016/08/11,10.481
2016/08/12,10.201
2016/08/13,9.918
2016/08/14,9.868
2016/08/15,9.725
2016/08/16,9.314
2016/08/17,9.427
2016/08/18,9.038
2016/08/19,8.744
2016/08/20,8.559
2016/08/21,8.346
2016/08/22,8.057
2016/08/23,7.62
2016/08/24,7.18
2016/08/25,6.782
2016/08/26,6.595
2016/08/27,6.39
2016/08/28,6.28
2016/08/29,5.866
2016/08/30,5.871
2016/08/31,6.038
2016/09/01,6.528
2016/09/02,6.222
2016/09/03,6.25
2016/09/04,6.076
2016/09/05,6.342
2016/09/06,6.249
2016/09/07,6.069
2016/09/08,5.977
2016/09/09,5.845
2016/09/10,6.109
2016/09/11,6.25
2016/09/12,6.508
2016/09/13,7.03
2016/09/14,6.667
2016/09/15,5.983
2016/09/16,6.005
2016/09/17,5.865
2016/09/18,6.19
2016/09/19,6.354
2016/09/20,7.029
2016/09/21,7.854
2016/09/22,7.814
2016/09/23,8.586
2016/09/24,8.92
2016/09/25,9.01
2016/09/26,9.403
2016/09/27,9.48
2016/09/28,10.228
2016/09/29,10.996
2016/09/30,11.743
2016/10/01,11.654
2016/10/02,11.878
2016/10/03,11.901
2016/10/04,10.923
2016/10/05,10.651
2016/10/06,10.97
2016/10/07,10.922
2016/10/08,10.868
2016/10/09,10.809
2016/10/10,10.734
2016/10/11,10.655
2016/10/12,10.403
2016/10/13,9.536
2016/10/14,9.437
2016/10/15,9.934
2016/10/16,9.856
2016/10/17,9.762
2016/10/18,10.292
2016/10/19,10.442
2016/10/20,10.84
2016/10/21,10.165
2016/10/22,10.152
2016/10/23,10.129
2016/10/24,9.579
2016/10/25,9.306
2016/10/26,9.432
2016/10/27,10.163
2016/10/28,10.116
2016/10/29,10.002
2016/10/30,9.9
2016/10/31,9.844
2016/11/01,9.719
2016/11/02,9.351
2016/11/03,9.266
2016/11/04,9.821
2016/11/05,9.747
2016/11/06,9.676
2016/11/07,10.156
2016/11/08,10.352
2016/11/09,10.289
2016/11/10,10.229
2016/11/11,10.167
2016/11/12,10.127
2016/11/13,10.087
2016/11/14,10.005
2016/11/15,10.314
2016/11/16,10.542
2016/11/17,10.476
2016/11/18,10.38
2016/11/19,10.278
2016/11/20,10.175
2016/11/21,10.081
2016/11/22,9.451
2016/11/23,8.733
2016/11/24,8.657
2016/11/25,7.917
2016/11/26,7.724
2016/11/27,7.236
2016/11/28,6.781
2016/11/29,6.356
2016/11/30,6.015
2016/12/01,5.906
2016/12/02,5.783
2016/12/03,5.658
2016/12/04,5.447
2016/12/05,5.28
2016/12/06,5.623
2016/12/07,6.134
2016/12/08,6.062
2016/12/09,6.657
2016/12/10,6.719
2016/12/11,7.071
2016/12/12,7.408
2016/12/13,7.435
2016/12/14,7.291
2016/12/15,7.001
2016/12/16,6.758
2016/12/17,6.74
2016/12/18,6.828
2016/12/19,6.593
2016/12/20,6.478
2016/12/21,6.171
2016/12/22,5.683
2016/12/23,5.597
2016/12/24,5.523
2016/12/25,5.453
2016/12/26,5.373
2016/12/27,5.408
2016/12/28,5.508
2016/12/29,5.772
2016/12/30,5.769
2016/12/31,5.796
2017/01/01,5.825
2017/01/02,6.129
2017/01/03,6.169
2017/01/04,6.669
2017/01/05,7.3
2017/01/06,7.505
2017/01/07,7.687
2017/01/08,7.886
2017/01/09,8.115
2017/01/10,8.208
2017/01/11,8.586
2017/01/12,8.347
2017/01/13,8.254
2017/01/14,8.33
2017/01/15,8.085
2017/01/16,8.187
2017/01/17,8.226
2017/01/18,8.206
2017/01/19,8.189
2017/01/20,8.222
2017/01/21,8.288
2017/01/22,7.952
2017/01/23,7.714
2017/01/24,7.522
2017/01/25,7.176
2017/01/26,7.211
2017/01/27,7.387
2017/01/28,7.11
2017/01/29,7.419
2017/01/30,7.129
2017/01/31,7.431
2017/02/01,7.155
2017/02/02,7.182
2017/02/03,7.199
2017/02/04,7.235
2017/02/05,7.527
2017/02/06,7.719
2017/02/07,7.811
2017/02/08,7.816
2017/02/09,8.058
2017/02/10,8.14
2017/02/11,8.258
2017/02/12,8.363
2017/02/13,8.368
2017/02/14,8.147
2017/02/15,8.441
2017/02/16,8.591
2017/02/17,8.626
2017/02/18,8.732
2017/02/19,8.881
2017/02/20,8.808
2017/02/21,8.748
2017/02/22,8.843
2017/02/23,9.136
2017/02/24,9.472
2017/02/25,9.531
2017/02/26,9.743
2017/02/27,10.39
2017/02/28,10.977
2017/03/01,11.367
2017/03/02,11.75
2017/03/03,12.361
2017/03/04,12.839
2017/03/05,13.364
2017/03/06,14.132
2017/03/07,14.529
2017/03/08,15.339
2017/03/09,15.089
2017/03/10,15.566
2017/03/11,16.43
2017/03/12,17.052
2017/03/13,17.949
2017/03/14,18.856
2017/03/15,19.879
2017/03/16,21.475
2017/03/17,23.369
2017/03/18,24.781
2017/03/19,26.253
2017/03/20,27.964
2017/03/21,30.143
2017/03/22,31.809
2017/03/23,32.963
2017/03/24,34.97
2017/03/25,37.17
2017/03/26,37.67
2017/03/27,36.725
2017/03/28,36.603
2017/03/29,36.057
2017/03/30,35.497
2017/03/31,34.943
2017/04/01,33.944
2017/04/02,34.687
2017/04/03,34.845
2017/04/04,35.058
2017/04/05,35.15
2017/04/06,36.494
2017/04/07,33.921
2017/04/08,31.975
2017/04/09,31.055
2017/04/10,31.991
2017/04/11,31.617
2017/04/12,31.568
2017/04/13,31
2017/04/14,29.74
2017/04/15,29.316
2017/04/16,26.798
2017/04/17,25.282
2017/04/18,23.971
2017/04/19,22.732
2017/04/20,20.742
2017/04/21,21.081
2017/04/22,21.134
2017/04/23,21.463
2017/04/24,22.036
2017/04/25,21.382
2017/04/26,21.33
2017/04/27,20.833
2017/04/28,21.378
2017/04/29,22.504
2017/04/30,24.275
2017/05/01,25.358
2017/05/02,26.349
2017/05/03,27.313
2017/05/04,29.574
2017/05/05,35.089
2017/05/06,37.975
2017/05/07,41.954
2017/05/08,45.765
2017/05/09,50.858
2017/05/10,53.317
2017/05/11,54.504
2017/05/12,55.838
2017/05/13,55.65
2017/05/14,55.609
2017/05/15,54.506
2017/05/16,55.471
2017/05/17,58.8
2017/05/18,57.666
2017/05/19,56.511
2017/05/20,54.216
2017/05/21,51.492
2017/05/22,51.456
2017/05/23,50.008
2017/05/24,52.683
2017/05/25,57.174
2017/05/26,59.89
2017/05/27,62.927
2017/05/28,62.662
2017/05/29,65.045
2017/05/30,67.824
2017/05/31,77.878
2017/06/01,82.662
2017/06/02,80.561
2017/06/03,83.856
2017/06/04,85.416
2017/06/05,86.212
2017/06/06,88.192
2017/06/07,85.472
2017/06/08,82.628
2017/06/09,80.721
2017/06/10,83.427
2017/06/11,89.782
2017/06/12,101.935
2017/06/13,104.983
2017/06/14,97.162
2017/06/15,99.868
