Date,price14emaUSD
2016/01/01,0.903
2016/01/02,0.911
2016/01/03,0.92
2016/01/04,0.927
2016/01/05,0.934
2016/01/06,0.939
2016/01/07,0.947
2016/01/08,0.952
2016/01/09,0.967
2016/01/10,0.983
2016/01/11,0.992
2016/01/12,1.017
2016/01/13,1.032
2016/01/14,1.046
2016/01/15,1.072
2016/01/16,1.095
2016/01/17,1.113
2016/01/18,1.155
2016/01/19,1.184
2016/01/20,1.221
2016/01/21,1.262
2016/01/22,1.296
2016/01/23,1.356
2016/01/24,1.46
2016/01/25,1.572
2016/01/26,1.707
2016/01/27,1.8
2016/01/28,1.892
2016/01/29,1.974
2016/01/30,2.047
2016/01/31,2.092
2016/02/01,2.11
2016/02/02,2.127
2016/02/03,2.167
2016/02/04,2.216
2016/02/05,2.257
2016/02/06,2.291
2016/02/07,2.345
2016/02/08,2.446
2016/02/09,2.586
2016/02/10,2.823
2016/02/11,3.104
2016/02/12,3.478
2016/02/13,3.68
2016/02/14,3.842
2016/02/15,4.059
2016/02/16,4.166
2016/02/17,4.157
2016/02/18,4.141
2016/02/19,4.188
2016/02/20,4.222
2016/02/21,4.25
2016/02/22,4.369
2016/02/23,4.544
2016/02/24,4.713
2016/02/25,4.921
2016/02/26,5.063
2016/02/27,5.218
2016/02/28,5.382
2016/02/29,5.52
2016/03/01,5.684
2016/03/02,5.99
2016/03/03,6.424
2016/03/04,6.802
2016/03/05,7.38
2016/03/06,7.878
2016/03/07,8.205
2016/03/08,8.391
2016/03/09,8.681
2016/03/10,9.075
2016/03/11,9.344
2016/03/12,9.819
2016/03/13,10.42
2016/03/14,10.825
2016/03/15,11.076
2016/03/16,11.364
2016/03/17,11.396
2016/03/18,11.237
2016/03/19,11.148
2016/03/20,11.026
2016/03/21,11.019
2016/03/22,11.097
2016/03/23,11.197
2016/03/24,11.223
2016/03/25,11.164
2016/03/26,11.121
2016/03/27,11.062
2016/03/28,11.079
2016/03/29,11.143
2016/03/30,11.231
2016/03/31,11.3
2016/04/01,11.341
2016/04/02,11.357
2016/04/03,11.375
2016/04/04,11.361
2016/04/05,11.275
2016/04/06,11.184
2016/04/07,11.077
2016/04/08,10.917
2016/04/09,10.742
2016/04/10,10.459
2016/04/11,10.196
2016/04/12,9.886
2016/04/13,9.606
2016/04/14,9.442
2016/04/15,9.293
2016/04/16,9.157
2016/04/17,9.169
