Date,price3stdUSD
2016/01/01,0.055
2016/01/02,0.009
2016/01/03,0.018
2016/01/04,0.012
2016/01/05,0.007
2016/01/06,0.002
2016/01/07,0.019
2016/01/08,0.018
2016/01/09,0.066
2016/01/10,0.079
2016/01/11,0.025
2016/01/12,0.104
2016/01/13,0.1
2016/01/14,0.04
2016/01/15,0.1
2016/01/16,0.095
2016/01/17,0.005
2016/01/18,0.173
2016/01/19,0.157
2016/01/20,0.076
2016/01/21,0.126
2016/01/22,0.054
2016/01/23,0.207
2016/01/24,0.516
2016/01/25,0.47
2016/01/26,0.365
2016/01/27,0.234
2016/01/28,0.148
2016/01/29,0.093
2016/01/30,0.026
2016/01/31,0.121
2016/02/01,0.244
2016/02/02,0.149
2016/02/03,0.187
2016/02/04,0.246
2016/02/05,0.097
2016/02/06,0.022
2016/02/07,0.168
2016/02/08,0.498
2016/02/09,0.652
2016/02/10,1.052
2016/02/11,1.187
2016/02/12,1.276
2016/02/13,0.892
2016/02/14,0.913
2016/02/15,0.501
2016/02/16,0.554
2016/02/17,1.122
2016/02/18,0.756
2016/02/19,0.411
2016/02/20,0.413
2016/02/21,0.06
2016/02/22,0.667
2016/02/23,1.025
2016/02/24,0.58
2016/02/25,0.509
2016/02/26,0.381
2016/02/27,0.25
2016/02/28,0.374
2016/02/29,0.2
2016/03/01,0.298
2016/03/02,1.345
2016/03/03,2.04
2016/03/04,1.197
2016/03/05,1.78
2016/03/06,1.76
2016/03/07,0.749
2016/03/08,1.233
2016/03/09,0.824
2016/03/10,1.661
2016/03/11,0.87
2016/03/12,1.517
2016/03/13,2.642
2016/03/14,1.169
2016/03/15,1.323
2016/03/16,0.629
2016/03/17,1.359
2016/03/18,2.473
2016/03/19,1.182
2016/03/20,0.33
2016/03/21,0.611
2016/03/22,1.123
2016/03/23,0.734
2016/03/24,0.372
2016/03/25,0.873
2016/03/26,0.552
2016/03/27,0.127
2016/03/28,0.424
2016/03/29,0.716
2016/03/30,0.5
2016/03/31,0.211
2016/04/01,0.163
2016/04/02,0.243
2016/04/03,0.13
2016/04/04,0.19
2016/04/05,0.654
2016/04/06,0.597
2016/04/07,0.275
2016/04/08,0.598
2016/04/09,0.642
2016/04/10,1.079
2016/04/11,1.003
2016/04/12,0.651
2016/04/13,0.616
2016/04/14,0.518
2016/04/15,0.529
2016/04/16,0.079
2016/04/17,0.893
2016/04/18,0.838
2016/04/19,0.187
2016/04/20,0.438
2016/04/21,0.494
2016/04/22,0.51
2016/04/23,0.437
2016/04/24,0.17
2016/04/25,0.314
2016/04/26,0.706
2016/04/27,0.393
2016/04/28,0.236
2016/04/29,0.155
2016/04/30,0.773
2016/05/01,1.036
2016/05/02,1.092
2016/05/03,0.841
2016/05/04,0.072
2016/05/05,0.078
2016/05/06,0.126
2016/05/07,0.297
2016/05/08,0.357
2016/05/09,0.123
2016/05/10,0.121
2016/05/11,0.3
2016/05/12,0.655
2016/05/13,0.722
2016/05/14,0.387
2016/05/15,0.384
2016/05/16,0.313
2016/05/17,1.358
2016/05/18,2.029
2016/05/19,1.804
2016/05/20,1.138
2016/05/21,0.588
2016/05/22,0.589
2016/05/23,0.41
2016/05/24,0.991
