Date,size7ema
2016/01/01,1178
2016/01/02,1122
2016/01/03,1080
2016/01/04,1055
2016/01/05,1141
2016/01/06,1244
2016/01/07,1320
2016/01/08,1260
2016/01/09,1247
2016/01/10,1196
2016/01/11,1162
2016/01/12,1145
2016/01/13,1214
2016/01/14,1176
2016/01/15,1134
2016/01/16,1092
2016/01/17,1041
2016/01/18,1045
2016/01/19,1060
2016/01/20,1035
2016/01/21,1012
2016/01/22,1016
2016/01/23,988.365
2016/01/24,989.491
2016/01/25,1076
2016/01/26,1114
2016/01/27,1227
2016/01/28,1276
2016/01/29,1284
2016/01/30,1258
2016/01/31,1227
2016/02/01,1191
2016/02/02,1162
2016/02/03,1137
2016/02/04,1124
2016/02/05,1122
2016/02/06,1261
2016/02/07,1202
2016/02/08,1160
2016/02/09,1128
2016/02/10,1123
2016/02/11,1162
2016/02/12,1164
2016/02/13,1179
2016/02/14,1169
2016/02/15,1158
2016/02/16,1151
2016/02/17,1179
2016/02/18,1162
2016/02/19,1161
2016/02/20,1132
2016/02/21,1112
2016/02/22,1106
2016/02/23,1109
2016/02/24,1109
2016/02/25,1110
2016/02/26,1155
2016/02/27,1142
2016/02/28,1129
2016/02/29,1141
2016/03/01,1145
2016/03/02,1158
2016/03/03,1181
2016/03/04,1198
2016/03/05,1227
2016/03/06,1262
2016/03/07,1251
2016/03/08,1249
2016/03/09,1256
2016/03/10,1248
2016/03/11,1238
2016/03/12,1275
2016/03/13,1304
2016/03/14,1354
2016/03/15,1345
2016/03/16,1338
2016/03/17,1358
2016/03/18,1370
2016/03/19,1401
2016/03/20,1412
2016/03/21,1433
2016/03/22,1454
2016/03/23,1473
2016/03/24,1570
2016/03/25,1583
2016/03/26,1572
2016/03/27,1494
2016/03/28,1512
2016/03/29,1482
2016/03/30,1504
2016/03/31,1480
2016/04/01,1483
2016/04/02,1421
2016/04/03,1377
2016/04/04,1408
2016/04/05,1438
2016/04/06,1413
2016/04/07,1411
2016/04/08,1443
2016/04/09,1412
2016/04/10,1379
2016/04/11,1350
2016/04/12,1375
2016/04/13,1401
2016/04/14,1402
2016/04/15,1405
2016/04/16,1357
2016/04/17,1497
2016/04/18,1461
2016/04/19,1425
2016/04/20,1408
2016/04/21,1432
2016/04/22,1397
2016/04/23,1365
2016/04/24,1382
2016/04/25,1386
2016/04/26,1376
2016/04/27,1360
2016/04/28,1372
2016/04/29,1385
2016/04/30,1436
2016/05/01,1497
2016/05/02,1493
2016/05/03,1481
2016/05/04,1485
2016/05/05,1486
2016/05/06,1520
2016/05/07,1484
2016/05/08,1496
2016/05/09,1487
2016/05/10,1485
2016/05/11,1504
2016/05/12,1548
2016/05/13,1579
2016/05/14,1605
2016/05/15,1589
2016/05/16,1564
2016/05/17,1552
2016/05/18,1586
2016/05/19,1584
2016/05/20,1607
2016/05/21,1623
2016/05/22,1591
2016/05/23,1585
2016/05/24,1571
2016/05/25,1596
2016/05/26,1630
2016/05/27,1654
2016/05/28,1850
2016/05/29,1806
2016/05/30,1740
2016/05/31,1704
2016/06/01,1668
2016/06/02,1615
2016/06/03,1568
2016/06/04,1528
2016/06/05,1495
2016/06/06,1478
2016/06/07,1532
2016/06/08,1508
2016/06/09,1500
2016/06/10,1484
2016/06/11,1459
2016/06/12,1460
2016/06/13,1495
2016/06/14,1549
2016/06/15,1543
2016/06/16,1558
2016/06/17,1703
2016/06/18,1788
2016/06/19,1747
2016/06/20,1738
2016/06/21,1710
2016/06/22,1686
2016/06/23,1643
2016/06/24,1642
2016/06/25,1585
2016/06/26,1552
2016/06/27,1516
2016/06/28,1508
2016/06/29,1579
2016/06/30,1776
2016/07/01,1677
2016/07/02,1603
2016/07/03,1553
2016/07/04,1519
2016/07/05,1507
2016/07/06,1482
2016/07/07,1465
2016/07/08,1494
2016/07/09,1475
2016/07/10,1458
2016/07/11,1448
2016/07/12,1478
2016/07/13,1448
2016/07/14,1470
2016/07/15,1467
2016/07/16,1437
2016/07/17,1394
2016/07/18,1395
2016/07/19,1422
2016/07/20,1496
2016/07/21,1502
2016/07/22,1537
2016/07/23,1527
2016/07/24,1594
2016/07/25,1630
2016/07/26,1709
2016/07/27,1708
2016/07/28,1684
2016/07/29,1662
2016/07/30,1612
2016/07/31,1605
2016/08/01,1594
2016/08/02,1617
2016/08/03,1629
2016/08/04,1626
2016/08/05,1601
