Date,transactionfees30trxUSD
2016/10/06,1.542
2016/10/07,1.59
2016/10/08,1.626
2016/10/09,1.647
2016/10/10,1.649
2016/10/11,1.629
2016/10/12,1.605
2016/10/13,1.639
2016/10/14,1.666
2016/10/15,1.693
2016/10/16,1.716
2016/10/17,1.733
2016/10/18,1.745
2016/10/19,1.768
2016/10/20,1.765
2016/10/21,1.729
2016/10/22,1.666
2016/10/23,1.584
2016/10/24,1.492
2016/10/25,1.393
2016/10/26,1.286
2016/10/27,1.174
2016/10/28,1.06
2016/10/29,0.945
2016/10/30,0.829
2016/10/31,0.715
2016/11/01,0.604
2016/11/02,0.493
2016/11/03,0.385
2016/11/04,0.28
2016/11/05,0.177
2016/11/06,0.079
2016/11/07,-0.016
2016/11/08,-0.105
2016/11/09,-0.187
2016/11/10,-0.261
2016/11/11,-0.326
2016/11/12,-0.389
2016/11/13,-0.449
2016/11/14,-0.504
2016/11/15,-0.555
2016/11/16,-0.603
2016/11/17,-0.648
2016/11/18,-0.691
2016/11/19,-0.734
2016/11/20,-0.774
2016/11/21,-0.81
2016/11/22,-0.846
2016/11/23,-0.868
2016/11/24,-0.874
2016/11/25,-0.877
2016/11/26,-0.864
2016/11/27,-0.822
2016/11/28,-0.759
2016/11/29,-0.687
2016/11/30,-0.631
2016/12/01,-0.591
2016/12/02,-0.566
2016/12/03,-0.556
2016/12/04,-0.557
2016/12/05,-0.567
2016/12/06,-0.585
2016/12/07,-0.606
2016/12/08,-0.269
2016/12/09,0
2016/12/10,0.208
2016/12/11,0.364
2016/12/12,0.475
2016/12/13,0.544
2016/12/14,0.579
2016/12/15,0.586
2016/12/16,0.569
2016/12/17,0.534
2016/12/18,0.485
2016/12/19,0.426
2016/12/20,0.362
2016/12/21,0.296
2016/12/22,0.223
2016/12/23,0.145
2016/12/24,0.062
2016/12/25,-0.022
2016/12/26,-0.108
2016/12/27,-0.191
2016/12/28,-0.273
2016/12/29,-0.35
2016/12/30,-0.419
2016/12/31,-0.486
2017/01/01,-0.552
2017/01/02,-0.615
2017/01/03,-0.671
2017/01/04,-0.72
2017/01/05,-0.764
2017/01/06,-0.803
2017/01/07,-0.84
2017/01/08,-0.871
2017/01/09,-0.897
2017/01/10,-0.917
2017/01/11,-0.933
2017/01/12,-0.948
2017/01/13,-0.962
2017/01/14,-0.974
2017/01/15,-0.985
2017/01/16,-0.995
2017/01/17,-0.998
2017/01/18,-0.999
2017/01/19,-0.998
2017/01/20,-0.995
2017/01/21,-0.989
2017/01/22,-0.98
2017/01/23,-0.968
2017/01/24,-0.952
2017/01/25,-0.933
2017/01/26,-0.912
2017/01/27,-0.891
2017/01/28,-0.869
2017/01/29,-0.849
2017/01/30,-0.828
2017/01/31,-0.807
2017/02/01,-0.783
2017/02/02,-0.756
2017/02/03,-0.729
2017/02/04,-0.701
2017/02/05,-0.673
2017/02/06,-0.645
2017/02/07,-0.611
2017/02/08,-0.575
2017/02/09,-0.537
2017/02/10,-0.498
2017/02/11,-0.458
2017/02/12,-0.417
2017/02/13,-0.368
2017/02/14,-0.318
2017/02/15,-0.236
2017/02/16,-0.163
2017/02/17,-0.096
2017/02/18,-0.032
2017/02/19,0.023
2017/02/20,0.073
2017/02/21,0.122
2017/02/22,0.173
2017/02/23,0.221
2017/02/24,0.26
2017/02/25,0.296
2017/02/26,0.326
2017/02/27,0.357
2017/02/28,0.391
2017/03/01,0.43
2017/03/02,0.471
2017/03/03,0.514
2017/03/04,0.556
2017/03/05,0.598
2017/03/06,0.639
2017/03/07,0.674
2017/03/08,0.705
2017/03/09,0.732
2017/03/10,0.761
2017/03/11,0.788
2017/03/12,0.817
2017/03/13,0.874
2017/03/14,0.956
2017/03/15,1.046
2017/03/16,1.161
2017/03/17,1.31
2017/03/18,1.452
2017/03/19,1.584
2017/03/20,1.715
2017/03/21,1.847
2017/03/22,1.971
2017/03/23,2.085
2017/03/24,2.203
2017/03/25,2.313
2017/03/26,2.416
2017/03/27,2.519
2017/03/28,2.61
2017/03/29,2.691
2017/03/30,2.758
2017/03/31,2.811
2017/04/01,2.844
2017/04/02,2.863
2017/04/03,2.863
2017/04/04,2.845
2017/04/05,2.817
2017/04/06,2.778
2017/04/07,2.729
2017/04/08,2.67
2017/04/09,2.606
2017/04/10,2.541
2017/04/11,2.472
2017/04/12,2.416
2017/04/13,2.357
2017/04/14,2.298
2017/04/15,2.238
2017/04/16,2.18
2017/04/17,2.125
2017/04/18,2.077
2017/04/19,2.037
2017/04/20,1.998
2017/04/21,1.976
2017/04/22,1.959
2017/04/23,1.935
2017/04/24,1.911
2017/04/25,1.882
2017/04/26,1.851
2017/04/27,1.822
2017/04/28,1.797
2017/04/29,1.778
2017/04/30,1.769
2017/05/01,1.781
2017/05/02,1.813
2017/05/03,1.841
2017/05/04,1.872
2017/05/05,1.906
2017/05/06,1.948
2017/05/07,2.004
2017/05/08,2.052
2017/05/09,2.096
2017/05/10,2.139
2017/05/11,2.177
2017/05/12,2.216
2017/05/13,2.253
2017/05/14,2.289
2017/05/15,2.324
2017/05/16,2.361
2017/05/17,2.42
2017/05/18,2.472
2017/05/19,2.525
2017/05/20,2.594
2017/05/21,2.667
2017/05/22,2.756
2017/05/23,2.884
2017/05/24,3.065
2017/05/25,3.251
2017/05/26,3.424
2017/05/27,3.56
2017/05/28,3.674
2017/05/29,3.769
2017/05/30,3.905
2017/05/31,4.212
2017/06/01,4.451
2017/06/02,4.646
2017/06/03,4.777
2017/06/04,4.874
2017/06/05,4.915
2017/06/06,4.931
2017/06/07,4.926
2017/06/08,4.894
2017/06/09,4.832
2017/06/10,4.746
2017/06/11,4.679
2017/06/12,4.678
2017/06/13,4.654
2017/06/14,4.603
2017/06/15,4.525
2017/06/16,4.428
2017/06/17,4.316
2017/06/18,4.196
2017/06/19,4.068
2017/06/20,4.025
2017/06/21,4.137
2017/06/22,4.244
2017/06/23,4.302
2017/06/24,4.36
2017/06/25,4.366
2017/06/26,4.361
2017/06/27,4.286
2017/06/28,4.228
2017/06/29,4.144
2017/06/30,4.024
2017/07/01,3.872
2017/07/02,3.699
2017/07/03,3.518
2017/07/04,3.332
2017/07/05,3.148
2017/07/06,2.959
2017/07/07,2.768
2017/07/08,2.584
2017/07/09,2.4
2017/07/10,2.212
2017/07/11,2.022
2017/07/12,1.839
2017/07/13,1.664
2017/07/14,1.495
2017/07/15,1.332
2017/07/16,1.173
2017/07/17,1.02
2017/07/18,0.882
2017/07/19,0.755
2017/07/20,0.634
2017/07/21,0.524
2017/07/22,0.422
2017/07/23,0.326
2017/07/24,0.238
2017/07/25,0.161
2017/07/26,0.089
2017/07/27,0.021
2017/07/28,-0.045
2017/07/29,-0.111
2017/07/30,-0.175
2017/07/31,-0.238
2017/08/01,-0.294
2017/08/02,-0.347
2017/08/03,-0.396
2017/08/04,-0.444
2017/08/05,-0.489
2017/08/06,-0.529
2017/08/07,-0.559
2017/08/08,-0.581
2017/08/09,-0.597
2017/08/10,-0.608
2017/08/11,-0.613
2017/08/12,-0.612
2017/08/13,-0.609
2017/08/14,-0.606
2017/08/15,-0.601
2017/08/16,-0.549
2017/08/17,-0.485
2017/08/18,-0.395
2017/08/19,-0.312
2017/08/20,-0.243
2017/08/21,-0.188
2017/08/22,-0.143
2017/08/23,-0.108
2017/08/24,-0.081
2017/08/25,-0.059
2017/08/26,-0.039
2017/08/27,-0.026
2017/08/28,-0.015
2017/08/29,0.008
2017/08/30,0.035
2017/08/31,0.093
2017/09/01,0.156
2017/09/02,0.236
2017/09/03,0.301
2017/09/04,0.353
2017/09/05,0.399
2017/09/06,0.448
2017/09/07,0.5
2017/09/08,0.553
2017/09/09,0.591
2017/09/10,0.618
2017/09/11,0.631
2017/09/12,0.638
2017/09/13,0.637
2017/09/14,0.623
2017/09/15,0.604
2017/09/16,0.59
2017/09/17,0.571
2017/09/18,0.546
2017/09/19,0.517
2017/09/20,0.506
2017/09/21,0.486
2017/09/22,0.459
2017/09/23,0.43
2017/09/24,0.409
2017/09/25,0.387
2017/09/26,0.366
2017/09/27,0.347
2017/09/28,0.327
2017/09/29,0.302
2017/09/30,0.279
2017/10/01,0.259
2017/10/02,0.238
2017/10/03,0.216
2017/10/04,0.196
2017/10/05,0.18
2017/10/06,0.167
2017/10/07,0.153
2017/10/08,0.14
2017/10/09,0.127
2017/10/10,0.114
2017/10/11,0.135
2017/10/12,0.149
2017/10/13,0.162
2017/10/14,0.173
2017/10/15,0.182
2017/10/16,0.18
2017/10/17,0.165
2017/10/18,0.138
2017/10/19,0.099
2017/10/20,0.06
2017/10/21,0.011
2017/10/22,-0.046
2017/10/23,-0.108
2017/10/24,-0.168
2017/10/25,-0.229
2017/10/26,-0.291
2017/10/27,-0.366
2017/10/28,-0.45
2017/10/29,-0.542
2017/10/30,-0.639
2017/10/31,-0.74
2017/11/01,-0.827
2017/11/02,-0.903
2017/11/03,-0.972
2017/11/04,-1.034
2017/11/05,-1.092
2017/11/06,-1.145
2017/11/07,-1.189
2017/11/08,-1.222
2017/11/09,-1.247
2017/11/10,-1.266
2017/11/11,-1.282
2017/11/12,-1.291
2017/11/13,-1.295
2017/11/14,-1.292
2017/11/15,-1.281
2017/11/16,-1.265
2017/11/17,-1.244
2017/11/18,-1.223
2017/11/19,-1.2
2017/11/20,-1.173
2017/11/21,-1.14
2017/11/22,-1.104
2017/11/23,-1.064
2017/11/24,-1.02
2017/11/25,-0.976
2017/11/26,-0.926
2017/11/27,-0.872
2017/11/28,-0.812
2017/11/29,-0.748
2017/11/30,-0.685
2017/12/01,-0.62
2017/12/02,-0.56
2017/12/03,-0.501
2017/12/04,-0.418
2017/12/05,-0.287
2017/12/06,-0.112
2017/12/07,0.161
2017/12/08,0.501
2017/12/09,0.894
2017/12/10,1.295
2017/12/11,1.656
2017/12/12,1.989
2017/12/13,2.294
2017/12/14,2.59
2017/12/15,2.847
2017/12/16,3.069
2017/12/17,3.241
2017/12/18,3.358
2017/12/19,3.451
2017/12/20,3.543
2017/12/21,3.622
2017/12/22,3.662
2017/12/23,3.665
2017/12/24,3.633
2017/12/25,3.564
2017/12/26,3.464
2017/12/27,3.342
2017/12/28,3.201
2017/12/29,3.053
2017/12/30,2.897
2017/12/31,2.739
2018/01/01,2.581
2018/01/02,2.433
2018/01/03,2.3
2018/01/04,2.187
2018/01/05,2.161
2018/01/06,2.224
2018/01/07,2.339
2018/01/08,2.493
2018/01/09,2.678
2018/01/10,2.929
2018/01/11,3.18
2018/01/12,3.391
2018/01/13,3.57
2018/01/14,3.717
2018/01/15,3.819
2018/01/16,3.865
2018/01/17,3.85
2018/01/18,3.801
2018/01/19,3.725
2018/01/20,3.635
2018/01/21,3.516
2018/01/22,3.372
2018/01/23,3.22
2018/01/24,3.061
2018/01/25,2.899
2018/01/26,2.728
2018/01/27,2.551
2018/01/28,2.377
2018/01/29,2.217
2018/01/30,2.064
2018/01/31,1.917
2018/02/01,1.785
2018/02/02,1.654
2018/02/03,1.523
2018/02/04,1.392
2018/02/05,1.258
2018/02/06,1.123
2018/02/07,0.99
2018/02/08,0.861
2018/02/09,0.734
2018/02/10,0.611
2018/02/11,0.492
2018/02/12,0.376
2018/02/13,0.264
2018/02/14,0.158
2018/02/15,0.059
2018/02/16,-0.035
2018/02/17,-0.121
2018/02/18,-0.199
2018/02/19,-0.272
2018/02/20,-0.341
2018/02/21,-0.406
2018/02/22,-0.469
2018/02/23,-0.528
2018/02/24,-0.584
2018/02/25,-0.637
2018/02/26,-0.688
2018/02/27,-0.736
2018/02/28,-0.777
2018/03/01,-0.814
2018/03/02,-0.846
2018/03/03,-0.877
2018/03/04,-0.904
2018/03/05,-0.93
2018/03/06,-0.955
2018/03/07,-0.98
2018/03/08,-1.005
2018/03/09,-1.031
2018/03/10,-1.058
2018/03/11,-1.087
2018/03/12,-1.115
2018/03/13,-1.145
2018/03/14,-1.177
2018/03/15,-1.209
2018/03/16,-1.243
2018/03/17,-1.278
2018/03/18,-1.315
2018/03/19,-1.354
2018/03/20,-1.392
2018/03/21,-1.429
2018/03/22,-1.464
2018/03/23,-1.497
2018/03/24,-1.529
2018/03/25,-1.559
2018/03/26,-1.588
2018/03/27,-1.616
2018/03/28,-1.644
2018/03/29,-1.672
2018/03/30,-1.7
2018/03/31,-1.73
2018/04/01,-1.761
2018/04/02,-1.793
2018/04/03,-1.824
2018/04/04,-1.855
2018/04/05,-1.884
2018/04/06,-1.911
2018/04/07,-1.939
2018/04/08,-1.966
2018/04/09,-1.992
2018/04/10,-2.016
2018/04/11,-2.038
2018/04/12,-2.056
2018/04/13,-2.069
2018/04/14,-2.079
2018/04/15,-2.086
2018/04/16,-2.09
2018/04/17,-2.093
2018/04/18,-2.09
2018/04/19,-2.083
2018/04/20,-2.071
2018/04/21,-2.057
2018/04/22,-2.04
2018/04/23,-2.019
2018/04/24,-1.99
2018/04/25,-1.955
2018/04/26,-1.916
2018/04/27,-1.87
2018/04/28,-1.816
2018/04/29,-1.753
2018/04/30,-1.682
2018/05/01,-1.61
2018/05/02,-1.536
2018/05/03,-1.456
2018/05/04,-1.375
2018/05/05,-1.294
2018/05/06,-1.212
2018/05/07,-1.132
2018/05/08,-1.052
2018/05/09,-0.972
2018/05/10,-0.88
2018/05/11,-0.782
2018/05/12,-0.691
2018/05/13,-0.603
2018/05/14,-0.512
2018/05/15,-0.416
2018/05/16,-0.319
2018/05/17,-0.218
2018/05/18,-0.12
2018/05/19,-0.029
2018/05/20,0.056
2018/05/21,0.137
2018/05/22,0.217
2018/05/23,0.29
2018/05/24,0.352
2018/05/25,0.405
2018/05/26,0.445
2018/05/27,0.472
2018/05/28,0.495
2018/05/29,0.515
2018/05/30,0.536
2018/05/31,0.566
2018/06/01,0.597
2018/06/02,0.617
2018/06/03,0.625
2018/06/04,0.631
2018/06/05,0.63
2018/06/06,0.633
2018/06/07,0.631
2018/06/08,0.621
2018/06/09,0.599
2018/06/10,0.566
2018/06/11,0.524
2018/06/12,0.475
2018/06/13,0.42
2018/06/14,0.363
2018/06/15,0.308
2018/06/16,0.258
2018/06/17,0.202
2018/06/18,0.141
2018/06/19,0.08
2018/06/20,0.02
2018/06/21,-0.04
2018/06/22,-0.083
2018/06/23,-0.131
2018/06/24,-0.175
2018/06/25,-0.22
2018/06/26,-0.267
2018/06/27,-0.317
2018/06/28,-0.369
2018/06/29,-0.422
2018/06/30,-0.405
2018/07/01,-0.274
2018/07/02,0.135
2018/07/03,0.637
2018/07/04,1.187
2018/07/05,1.712
2018/07/06,2.264
2018/07/07,2.788
2018/07/08,3.168
2018/07/09,3.412
2018/07/10,3.526
2018/07/11,3.547
2018/07/12,3.518
2018/07/13,3.458
2018/07/14,3.433
2018/07/15,3.473
2018/07/16,3.427
2018/07/17,3.317
2018/07/18,3.16
2018/07/19,2.97
2018/07/20,2.763
2018/07/21,2.549
2018/07/22,2.326
2018/07/23,2.102
2018/07/24,1.88
2018/07/25,1.661
2018/07/26,1.448
2018/07/27,1.24
2018/07/28,1.042
2018/07/29,0.85
2018/07/30,0.665
2018/07/31,0.488
2018/08/01,0.325
2018/08/02,0.167
2018/08/03,0.015
2018/08/04,-0.129
2018/08/05,-0.268
2018/08/06,-0.398
2018/08/07,-0.503
2018/08/08,-0.555
2018/08/09,-0.569
2018/08/10,-0.573
2018/08/11,-0.59
