Date,hashrate30roc
2016/10/15,31.831
2016/10/16,36.091
2016/10/17,24.847
2016/10/18,46.67
2016/10/19,43.259
2016/10/20,32.941
2016/10/21,31.071
2016/10/22,43.659
2016/10/23,26.674
2016/10/24,28.823
2016/10/25,25.868
2016/10/26,34.747
2016/10/27,25.415
2016/10/28,19.295
2016/10/29,-7.02
2016/10/30,-7.152
2016/10/31,-4.034
2016/11/01,-20.352
2016/11/02,-26.737
2016/11/03,-31.569
2016/11/04,-36.702
2016/11/05,-40.804
2016/11/06,-39.701
2016/11/07,-31.238
2016/11/08,-24.752
2016/11/09,-27.059
2016/11/10,-33.732
2016/11/11,-33.242
2016/11/12,-34.48
2016/11/13,-31.657
2016/11/14,-29.845
2016/11/15,-31.18
2016/11/16,-29.103
2016/11/17,-34.533
2016/11/18,-29.679
2016/11/19,-28.271
2016/11/20,-22.798
2016/11/21,-18.584
2016/11/22,-21.209
2016/11/23,-23.484
2016/11/24,-32.321
2016/11/25,-32.906
2016/11/26,-30.857
2016/11/27,-28.185
2016/11/28,-6.583
2016/11/29,-5.467
2016/11/30,-15.568
2016/12/01,0.075
2016/12/02,12.593
2016/12/03,23.977
2016/12/04,33.311
2016/12/05,37.78
2016/12/06,38.657
2016/12/07,19.487
2016/12/08,12.817
2016/12/09,18.277
2016/12/10,31.411
2016/12/11,38.791
2016/12/12,31.119
2016/12/13,24.96
2016/12/14,19.718
2016/12/15,18.267
2016/12/16,24.544
2016/12/17,31.657
2016/12/18,27.004
2016/12/19,20.189
2016/12/20,12.684
2016/12/21,5.896
2016/12/22,8.738
2016/12/23,2.061
2016/12/24,7.198
2016/12/25,12.102
2016/12/26,14.653
2016/12/27,11.143
2016/12/28,6.541
2016/12/29,7.954
2016/12/30,13.1
2016/12/31,13.078
2017/01/01,11.638
2017/01/02,6.523
2017/01/03,7.797
2017/01/04,22.062
2017/01/05,25.755
2017/01/06,23.395
2017/01/07,21.478
2017/01/08,19.236
2017/01/09,20.536
2017/01/10,17.367
2017/01/11,23.143
2017/01/12,20.477
2017/01/13,23.416
2017/01/14,24.447
2017/01/15,23.08
2017/01/16,21.439
2017/01/17,16.108
2017/01/18,15.274
2017/01/19,20.19
2017/01/20,17.05
2017/01/21,24.222
2017/01/22,34.223
2017/01/23,45.159
2017/01/24,36.787
2017/01/25,32.495
2017/01/26,40.762
2017/01/27,39.57
2017/01/28,40.667
2017/01/29,37.754
2017/01/30,40.047
2017/01/31,39.846
2017/02/01,37.548
2017/02/02,40.498
2017/02/03,25.255
2017/02/04,24.876
2017/02/05,29.364
2017/02/06,26.331
2017/02/07,25.714
2017/02/08,23.377
2017/02/09,22.83
2017/02/10,25.297
2017/02/11,24.793
2017/02/12,24.101
2017/02/13,25.5
2017/02/14,24.423
2017/02/15,25.029
2017/02/16,25.808
2017/02/17,29.238
2017/02/18,22.186
2017/02/19,28.542
2017/02/20,25.783
2017/02/21,27.981
2017/02/22,24.162
2017/02/23,26.164
2017/02/24,26.465
2017/02/25,26.839
2017/02/26,33.915
2017/02/27,33.817
2017/02/28,42.659
2017/03/01,34.157
2017/03/02,36.358
2017/03/03,43.334
2017/03/04,38.464
2017/03/05,47.128
2017/03/06,44.77
2017/03/07,38.193
2017/03/08,41.576
2017/03/09,42.044
2017/03/10,40.516
2017/03/11,43.878
2017/03/12,40.072
2017/03/13,44.868
2017/03/14,41.112
2017/03/15,43.132
2017/03/16,43.191
2017/03/17,50.138
2017/03/18,52.553
2017/03/19,41.785
2017/03/20,49.97
2017/03/21,44.516
2017/03/22,47.374
2017/03/23,49.099
2017/03/24,50.008
2017/03/25,50.615
2017/03/26,57.49
2017/03/27,59.166
2017/03/28,49.1
2017/03/29,54.723
2017/03/30,48.401
2017/03/31,57.625
2017/04/01,52.511
2017/04/02,46.908
2017/04/03,42.276
2017/04/04,44.558
2017/04/05,48.299
2017/04/06,48.165
2017/04/07,45.257
2017/04/08,45.666
2017/04/09,42.653
2017/04/10,40.412
2017/04/11,44.601
2017/04/12,38.124
2017/04/13,37.334
2017/04/14,45.54
2017/04/15,39.634
2017/04/16,34.949
2017/04/17,35.328
2017/04/18,45.883
2017/04/19,35.095
2017/04/20,39.329
2017/04/21,39.522
2017/04/22,35.491
2017/04/23,39.488
2017/04/24,33.878
2017/04/25,33.03
2017/04/26,26.055
2017/04/27,31.332
2017/04/28,33.906
2017/04/29,36.568
2017/04/30,30.021
2017/05/01,33.806
2017/05/02,34.211
2017/05/03,42.568
2017/05/04,32.266
2017/05/05,35.207
2017/05/06,35.887
2017/05/07,36.206
2017/05/08,33.461
2017/05/09,42.199
2017/05/10,40.272
2017/05/11,38.162
2017/05/12,43.844
2017/05/13,43.122
2017/05/14,35.522
2017/05/15,44.425
2017/05/16,44.072
2017/05/17,34.565
2017/05/18,36.659
2017/05/19,43.524
2017/05/20,45.928
2017/05/21,46.597
2017/05/22,50.147
2017/05/23,41.357
2017/05/24,49.889
2017/05/25,44.276
2017/05/26,46.542
2017/05/27,48.719
2017/05/28,39.15
2017/05/29,44.963
2017/05/30,58.089
2017/05/31,52.155
2017/06/01,60.236
2017/06/02,53.704
2017/06/03,60.715
2017/06/04,56.844
2017/06/05,60.935
2017/06/06,60.205
2017/06/07,69.381
2017/06/08,63.363
2017/06/09,64.735
2017/06/10,70.341
2017/06/11,68.663
2017/06/12,72.614
2017/06/13,73.052
2017/06/14,71.317
2017/06/15,71.881
2017/06/16,84.443
2017/06/17,83.799
2017/06/18,80.426
2017/06/19,77.562
2017/06/20,75.79
2017/06/21,72.387
2017/06/22,81.043
2017/06/23,75.392
2017/06/24,78.871
2017/06/25,80.727
2017/06/26,81.72
2017/06/27,82.6
2017/06/28,76.192
2017/06/29,69.702
2017/06/30,74.612
2017/07/01,67.967
2017/07/02,73.852
2017/07/03,73.823
2017/07/04,73.472
2017/07/05,64.972
2017/07/06,65.645
2017/07/07,61.758
2017/07/08,61.311
2017/07/09,62.938
2017/07/10,57.272
2017/07/11,52.44
2017/07/12,48.849
2017/07/13,45.244
2017/07/14,38.836
2017/07/15,41.389
2017/07/16,42.238
2017/07/17,30.82
2017/07/18,31.559
2017/07/19,35.391
2017/07/20,36.955
2017/07/21,35.268
2017/07/22,33.304
2017/07/23,39.299
2017/07/24,32.175
2017/07/25,36.83
2017/07/26,31.544
2017/07/27,29.637
2017/07/28,29.362
2017/07/29,24.45
2017/07/30,28.203
2017/07/31,29.257
2017/08/01,28.095
2017/08/02,22.564
2017/08/03,15.194
2017/08/04,23.038
2017/08/05,19.696
2017/08/06,19.29
2017/08/07,22.03
2017/08/08,22.417
2017/08/09,22.926
2017/08/10,21.54
2017/08/11,26.411
2017/08/12,29.185
2017/08/13,32.465
2017/08/14,30.576
2017/08/15,29.37
