Date,size30trx
2016/10/15,1.35
2016/10/16,1.352
2016/10/17,1.328
2016/10/18,1.29
2016/10/19,1.239
2016/10/20,1.177
2016/10/21,1.109
2016/10/22,1.033
2016/10/23,0.95
2016/10/24,0.87
2016/10/25,0.792
2016/10/26,0.713
2016/10/27,0.635
2016/10/28,0.557
2016/10/29,0.481
2016/10/30,0.406
2016/10/31,0.334
2016/11/01,0.268
2016/11/02,0.204
2016/11/03,0.143
2016/11/04,0.081
2016/11/05,0.021
2016/11/06,-0.037
2016/11/07,-0.093
2016/11/08,-0.144
2016/11/09,-0.192
2016/11/10,-0.235
2016/11/11,-0.275
2016/11/12,-0.313
2016/11/13,-0.347
2016/11/14,-0.376
2016/11/15,-0.402
2016/11/16,-0.425
2016/11/17,-0.445
2016/11/18,-0.463
2016/11/19,-0.48
2016/11/20,-0.495
2016/11/21,-0.508
2016/11/22,-0.515
2016/11/23,-0.514
2016/11/24,-0.514
2016/11/25,-0.51
2016/11/26,-0.506
2016/11/27,-0.499
2016/11/28,-0.489
2016/11/29,-0.477
2016/11/30,-0.457
2016/12/01,-0.44
2016/12/02,-0.427
2016/12/03,-0.417
2016/12/04,-0.409
2016/12/05,-0.403
2016/12/06,-0.395
2016/12/07,-0.388
2016/12/08,-0.383
2016/12/09,-0.379
2016/12/10,-0.376
2016/12/11,-0.37
2016/12/12,-0.364
2016/12/13,-0.359
2016/12/14,-0.348
2016/12/15,-0.337
2016/12/16,-0.328
2016/12/17,-0.321
2016/12/18,-0.317
2016/12/19,-0.311
2016/12/20,-0.305
2016/12/21,-0.295
2016/12/22,-0.283
2016/12/23,-0.271
2016/12/24,-0.263
2016/12/25,-0.26
2016/12/26,-0.259
2016/12/27,-0.258
2016/12/28,-0.255
2016/12/29,-0.25
2016/12/30,-0.243
2016/12/31,-0.235
2017/01/01,-0.231
2017/01/02,-0.227
2017/01/03,-0.221
2017/01/04,-0.212
2017/01/05,-0.202
2017/01/06,-0.191
2017/01/07,-0.18
2017/01/08,-0.171
2017/01/09,-0.161
2017/01/10,-0.149
2017/01/11,-0.138
2017/01/12,-0.126
2017/01/13,-0.112
2017/01/14,-0.101
2017/01/15,-0.092
2017/01/16,-0.085
2017/01/17,-0.076
2017/01/18,-0.068
2017/01/19,-0.062
2017/01/20,-0.056
2017/01/21,-0.051
2017/01/22,-0.046
2017/01/23,-0.041
2017/01/24,-0.034
2017/01/25,-0.026
2017/01/26,-0.018
2017/01/27,-0.01
2017/01/28,-0.003
2017/01/29,0.003
2017/01/30,0.007
2017/01/31,0.009
2017/02/01,0.012
2017/02/02,0.013
2017/02/03,0.014
2017/02/04,0.015
2017/02/05,0.015
2017/02/06,0.016
2017/02/07,0.02
2017/02/08,0.027
2017/02/09,0.032
2017/02/10,0.039
2017/02/11,0.045
2017/02/12,0.048
2017/02/13,0.054
2017/02/14,0.064
2017/02/15,0.075
2017/02/16,0.085
2017/02/17,0.093
2017/02/18,0.101
2017/02/19,0.107
2017/02/20,0.113
2017/02/21,0.122
2017/02/22,0.132
2017/02/23,0.139
2017/02/24,0.146
2017/02/25,0.153
2017/02/26,0.158
2017/02/27,0.164
2017/02/28,0.172
2017/03/01,0.187
2017/03/02,0.206
2017/03/03,0.227
2017/03/04,0.245
2017/03/05,0.26
2017/03/06,0.271
2017/03/07,0.283
2017/03/08,0.291
2017/03/09,0.306
2017/03/10,0.323
2017/03/11,0.339
2017/03/12,0.354
2017/03/13,0.374
2017/03/14,0.397
2017/03/15,0.423
2017/03/16,0.461
2017/03/17,0.504
2017/03/18,0.545
2017/03/19,0.582
2017/03/20,0.613
2017/03/21,0.642
2017/03/22,0.667
2017/03/23,0.689
2017/03/24,0.71
2017/03/25,0.727
2017/03/26,0.739
2017/03/27,0.755
2017/03/28,0.769
2017/03/29,0.783
2017/03/30,0.798
2017/03/31,0.815
2017/04/01,0.825
2017/04/02,0.833
2017/04/03,0.84
2017/04/04,0.843
2017/04/05,0.842
2017/04/06,0.842
2017/04/07,0.841
2017/04/08,0.832
2017/04/09,0.819
2017/04/10,0.803
2017/04/11,0.784
2017/04/12,0.766
2017/04/13,0.749
2017/04/14,0.729
2017/04/15,0.707
2017/04/16,0.681
2017/04/17,0.654
2017/04/18,0.629
2017/04/19,0.606
2017/04/20,0.586
2017/04/21,0.568
2017/04/22,0.548
2017/04/23,0.528
2017/04/24,0.509
2017/04/25,0.493
2017/04/26,0.48
2017/04/27,0.473
2017/04/28,0.473
2017/04/29,0.472
2017/04/30,0.474
2017/05/01,0.485
2017/05/02,0.5
2017/05/03,0.514
2017/05/04,0.531
2017/05/05,0.546
2017/05/06,0.558
2017/05/07,0.572
2017/05/08,0.586
2017/05/09,0.601
2017/05/10,0.615
2017/05/11,0.627
2017/05/12,0.637
2017/05/13,0.643
2017/05/14,0.647
2017/05/15,0.655
2017/05/16,0.666
2017/05/17,0.685
2017/05/18,0.708
2017/05/19,0.741
2017/05/20,0.775
2017/05/21,0.811
2017/05/22,0.858
2017/05/23,0.923
2017/05/24,1.003
2017/05/25,1.085
2017/05/26,1.163
2017/05/27,1.231
2017/05/28,1.293
2017/05/29,1.343
2017/05/30,1.402
2017/05/31,1.465
2017/06/01,1.525
2017/06/02,1.591
2017/06/03,1.65
2017/06/04,1.701
2017/06/05,1.743
2017/06/06,1.785
2017/06/07,1.824
2017/06/08,1.855
2017/06/09,1.884
2017/06/10,1.902
2017/06/11,1.926
2017/06/12,1.959
2017/06/13,1.992
2017/06/14,2.017
2017/06/15,2.036
2017/06/16,2.047
2017/06/17,2.051
2017/06/18,2.048
2017/06/19,2.045
2017/06/20,2.043
2017/06/21,2.022
2017/06/22,2
2017/06/23,1.98
2017/06/24,1.96
2017/06/25,1.939
2017/06/26,1.92
2017/06/27,1.893
2017/06/28,1.871
2017/06/29,1.85
2017/06/30,1.824
2017/07/01,1.791
2017/07/02,1.755
2017/07/03,1.725
2017/07/04,1.698
2017/07/05,1.673
2017/07/06,1.644
2017/07/07,1.616
2017/07/08,1.583
2017/07/09,1.54
2017/07/10,1.503
2017/07/11,1.472
2017/07/12,1.445
2017/07/13,1.422
2017/07/14,1.399
2017/07/15,1.37
2017/07/16,1.339
2017/07/17,1.307
2017/07/18,1.282
2017/07/19,1.258
2017/07/20,1.231
2017/07/21,1.198
2017/07/22,1.159
2017/07/23,1.12
2017/07/24,1.086
2017/07/25,1.052
2017/07/26,1.015
2017/07/27,0.975
2017/07/28,0.936
2017/07/29,0.891
2017/07/30,0.844
2017/07/31,0.8
2017/08/01,0.76
2017/08/02,0.723
2017/08/03,0.69
2017/08/04,0.663
2017/08/05,0.64
2017/08/06,0.622
2017/08/07,0.611
2017/08/08,0.611
2017/08/09,0.614
2017/08/10,0.625
2017/08/11,0.646
2017/08/12,0.671
2017/08/13,0.696
2017/08/14,0.73
2017/08/15,0.773
2017/08/16,0.823
2017/08/17,0.879
2017/08/18,0.939
2017/08/19,0.996
2017/08/20,1.039
2017/08/21,1.077
2017/08/22,1.108
2017/08/23,1.132
2017/08/24,1.147
2017/08/25,1.162
2017/08/26,1.171
2017/08/27,1.177
2017/08/28,1.187
2017/08/29,1.201
2017/08/30,1.219
2017/08/31,1.235
2017/09/01,1.252
2017/09/02,1.26
2017/09/03,1.258
2017/09/04,1.26
2017/09/05,1.267
2017/09/06,1.283
2017/09/07,1.302
2017/09/08,1.321
2017/09/09,1.331
2017/09/10,1.328
2017/09/11,1.317
2017/09/12,1.305
2017/09/13,1.287
2017/09/14,1.267
2017/09/15,1.248
2017/09/16,1.224
2017/09/17,1.192
2017/09/18,1.16
2017/09/19,1.127
2017/09/20,1.09
2017/09/21,1.053
2017/09/22,1.015
2017/09/23,0.977
2017/09/24,0.942
2017/09/25,0.913
2017/09/26,0.886
2017/09/27,0.862
2017/09/28,0.844
2017/09/29,0.832
2017/09/30,0.826
2017/10/01,0.824
2017/10/02,0.823
2017/10/03,0.823
2017/10/04,0.822
2017/10/05,0.82
2017/10/06,0.819
2017/10/07,0.816
2017/10/08,0.809
2017/10/09,0.8
2017/10/10,0.792
2017/10/11,0.783
2017/10/12,0.775
