Date,fee_to_reward30varUSD
2016/01/01,0.009
2016/01/02,0.009
2016/01/03,0.008
2016/01/04,0.008
2016/01/05,0.008
2016/01/06,0.008
2016/01/07,0.008
2016/01/08,0.008
2016/01/09,0.007
2016/01/10,0.007
2016/01/11,0.007
2016/01/12,0.007
2016/01/13,0.007
2016/01/14,0.005
2016/01/15,0.005
2016/01/16,0.005
2016/01/17,0.005
2016/01/18,0.005
2016/01/19,0.005
2016/01/20,0.005
2016/01/21,0.005
2016/01/22,0.004
2016/01/23,0.004
2016/01/24,0.004
2016/01/25,0.004
2016/01/26,0.003
2016/01/27,0.003
2016/01/28,0.004
2016/01/29,0.003
2016/01/30,0.003
2016/01/31,0.003
2016/02/01,0.003
2016/02/02,0.002
2016/02/03,0.002
2016/02/04,0.002
2016/02/05,0.002
2016/02/06,0.005
2016/02/07,0.005
2016/02/08,0.005
2016/02/09,0.005
2016/02/10,0.005
2016/02/11,0.005
2016/02/12,0.005
2016/02/13,0.005
2016/02/14,0.005
2016/02/15,0.005
2016/02/16,0.005
2016/02/17,0.005
2016/02/18,0.005
2016/02/19,0.004
2016/02/20,0.004
2016/02/21,0.004
2016/02/22,0.004
2016/02/23,0.005
2016/02/24,0.005
2016/02/25,0.005
2016/02/26,0.005
2016/02/27,0.005
2016/02/28,0.006
2016/02/29,0.006
2016/03/01,0.006
2016/03/02,0.005
2016/03/03,0.005
2016/03/04,0.005
2016/03/05,0.005
2016/03/06,0.005
2016/03/07,0.002
2016/03/08,0.002
2016/03/09,0.002
2016/03/10,0.002
2016/03/11,0.002
2016/03/12,0.002
2016/03/13,0.002
2016/03/14,0.002
2016/03/15,0.002
2016/03/16,0.002
2016/03/17,0.002
2016/03/18,0.002
2016/03/19,0.002
2016/03/20,0.002
2016/03/21,0.002
2016/03/22,0.003
2016/03/23,0.003
2016/03/24,0.001
2016/03/25,0.001
2016/03/26,0.001
2016/03/27,0
2016/03/28,0
2016/03/29,0.001
2016/03/30,0.001
2016/03/31,0.001
2016/04/01,0
2016/04/02,0
2016/04/03,0.001
2016/04/04,0
2016/04/05,0
2016/04/06,0
2016/04/07,0
2016/04/08,0
2016/04/09,0
2016/04/10,0
2016/04/11,0
2016/04/12,0
2016/04/13,0
2016/04/14,0
2016/04/15,0
2016/04/16,0
2016/04/17,0
2016/04/18,0
2016/04/19,0
2016/04/20,0
2016/04/21,0
2016/04/22,0
2016/04/23,0
2016/04/24,0
2016/04/25,0
2016/04/26,0
2016/04/27,0
2016/04/28,0
2016/04/29,0
2016/04/30,0
2016/05/01,0
2016/05/02,0
2016/05/03,0
2016/05/04,0
2016/05/05,0
2016/05/06,0
2016/05/07,0
2016/05/08,0
2016/05/09,0
2016/05/10,0
2016/05/11,0
2016/05/12,0
2016/05/13,0
2016/05/14,0
2016/05/15,0
2016/05/16,0
2016/05/17,0
2016/05/18,0
2016/05/19,0
2016/05/20,0
2016/05/21,0
2016/05/22,0
2016/05/23,0
2016/05/24,0
2016/05/25,0
2016/05/26,0
2016/05/27,0
2016/05/28,0.001
2016/05/29,0.001
2016/05/30,0.001
2016/05/31,0.001
2016/06/01,0.001
2016/06/02,0.001
2016/06/03,0.001
2016/06/04,0.001
2016/06/05,0.001
2016/06/06,0.001
2016/06/07,0.001
2016/06/08,0.001
2016/06/09,0.001
2016/06/10,0.001
2016/06/11,0.001
2016/06/12,0.001
2016/06/13,0.001
2016/06/14,0.001
2016/06/15,0.001
2016/06/16,0.001
2016/06/17,0.01
2016/06/18,0.023
2016/06/19,0.023
2016/06/20,0.023
2016/06/21,0.023
2016/06/22,0.023
2016/06/23,0.023
2016/06/24,0.023
2016/06/25,0.023
2016/06/26,0.023
2016/06/27,0.023
2016/06/28,0.023
2016/06/29,0.023
2016/06/30,0.023
2016/07/01,0.023
2016/07/02,0.023
2016/07/03,0.023
2016/07/04,0.023
2016/07/05,0.023
2016/07/06,0.023
2016/07/07,0.023
2016/07/08,0.023
2016/07/09,0.023
2016/07/10,0.023
2016/07/11,0.023
2016/07/12,0.023
2016/07/13,0.023
2016/07/14,0.023
2016/07/15,0.023
2016/07/16,0.023
2016/07/17,0.015
2016/07/18,0.002
2016/07/19,0.002
2016/07/20,0.002
2016/07/21,0.002
2016/07/22,0.002
2016/07/23,0.002
2016/07/24,0.002
2016/07/25,0.002
2016/07/26,0.002
2016/07/27,0.002
2016/07/28,0.002
2016/07/29,0.002
2016/07/30,0.001
2016/07/31,0.001
2016/08/01,0.001
2016/08/02,0.001
2016/08/03,0.001
2016/08/04,0.001
2016/08/05,0.001
2016/08/06,0.001
2016/08/07,0.001
2016/08/08,0.001
2016/08/09,0.001
2016/08/10,0.001
2016/08/11,0.001
2016/08/12,0.001
2016/08/13,0.001
2016/08/14,0.001
2016/08/15,0.001
2016/08/16,0.001
2016/08/17,0.001
2016/08/18,0.001
2016/08/19,0.001
2016/08/20,0.001
2016/08/21,0.001
2016/08/22,0.001
2016/08/23,0.001
2016/08/24,0.001
2016/08/25,0.001
2016/08/26,0.001
2016/08/27,0.001
2016/08/28,0.001
2016/08/29,0.001
2016/08/30,0.001
2016/08/31,0.001
2016/09/01,0.001
2016/09/02,0.001
2016/09/03,0.001
2016/09/04,0.001
2016/09/05,0.001
2016/09/06,0.001
2016/09/07,0.001
2016/09/08,0.001
2016/09/09,0.001
2016/09/10,0.001
2016/09/11,0.001
2016/09/12,0.001
2016/09/13,0.001
2016/09/14,0.001
2016/09/15,0.001
2016/09/16,0.001
2016/09/17,0.001
2016/09/18,0.001
2016/09/19,0.001
2016/09/20,0.001
2016/09/21,0.001
2016/09/22,0.001
2016/09/23,0.001
2016/09/24,0.001
2016/09/25,0.001
2016/09/26,0.003
2016/09/27,0.003
2016/09/28,0.003
2016/09/29,0.003
2016/09/30,0.003
2016/10/01,0.004
2016/10/02,0.004
2016/10/03,0.004
2016/10/04,0.004
2016/10/05,0.004
2016/10/06,0.004
2016/10/07,0.004
2016/10/08,0.004
2016/10/09,0.004
2016/10/10,0.004
2016/10/11,0.004
2016/10/12,0.004
2016/10/13,0.004
2016/10/14,0.004
2016/10/15,0.004
2016/10/16,0.004
2016/10/17,0.004
2016/10/18,0.004
2016/10/19,0.004
2016/10/20,0.003
2016/10/21,0.003
2016/10/22,0.004
2016/10/23,0.004
2016/10/24,0.004
2016/10/25,0.004
2016/10/26,0.003
2016/10/27,0.003
2016/10/28,0.003
2016/10/29,0.003
2016/10/30,0.004
2016/10/31,0.004
2016/11/01,0.003
2016/11/02,0.003
2016/11/03,0.003
2016/11/04,0.003
2016/11/05,0.004
2016/11/06,0.004
2016/11/07,0.004
2016/11/08,0.004
2016/11/09,0.004
2016/11/10,0.004
2016/11/11,0.004
2016/11/12,0.003
2016/11/13,0.003
2016/11/14,0.003
2016/11/15,0.002
2016/11/16,0.002
2016/11/17,0.001
2016/11/18,0
2016/11/19,0
2016/11/20,0
2016/11/21,0
2016/11/22,0
2016/11/23,0.001
2016/11/24,0.001
2016/11/25,0.001
2016/11/26,0.001
2016/11/27,0.003
2016/11/28,0.004
2016/11/29,0.005
2016/11/30,0.005
2016/12/01,0.005
2016/12/02,0.005
2016/12/03,0.005
2016/12/04,0.005
2016/12/05,0.005
2016/12/06,0.005
2016/12/07,0.005
2016/12/08,0.005
2016/12/09,0.005
2016/12/10,0.005
2016/12/11,0.005
2016/12/12,0.005
2016/12/13,0.005
2016/12/14,0.005
2016/12/15,0.005
2016/12/16,0.005
2016/12/17,0.005
2016/12/18,0.005
2016/12/19,0.005
2016/12/20,0.005
2016/12/21,0.005
2016/12/22,0.005
2016/12/23,0.005
2016/12/24,0.005
2016/12/25,0.005
2016/12/26,0.005
2016/12/27,0.003
2016/12/28,0.002
2016/12/29,0
2016/12/30,0
2016/12/31,0
2017/01/01,0
2017/01/02,0
2017/01/03,0
2017/01/04,0
2017/01/05,0
2017/01/06,0
2017/01/07,0
2017/01/08,0
2017/01/09,0
2017/01/10,0
2017/01/11,0
2017/01/12,0
2017/01/13,0
2017/01/14,0
2017/01/15,0
2017/01/16,0
2017/01/17,0
2017/01/18,0
2017/01/19,0
2017/01/20,0
2017/01/21,0
2017/01/22,0
2017/01/23,0
2017/01/24,0
2017/01/25,0
2017/01/26,0
2017/01/27,0
2017/01/28,0
2017/01/29,0
2017/01/30,0
2017/01/31,0
2017/02/01,0
2017/02/02,0
2017/02/03,0
2017/02/04,0
2017/02/05,0
2017/02/06,0
2017/02/07,0
2017/02/08,0
2017/02/09,0
2017/02/10,0
2017/02/11,0
2017/02/12,0
2017/02/13,0
2017/02/14,0
2017/02/15,0.001
2017/02/16,0.001
2017/02/17,0.001
2017/02/18,0.001
2017/02/19,0.001
2017/02/20,0.001
2017/02/21,0.001
2017/02/22,0.001
2017/02/23,0.001
2017/02/24,0.001
2017/02/25,0.001
2017/02/26,0.001
2017/02/27,0.001
2017/02/28,0.001
2017/03/01,0.001
2017/03/02,0.001
2017/03/03,0.001
2017/03/04,0.001
2017/03/05,0.001
2017/03/06,0
2017/03/07,0
2017/03/08,0
2017/03/09,0
2017/03/10,0
2017/03/11,0
2017/03/12,0
2017/03/13,0.001
2017/03/14,0.001
2017/03/15,0.001
2017/03/16,0.001
2017/03/17,0.002
2017/03/18,0.002
2017/03/19,0.002
2017/03/20,0.002
2017/03/21,0.001
2017/03/22,0.001
2017/03/23,0.001
2017/03/24,0.002
2017/03/25,0.001
2017/03/26,0.001
2017/03/27,0.002
2017/03/28,0.001
2017/03/29,0.001
2017/03/30,0.001
2017/03/31,0.002
2017/04/01,0.002
2017/04/02,0.001
2017/04/03,0.001
2017/04/04,0.001
2017/04/05,0.001
2017/04/06,0.001
2017/04/07,0.001
2017/04/08,0.001
2017/04/09,0.001
2017/04/10,0.001
2017/04/11,0.001
2017/04/12,0.001
2017/04/13,0.001
2017/04/14,0.001
2017/04/15,0.001
2017/04/16,0.001
2017/04/17,0.001
2017/04/18,0.001
2017/04/19,0.001
2017/04/20,0.001
2017/04/21,0.001
2017/04/22,0.001
2017/04/23,0.001
2017/04/24,0.001
2017/04/25,0.001
2017/04/26,0.001
2017/04/27,0.001
2017/04/28,0.001
2017/04/29,0.001
2017/04/30,0.001
2017/05/01,0.002
2017/05/02,0.002
2017/05/03,0.002
2017/05/04,0.002
2017/05/05,0.002
2017/05/06,0.002
2017/05/07,0.003
2017/05/08,0.003
2017/05/09,0.003
2017/05/10,0.003
2017/05/11,0.003
2017/05/12,0.003
2017/05/13,0.003
2017/05/14,0.003
2017/05/15,0.004
2017/05/16,0.004
2017/05/17,0.01
2017/05/18,0.012
2017/05/19,0.014
2017/05/20,0.014
2017/05/21,0.015
2017/05/22,0.017
2017/05/23,0.024
2017/05/24,0.031
2017/05/25,0.034
2017/05/26,0.035
2017/05/27,0.035
2017/05/28,0.034
2017/05/29,0.033
2017/05/30,0.041
2017/05/31,0.082
2017/06/01,0.084
2017/06/02,0.088
2017/06/03,0.086
2017/06/04,0.085
2017/06/05,0.081
2017/06/06,0.08
2017/06/07,0.079
2017/06/08,0.075
2017/06/09,0.072
2017/06/10,0.067
2017/06/11,0.066
2017/06/12,0.084
2017/06/13,0.079
2017/06/14,0.074
2017/06/15,0.07
2017/06/16,0.069
2017/06/17,0.066
2017/06/18,0.064
2017/06/19,0.06
2017/06/20,0.134
2017/06/21,0.287
2017/06/22,0.347
2017/06/23,0.358
2017/06/24,0.382
2017/06/25,0.378
2017/06/26,0.38
2017/06/27,0.368
2017/06/28,0.372
2017/06/29,0.373
2017/06/30,0.369
2017/07/01,0.364
2017/07/02,0.363
2017/07/03,0.355
2017/07/04,0.348
2017/07/05,0.337
2017/07/06,0.333
2017/07/07,0.328
2017/07/08,0.318
2017/07/09,0.317
2017/07/10,0.307
2017/07/11,0.306
2017/07/12,0.304
2017/07/13,0.299
2017/07/14,0.292
2017/07/15,0.287
2017/07/16,0.281
2017/07/17,0.271
2017/07/18,0.26
2017/07/19,0.253
2017/07/20,0.226
2017/07/21,0.125
2017/07/22,0.092
2017/07/23,0.087
2017/07/24,0.066
2017/07/25,0.065
2017/07/26,0.053
2017/07/27,0.054
2017/07/28,0.033
2017/07/29,0.031
2017/07/30,0.035
2017/07/31,0.037
2017/08/01,0.037
2017/08/02,0.033
2017/08/03,0.033
2017/08/04,0.03
2017/08/05,0.03
2017/08/06,0.029
2017/08/07,0.032
2017/08/08,0.035
2017/08/09,0.035
2017/08/10,0.037
2017/08/11,0.041
2017/08/12,0.044
2017/08/13,0.044
2017/08/14,0.048
2017/08/15,0.054
2017/08/16,0.168
2017/08/17,0.201
2017/08/18,0.288
2017/08/19,0.296
2017/08/20,0.293
2017/08/21,0.285
2017/08/22,0.282
2017/08/23,0.281
2017/08/24,0.281
2017/08/25,0.279
2017/08/26,0.274
2017/08/27,0.27
2017/08/28,0.257
2017/08/29,0.273
2017/08/30,0.27
2017/08/31,0.346
2017/09/01,0.356
2017/09/02,0.344
2017/09/03,0.327
2017/09/04,0.327
2017/09/05,0.35
2017/09/06,0.457
2017/09/07,0.532
2017/09/08,0.593
2017/09/09,0.578
2017/09/10,0.568
2017/09/11,0.556
2017/09/12,0.537
2017/09/13,0.522
2017/09/14,0.513
2017/09/15,0.509
2017/09/16,0.538
2017/09/17,0.525
2017/09/18,0.525
2017/09/19,0.501
2017/09/20,0.486
2017/09/21,0.474
2017/09/22,0.452
2017/09/23,0.429
2017/09/24,0.412
2017/09/25,0.388
2017/09/26,0.358
2017/09/27,0.341
2017/09/28,0.341
2017/09/29,0.342
2017/09/30,0.321
2017/10/01,0.323
2017/10/02,0.316
2017/10/03,0.292
2017/10/04,0.292
2017/10/05,0.283
2017/10/06,0.223
2017/10/07,0.178
2017/10/08,0.117
2017/10/09,0.117
2017/10/10,0.116
2017/10/11,0.118
2017/10/12,0.12
2017/10/13,0.127
2017/10/14,0.125
2017/10/15,0.108
2017/10/16,0.085
2017/10/17,0.097
2017/10/18,0.121
2017/10/19,0.145
2017/10/20,0.14
2017/10/21,0.167
2017/10/22,0.214
2017/10/23,0.24
2017/10/24,0.241
2017/10/25,0.256
2017/10/26,0.273
2017/10/27,0.286
2017/10/28,0.309
2017/10/29,0.332
2017/10/30,0.336
2017/10/31,0.341
2017/11/01,0.34
2017/11/02,0.33
2017/11/03,0.328
2017/11/04,0.335
2017/11/05,0.323
2017/11/06,0.328
2017/11/07,0.319
2017/11/08,0.298
2017/11/09,0.272
2017/11/10,0.229
2017/11/11,0.193
2017/11/12,0.132
2017/11/13,0.094
2017/11/14,0.062
2017/11/15,0.055
2017/11/16,0.055
2017/11/17,0.057
2017/11/18,0.058
2017/11/19,0.049
2017/11/20,0.051
2017/11/21,0.048
2017/11/22,0.05
2017/11/23,0.05
2017/11/24,0.05
2017/11/25,0.05
2017/11/26,0.051
2017/11/27,0.051
2017/11/28,0.054
2017/11/29,0.064
2017/11/30,0.069
2017/12/01,0.073
2017/12/02,0.073
2017/12/03,0.076
2017/12/04,0.191
2017/12/05,0.525
2017/12/06,1.177
2017/12/07,2.758
2017/12/08,4.395
2017/12/09,5.651
2017/12/10,6.502
2017/12/11,6.818
2017/12/12,7.09
2017/12/13,7.169
2017/12/14,7.468
2017/12/15,7.558
2017/12/16,7.579
2017/12/17,7.45
2017/12/18,7.211
2017/12/19,7.065
2017/12/20,7.082
2017/12/21,7.066
2017/12/22,6.906
2017/12/23,6.557
2017/12/24,6.145
2017/12/25,5.773
2017/12/26,5.45
2017/12/27,5.127
2017/12/28,4.826
2017/12/29,4.489
2017/12/30,4.118
2017/12/31,3.772
2018/01/01,3.411
2018/01/02,2.977
2018/01/03,2.825
2018/01/04,2.804
2018/01/05,3.718
2018/01/06,4.867
2018/01/07,5.17
2018/01/08,5.71
2018/01/09,6.49
2018/01/10,7.877
2018/01/11,8.592
2018/01/12,8.723
2018/01/13,8.931
2018/01/14,9.018
2018/01/15,9.134
2018/01/16,9.094
2018/01/17,8.977
2018/01/18,9.001
2018/01/19,9.003
2018/01/20,9.004
2018/01/21,9.078
2018/01/22,9.081
2018/01/23,8.888
2018/01/24,8.487
2018/01/25,8.195
2018/01/26,8.062
2018/01/27,8.078
2018/01/28,8.181
2018/01/29,7.985
2018/01/30,7.81
2018/01/31,7.526
2018/02/01,7.272
2018/02/02,7.285
2018/02/03,7.648
2018/02/04,7.626
2018/02/05,6.997
2018/02/06,6.806
2018/02/07,6.468
2018/02/08,6.035
2018/02/09,4.8
2018/02/10,4.026
2018/02/11,3.895
2018/02/12,3.583
2018/02/13,3.355
2018/02/14,2.959
2018/02/15,2.579
2018/02/16,2.244
2018/02/17,1.709
2018/02/18,1.354
2018/02/19,1.089
2018/02/20,1
2018/02/21,0.965
2018/02/22,0.856
2018/02/23,0.784
2018/02/24,0.773
2018/02/25,0.795
2018/02/26,0.831
2018/02/27,0.853
2018/02/28,0.73
2018/03/01,0.693
2018/03/02,0.634
2018/03/03,0.328
2018/03/04,0.21
2018/03/05,0.189
2018/03/06,0.184
2018/03/07,0.159
2018/03/08,0.118
2018/03/09,0.102
2018/03/10,0.134
2018/03/11,0.168
2018/03/12,0.159
2018/03/13,0.184
2018/03/14,0.2
2018/03/15,0.22
2018/03/16,0.24
2018/03/17,0.277
2018/03/18,0.297
2018/03/19,0.302
2018/03/20,0.282
2018/03/21,0.275
2018/03/22,0.246
2018/03/23,0.218
2018/03/24,0.218
2018/03/25,0.222
2018/03/26,0.212
2018/03/27,0.215
2018/03/28,0.217
2018/03/29,0.213
2018/03/30,0.167
2018/03/31,0.172
2018/04/01,0.142
2018/04/02,0.144
2018/04/03,0.137
2018/04/04,0.119
2018/04/05,0.115
2018/04/06,0.088
2018/04/07,0.082
2018/04/08,0.076
2018/04/09,0.077
2018/04/10,0.08
2018/04/11,0.065
2018/04/12,0.065
2018/04/13,0.066
2018/04/14,0.066
2018/04/15,0.068
2018/04/16,0.067
2018/04/17,0.067
2018/04/18,0.069
2018/04/19,0.074
2018/04/20,0.073
2018/04/21,0.07
2018/04/22,0.063
2018/04/23,0.063
2018/04/24,0.073
2018/04/25,0.078
2018/04/26,0.084
2018/04/27,0.094
2018/04/28,0.099
2018/04/29,0.117
2018/04/30,0.133
2018/05/01,0.125
2018/05/02,0.124
2018/05/03,0.138
2018/05/04,0.141
2018/05/05,0.137
2018/05/06,0.134
2018/05/07,0.117
2018/05/08,0.108
2018/05/09,0.105
2018/05/10,0.148
2018/05/11,0.181
2018/05/12,0.179
2018/05/13,0.181
2018/05/14,0.192
2018/05/15,0.193
2018/05/16,0.207
2018/05/17,0.238
2018/05/18,0.26
2018/05/19,0.265
2018/05/20,0.263
2018/05/21,0.251
2018/05/22,0.255
2018/05/23,0.259
2018/05/24,0.267
2018/05/25,0.261
2018/05/26,0.25
2018/05/27,0.245
2018/05/28,0.268
2018/05/29,0.29
2018/05/30,0.32
2018/05/31,0.4
2018/06/01,0.408
2018/06/02,0.404
2018/06/03,0.399
2018/06/04,0.365
2018/06/05,0.312
2018/06/06,0.28
2018/06/07,0.253
2018/06/08,0.249
2018/06/09,0.291
2018/06/10,0.327
2018/06/11,0.337
2018/06/12,0.352
2018/06/13,0.373
2018/06/14,0.385
2018/06/15,0.385
2018/06/16,0.422
2018/06/17,0.484
2018/06/18,0.538
2018/06/19,0.551
2018/06/20,0.568
2018/06/21,0.573
2018/06/22,0.557
2018/06/23,0.582
2018/06/24,0.597
2018/06/25,0.599
2018/06/26,0.619
2018/06/27,0.588
2018/06/28,0.56
2018/06/29,0.505
2018/06/30,1.128
2018/07/01,3.994
2018/07/02,12.319
2018/07/03,16.594
2018/07/04,18.57
2018/07/05,19.81
2018/07/06,22.305
2018/07/07,23.903
2018/07/08,23.743
2018/07/09,23.446
2018/07/10,23.24
2018/07/11,23.01
2018/07/12,22.717
2018/07/13,22.459
2018/07/14,23.356
2018/07/15,24.667
2018/07/16,24.434
2018/07/17,24.219
2018/07/18,24.036
2018/07/19,24.072
2018/07/20,23.925
2018/07/21,23.742
2018/07/22,24.037
2018/07/23,23.784
2018/07/24,23.681
2018/07/25,23.765
2018/07/26,23.752
2018/07/27,23.779
2018/07/28,23.697
2018/07/29,23.822
2018/07/30,24.421
2018/07/31,23.715
2018/08/01,18.124
2018/08/02,15.137
2018/08/03,13.717
2018/08/04,12.674
2018/08/05,10.019
2018/08/06,7.725
2018/08/07,7.679
2018/08/08,9.814
2018/08/09,11.21
2018/08/10,11.454
2018/08/11,11.364
2018/08/12,11.168
2018/08/13,8.925
2018/08/14,5.684
2018/08/15,5.684
2018/08/16,5.682
2018/08/17,6.312
2018/08/18,6.316
2018/08/19,6.362
2018/08/20,6.402
2018/08/21,6.394
2018/08/22,6.389
2018/08/23,6.389
2018/08/24,6.362
2018/08/25,6.385
2018/08/26,6.346
2018/08/27,6.368
2018/08/28,6.332
2018/08/29,6.295
2018/08/30,6.267
2018/08/31,6.225
2018/09/01,6.211
2018/09/02,6.215
2018/09/03,6.191
2018/09/04,6.109
2018/09/05,6.128
2018/09/06,5.933
2018/09/07,3.461
2018/09/08,1.605
2018/09/09,1.052
2018/09/10,1.053
2018/09/11,1.042
2018/09/12,1.043
2018/09/13,1.038
2018/09/14,1.037
2018/09/15,1.043
2018/09/16,0.154
2018/09/17,0.153
2018/09/18,0.15
2018/09/19,0.184
2018/09/20,0.181
2018/09/21,0.173
2018/09/22,0.174
2018/09/23,0.122
2018/09/24,0.118
2018/09/25,0.12
2018/09/26,0.12
2018/09/27,0.125
2018/09/28,0.143
2018/09/29,0.161
2018/09/30,0.162
2018/10/01,0.166
2018/10/02,0.166
2018/10/03,0.157
2018/10/04,0.157
2018/10/05,0.148
2018/10/06,0.175
2018/10/07,0.195
2018/10/08,0.193
2018/10/09,0.197
2018/10/10,0.196
2018/10/11,0.196
2018/10/12,0.196
2018/10/13,0.209
2018/10/14,0.227
2018/10/15,0.224
2018/10/16,0.225
2018/10/17,0.229
2018/10/18,0.236
2018/10/19,0.208
2018/10/20,0.213
2018/10/21,0.204
2018/10/22,0.205
2018/10/23,0.203
2018/10/24,0.199
2018/10/25,0.203
2018/10/26,0.198
2018/10/27,0.192
2018/10/28,0.174
2018/10/29,0.144
2018/10/30,0.137
2018/10/31,0.109
2018/11/01,0.07
2018/11/02,0.07
2018/11/03,0.07
2018/11/04,0.07
2018/11/05,0.069
2018/11/06,0.07
2018/11/07,0.072
2018/11/08,0.077
2018/11/09,0.077
2018/11/10,0.083
2018/11/11,0.092
2018/11/12,0.09
2018/11/13,0.084
2018/11/14,0.103
2018/11/15,0.131
2018/11/16,0.139
2018/11/17,0.136
2018/11/18,0.136
2018/11/19,0.16
2018/11/20,0.18
2018/11/21,0.181
2018/11/22,0.181
2018/11/23,0.184
2018/11/24,0.18
2018/11/25,0.184
2018/11/26,0.177
2018/11/27,0.164
2018/11/28,0.182
2018/11/29,0.218
2018/11/30,0.32
2018/12/01,0.318
2018/12/02,0.315
2018/12/03,0.307
2018/12/04,0.292
2018/12/05,0.304
2018/12/06,0.303
2018/12/07,0.299
2018/12/08,0.319
2018/12/09,0.33
2018/12/10,0.3
2018/12/11,0.265
2018/12/12,0.275
2018/12/13,0.282
2018/12/14,0.289
2018/12/15,0.306
2018/12/16,0.334
2018/12/17,0.333
2018/12/18,0.331
2018/12/19,0.322
2018/12/20,0.308
2018/12/21,0.309
2018/12/22,0.325
2018/12/23,0.332
2018/12/24,0.332
2018/12/25,0.331
2018/12/26,0.335
2018/12/27,0.345
2018/12/28,0.331
2018/12/29,0.298
2018/12/30,0.182
2018/12/31,0.172
2019/01/01,0.177
2019/01/02,0.155
2019/01/03,0.129
2019/01/04,0.085
2019/01/05,0.077
2019/01/06,0.072
2019/01/07,0.073
2019/01/08,0.073
2019/01/09,0.075
2019/01/10,0.075
2019/01/11,0.075
2019/01/12,0.084
2019/01/13,0.09
2019/01/14,0.11
2019/01/15,0.108
2019/01/16,0.108
2019/01/17,0.106
2019/01/18,0.102
2019/01/19,0.098
2019/01/20,0.096
2019/01/21,0.096
2019/01/22,0.108
2019/01/23,0.107
2019/01/24,0.105
2019/01/25,0.106
2019/01/26,0.107
2019/01/27,0.108
2019/01/28,0.112
2019/01/29,0.087
2019/01/30,0.088
2019/01/31,0.091
2019/02/01,0.093
2019/02/02,0.093
2019/02/03,0.096
2019/02/04,0.099
2019/02/05,0.097
2019/02/06,0.096
2019/02/07,0.094
2019/02/08,0.091
2019/02/09,0.091
2019/02/10,0.09
2019/02/11,0.083
2019/02/12,0.075
2019/02/13,0.073
2019/02/14,0.079
2019/02/15,0.109
2019/02/16,0.116
2019/02/17,0.127
2019/02/18,0.184
2019/02/19,0.228
2019/02/20,0.265
2019/02/21,0.294
2019/02/22,0.312
2019/02/23,0.316
2019/02/24,0.339
2019/02/25,0.376
2019/02/26,0.401
2019/02/27,0.422
2019/02/28,0.465
2019/03/01,0.461
2019/03/02,0.46
2019/03/03,0.458
2019/03/04,0.436
2019/03/05,0.399
2019/03/06,0.362
2019/03/07,0.323
2019/03/08,0.289
2019/03/09,0.259
2019/03/10,0.253
2019/03/11,0.223
2019/03/12,0.202
2019/03/13,0.2
2019/03/14,0.201
2019/03/15,0.211
2019/03/16,0.239
2019/03/17,0.267
2019/03/18,0.265
2019/03/19,0.264
2019/03/20,0.251
2019/03/21,0.265
2019/03/22,0.261
2019/03/23,0.261
2019/03/24,0.263
2019/03/25,0.265
2019/03/26,0.26
2019/03/27,0.241
2019/03/28,0.214
2019/03/29,0.215
2019/03/30,0.174
2019/03/31,0.173
2019/04/01,0.183
2019/04/02,0.216
2019/04/03,0.308
2019/04/04,0.319
2019/04/05,0.32
2019/04/06,0.326
