Date,transactionfees7rsiUSD
2016/01/01,37.391
2016/01/02,41.326
2016/01/03,41.706
2016/01/04,44.472
2016/01/05,65.484
2016/01/06,67.674
2016/01/07,52.378
2016/01/08,44.256
2016/01/09,59.072
2016/01/10,49.04
2016/01/11,45.612
2016/01/12,49.85
2016/01/13,62.076
2016/01/14,49.241
2016/01/15,49.793
2016/01/16,46.237
2016/01/17,40.384
2016/01/18,56.958
2016/01/19,59.462
2016/01/20,46.072
2016/01/21,49.476
2016/01/22,56.123
2016/01/23,47.114
2016/01/24,60.611
2016/01/25,70.786
2016/01/26,73.732
2016/01/27,79.804
2016/01/28,65.008
2016/01/29,60.247
2016/01/30,63.045
2016/01/31,58.113
2016/02/01,50.663
2016/02/02,45.373
2016/02/03,46.781
2016/02/04,59.182
2016/02/05,65.286
2016/02/06,91.863
2016/02/07,55.922
2016/02/08,50.735
2016/02/09,58.046
2016/02/10,64.832
2016/02/11,53.212
2016/02/12,53.384
2016/02/13,49.288
2016/02/14,46.06
2016/02/15,51.298
2016/02/16,49.35
2016/02/17,46.342
2016/02/18,41.179
2016/02/19,50.458
2016/02/20,43.126
2016/02/21,43.938
2016/02/22,53.043
2016/02/23,84.077
2016/02/24,55.096
2016/02/25,47.561
2016/02/26,53.545
2016/02/27,46.154
2016/02/28,47.185
2016/02/29,48.045
2016/03/01,48.322
2016/03/02,54.246
2016/03/03,54.019
2016/03/04,53.39
2016/03/05,56.217
2016/03/06,59.741
2016/03/07,52.956
2016/03/08,52.102
2016/03/09,43.788
2016/03/10,38.035
2016/03/11,37.017
2016/03/12,47.868
2016/03/13,55.896
2016/03/14,56.105
2016/03/15,42.884
2016/03/16,48.304
2016/03/17,45.876
2016/03/18,36.451
2016/03/19,58.115
2016/03/20,48.95
2016/03/21,47.731
2016/03/22,40.937
2016/03/23,53.925
2016/03/24,56.196
2016/03/25,51.558
2016/03/26,44.766
2016/03/27,32.724
2016/03/28,42.628
2016/03/29,40.356
2016/03/30,56.683
2016/03/31,45.752
2016/04/01,43.465
2016/04/02,38.779
2016/04/03,38.49
2016/04/04,44.653
2016/04/05,43.66
2016/04/06,40.285
2016/04/07,39.306
2016/04/08,42.296
2016/04/09,34.691
2016/04/10,30.617
2016/04/11,30.8
2016/04/12,30.7
2016/04/13,51.733
2016/04/14,55.934
2016/04/15,39.749
2016/04/16,34.739
2016/04/17,52.583
2016/04/18,43.362
2016/04/19,42.54
2016/04/20,49.723
2016/04/21,54.725
2016/04/22,42.557
2016/04/23,40.79
2016/04/24,45.366
2016/04/25,44.147
2016/04/26,40.896
2016/04/27,38.573
2016/04/28,42.767
2016/04/29,40.51
2016/04/30,55.248
2016/05/01,71.806
2016/05/02,53.629
2016/05/03,57.445
2016/05/04,58.341
2016/05/05,63.687
2016/05/06,67.475
2016/05/07,47.532
2016/05/08,51.007
2016/05/09,48.609
2016/05/10,47.679
2016/05/11,59.197
2016/05/12,68.527
2016/05/13,72.515
2016/05/14,54.153
2016/05/15,49.463
2016/05/16,52.788
2016/05/17,57.522
2016/05/18,68.508
2016/05/19,71.099
2016/05/20,78.461
2016/05/21,67.91
2016/05/22,60.013
2016/05/23,51.414
2016/05/24,44.572
2016/05/25,45.334
2016/05/26,44.433
2016/05/27,46.04
2016/05/28,75.285
2016/05/29,52.872
2016/05/30,47.425
2016/05/31,47.918
2016/06/01,54.221
2016/06/02,45.722
2016/06/03,43.386
2016/06/04,44.574
2016/06/05,43.451
2016/06/06,49.368
2016/06/07,85.49
2016/06/08,48.573
2016/06/09,49.185
2016/06/10,48.354
2016/06/11,48.579
2016/06/12,48.108
2016/06/13,59.364
2016/06/14,61.265
2016/06/15,56.419
2016/06/16,71.14
2016/06/17,92.813
2016/06/18,84.958
2016/06/19,43.37
2016/06/20,43.346
2016/06/21,49.715
2016/06/22,45.347
2016/06/23,41.675
2016/06/24,43.888
2016/06/25,42.89
2016/06/26,41.186
2016/06/27,41.923
2016/06/28,42.075
2016/06/29,49.452
2016/06/30,54.776
2016/07/01,48.634
2016/07/02,38.983
2016/07/03,42.607
2016/07/04,40.281
2016/07/05,41.066
2016/07/06,41.809
2016/07/07,38.062
2016/07/08,47.972
2016/07/09,57.488
2016/07/10,43.158
2016/07/11,43.689
2016/07/12,45.615
2016/07/13,42.277
2016/07/14,46.682
2016/07/15,46.934
2016/07/16,42.848
2016/07/17,39.629
