Date,mediantransactionvalue3trxUSD
2016/01/01,25.599
2016/01/02,21.28
2016/01/03,14.074
2016/01/04,7.849
2016/01/05,-9.382
2016/01/06,-19.974
2016/01/07,-26.483
2016/01/08,-8.489
2016/01/09,11.155
2016/01/10,20.554
2016/01/11,17.509
2016/01/12,16.352
2016/01/13,-5.317
2016/01/14,-1.573
2016/01/15,9.815
2016/01/16,12.378
2016/01/17,10.438
2016/01/18,6.737
2016/01/19,-3.148
2016/01/20,6.034
2016/01/21,9.809
2016/01/22,4.938
2016/01/23,7.862
2016/01/24,11.167
2016/01/25,7.589
2016/01/26,6.917
2016/01/27,-4.928
2016/01/28,-2.175
2016/01/29,2.289
2016/01/30,5.765
2016/01/31,6.126
2016/02/01,3.281
2016/02/02,0.875
2016/02/03,1.811
2016/02/04,2.257
2016/02/05,1.649
2016/02/06,-11.758
2016/02/07,-4.402
2016/02/08,6.92
2016/02/09,13.748
2016/02/10,21.433
2016/02/11,17.683
2016/02/12,19.014
2016/02/13,11.026
2016/02/14,5.692
2016/02/15,3.79
2016/02/16,1.208
2016/02/17,-2.794
2016/02/18,-4.158
2016/02/19,-3.295
2016/02/20,-1.971
2016/02/21,-0.535
2016/02/22,1.636
2016/02/23,4.243
2016/02/24,4.833
2016/02/25,5.376
2016/02/26,3.548
2016/02/27,3.016
2016/02/28,3.67
2016/02/29,3.325
2016/03/01,3.58
2016/03/02,5.303
2016/03/03,7.872
2016/03/04,7.459
2016/03/05,11.264
2016/03/06,8.749
2016/03/07,5.207
2016/03/08,1.662
2016/03/09,0.755
2016/03/10,3.542
2016/03/11,2.105
2016/03/12,3.899
2016/03/13,5.298
2016/03/14,4.875
2016/03/15,2.585
2016/03/16,1.615
2016/03/17,-0.644
2016/03/18,-3.147
2016/03/19,-4.568
2016/03/20,-4.893
2016/03/21,-3.478
2016/03/22,-1.487
2016/03/23,0.132
2016/03/24,0.016
2016/03/25,-1.092
2016/03/26,-1.492
2016/03/27,-1.03
2016/03/28,-0.24
2016/03/29,0.729
2016/03/30,1.38
2016/03/31,1.473
2016/04/01,0.962
2016/04/02,0.472
2016/04/03,0.243
2016/04/04,-0.248
2016/04/05,-1.354
2016/04/06,-1.661
2016/04/07,-1.825
2016/04/08,-2.35
2016/04/09,-2.564
2016/04/10,-3.479
2016/04/11,-3.902
2016/04/12,-4.546
2016/04/13,-4.668
2016/04/14,-3.229
2016/04/15,-2.004
2016/04/16,-1.012
2016/04/17,-1.435
2016/04/18,0.506
2016/04/19,1.642
2016/04/20,1.22
2016/04/21,0.295
2016/04/22,-0.701
2016/04/23,-1.143
2016/04/24,-0.991
2016/04/25,-1.29
2016/04/26,-1.993
2016/04/27,-1.722
2016/04/28,-1.575
2016/04/29,-1.343
2016/04/30,0.146
2016/05/01,1.869
2016/05/02,3.919
2016/05/03,4.476
2016/05/04,3.684
2016/05/05,2.656
2016/05/06,1.885
2016/05/07,0.99
2016/05/08,0.254
2016/05/09,0.066
2016/05/10,-0.069
2016/05/11,0.295
2016/05/12,1.13
2016/05/13,2.313
2016/05/14,2.022
2016/05/15,1.137
2016/05/16,1.018
2016/05/17,2.503
2016/05/18,4.552
2016/05/19,5.88
2016/05/20,6.045
2016/05/21,4.225
2016/05/22,3.078
2016/05/23,2.401
2016/05/24,0.796
2016/05/25,-0.938
2016/05/26,-7.152
2016/05/27,-5.78
2016/05/28,-14.164
2016/05/29,-13.204
2016/05/30,-2
2016/05/31,7.234
2016/06/01,10.676
2016/06/02,9.62
2016/06/03,7.068
2016/06/04,0.611
2016/06/05,1.227
2016/06/06,2.295
2016/06/07,-4.072
2016/06/08,-0.423
2016/06/09,2.764
2016/06/10,2.719
2016/06/11,2.506
2016/06/12,-0.399
2016/06/13,3.005
2016/06/14,5.271
2016/06/15,6.634
2016/06/16,7.145
2016/06/17,-4.984
2016/06/18,-10.146
2016/06/19,-9.943
2016/06/20,-9.395
2016/06/21,-4.048
2016/06/22,2.796
2016/06/23,4.505
2016/06/24,-2.394
2016/06/25,1.212
2016/06/26,-2.698
2016/06/27,1.297
2016/06/28,3.276
2016/06/29,-6.419
2016/06/30,-15.773
2016/07/01,-6.541
2016/07/02,3.248
2016/07/03,7.183
2016/07/04,6.627
2016/07/05,3.621
2016/07/06,1.645
2016/07/07,-0.044
2016/07/08,-3.052
2016/07/09,-1.267
2016/07/10,0.503
2016/07/11,0.953
2016/07/12,0.185
2016/07/13,0.198
2016/07/14,-4.301
2016/07/15,-0.268
2016/07/16,-3.126
2016/07/17,0.333
2016/07/18,2.916
2016/07/19,4.012
2016/07/20,-7.122
2016/07/21,-4.987
2016/07/22,3.859
2016/07/23,8.522
2016/07/24,8.615
2016/07/25,6.677
2016/07/26,4.307
2016/07/27,2.082
2016/07/28,0.942
2016/07/29,-1.379
2016/07/30,-2.015
2016/07/31,-1.21
2016/08/01,-1.051
2016/08/02,-2.199
2016/08/03,-9.56
2016/08/04,-6.143
2016/08/05,-1.436
2016/08/06,1.067
2016/08/07,2.093
2016/08/08,2.192
2016/08/09,2.696
2016/08/10,1.757
2016/08/11,-0.752
2016/08/12,-5.003
2016/08/13,-6.461
2016/08/14,-1.084
2016/08/15,0.387
2016/08/16,-6.04
2016/08/17,-8.79
2016/08/18,-9.508
2016/08/19,-6.099
2016/08/20,-0.454
2016/08/21,2.468
2016/08/22,1.341
2016/08/23,-2.234
2016/08/24,-5.519
2016/08/25,-8.386
2016/08/26,-8.303
2016/08/27,-6.382
2016/08/28,8.406
2016/08/29,1.543
2016/08/30,-2.248
2016/08/31,3.55
2016/09/01,16.24
2016/09/02,0.594
2016/09/03,1.897
2016/09/04,-1.427
2016/09/05,5.982
2016/09/06,-1.408
2016/09/07,-10.102
2016/09/08,-14.16
2016/09/09,-15.328
2016/09/10,1.225
2016/09/11,22.234
2016/09/12,14.91
2016/09/13,16.401
2016/09/14,-0.513
2016/09/15,-10.403
2016/09/16,-14.475
2016/09/17,-7.367
2016/09/18,8.065
2016/09/19,20.76
2016/09/20,21.744
2016/09/21,17.028
2016/09/22,-2.738
2016/09/23,0.977
2016/09/24,4.971
2016/09/25,6.205
2016/09/26,5.256
2016/09/27,4.022
2016/09/28,3.1
2016/09/29,2.31
2016/09/30,1.642
2016/10/01,-6.647
2016/10/02,-3.495
2016/10/03,0.401
2016/10/04,-11.8
2016/10/05,-8.768
2016/10/06,-7.981
2016/10/07,1.743
2016/10/08,7.071
2016/10/09,7.777
2016/10/10,5.833
2016/10/11,3.995
2016/10/12,0.136
2016/10/13,-11.595
2016/10/14,-5.653
2016/10/15,1.916
2016/10/16,5.284
2016/10/17,5.318
2016/10/18,-1.138
2016/10/19,0.672
2016/10/20,2.468
2016/10/21,-7.301
2016/10/22,-2.593
2016/10/23,2.296
2016/10/24,-5.549
2016/10/25,-5.661
2016/10/26,0.777
2016/10/27,4.714
2016/10/28,5.293
2016/10/29,3.665
2016/10/30,2.152
2016/10/31,1.765
2016/11/01,-4.971
2016/11/02,-7.357
2016/11/03,-2.15
2016/11/04,2.224
2016/11/05,3.93
2016/11/06,3.786
2016/11/07,2.836
2016/11/08,1.88
2016/11/09,0.92
2016/11/10,0.24
2016/11/11,-0.289
2016/11/12,-0.825
2016/11/13,-1.053
2016/11/14,-1.078
2016/11/15,-0.922
2016/11/16,-0.54
2016/11/17,-0.475
2016/11/18,-0.786
2016/11/19,-0.969
2016/11/20,-0.993
2016/11/21,-0.868
2016/11/22,-10.339
2016/11/23,-18.751
2016/11/24,-8.486
2016/11/25,-15.08
2016/11/26,-5.482
2016/11/27,-6.025
2016/11/28,-6.508
2016/11/29,-4.912
2016/11/30,0.567
2016/12/01,12.538
2016/12/02,14.522
2016/12/03,11.608
2016/12/04,5.649
2016/12/05,3.146
2016/12/06,1.154
2016/12/07,1.731
2016/12/08,3.391
2016/12/09,3.614
2016/12/10,2.931
2016/12/11,1.946
2016/12/12,1.426
2016/12/13,-4.956
2016/12/14,-10.475
2016/12/15,-11.108
2016/12/16,-9.357
2016/12/17,-0.005
2016/12/18,6.459
2016/12/19,-0.37
2016/12/20,-2.382
2016/12/21,-6.462
2016/12/22,-12.658
2016/12/23,-1.472
2016/12/24,8.021
2016/12/25,10.365
2016/12/26,8.935
2016/12/27,1.861
2016/12/28,-2.626
2016/12/29,2.595
2016/12/30,-1.361
2016/12/31,2.942
2017/01/01,6.094
2017/01/02,6.331
2017/01/03,0.881
2017/01/04,5.847
2017/01/05,8.422
2017/01/06,7.21
2017/01/07,4.91
2017/01/08,3.352
2017/01/09,2.832
