Date,hashrate14trx
2016/01/01,0.261
2016/01/02,0.233
2016/01/03,0.212
2016/01/04,0.194
2016/01/05,0.181
2016/01/06,0.175
2016/01/07,0.16
2016/01/08,0.151
2016/01/09,0.147
2016/01/10,0.139
2016/01/11,0.139
2016/01/12,0.136
2016/01/13,0.125
2016/01/14,0.119
2016/01/15,0.124
2016/01/16,0.137
2016/01/17,0.152
2016/01/18,0.177
2016/01/19,0.205
2016/01/20,0.234
2016/01/21,0.259
2016/01/22,0.292
2016/01/23,0.327
2016/01/24,0.378
2016/01/25,0.425
2016/01/26,0.486
2016/01/27,0.548
2016/01/28,0.601
2016/01/29,0.651
2016/01/30,0.694
2016/01/31,0.719
2016/02/01,0.743
2016/02/02,0.75
2016/02/03,0.764
2016/02/04,0.779
2016/02/05,0.792
2016/02/06,0.792
2016/02/07,0.789
2016/02/08,0.794
2016/02/09,0.792
2016/02/10,0.791
2016/02/11,0.8
2016/02/12,0.802
2016/02/13,0.814
2016/02/14,0.834
2016/02/15,0.862
2016/02/16,0.889
2016/02/17,0.904
2016/02/18,0.902
2016/02/19,0.903
2016/02/20,0.904
2016/02/21,0.906
2016/02/22,0.918
2016/02/23,0.935
2016/02/24,0.951
2016/02/25,0.965
2016/02/26,0.984
2016/02/27,1.006
2016/02/28,1.033
2016/02/29,1.048
2016/03/01,1.057
2016/03/02,1.071
2016/03/03,1.089
2016/03/04,1.115
2016/03/05,1.154
2016/03/06,1.198
2016/03/07,1.243
2016/03/08,1.284
2016/03/09,1.325
2016/03/10,1.37
2016/03/11,1.419
2016/03/12,1.481
2016/03/13,1.564
2016/03/14,1.636
2016/03/15,1.706
2016/03/16,1.771
2016/03/17,1.836
2016/03/18,1.886
2016/03/19,1.934
2016/03/20,1.978
2016/03/21,2.006
2016/03/22,2.024
2016/03/23,2.009
2016/03/24,1.996
2016/03/25,1.993
2016/03/26,1.999
2016/03/27,2.009
2016/03/28,2.007
2016/03/29,2.003
2016/03/30,2
2016/03/31,2.002
2016/04/01,2.004
2016/04/02,1.988
2016/04/03,1.973
2016/04/04,1.969
2016/04/05,1.966
2016/04/06,1.954
2016/04/07,1.916
2016/04/08,1.885
2016/04/09,1.853
2016/04/10,1.829
2016/04/11,1.794
2016/04/12,1.742
2016/04/13,1.694
2016/04/14,1.646
2016/04/15,1.609
2016/04/16,1.581
2016/04/17,1.546
2016/04/18,1.523
2016/04/19,1.504
2016/04/20,1.49
2016/04/21,1.478
2016/04/22,1.454
2016/04/23,1.432
2016/04/24,1.404
2016/04/25,1.385
2016/04/26,1.36
2016/04/27,1.329
2016/04/28,1.3
2016/04/29,1.276
2016/04/30,1.264
2016/05/01,1.254
2016/05/02,1.232
2016/05/03,1.216
2016/05/04,1.197
2016/05/05,1.176
2016/05/06,1.151
2016/05/07,1.122
2016/05/08,1.093
2016/05/09,1.066
2016/05/10,1.044
2016/05/11,1.014
2016/05/12,0.983
2016/05/13,0.969
2016/05/14,0.96
2016/05/15,0.952
2016/05/16,0.944
2016/05/17,0.931
2016/05/18,0.926
2016/05/19,0.93
2016/05/20,0.943
2016/05/21,0.959
2016/05/22,0.974
2016/05/23,0.986
2016/05/24,0.996
2016/05/25,1.005
2016/05/26,1.013
2016/05/27,1.018
2016/05/28,1.025
2016/05/29,1.033
2016/05/30,1.036
2016/05/31,1.029
2016/06/01,1.01
2016/06/02,0.986
2016/06/03,0.973
2016/06/04,0.964
2016/06/05,0.948
2016/06/06,0.936
2016/06/07,0.927
2016/06/08,0.918
2016/06/09,0.921
2016/06/10,0.91
