Date,fee_to_reward14stdUSD
2016/01/01,0.15
2016/01/02,0.155
2016/01/03,0.161
2016/01/04,0.165
2016/01/05,0.165
2016/01/06,0.155
2016/01/07,0.161
2016/01/08,0.162
2016/01/09,0.161
2016/01/10,0.138
2016/01/11,0.14
2016/01/12,0.141
2016/01/13,0.127
2016/01/14,0.127
2016/01/15,0.123
2016/01/16,0.122
2016/01/17,0.122
2016/01/18,0.119
2016/01/19,0.112
2016/01/20,0.098
2016/01/21,0.076
2016/01/22,0.075
2016/01/23,0.076
2016/01/24,0.076
2016/01/25,0.08
2016/01/26,0.082
2016/01/27,0.079
2016/01/28,0.082
2016/01/29,0.082
2016/01/30,0.081
2016/01/31,0.075
2016/02/01,0.075
2016/02/02,0.075
2016/02/03,0.071
2016/02/04,0.066
2016/02/05,0.066
2016/02/06,0.176
2016/02/07,0.172
2016/02/08,0.173
2016/02/09,0.172
2016/02/10,0.172
2016/02/11,0.172
2016/02/12,0.173
2016/02/13,0.173
2016/02/14,0.175
2016/02/15,0.175
2016/02/16,0.175
2016/02/17,0.171
2016/02/18,0.172
2016/02/19,0.172
2016/02/20,0.064
2016/02/21,0.064
2016/02/22,0.065
2016/02/23,0.125
2016/02/24,0.122
2016/02/25,0.122
2016/02/26,0.124
2016/02/27,0.125
2016/02/28,0.125
2016/02/29,0.124
2016/03/01,0.124
2016/03/02,0.124
2016/03/03,0.123
2016/03/04,0.123
2016/03/05,0.121
2016/03/06,0.119
2016/03/07,0.119
2016/03/08,0.049
2016/03/09,0.041
2016/03/10,0.048
2016/03/11,0.041
2016/03/12,0.043
2016/03/13,0.044
2016/03/14,0.044
2016/03/15,0.047
2016/03/16,0.046
2016/03/17,0.043
2016/03/18,0.041
2016/03/19,0.043
2016/03/20,0.036
2016/03/21,0.035
2016/03/22,0.033
2016/03/23,0.033
2016/03/24,0.036
2016/03/25,0.036
2016/03/26,0.035
2016/03/27,0.041
2016/03/28,0.042
2016/03/29,0.042
2016/03/30,0.04
2016/03/31,0.042
2016/04/01,0.043
2016/04/02,0.043
2016/04/03,0.045
2016/04/04,0.045
2016/04/05,0.045
2016/04/06,0.045
2016/04/07,0.039
2016/04/08,0.031
2016/04/09,0.027
2016/04/10,0.027
2016/04/11,0.027
2016/04/12,0.027
2016/04/13,0.025
2016/04/14,0.028
2016/04/15,0.028
2016/04/16,0.028
2016/04/17,0.028
2016/04/18,0.029
2016/04/19,0.029
2016/04/20,0.029
2016/04/21,0.031
2016/04/22,0.031
2016/04/23,0.031
2016/04/24,0.031
2016/04/25,0.03
2016/04/26,0.03
2016/04/27,0.026
2016/04/28,0.022
2016/04/29,0.022
2016/04/30,0.024
2016/05/01,0.032
2016/05/02,0.031
2016/05/03,0.03
2016/05/04,0.03
2016/05/05,0.03
2016/05/06,0.033
2016/05/07,0.031
2016/05/08,0.03
2016/05/09,0.029
2016/05/10,0.028
2016/05/11,0.025
2016/05/12,0.027
2016/05/13,0.031
2016/05/14,0.032
2016/05/15,0.03
2016/05/16,0.03
2016/05/17,0.03
2016/05/18,0.03
2016/05/19,0.03
2016/05/20,0.031
2016/05/21,0.028
2016/05/22,0.028
2016/05/23,0.027
2016/05/24,0.027
2016/05/25,0.027
2016/05/26,0.025
2016/05/27,0.021
2016/05/28,0.066
2016/05/29,0.066
2016/05/30,0.065
2016/05/31,0.064
2016/06/01,0.064
